year,split,start,end,start_px,end_px,gross_pts,return_pct,hand_pts,identity_ok
2010,IS,2010-06-07,2010-12-31,1795.0,2224.25,429.25,23.91364902506964,429.25,True
2011,IS,2011-01-03,2011-12-30,2250.25,2274.75,24.5,1.088767914676147,24.5,True
2012,IS,2012-01-03,2012-12-31,2316.0,2659.25,343.25,14.820811744386875,343.25,True
2013,IS,2013-01-02,2013-12-31,2740.5,3593.25,852.75,31.11658456486043,852.75,True
2014,IS,2014-01-02,2014-12-30,3560.75,4316.5,755.75,21.224461138805026,755.75,True
2015,IS,2015-01-02,2015-12-31,4214.5,4592.5,378.0,8.969035472772571,378.0,True
2016,IS,2016-01-04,2016-12-30,4506.25,4862.25,356.0,7.900138696255201,356.0,True
2017,IS,2017-01-03,2017-12-29,4905.5,6385.0,1479.5,30.160024462338193,1479.5,True
2018,IS,2018-01-02,2018-12-31,6515.25,6352.25,-163.0,-2.501822646866966,-163.0,True
2019,IS,2019-01-02,2019-12-31,6261.25,8772.0,2510.75,40.099820323417845,2510.75,True
2020,IS,2020-01-02,2020-12-31,8901.0,12883.0,3982.0,44.736546455454445,3982.0,True
2021,IS,2021-01-04,2021-12-31,12688.25,16331.5,3643.25,28.71357358185723,3643.25,True
2022,Validation,2022-01-03,2022-12-30,16495.75,11041.75,-5454.0,-33.06306169771002,-5454.0,True
2023,Validation,2023-01-03,2023-12-29,10941.0,17003.75,6062.75,55.41312494287542,6062.75,True
2024,Validation,2024-01-02,2024-12-31,16731.75,21234.25,4502.5,26.90991677499365,4502.5,True
2025,OOS,2025-01-02,2025-12-31,21182.5,25434.75,4252.25,20.074353829812345,4252.25,True
2026,OOS,2026-01-02,2026-08-07,25394.5,29839.5,4445.0,17.503790190789346,4445.0,True
