nq_date,nq_cross,ndx_date,delta_days,matched
2011-08-17,death,2011-08-17,0,True
2011-12-09,golden,2011-12-08,1,True
2012-12-26,death,2012-12-13,13,False
2013-02-01,golden,2013-01-28,4,True
2015-09-29,death,2015-09-30,1,True
2015-11-19,golden,2015-11-17,2,True
2016-02-04,death,2016-02-04,0,True
2016-05-04,golden,2016-05-06,2,True
2016-06-29,death,2016-06-28,1,True
2016-07-13,golden,2016-07-15,2,True
2018-11-29,death,2018-12-03,4,True
2019-04-01,golden,2019-04-03,2,True
2020-04-28,death,2020-04-30,2,True
2020-05-22,golden,2020-05-21,1,True
2022-02-25,death,2022-03-02,5,True
2023-03-08,golden,2023-03-13,5,True
2025-04-11,death,2025-04-14,3,True
2025-06-24,golden,2025-06-24,0,True
