session_date,year,split,day_close,sma_fast,sma_slow,cross,next_date,next_open
2011-08-17,2011,IS,2187.0,2284.07,2285.19125,death,2011-08-18,2168.5
2011-12-09,2011,IS,2321.25,2289.15,2285.72,golden,2011-12-12,2316.0
2012-12-26,2012,IS,2629.75,2669.665,2670.53625,death,2012-12-28,2625.0
2013-02-01,2013,IS,2756.25,2672.955,2671.90375,golden,2013-02-04,2759.25
2015-09-29,2015,IS,4074.25,4374.79,4378.695,death,2015-09-30,4078.75
2015-11-19,2015,IS,4656.75,4435.815,4432.25625,golden,2015-11-20,4656.75
2016-02-04,2016,IS,4147.5,4443.555,4451.37125,death,2016-02-05,4146.5
2016-05-04,2016,IS,4309.0,4404.89,4404.59125,golden,2016-05-05,4308.25
2016-06-29,2016,IS,4379.5,4406.39,4407.5125,death,2016-06-30,4375.0
2016-07-13,2016,IS,4561.0,4421.345,4420.575,golden,2016-07-14,4561.0
2018-11-29,2018,IS,6907.0,7094.18,7097.21875,death,2018-11-30,6902.25
2019-04-01,2019,IS,7497.5,7096.895,7096.02125,golden,2019-04-02,7495.25
2020-04-28,2020,IS,8698.75,8252.745,8272.39625,death,2020-04-29,8759.25
2020-05-22,2020,IS,9421.5,8395.39,8392.26625,golden,2020-05-25,9396.25
2022-02-25,2022,Validation,14187.75,15103.715,15124.57875,death,2022-02-28,13900.25
2023-03-08,2023,Validation,12238.25,11938.535,11937.92,golden,2023-03-09,12231.0
2025-04-11,2025,OOS,18820.5,20379.595,20417.0075,death,2025-04-14,19225.0
2025-06-24,2025,OOS,22407.75,20804.47,20750.02375,golden,2025-06-25,22412.0
