book,exit_class,trades,pct_trades,pnl,pct_pnl,pf,avg,wr
ALL,structural_TP,297,9.0,75922.8,27.9,0.0,255.63,100.0
ALL,adverse_stop,1444,43.9,-94084.5,-34.6,0.0,-65.16,0.0
ALL,favorable_through_stop,1546,47.0,289863.0,106.7,10171.63,187.49,98.77
ALL,raw_SL,2990,91.0,195778.5,72.1,3.08,65.48,51.07
ALL,raw_TP,297,9.0,75922.8,27.9,0.0,255.63,100.0
IS,structural_TP,229,10.4,46408.8,37.0,0.0,202.66,100.0
IS,adverse_stop,1050,47.5,-62292.0,-49.7,0.0,-59.33,0.0
IS,favorable_through_stop,932,42.2,141280.5,112.7,5887.69,151.59,98.28
IS,raw_SL,1982,89.6,78988.5,63.0,2.27,39.85,46.22
IS,raw_TP,229,10.4,46408.8,37.0,0.0,202.66,100.0
OOS,structural_TP,68,6.3,29514.0,20.2,0.0,434.03,100.0
OOS,adverse_stop,394,36.6,-31792.5,-21.7,0.0,-80.69,0.0
OOS,favorable_through_stop,614,57.1,148582.5,101.6,33019.33,241.99,99.51
OOS,raw_SL,1008,93.7,116790.0,79.8,4.67,115.86,60.62
OOS,raw_TP,68,6.3,29514.0,20.2,0.0,434.03,100.0
OOS_orb_gate,structural_TP,14,5.0,10056.0,19.8,0.0,718.29,100.0
OOS_orb_gate,adverse_stop,99,35.4,-9840.0,-19.3,0.0,-99.39,0.0
OOS_orb_gate,favorable_through_stop,167,59.6,50697.0,99.6,33799.0,303.57,99.4
OOS_orb_gate,raw_SL,266,95.0,40857.0,80.2,5.15,153.6,62.41
OOS_orb_gate,raw_TP,14,5.0,10056.0,19.8,0.0,718.29,100.0
live_2026_orb,structural_TP,1,1.0,897.0,4.2,0.0,897.0,100.0
live_2026_orb,adverse_stop,31,32.0,-3304.5,-15.6,0.0,-106.6,0.0
live_2026_orb,favorable_through_stop,65,67.0,23608.5,111.4,15740.0,363.21,98.46
live_2026_orb,raw_SL,96,99.0,20304.0,95.8,7.14,211.5,66.67
live_2026_orb,raw_TP,1,1.0,897.0,4.2,0.0,897.0,100.0
