gap_bucket,trades,wr,pf,exp,pnl,mdd,losing_streak,months_pos,months_total,monthly_pos_pct,years_pos,years_total,tp_pct,sl_pct,session_pct,gap_mean,mfe_med,mae_med,pct_rev_50,period
0-5,331,73.72,0.36,-8.91,-2948.25,2977.5,4,56,94,59.6,0,11,82.5,13.0,4.5,2.77,2.75,4.5,79.5,IS
5-15,327,67.58,0.58,-12.01,-3927.0,4230.0,6,36,72,50.0,1,11,67.6,30.3,2.1,8.64,5.0,7.25,68.5,IS
15-30,142,52.11,0.78,-9.54,-1355.25,1746.75,8,18,36,50.0,3,7,52.1,45.8,2.1,21.16,9.62,12.62,54.2,IS
30-50,80,32.5,0.57,-26.66,-2133.0,2243.25,9,12,29,41.4,1,4,32.5,67.5,0.0,39.01,9.25,16.5,32.5,IS
50-100,52,26.92,0.83,-11.16,-580.5,975.0,8,7,20,35.0,1,5,26.9,71.2,1.9,66.72,14.88,16.88,26.9,IS
100+,7,14.29,0.84,-12.21,-85.5,274.5,3,1,3,33.3,0,1,14.3,85.7,0.0,124.36,22.25,23.0,14.3,IS
0-5,199,69.35,0.25,-15.83,-3149.25,3241.5,4,11,35,31.4,0,3,76.9,23.1,0.0,3.0,5.5,7.75,81.9,VAL
5-15,321,66.67,0.57,-13.03,-4181.25,4089.75,6,13,36,36.1,0,3,66.7,33.0,0.3,9.34,6.75,9.0,71.3,VAL
15-30,205,48.78,0.61,-17.96,-3682.5,3795.75,5,12,36,33.3,0,3,48.8,50.2,1.0,20.92,9.75,15.0,52.2,VAL
30-50,138,41.3,0.86,-7.59,-1047.75,2418.75,12,18,35,51.4,0,3,41.3,58.7,0.0,38.74,12.25,15.88,41.3,VAL
50-100,103,22.33,0.69,-22.14,-2280.0,2838.75,10,10,30,33.3,0,3,22.3,77.7,0.0,71.17,13.0,18.0,22.3,VAL
100+,39,2.56,0.09,-81.25,-3168.75,3077.25,20,1,15,6.7,0,3,2.6,97.4,0.0,139.85,11.5,18.75,2.6,VAL
0-5,96,61.46,0.18,-22.63,-2172.75,2193.75,6,5,19,26.3,0,2,69.8,30.2,0.0,3.05,6.88,8.12,87.5,OOS
5-15,158,69.62,0.65,-9.69,-1531.5,1877.25,4,9,19,47.4,0,2,69.6,30.4,0.0,9.03,8.88,9.62,80.4,OOS
15-30,132,45.45,0.54,-22.74,-3002.25,3126.0,11,4,20,20.0,0,2,45.5,54.5,0.0,21.19,9.75,15.38,49.2,OOS
30-50,77,45.45,1.04,2.05,157.5,641.25,5,7,19,36.8,1,2,45.5,54.5,0.0,38.6,15.75,15.75,45.5,OOS
50-100,92,25.0,0.67,-22.43,-2063.25,1971.75,12,7,18,38.9,0,2,21.7,73.9,4.3,68.33,16.25,18.25,22.8,OOS
100+,58,24.14,1.4,27.72,1608.0,823.5,9,9,14,64.3,2,2,22.4,75.9,1.7,149.59,14.25,19.12,24.1,OOS
