structure,period,trades,wr,pf,exp,pnl,mdd,losing_streak,months_pos,months_total,monthly_pos_pct,years_pos,years_total,tp_pct,sl_pct,session_pct,sl,tp_mode,tp_val
PRIMARY_SL15_TP50pct_gap,IS,939,61.77,0.62,-11.75,-11029.5,11161.5,10,39,102,38.2,0,11,64.9,32.4,2.8,15.0,gap_frac,0.5
PRIMARY_SL15_TP50pct_gap,VAL,1005,53.03,0.58,-17.42,-17509.5,17424.0,10,6,36,16.7,0,3,54.5,45.2,0.3,15.0,gap_frac,0.5
PRIMARY_SL15_TP50pct_gap,OOS,613,49.1,0.75,-11.43,-7004.25,7901.25,9,5,20,25.0,0,2,49.8,49.4,0.8,15.0,gap_frac,0.5
RAW_SL15_TP1R,IS,1182,44.42,0.79,-9.53,-11268.0,11976.0,17,37,110,33.6,2,11,40.2,47.7,12.1,15.0,R,1.0
RAW_SL15_TP1R,VAL,1081,44.31,0.77,-11.56,-12492.0,13006.5,16,10,36,27.8,0,3,44.2,55.2,0.6,15.0,R,1.0
RAW_SL15_TP1R,OOS,650,45.69,0.81,-9.37,-6090.0,6906.0,12,7,20,35.0,0,2,45.4,54.2,0.5,15.0,R,1.0
SL10_GAP100,IS,939,45.9,0.69,-9.63,-9046.5,9615.0,11,36,102,35.3,1,11,48.1,49.4,2.4,10.0,gap_frac,1.0
SL10_GAP100,VAL,1005,34.33,0.57,-17.08,-17163.0,17185.5,22,6,36,16.7,0,3,34.6,64.7,0.7,10.0,gap_frac,1.0
SL10_GAP100,OOS,613,32.14,0.82,-7.57,-4639.5,6136.5,12,5,20,25.0,0,2,31.6,67.0,1.3,10.0,gap_frac,1.0
SL10_GAP25,IS,939,63.37,0.52,-9.73,-9133.5,9294.0,11,40,102,39.2,0,11,66.2,32.6,1.2,10.0,gap_frac,0.25
SL10_GAP25,VAL,1005,50.15,0.41,-17.64,-17732.25,17673.0,13,2,36,5.6,0,3,51.0,49.0,0.0,10.0,gap_frac,0.25
SL10_GAP25,OOS,613,45.35,0.53,-15.61,-9567.75,9628.5,9,1,20,5.0,0,2,46.0,53.8,0.2,10.0,gap_frac,0.25
SL10_GAP50,IS,939,53.99,0.62,-9.85,-9246.0,9375.75,11,35,102,34.3,1,11,56.9,41.5,1.6,10.0,gap_frac,0.5
SL10_GAP50,VAL,1005,42.29,0.54,-16.2,-16277.25,16221.75,22,4,36,11.1,0,3,43.2,56.7,0.1,10.0,gap_frac,0.5
SL10_GAP50,OOS,613,37.85,0.69,-11.82,-7244.25,7596.75,12,4,20,20.0,0,2,38.3,61.3,0.3,10.0,gap_frac,0.5
SL10_GAP75,IS,939,48.14,0.65,-10.24,-9611.62,9864.38,11,35,102,34.3,1,11,50.5,47.3,2.2,10.0,gap_frac,0.75
SL10_GAP75,VAL,1005,36.72,0.54,-17.52,-17604.38,17639.62,22,4,36,11.1,0,3,37.2,62.3,0.5,10.0,gap_frac,0.75
SL10_GAP75,OOS,613,34.58,0.74,-10.27,-6297.38,6858.38,12,4,20,20.0,0,2,34.3,64.6,1.1,10.0,gap_frac,0.75
SL10_R1,IS,1182,41.88,0.69,-10.73,-12682.5,12874.5,17,33,110,30.0,0,11,39.6,54.2,6.2,10.0,R,1.0
SL10_R1,VAL,1081,42.65,0.71,-10.27,-11100.0,11152.5,13,8,36,22.2,0,3,42.6,57.3,0.1,10.0,R,1.0
SL10_R1,OOS,650,42.15,0.69,-11.01,-7156.5,7215.0,12,3,20,15.0,0,2,41.8,57.8,0.3,10.0,R,1.0
SL10_R1.5,IS,1182,34.09,0.72,-10.74,-12699.0,13161.0,18,36,110,32.7,2,11,30.6,61.5,7.9,10.0,R,1.5
SL10_R1.5,VAL,1081,34.6,0.76,-9.59,-10371.0,10513.5,17,12,36,33.3,0,3,34.5,65.3,0.2,10.0,R,1.5
SL10_R1.5,OOS,650,34.31,0.75,-10.23,-6646.5,6802.5,18,3,20,15.0,0,2,34.0,65.7,0.3,10.0,R,1.5
SL10_R2,IS,1182,29.44,0.76,-10.18,-12031.5,12780.0,18,35,110,31.8,2,11,25.0,66.0,9.0,10.0,R,2.0
SL10_R2,VAL,1081,27.57,0.73,-12.03,-13003.5,13275.0,21,9,36,25.0,0,3,27.2,72.3,0.5,10.0,R,2.0
SL10_R2,OOS,650,29.08,0.79,-9.28,-6030.0,6148.5,18,5,20,25.0,0,2,28.8,70.6,0.6,10.0,R,2.0
SL10_TO_THRESH,IS,939,45.9,0.69,-9.63,-9046.5,9615.0,11,36,102,35.3,1,11,48.1,49.4,2.4,10.0,to_threshold,1.0
SL10_TO_THRESH,VAL,1005,34.33,0.57,-17.08,-17163.0,17185.5,22,6,36,16.7,0,3,34.6,64.7,0.7,10.0,to_threshold,1.0
SL10_TO_THRESH,OOS,613,32.14,0.82,-7.57,-4639.5,6136.5,12,5,20,25.0,0,2,31.6,67.0,1.3,10.0,to_threshold,1.0
SL15_GAP100,IS,939,53.67,0.68,-12.16,-11421.0,12534.0,10,41,102,40.2,2,11,55.7,39.9,4.4,15.0,gap_frac,1.0
SL15_GAP100,VAL,1005,43.98,0.62,-18.64,-18732.0,19414.5,17,10,36,27.8,0,3,44.7,54.1,1.2,15.0,gap_frac,1.0
SL15_GAP100,OOS,613,42.9,0.93,-3.72,-2278.5,5604.0,9,7,20,35.0,1,2,41.9,55.6,2.4,15.0,gap_frac,1.0
SL15_GAP25,IS,939,72.1,0.59,-8.95,-8404.5,8537.62,6,46,102,45.1,0,11,75.2,23.0,1.8,15.0,gap_frac,0.25
SL15_GAP25,VAL,1005,62.39,0.48,-17.2,-17286.38,17230.5,9,7,36,19.4,0,3,63.9,36.0,0.1,15.0,gap_frac,0.25
SL15_GAP25,OOS,613,58.56,0.64,-13.25,-8124.75,8403.0,8,2,20,10.0,0,2,59.5,40.0,0.5,15.0,gap_frac,0.25
SL15_GAP50,IS,939,61.77,0.62,-11.75,-11029.5,11161.5,10,39,102,38.2,0,11,64.9,32.4,2.8,15.0,gap_frac,0.5
SL15_GAP50,VAL,1005,53.03,0.58,-17.42,-17509.5,17424.0,10,6,36,16.7,0,3,54.5,45.2,0.3,15.0,gap_frac,0.5
SL15_GAP50,OOS,613,49.1,0.75,-11.43,-7004.25,7901.25,9,5,20,25.0,0,2,49.8,49.4,0.8,15.0,gap_frac,0.5
SL15_GAP75,IS,939,55.91,0.64,-12.85,-12062.25,12286.5,10,42,102,41.2,1,11,58.1,37.9,3.9,15.0,gap_frac,0.75
SL15_GAP75,VAL,1005,46.67,0.59,-19.12,-19211.25,19633.88,17,8,36,22.2,0,3,47.7,51.4,0.9,15.0,gap_frac,0.75
SL15_GAP75,OOS,613,46.0,0.85,-7.0,-4291.88,5983.12,9,7,20,35.0,0,2,45.7,52.5,1.8,15.0,gap_frac,0.75
SL15_R1,IS,1182,44.42,0.79,-9.53,-11268.0,11976.0,17,37,110,33.6,2,11,40.2,47.7,12.1,15.0,R,1.0
SL15_R1,VAL,1081,44.31,0.77,-11.56,-12492.0,13006.5,16,10,36,27.8,0,3,44.2,55.2,0.6,15.0,R,1.0
SL15_R1,OOS,650,45.69,0.81,-9.37,-6090.0,6906.0,12,7,20,35.0,0,2,45.4,54.2,0.5,15.0,R,1.0
SL15_R1.5,IS,1182,36.8,0.8,-10.41,-12307.5,13699.5,19,44,110,40.0,2,11,29.3,55.0,15.7,15.0,R,1.5
SL15_R1.5,VAL,1081,35.71,0.81,-11.24,-12147.0,13959.0,19,13,36,36.1,0,3,35.2,63.7,1.0,15.0,R,1.5
SL15_R1.5,OOS,650,38.0,0.89,-6.14,-3991.5,7143.0,12,8,20,40.0,1,2,37.5,61.5,0.9,15.0,R,1.5
SL15_R2,IS,1182,32.57,0.82,-10.44,-12339.0,13686.0,19,41,110,37.3,2,11,23.0,59.0,18.0,15.0,R,2.0
SL15_R2,VAL,1081,28.12,0.75,-16.65,-17995.5,20143.5,23,9,36,25.0,0,3,27.0,71.0,1.9,15.0,R,2.0
SL15_R2,OOS,650,33.69,0.98,-1.22,-792.0,6553.5,13,8,20,40.0,1,2,32.9,65.8,1.2,15.0,R,2.0
SL15_TO_THRESH,IS,939,53.67,0.68,-12.16,-11421.0,12534.0,10,41,102,40.2,2,11,55.7,39.9,4.4,15.0,to_threshold,1.0
SL15_TO_THRESH,VAL,1005,43.98,0.62,-18.64,-18732.0,19414.5,17,10,36,27.8,0,3,44.7,54.1,1.2,15.0,to_threshold,1.0
SL15_TO_THRESH,OOS,613,42.9,0.93,-3.72,-2278.5,5604.0,9,7,20,35.0,1,2,41.9,55.6,2.4,15.0,to_threshold,1.0
SL20_GAP100,IS,939,58.47,0.67,-14.21,-13342.5,14107.5,10,43,102,42.2,0,11,60.0,34.4,5.6,20.0,gap_frac,1.0
SL20_GAP100,VAL,1005,51.54,0.73,-15.19,-15267.0,15489.0,12,11,36,30.6,0,3,52.3,45.4,2.3,20.0,gap_frac,1.0
SL20_GAP100,OOS,613,49.92,0.96,-2.23,-1368.0,6435.0,8,9,20,45.0,1,2,48.8,48.3,2.9,20.0,gap_frac,1.0
SL20_GAP25,IS,939,76.25,0.6,-9.35,-8781.38,8914.5,5,52,102,51.0,0,11,79.2,18.6,2.1,20.0,gap_frac,0.25
SL20_GAP25,VAL,1005,70.15,0.55,-14.97,-15048.75,14962.88,5,6,36,16.7,0,3,72.0,27.6,0.4,20.0,gap_frac,0.25
SL20_GAP25,OOS,613,67.21,0.71,-10.88,-6670.88,7309.12,6,6,20,30.0,0,2,68.2,31.3,0.5,20.0,gap_frac,0.25
SL20_GAP50,IS,939,65.92,0.61,-13.68,-12847.5,12976.5,9,44,102,43.1,0,11,68.9,27.6,3.5,20.0,gap_frac,0.5
SL20_GAP50,VAL,1005,61.29,0.69,-13.86,-13931.25,13884.0,9,11,36,30.6,0,3,63.2,36.0,0.8,20.0,gap_frac,0.5
SL20_GAP50,OOS,613,58.08,0.84,-7.91,-4850.25,6557.25,7,8,20,40.0,1,2,58.7,40.3,1.0,20.0,gap_frac,0.5
