day_id,year,period,trade_type,signal_time,entry_time,orb_hi,orb_lo,orb_range,threshold,raw_open,entry_price,gap_pts,side,mae_pts,mfe_pts,bars_to_mfe,rev_25,rev_50,rev_100,mfe_over_gap,structure,sl_pts,tp_mode,tp_val,stop_px,target_px,reward_pts,exit_time,exit_price,exit_reason,bars_held,pnl_pts,pnl_usd,mae_over_sl,entry_slip
2011-06-27,2011,IS,SHORT,2011-06-27 14:32:00+00:00,2011-06-27 14:33:00+00:00,2220.75,2210.25,10.5,2235.75,2238.25,2237.25,2.5,-1,7.25,2.5,47,True,True,True,1.0,PRIMARY_SL15_TP50pct_gap,15.0,gap_frac,0.5,2252.25,2236.0,1.25,2011-06-27 14:34:00+00:00,2236.0,TP,1,1.25,6.0,0.483,1.0
2011-06-27,2011,IS,SHORT,2011-06-27 14:33:00+00:00,2011-06-27 14:34:00+00:00,2220.75,2210.25,10.5,2235.75,2237.0,2236.0,1.25,-1,8.5,1.25,46,True,True,True,1.0,PRIMARY_SL15_TP50pct_gap,15.0,gap_frac,0.5,2251.0,2235.75,0.25,2011-06-27 14:35:00+00:00,2235.75,TP,1,0.25,0.0,0.567,1.0
2011-08-01,2011,IS,LONG,2011-08-01 14:00:00+00:00,2011-08-01 14:01:00+00:00,2394.0,2377.5,16.5,2362.5,2359.5,2360.5,3.0,1,30.75,0.0,0,False,False,False,0.0,PRIMARY_SL15_TP50pct_gap,15.0,gap_frac,0.5,2345.5,2362.0,1.5,2011-08-01 14:03:00+00:00,2345.5,SL,2,-15.0,-91.5,2.05,1.0
2011-08-01,2011,IS,LONG,2011-08-01 14:01:00+00:00,2011-08-01 14:02:00+00:00,2394.0,2377.5,16.5,2362.5,2356.25,2357.25,6.25,1,30.5,0.0,0,False,False,False,0.0,PRIMARY_SL15_TP50pct_gap,15.0,gap_frac,0.5,2342.25,2360.375,3.125,2011-08-01 14:04:00+00:00,2342.25,SL,2,-15.0,-91.5,2.033,1.0
2011-08-08,2011,IS,LONG,2011-08-08 14:29:00+00:00,2011-08-08 14:30:00+00:00,2161.75,2123.0,38.75,2108.0,2106.25,2107.25,1.75,1,9.25,34.0,43,True,True,True,19.429,PRIMARY_SL15_TP50pct_gap,15.0,gap_frac,0.5,2092.25,2108.0,0.75,2011-08-08 14:30:00+00:00,2108.0,TP,0,0.75,3.0,0.617,1.0
2011-09-12,2011,IS,SHORT,2011-09-12 13:57:00+00:00,2011-09-12 13:58:00+00:00,2149.75,2135.25,14.5,2164.75,2167.75,2166.75,3.0,-1,9.0,20.75,61,True,True,True,6.917,PRIMARY_SL15_TP50pct_gap,15.0,gap_frac,0.5,2181.75,2165.25,1.5,2011-09-12 14:01:00+00:00,2165.25,TP,3,1.5,7.5,0.6,1.0
2011-09-12,2011,IS,SHORT,2011-09-12 13:58:00+00:00,2011-09-12 13:59:00+00:00,2149.75,2135.25,14.5,2164.75,2168.25,2167.25,3.5,-1,8.5,21.25,60,True,True,True,6.071,PRIMARY_SL15_TP50pct_gap,15.0,gap_frac,0.5,2182.25,2165.5,1.75,2011-09-12 13:59:00+00:00,2165.5,TP,0,1.75,9.0,0.567,1.0
2011-09-26,2011,IS,LONG,2011-09-26 14:39:00+00:00,2011-09-26 14:40:00+00:00,2215.75,2195.5,20.25,2180.5,2166.5,2167.5,14.0,1,5.25,44.75,65,True,True,True,3.196,PRIMARY_SL15_TP50pct_gap,15.0,gap_frac,0.5,2152.5,2174.5,7.0,2011-09-26 14:43:00+00:00,2174.5,TP,3,7.0,40.5,0.35,1.0
2011-09-26,2011,IS,LONG,2011-09-26 14:40:00+00:00,2011-09-26 14:41:00+00:00,2215.75,2195.5,20.25,2180.5,2166.75,2167.75,13.75,1,1.0,44.5,64,True,True,True,3.236,PRIMARY_SL15_TP50pct_gap,15.0,gap_frac,0.5,2152.75,2174.625,6.875,2011-09-26 14:43:00+00:00,2174.625,TP,2,6.875,39.75,0.067,1.0
2011-10-03,2011,IS,SHORT,2011-10-03 14:13:00+00:00,2011-10-03 14:14:00+00:00,2127.75,2113.25,14.5,2142.75,2147.5,2146.5,4.75,-1,1.5,32.0,49,True,True,True,6.737,PRIMARY_SL15_TP50pct_gap,15.0,gap_frac,0.5,2161.5,2144.125,2.375,2011-10-03 14:14:00+00:00,2144.125,TP,0,2.375,12.75,0.1,1.0
