year,subset,month,trades,wr,pnl,pf,exp
2024,baseline,2024-01,26,76.9,2048.4,6.4,78.78
2024,baseline,2024-02,29,41.4,1510.5,2.37,52.09
2024,baseline,2024-03,28,64.3,2908.2,5.56,103.86
2024,baseline,2024-04,32,75.0,5283.6,10.17,165.11
2024,baseline,2024-05,30,63.3,3471.0,7.11,115.7
2024,baseline,2024-06,26,57.7,1945.8,3.53,74.84
2024,baseline,2024-07,43,51.2,1325.1,1.91,30.82
2024,baseline,2024-08,39,53.8,4266.9,4.04,109.41
2024,baseline,2024-09,39,66.7,5036.1,4.69,129.13
2024,baseline,2024-10,37,56.8,4153.8,4.69,112.26
2024,baseline,2024-11,28,50.0,1387.2,2.3,49.54
2024,baseline,2024-12,31,74.2,3891.0,6.7,125.52
2024,orb_pct_high,2024-01,4,50.0,-49.5,0.48,-12.38
2024,orb_pct_high,2024-02,4,50.0,523.5,6.37,130.88
2024,orb_pct_high,2024-03,4,50.0,439.5,5.8,109.88
2024,orb_pct_high,2024-04,6,83.3,920.7,7.82,153.45
2024,orb_pct_high,2024-06,4,75.0,451.5,16.84,112.88
2024,orb_pct_high,2024-07,18,50.0,747.0,2.38,41.5
2024,orb_pct_high,2024-08,17,52.9,3485.4,5.87,205.02
2024,orb_pct_high,2024-09,14,64.3,2231.1,4.44,159.36
2024,orb_pct_high,2024-10,12,58.3,2342.1,8.16,195.17
2024,orb_pct_high,2024-11,10,50.0,886.2,3.94,88.62
2024,orb_pct_high,2024-12,8,75.0,1938.0,8.69,242.25
2025,baseline,2025-01,33,57.6,3548.1,4.08,107.52
2025,baseline,2025-02,30,63.3,2403.0,3.59,80.1
2025,baseline,2025-03,33,78.8,7576.5,10.08,229.59
2025,baseline,2025-04,36,50.0,6111.0,4.02,169.75
2025,baseline,2025-05,35,68.6,3713.7,5.97,106.11
2025,baseline,2025-06,34,64.7,3654.6,6.75,107.49
2025,baseline,2025-07,42,42.9,401.7,1.27,9.56
2025,baseline,2025-08,36,69.4,4980.3,9.67,138.34
2025,baseline,2025-09,40,55.0,2463.6,2.89,61.59
2025,baseline,2025-10,33,51.5,3363.9,3.35,101.94
2025,baseline,2025-11,32,71.9,8259.0,8.43,258.09
2025,baseline,2025-12,37,45.9,3442.5,3.35,93.04
2025,orb_pct_high,2025-01,9,77.8,2349.6,20.1,261.07
2025,orb_pct_high,2025-02,6,16.7,-229.5,0.34,-38.25
2025,orb_pct_high,2025-03,19,89.5,4786.5,20.7,251.92
2025,orb_pct_high,2025-04,16,50.0,4032.0,4.26,252.0
2025,orb_pct_high,2025-05,2,0.0,-198.0,0.0,-99.0
2025,orb_pct_high,2025-08,2,50.0,16.5,3.75,8.25
2025,orb_pct_high,2025-09,2,100.0,1132.5,inf,566.25
2025,orb_pct_high,2025-10,3,66.7,659.1,5.83,219.7
2025,orb_pct_high,2025-11,17,82.4,3487.8,6.48,205.16
2025,orb_pct_high,2025-12,6,33.3,-240.0,0.35,-40.0
2026,baseline,2026-01,32,56.2,3886.2,4.73,121.44
2026,baseline,2026-02,36,69.4,9903.3,7.74,275.09
2026,baseline,2026-03,34,70.6,6030.0,8.5,177.35
2026,baseline,2026-04,40,65.0,6381.0,6.51,159.53
2026,baseline,2026-05,36,80.6,8386.2,19.89,232.95
2026,baseline,2026-06,40,80.0,10443.0,16.37,261.07
2026,baseline,2026-07,39,61.5,11194.8,9.66,287.05
2026,baseline,2026-08,10,80.0,2934.0,28.55,293.4
2026,orb_pct_high,2026-01,4,25.0,-256.5,0.14,-64.12
2026,orb_pct_high,2026-02,20,60.0,4821.0,5.46,241.05
2026,orb_pct_high,2026-03,10,70.0,1261.5,8.07,126.15
2026,orb_pct_high,2026-04,4,0.0,-336.0,0.0,-84.0
2026,orb_pct_high,2026-05,12,83.3,4279.5,78.11,356.62
2026,orb_pct_high,2026-06,22,90.9,7065.0,24.43,321.14
2026,orb_pct_high,2026-07,19,52.6,2463.0,3.58,129.63
2026,orb_pct_high,2026-08,6,83.3,1903.5,20.23,317.25
2026,baseline_2026_live,2026-01,32,56.2,3886.2,4.73,121.44
2026,baseline_2026_live,2026-02,36,69.4,9903.3,7.74,275.09
2026,baseline_2026_live,2026-03,34,70.6,6030.0,8.5,177.35
2026,baseline_2026_live,2026-04,40,65.0,6381.0,6.51,159.53
2026,baseline_2026_live,2026-05,36,80.6,8386.2,19.89,232.95
2026,baseline_2026_live,2026-06,40,80.0,10443.0,16.37,261.07
2026,baseline_2026_live,2026-07,39,61.5,11194.8,9.66,287.05
2026,baseline_2026_live,2026-08,10,80.0,2934.0,28.55,293.4
2026,orb_pct_high_2026_live,2026-01,4,25.0,-256.5,0.14,-64.12
2026,orb_pct_high_2026_live,2026-02,20,60.0,4821.0,5.46,241.05
2026,orb_pct_high_2026_live,2026-03,10,70.0,1261.5,8.07,126.15
2026,orb_pct_high_2026_live,2026-04,4,0.0,-336.0,0.0,-84.0
2026,orb_pct_high_2026_live,2026-05,12,83.3,4279.5,78.11,356.62
2026,orb_pct_high_2026_live,2026-06,22,90.9,7065.0,24.43,321.14
2026,orb_pct_high_2026_live,2026-07,19,52.6,2463.0,3.58,129.63
2026,orb_pct_high_2026_live,2026-08,6,83.3,1903.5,20.23,317.25
