session_date,year,split,direction,bias,profile,signal_ts,entry_ts,exit_ts,entry,stop,target,risk,exit_price,pnl_points,pnl_R,exit_reason,ambiguous_bar,gap_through_stop,blocked,open_930,entry_vs_930,mae,mfe,mae_R,mfe_R,minutes_held,sweep_level,sweep_extreme,ref_high,ref_low,sep_param,target_R_param,conf_tf,close_tol
2011-05-06,2011,IS,1,bull,C,2011-05-06 14:40:00-04:00,2011-05-06 14:41:00-04:00,2011-05-06 16:00:00-04:00,1335.5,1331.5,1343.5,4.0,1337.0,1.25,0.3125,time_exit,False,False,False,1344.5,-9.0,2.25,4.25,0.5625,1.0625,79,1332.75,1331.75,1332.75,1331.75,40.0,2.0,1m,0.0
2011-05-09,2011,IS,1,bull,C,2011-05-09 08:30:00-04:00,2011-05-09 08:31:00-04:00,2011-05-09 08:49:00-04:00,1338.0,1335.5,1343.0,2.5,1335.5,-2.75,-1.1,stop,False,False,False,1337.0,1.0,2.5,0.25,1.0,0.1,18,1337.0,1335.75,1337.0,1335.75,40.0,2.0,1m,0.0
2011-05-16,2011,IS,1,bull,B,2011-05-16 08:09:00-04:00,2011-05-16 08:10:00-04:00,2011-05-16 15:45:00-04:00,1331.5,1326.0,1342.5,5.5,1326.0,-5.75,-1.0454545454545454,stop,False,False,False,1331.0,0.5,5.75,9.75,1.0454545454545454,1.7727272727272727,455,1326.75,1326.25,1330.25,1329.75,40.0,2.0,1m,0.0
2011-06-02,2011,IS,1,bull,C,2011-06-02 09:51:00-04:00,2011-06-02 09:52:00-04:00,2011-06-02 11:30:00-04:00,1313.75,1308.0,1325.25,5.75,1308.0,-6.0,-1.0434782608695652,stop,False,False,False,1314.5,-0.75,6.0,3.25,1.0434782608695652,0.5652173913043478,98,1309.5,1308.25,1309.5,1308.25,40.0,2.0,1m,0.0
2011-06-06,2011,IS,1,bull,C,2011-06-06 10:24:00-04:00,2011-06-06 10:25:00-04:00,2011-06-06 10:45:00-04:00,1293.5,1290.75,1299.0,2.75,1290.75,-3.0,-1.0909090909090908,stop,False,False,False,1295.75,-2.25,3.0,0.5,1.0909090909090908,0.18181818181818182,20,1292.25,1291.0,1292.25,1291.75,40.0,2.0,1m,0.0
2012-03-12,2012,IS,-1,bear,C,2012-03-12 09:46:00-04:00,2012-03-12 09:47:00-04:00,2012-03-12 16:00:00-04:00,1364.75,1367.25,1359.75,2.5,1365.25,-0.75,-0.3,time_exit,False,False,False,1364.75,-0.0,1.5,4.5,0.6,1.8,373,1366.75,1367.0,1367.0,1366.0,40.0,2.0,1m,0.0
2012-07-02,2012,IS,1,bull,B,2012-07-02 09:45:00-04:00,2012-07-02 09:46:00-04:00,2012-07-02 10:01:00-04:00,1361.5,1352.25,1380.0,9.25,1352.25,-9.5,-1.027027027027027,stop,False,False,False,1359.25,2.25,11.0,0.0,1.1891891891891893,0.0,15,1352.75,1352.5,1359.75,1359.0,40.0,2.0,1m,0.0
2012-07-05,2012,IS,1,bull,C,2012-07-05 08:45:00-04:00,2012-07-05 08:46:00-04:00,2012-07-05 09:46:00-04:00,1364.75,1361.5,1371.25,3.25,1361.5,-3.5,-1.0769230769230769,stop,False,False,False,1363.5,1.25,3.75,2.0,1.1538461538461537,0.6153846153846154,60,1362.0,1361.75,1362.75,1361.75,40.0,2.0,1m,0.0
2012-07-09,2012,IS,1,bull,C,2012-07-09 10:04:00-04:00,2012-07-09 10:05:00-04:00,2012-07-09 10:21:00-04:00,1345.75,1342.25,1352.75,3.5,1342.25,-3.75,-1.0714285714285714,stop,False,False,False,1347.75,-2.0,4.0,0.0,1.1428571428571428,0.0,16,1343.0,1342.5,1344.25,1342.5,40.0,2.0,1m,0.0
2012-07-16,2012,IS,1,bull,B,2012-07-16 09:05:00-04:00,2012-07-16 09:06:00-04:00,2012-07-16 09:41:00-04:00,1349.75,1346.25,1356.75,3.5,1346.25,-3.75,-1.0714285714285714,stop,False,False,False,1348.25,1.5,3.5,0.0,1.0,0.0,35,1347.75,1346.5,1348.5,1348.25,40.0,2.0,1m,0.0
