year,split,N,win_rate,profit_factor,expectancy,total_pnl,max_drawdown,median_R
2011,IS,5,0.2,0.07142857142857142,-3.25,-16.25,-17.5,-1.0454545454545454
2012,IS,30,0.16666666666666666,0.2111368909512761,-2.8333333333333335,-85.0,-84.25,-1.0513157894736842
2013,IS,10,0.3,0.8740157480314961,-0.4,-4.0,-17.0,-1.054093567251462
2014,IS,20,0.5,0.9815950920245399,-0.0375,-0.75,-23.5,-0.3991228070175439
2015,IS,12,0.3333333333333333,0.9631901840490797,-0.125,-1.5,-29.25,-0.7390476190476191
2016,IS,30,0.43333333333333335,1.0680933852140078,0.2916666666666667,8.75,-51.25,-1.016124871001032
2017,IS,25,0.2,0.3678571428571429,-1.77,-44.25,-47.75,-1.0666666666666667
2018,IS,44,0.29545454545454547,0.4342857142857143,-2.8125,-123.75,-131.25,-1.0215677179962894
2019,IS,37,0.35135135135135137,1.273356401384083,1.0675675675675675,39.5,-44.75,-1.027027027027027
2020,IS,69,0.3188405797101449,0.7134067357512953,-3.2065217391304346,-221.25,-307.5,-1.0104166666666667
2021,IS,44,0.4090909090909091,1.2393509127789046,1.3409090909090908,59.0,-86.0,-1.010597618267235
2022,Validation,79,0.35443037974683544,1.0290898617511521,0.31962025316455694,25.25,-323.25,-1.010204081632653
2023,Validation,63,0.2698412698412698,0.5180548868560424,-3.9722222222222223,-250.25,-275.5,-1.0172413793103448
2024,Validation,77,0.4155844155844156,1.6287566293459046,3.4642857142857144,266.75,-63.5,-1.013157894736842
2025,OOS,80,0.3375,0.8315270935960591,-1.603125,-128.25,-215.25,-1.012591067469116
2026,OOS,51,0.37254901960784315,0.9913309535951046,-0.08333333333333333,-4.25,-177.0,-1.008695652173913
