month,N,win_rate,profit_factor,expectancy,total_pnl,profitable
2010-09,1,0.0,0.0,-3.25,-3.25,False
2010-10,1,1.0,999.0,4.75,4.75,True
2011-01,1,1.0,999.0,4.25,4.25,True
2011-03,3,0.0,0.0,-6.75,-20.25,False
2011-04,2,0.0,0.0,-4.75,-9.5,False
2011-05,5,0.2,0.4461538461538462,-1.8,-9.0,False
2011-07,1,0.0,0.0,-5.5,-5.5,False
2011-08,3,1.0,999.0,35.916666666666664,107.75,True
2011-09,4,0.5,0.8487394957983193,-2.25,-9.0,False
2011-10,3,0.0,0.0,-11.666666666666666,-35.0,False
2011-11,1,0.0,0.0,-3.75,-3.75,False
2011-12,1,0.0,0.0,-3.0,-3.0,False
2012-01,3,0.6666666666666666,4.153846153846154,3.4166666666666665,10.25,True
2012-05,1,1.0,999.0,7.25,7.25,True
2012-06,1,0.0,0.0,-4.75,-4.75,False
2012-07,6,0.3333333333333333,0.3669064748201439,-3.6666666666666665,-22.0,False
2012-08,10,0.3,0.8980392156862745,-0.65,-6.5,False
2012-09,6,0.3333333333333333,0.8695652173913043,-0.5,-3.0,False
2012-10,6,0.5,1.5211267605633803,1.5416666666666667,9.25,True
2012-11,6,0.5,3.4166666666666665,6.041666666666667,36.25,True
2012-12,6,0.3333333333333333,1.4018691588785046,1.7916666666666667,10.75,True
2013-01,2,0.0,0.0,-8.625,-17.25,False
2013-05,1,0.0,0.0,-2.75,-2.75,False
2013-06,4,0.0,0.0,-7.0,-28.0,False
2013-07,2,0.0,0.0,-7.75,-15.5,False
2013-09,6,0.5,1.6382978723404256,1.25,7.5,True
2013-10,1,0.0,0.0,-4.5,-4.5,False
2014-02,2,0.0,0.0,-6.875,-13.75,False
2014-03,5,0.6,3.4594594594594597,4.55,22.75,True
2014-04,4,0.25,0.5045871559633027,-3.375,-13.5,False
2014-05,7,0.42857142857142855,1.631578947368421,3.857142857142857,27.0,True
2014-06,5,0.2,0.7078651685393258,-1.3,-6.5,False
2014-07,4,0.25,0.5188679245283019,-3.1875,-12.75,False
2014-08,12,0.3333333333333333,1.09009009009009,0.4166666666666667,5.0,True
