session_date,year,split,direction,bias,profile,signal_ts,entry_ts,exit_ts,entry,stop,target,risk,exit_price,pnl_points,pnl_R,exit_reason,ambiguous_bar,gap_through_stop,blocked,open_930,entry_vs_930,mae,mfe,mae_R,mfe_R,minutes_held,sweep_level,sweep_extreme,ref_high,ref_low,sep_param,target_R_param,conf_tf,close_tol
2010-09-20,2010,IS,-1,bear,C,2010-09-20 09:59:00-04:00,2010-09-20 10:00:00-04:00,2010-09-20 10:04:00-04:00,1962.5,1965.5,1956.5,3.0,1965.5,-3.25,-1.0833333333333333,stop,False,False,False,1960.0,-2.5,7.25,1.5,2.4166666666666665,0.5,4,1964.5,1965.25,1965.25,1963.75,40.0,2.0,1m,0.0
2010-10-18,2010,IS,-1,bear,C,2010-10-18 08:36:00-04:00,2010-10-18 08:37:00-04:00,2010-10-18 09:15:00-04:00,2095.5,2098.0,2090.5,2.5,2090.5,4.75,1.9,target,False,False,False,2096.25,0.75,2.25,5.0,0.9,2.0,38,2096.75,2097.75,2097.5,2096.75,40.0,2.0,1m,0.0
2011-01-31,2011,IS,1,bull,A,2011-01-31 08:00:00-05:00,2011-01-31 08:01:00-05:00,2011-01-31 16:00:00-05:00,2275.5,2248.25,2330.0,27.25,2280.0,4.25,0.1559633027522936,time_exit,False,False,False,2271.25,4.25,20.75,10.5,0.7614678899082569,0.3853211009174312,479,2264.5,2248.5,2271.0,2270.5,40.0,2.0,1m,0.0
2011-03-14,2011,IS,1,bull,C,2011-03-14 11:22:00-04:00,2011-03-14 11:23:00-04:00,2011-03-14 11:33:00-04:00,2278.25,2273.0,2288.75,5.25,2273.0,-5.5,-1.0476190476190477,stop,False,False,False,2284.0,-5.75,5.25,0.0,1.0,0.0,10,2275.0,2273.25,2276.75,2273.25,40.0,2.0,1m,0.0
2011-03-15,2011,IS,1,bull,B,2011-03-15 08:12:00-04:00,2011-03-15 08:13:00-04:00,2011-03-15 08:34:00-04:00,2231.0,2220.0,2253.0,11.0,2220.0,-11.25,-1.0227272727272727,stop,False,False,False,2221.25,9.75,11.0,0.5,1.0,0.045454545454545456,21,2225.25,2220.25,2229.0,2227.5,40.0,2.0,1m,0.0
2011-03-28,2011,IS,1,bull,C,2011-03-28 11:55:00-04:00,2011-03-28 11:56:00-04:00,2011-03-28 14:02:00-04:00,2316.0,2312.75,2322.5,3.25,2312.75,-3.5,-1.0769230769230769,stop,False,False,False,2324.75,-8.75,3.5,2.25,1.0769230769230769,0.6923076923076923,126,2313.75,2313.0,2314.25,2313.0,40.0,2.0,1m,0.0
2011-04-04,2011,IS,1,bull,C,2011-04-04 09:54:00-04:00,2011-04-04 09:55:00-04:00,2011-04-04 09:58:00-04:00,2338.75,2335.5,2345.25,3.25,2335.5,-3.5,-1.0769230769230769,stop,False,False,False,2345.75,-7.0,3.25,0.0,1.0,0.0,3,2336.25,2335.75,2336.75,2335.75,40.0,2.0,1m,0.0
2011-04-11,2011,IS,1,bull,B,2011-04-11 08:31:00-04:00,2011-04-11 08:32:00-04:00,2011-04-11 09:43:00-04:00,2325.5,2319.75,2337.0,5.75,2319.75,-6.0,-1.0434782608695652,stop,False,False,False,2326.25,-0.75,5.75,6.0,1.0,1.0434782608695652,71,2322.0,2320.0,2324.5,2323.5,40.0,2.0,1m,0.0
2011-05-02,2011,IS,1,bull,C,2011-05-02 09:58:00-04:00,2011-05-02 09:59:00-04:00,2011-05-02 10:09:00-04:00,2405.25,2402.0,2411.75,3.25,2402.0,-3.5,-1.0769230769230769,stop,False,False,False,2409.0,-3.75,3.5,3.25,1.0769230769230769,1.0,10,2403.5,2402.25,2404.0,2402.25,40.0,2.0,1m,0.0
2011-05-06,2011,IS,1,bull,C,2011-05-06 14:39:00-04:00,2011-05-06 14:40:00-04:00,2011-05-06 15:11:00-04:00,2376.25,2372.5,2383.75,3.75,2383.75,7.25,1.9333333333333333,target,False,False,False,2395.5,-19.25,1.25,8.5,0.3333333333333333,2.2666666666666666,31,2373.25,2372.75,2374.0,2372.75,40.0,2.0,1m,0.0
2011-05-09,2011,IS,1,bull,C,2011-05-09 09:45:00-04:00,2011-05-09 09:46:00-04:00,2011-05-09 10:22:00-04:00,2380.5,2375.25,2391.0,5.25,2375.25,-5.5,-1.0476190476190477,stop,False,False,False,2382.5,-2.0,5.75,5.5,1.0952380952380953,1.0476190476190477,36,2378.0,2375.5,2378.25,2375.5,40.0,2.0,1m,0.0
2011-05-24,2011,IS,1,bull,C,2011-05-24 13:26:00-04:00,2011-05-24 13:27:00-04:00,2011-05-24 13:34:00-04:00,2307.25,2303.75,2314.25,3.5,2303.75,-3.75,-1.0714285714285714,stop,False,False,False,2321.25,-14.0,4.5,0.0,1.2857142857142858,0.0,7,2304.25,2304.0,2305.75,2304.0,40.0,2.0,1m,0.0
2011-05-30,2011,IS,1,bull,B,2011-05-30 08:01:00-04:00,2011-05-30 08:02:00-04:00,2011-05-30 11:29:00-04:00,2336.25,2330.5,2347.75,5.75,2333.0,-3.5,-0.6086956521739131,time_exit,False,False,False,2335.75,0.5,4.25,0.75,0.7391304347826086,0.13043478260869565,207,2331.25,2330.75,2335.25,2335.0,40.0,2.0,1m,0.0
2011-07-25,2011,IS,-1,bear,C,2011-07-25 10:35:00-04:00,2011-07-25 10:36:00-04:00,2011-07-25 10:42:00-04:00,2415.25,2420.5,2404.75,5.25,2420.5,-5.5,-1.0476190476190477,stop,False,False,False,2406.75,-8.5,7.25,0.0,1.380952380952381,0.0,6,2417.75,2420.25,2418.0,2416.5,40.0,2.0,1m,0.0
2011-08-01,2011,IS,-1,bear,B,2011-08-01 08:54:00-04:00,2011-08-01 08:55:00-04:00,2011-08-01 10:00:00-04:00,2383.25,2395.25,2359.25,12.0,2359.25,23.75,1.9791666666666667,target,False,False,False,2388.0,4.75,10.75,26.0,0.8958333333333334,2.1666666666666665,65,2394.0,2395.0,2385.5,2385.0,40.0,2.0,1m,0.0
2011-08-08,2011,IS,-1,bear,B,2011-08-08 08:32:00-04:00,2011-08-08 08:33:00-04:00,2011-08-08 14:25:00-04:00,2137.25,2171.0,2069.75,33.75,2069.75,67.25,1.9925925925925927,target,False,False,False,2124.25,-13.0,24.5,77.5,0.725925925925926,2.2962962962962963,352,2156.0,2170.75,2141.0,2138.75,40.0,2.0,1m,0.0
2011-08-22,2011,IS,-1,bear,C,2011-08-22 09:34:00-04:00,2011-08-22 09:35:00-04:00,2011-08-22 10:10:00-04:00,2077.25,2085.75,2060.25,8.5,2060.25,16.75,1.9705882352941178,target,False,False,False,2083.5,6.25,3.5,17.5,0.4117647058823529,2.0588235294117645,35,2080.75,2085.5,2085.5,2082.0,40.0,2.0,1m,0.0
