year,split,N,win_rate,profit_factor,expectancy,total_pnl,max_drawdown,median_R
2010,IS,2,0.5,1.4615384615384615,0.75,1.5,0.0,0.4083333333333333
2011,IS,24,0.2916666666666667,1.1112929623567922,0.7083333333333334,17.0,-97.75,-1.042572463768116
2012,IS,45,0.4,1.1984126984126984,0.8333333333333334,37.5,-50.5,-1.0294117647058822
2013,IS,16,0.1875,0.2413793103448276,-3.78125,-60.5,-59.75,-1.0345238095238096
2014,IS,43,0.3023255813953488,0.7398739873987399,-1.680232558139535,-72.25,-124.75,-1.0285714285714285
2015,IS,85,0.35294117647058826,0.827,-1.526470588235294,-129.75,-208.75,-1.011764705882353
2016,IS,96,0.3229166666666667,0.6721698113207547,-3.2578125,-312.75,-381.25,-1.0082644628099173
2017,IS,81,0.2962962962962963,0.7226958993097848,-2.1080246913580245,-170.75,-204.5,-1.0158730158730158
2018,IS,99,0.3333333333333333,0.962956270328876,-0.5176767676767676,-51.25,-475.5,-1.0085470085470085
2019,IS,75,0.4,0.7370689655172413,-3.8633333333333333,-289.75,-282.5,-1.0048076923076923
2020,IS,73,0.3287671232876712,0.9429312581063554,-1.5068493150684932,-110.0,-585.25,-1.0041666666666667
2021,IS,91,0.37362637362637363,1.0445792105543144,1.151098901098901,104.75,-756.25,-1.003690036900369
2022,Validation,88,0.3181818181818182,0.9082805071315373,-3.946022727272727,-347.25,-930.75,-1.0028490953513478
2023,Validation,104,0.4326923076923077,1.2966846415018973,7.141826923076923,742.75,-453.5,-1.0024452216542612
2024,Validation,77,0.42857142857142855,1.360623096743968,9.996753246753247,769.75,-552.25,-1.0015748031496063
2025,OOS,95,0.3684210526315789,1.1639860987634365,5.339473684210526,507.25,-698.5,-1.0029761904761905
2026,OOS,53,0.3584905660377358,0.8500134879956839,-7.867924528301887,-417.0,-905.25,-1.0019646365422397
