session_date,year,split,dow,direction,entry,stop,target,risk,exit_price,pnl_pts,pnl_R,exit_reason,ambiguous,minutes_held,mae,mfe,hypothesis
2010-07-19,2010,IS,0,-1,1799.5,1804.5,1792.0,5.0,1804.5,-6.5,-1.3,stop,False,7,5.0,1.5,C_PDL_accept
2010-08-02,2010,IS,0,1,1890.25,1885.25,1897.75,5.0,1897.75,6.0,1.2,target,False,4,0.5,7.75,C_PDL_accept
2010-08-23,2010,IS,0,1,1836.0,1831.0,1843.5,5.0,1831.0,-6.5,-1.3,stop,False,34,6.0,6.75,C_PDL_accept
2010-09-07,2010,IS,1,-1,1863.0,1868.0,1855.5,5.0,1860.0,1.5,0.3,time,False,60,0.75,7.25,C_PDL_accept
2010-11-29,2010,IS,0,-1,2130.5,2136.5,2121.5,6.0,2121.5,7.5,1.25,target,False,1,0.0,9.0,C_PDL_accept
2011-01-10,2011,IS,0,1,2271.5,2266.5,2279.0,5.0,2266.5,-6.5,-1.3,stop,False,17,5.5,3.75,C_PDL_accept
2011-02-21,2011,IS,0,-1,2372.0,2377.0,2364.5,5.0,2364.5,6.0,1.2,target,False,7,1.25,8.25,C_PDL_accept
2011-06-10,2011,IS,4,-1,2242.75,2247.75,2235.25,5.0,2235.25,6.0,1.2,target,False,30,4.25,7.5,C_PDL_accept
2012-06-25,2012,IS,0,-1,2546.75,2551.75,2539.25,5.0,2551.75,-6.5,-1.3,stop,False,10,5.5,3.25,C_PDL_accept
2012-07-23,2012,IS,0,-1,2552.0,2562.3125,2536.53125,10.3125,2553.0,-2.5,-0.24242424242424243,time,False,60,3.0,8.75,C_PDL_accept
2012-08-23,2012,IS,3,-1,2755.0,2760.3125,2747.03125,5.3125,2760.3125,-6.8125,-1.2823529411764707,stop,False,9,6.25,0.0,C_PDL_accept
2012-08-24,2012,IS,4,-1,2751.5,2756.5,2744.0,5.0,2756.5,-6.5,-1.3,stop,False,11,5.25,1.0,C_PDL_accept
2012-08-28,2012,IS,1,-1,2774.75,2779.75,2767.25,5.0,2779.75,-6.5,-1.3,stop,False,11,5.5,3.75,C_PDL_accept
2012-09-04,2012,IS,1,-1,2757.0,2762.0,2749.5,5.0,2749.5,6.0,1.2,target,False,43,4.25,11.75,C_PDL_accept
2012-09-10,2012,IS,0,-1,2813.25,2818.25,2805.75,5.0,2818.25,-6.5,-1.3,stop,False,8,6.25,0.75,C_PDL_accept
