session_date,year,split,dow,direction,entry,stop,target,risk,exit_price,pnl_pts,pnl_R,exit_reason,ambiguous,minutes_held,mae,mfe,hypothesis
2010-06-14,2010,IS,0,-1,1862.0,1864.3125,1858.53125,2.3125,1864.3125,-3.8125,-1.6486486486486487,stop,False,14,4.0,3.25,C_on_extreme_reject
2010-06-28,2010,IS,0,1,1838.5,1832.8375,1846.9937499999999,5.662499999999909,1832.8375,-7.162499999999909,-1.2649006622516599,stop,False,8,6.25,1.25,C_on_extreme_reject
2010-08-02,2010,IS,0,-1,1883.25,1887.5625,1876.78125,4.3125,1887.5625,-5.8125,-1.3478260869565217,stop,False,29,10.75,5.25,C_on_extreme_reject
2010-08-16,2010,IS,0,-1,1824.25,1827.9125,1818.7562500000001,3.662499999999909,1827.9125,-5.162499999999909,-1.4095563139931842,stop,False,7,4.0,0.5,C_on_extreme_reject
2010-08-23,2010,IS,0,-1,1839.75,1842.0,1836.375,2.25,1836.375,1.875,0.8333333333333334,target,False,7,0.5,5.25,C_on_extreme_reject
2010-09-20,2010,IS,0,-1,1963.5,1966.1875,1959.46875,2.6875,1966.1875,-4.1875,-1.558139534883721,stop,False,5,6.25,2.5,C_on_extreme_reject
2010-10-04,2010,IS,0,-1,1992.5,1996.825,1986.0124999999998,4.3250000000000455,1986.0124999999998,4.987500000000182,1.153179190751475,target,False,8,2.5,7.0,C_on_extreme_reject
2010-10-18,2010,IS,0,-1,2098.5,2101.4375,2094.09375,2.9375,2094.09375,2.90625,0.9893617021276596,target,False,15,2.25,4.5,C_on_extreme_reject
2010-10-25,2010,IS,0,-1,2122.25,2125.025,2118.0874999999996,2.775000000000091,2125.025,-4.275000000000091,-1.5405405405405228,stop,False,4,3.25,2.0,C_on_extreme_reject
2010-11-15,2010,IS,0,1,2133.0,2129.9875,2137.5187499999997,3.012499999999818,2137.5187499999997,3.018749999999727,1.0020746887966505,target,False,16,3.0,5.0,C_on_extreme_reject
2010-11-26,2010,IS,4,-1,2156.75,2160.3375,2151.3687499999996,3.587500000000091,2154.75,0.5,0.13937282229964804,time,False,60,3.5,5.0,C_on_extreme_reject
2010-12-06,2010,IS,0,-1,2191.75,2194.25,2188.0,2.5,2188.0,2.25,0.9,target,False,6,0.75,4.0,C_on_extreme_reject
2010-12-20,2010,IS,0,1,2207.0,2203.725,2211.9125000000004,3.275000000000091,2210.25,1.75,0.5343511450381531,time,False,60,1.25,4.25,C_on_extreme_reject
2011-01-10,2011,IS,0,-1,2274.25,2277.1375,2269.9187500000003,2.887499999999818,2269.9187500000003,2.831249999999727,0.9805194805194478,target,False,6,1.0,5.75,C_on_extreme_reject
2011-01-17,2011,IS,0,1,2293.5,2288.7375,2300.6437499999997,4.762499999999818,2288.7375,-6.262499999999818,-1.314960629921272,stop,False,5,8.25,0.25,C_on_extreme_reject
2011-01-24,2011,IS,0,-1,2277.0,2280.3375,2271.9937499999996,3.337500000000091,2271.9937499999996,3.506250000000364,1.0505617977528894,target,False,16,0.75,5.75,C_on_extreme_reject
2011-01-31,2011,IS,0,1,2262.75,2257.7375,2270.2687499999997,5.012499999999818,2257.7375,-6.512499999999818,-1.2992518703242004,stop,False,9,8.0,2.0,C_on_extreme_reject
2011-02-21,2011,IS,0,1,2381.25,2378.9125,2384.7562500000004,2.337500000000091,2378.9125,-3.837500000000091,-1.641711229946499,stop,False,7,2.75,0.25,C_on_extreme_reject
2011-02-22,2011,IS,1,-1,2364.25,2366.7375,2360.5187499999997,2.487500000000182,2360.5187499999997,2.231250000000273,0.8969849246231597,target,False,13,1.5,4.75,C_on_extreme_reject
2011-02-28,2011,IS,0,-1,2357.5,2362.6125,2349.8312499999997,5.112500000000182,2356.5,-0.5,-0.09779951100244151,time,False,60,4.75,2.0,C_on_extreme_reject
2011-03-14,2011,IS,0,-1,2292.75,2295.9125,2288.0062500000004,3.162499999999909,2288.0062500000004,3.243749999999636,1.0256916996046574,target,False,5,2.75,5.0,C_on_extreme_reject
2011-03-25,2011,IS,4,1,2312.75,2310.575,2316.0125000000003,2.175000000000182,2316.0125000000003,1.7625000000002728,0.8103448275862646,target,False,6,0.5,4.0,C_on_extreme_reject
2011-03-28,2011,IS,0,1,2317.5,2314.125,2322.5625,3.375,2322.5625,3.5625,1.0555555555555556,target,False,59,3.0,5.75,C_on_extreme_reject
2011-04-04,2011,IS,0,1,2337.0,2334.225,2341.1625000000004,2.775000000000091,2334.225,-4.275000000000091,-1.5405405405405228,stop,False,3,3.0,1.0,C_on_extreme_reject
2011-04-11,2011,IS,0,-1,2328.25,2331.5,2323.375,3.25,2323.375,3.375,1.0384615384615385,target,False,6,2.25,6.0,C_on_extreme_reject
2011-04-14,2011,IS,3,1,2291.75,2287.5,2298.125,4.25,2298.125,4.875,1.1470588235294117,target,False,19,1.5,6.75,C_on_extreme_reject
2011-04-18,2011,IS,0,1,2272.25,2266.45,2280.9500000000003,5.800000000000182,2266.45,-7.300000000000182,-1.2586206896551644,stop,False,9,6.25,4.75,C_on_extreme_reject
2011-04-20,2011,IS,2,-1,2344.0,2349.2,2336.2000000000003,5.199999999999818,2349.2,-6.699999999999818,-1.2884615384615485,stop,False,30,6.5,3.75,C_on_extreme_reject
2011-05-02,2011,IS,0,1,2407.5,2404.625,2411.8125,2.875,2404.625,-4.375,-1.5217391304347827,stop,False,7,3.75,0.0,C_on_extreme_reject
2011-05-09,2011,IS,0,1,2379.5,2376.125,2384.5625,3.375,2384.5625,3.5625,1.0555555555555556,target,False,29,3.25,6.25,C_on_extreme_reject
2011-05-25,2011,IS,2,-1,2302.25,2305.8625,2296.8312499999997,3.612500000000182,2305.8625,-5.112500000000182,-1.4152249134947887,stop,False,6,4.0,0.75,C_on_extreme_reject
2011-06-02,2011,IS,3,-1,2331.75,2334.1875,2328.09375,2.4375,2334.1875,-3.9375,-1.6153846153846154,stop,False,7,2.75,2.25,C_on_extreme_reject
2011-06-09,2011,IS,3,1,2250.0,2247.35,2253.9750000000004,2.650000000000091,2247.35,-4.150000000000091,-1.5660377358490372,stop,False,8,4.0,0.75,C_on_extreme_reject
2011-07-11,2011,IS,0,1,2376.0,2372.175,2381.7374999999997,3.824999999999818,2372.175,-5.324999999999818,-1.3921568627451166,stop,False,11,5.25,0.5,C_on_extreme_reject
2011-07-25,2011,IS,0,-1,2416.5,2420.675,2410.2374999999997,4.175000000000182,2420.675,-5.675000000000182,-1.359281437125733,stop,False,7,5.25,0.25,C_on_extreme_reject
2011-08-01,2011,IS,0,1,2381.25,2378.6125,2385.2062499999997,2.637499999999818,2378.6125,-4.137499999999818,-1.5687203791469586,stop,False,3,4.5,1.0,C_on_extreme_reject
2011-08-08,2011,IS,0,1,2124.0,2114.975,2137.5375000000004,9.025000000000091,2114.975,-10.525000000000091,-1.166204986149583,stop,False,6,14.0,1.25,C_on_extreme_reject
2011-09-12,2011,IS,0,-1,2151.75,2158.975,2140.9125000000004,7.224999999999909,2158.975,-8.724999999999909,-1.2076124567474074,stop,False,5,9.0,1.75,C_on_extreme_reject
2011-09-26,2011,IS,0,1,2170.25,2158.6125,2187.7062499999997,11.637499999999818,2187.7062499999997,15.956249999999727,1.3711063372717487,target,False,43,8.0,17.5,C_on_extreme_reject
2011-10-10,2011,IS,0,-1,2235.25,2238.0375,2231.0687500000004,2.787499999999909,2238.0375,-4.287499999999909,-1.5381165919282687,stop,False,4,3.0,3.25,C_on_extreme_reject
2011-10-17,2011,IS,0,1,2350.75,2342.7875,2362.6937500000004,7.962500000000091,2350.5,-1.75,-0.21978021978021728,time,False,60,6.5,2.5,C_on_extreme_reject
2011-10-24,2011,IS,0,-1,2349.5,2353.0875,2344.1187499999996,3.587500000000091,2353.0875,-5.087500000000091,-1.4181184668989442,stop,False,5,5.0,0.75,C_on_extreme_reject
2012-01-03,2012,IS,1,-1,2323.75,2326.6875,2319.34375,2.9375,2326.6875,-4.4375,-1.5106382978723405,stop,False,21,3.0,3.75,C_on_extreme_reject
2012-01-30,2012,IS,0,1,2434.0,2431.625,2437.5625,2.375,2431.625,-3.875,-1.631578947368421,stop,False,1,3.0,0.25,C_on_extreme_reject
2012-02-13,2012,IS,0,1,2559.5,2557.1375,2563.0437500000003,2.362500000000182,2557.1375,-3.862500000000182,-1.634920634920586,stop,False,11,3.5,0.75,C_on_extreme_reject
2012-02-27,2012,IS,0,1,2587.0,2584.475,2590.7875000000004,2.525000000000091,2584.475,-4.025000000000091,-1.5940594059405726,stop,False,4,3.5,0.5,C_on_extreme_reject
2012-03-05,2012,IS,0,-1,2640.75,2643.0625,2637.28125,2.3125,2637.28125,1.96875,0.8513513513513513,target,False,13,1.5,4.75,C_on_extreme_reject
2012-04-02,2012,IS,0,1,2747.0,2740.8875,2756.1687500000003,6.112500000000182,2756.1687500000003,7.668750000000273,1.2546012269938724,target,False,27,1.0,9.25,C_on_extreme_reject
2012-05-14,2012,IS,0,1,2585.0,2581.1875,2590.71875,3.8125,2590.71875,4.21875,1.1065573770491803,target,False,6,0.75,5.75,C_on_extreme_reject
2012-06-11,2012,IS,0,1,2566.5,2560.7375,2575.1437499999997,5.762499999999818,2560.7375,-7.262499999999818,-1.260303687635583,stop,False,7,7.25,0.25,C_on_extreme_reject
2012-06-18,2012,IS,0,1,2552.5,2547.3,2560.2999999999997,5.199999999999818,2560.2999999999997,6.299999999999727,1.2115384615384515,target,False,4,0.5,10.0,C_on_extreme_reject
2012-07-02,2012,IS,0,-1,2617.0,2620.625,2611.5625,3.625,2611.5625,3.9375,1.0862068965517242,target,False,8,1.0,10.75,C_on_extreme_reject
2012-07-05,2012,IS,3,1,2632.75,2628.4125,2639.2562500000004,4.337500000000091,2628.4125,-5.837500000000091,-1.3458213256484077,stop,False,8,5.0,1.0,C_on_extreme_reject
2012-07-09,2012,IS,0,1,2598.25,2594.6625,2603.6312500000004,3.587500000000091,2594.6625,-5.087500000000091,-1.4181184668989442,stop,False,30,5.5,3.25,C_on_extreme_reject
2012-07-16,2012,IS,0,-1,2574.25,2577.8125,2568.90625,3.5625,2568.90625,3.84375,1.0789473684210527,target,False,10,3.25,6.0,C_on_extreme_reject
2012-08-22,2012,IS,2,1,2764.0,2761.75,2767.375,2.25,2761.75,-3.75,-1.6666666666666667,stop,False,3,2.75,1.75,C_on_extreme_reject
2012-08-29,2012,IS,2,-1,2787.75,2789.9375,2784.46875,2.1875,2784.46875,1.78125,0.8142857142857143,target,False,15,1.0,3.75,C_on_extreme_reject
2012-09-11,2012,IS,1,-1,2794.5,2798.125,2789.0625,3.625,2789.0625,3.9375,1.0862068965517242,target,False,12,3.0,5.5,C_on_extreme_reject
2012-09-13,2012,IS,3,-1,2795.75,2797.9,2792.5249999999996,2.150000000000091,2792.5249999999996,1.7250000000003638,0.8023255813954842,target,False,9,0.75,3.25,C_on_extreme_reject
2012-09-18,2012,IS,1,-1,2851.0,2854.0625,2846.40625,3.0625,2854.0625,-4.5625,-1.489795918367347,stop,False,7,3.25,2.5,C_on_extreme_reject
2012-09-20,2012,IS,3,1,2839.5,2837.425,2842.6124999999997,2.074999999999818,2842.6124999999997,1.6124999999997272,0.7771084337348764,target,False,6,1.75,4.0,C_on_extreme_reject
2012-09-21,2012,IS,4,-1,2871.0,2873.175,2867.7374999999997,2.175000000000182,2867.7374999999997,1.7625000000002728,0.8103448275862646,target,False,3,0.5,4.75,C_on_extreme_reject
2012-09-28,2012,IS,4,1,2801.75,2798.2625,2806.9812500000003,3.487500000000182,2798.2625,-4.987500000000182,-1.430107526881698,stop,False,1,3.5,0.25,C_on_extreme_reject
2012-10-01,2012,IS,0,-1,2810.0,2815.3,2802.0499999999997,5.300000000000182,2802.0499999999997,6.450000000000273,1.2169811320754813,target,False,20,0.75,9.5,C_on_extreme_reject
2012-10-02,2012,IS,1,-1,2803.75,2807.2,2798.5750000000003,3.449999999999818,2798.5750000000003,3.674999999999727,1.0652173913043248,target,False,3,0.25,10.5,C_on_extreme_reject
2012-10-03,2012,IS,2,-1,2803.0,2807.2625,2796.6062500000003,4.262499999999818,2796.6062500000003,4.893749999999727,1.1480938416422137,target,False,9,0.75,6.75,C_on_extreme_reject
2012-10-10,2012,IS,2,-1,2738.0,2740.7375,2733.8937499999997,2.737500000000182,2733.8937499999997,2.606250000000273,0.9520547945205844,target,False,3,0.5,5.0,C_on_extreme_reject
2012-10-15,2012,IS,0,1,2712.0,2708.475,2717.2875000000004,3.525000000000091,2708.475,-5.025000000000091,-1.425531914893606,stop,False,9,5.25,0.75,C_on_extreme_reject
2012-10-16,2012,IS,1,-1,2748.0,2750.175,2744.7374999999997,2.175000000000182,2750.175,-3.675000000000182,-1.6896551724137354,stop,False,37,3.5,2.5,C_on_extreme_reject
2012-10-18,2012,IS,3,1,2761.0,2754.3875,2770.9187500000003,6.612500000000182,2754.3875,-8.112500000000182,-1.2268431001890296,stop,False,32,7.0,6.75,C_on_extreme_reject
2012-10-22,2012,IS,0,-1,2682.0,2685.1375,2677.2937500000003,3.137499999999818,2685.1375,-4.637499999999818,-1.4780876494024182,stop,False,2,3.25,0.5,C_on_extreme_reject
2012-10-23,2012,IS,1,1,2657.5,2652.2875,2665.3187500000004,5.212500000000091,2652.2875,-6.712500000000091,-1.2877697841726568,stop,False,4,5.25,0.0,C_on_extreme_reject
2012-10-25,2012,IS,3,1,2660.75,2657.1125,2666.2062499999997,3.637499999999818,2666.2062499999997,3.956249999999727,1.087628865979361,target,False,3,0.75,5.75,C_on_extreme_reject
2012-10-31,2012,IS,2,1,2650.5,2646.5625,2656.40625,3.9375,2656.40625,4.40625,1.119047619047619,target,False,4,0.0,6.75,C_on_extreme_reject
2012-11-01,2012,IS,3,-1,2656.75,2660.5375,2651.0687500000004,3.787499999999909,2660.5375,-5.287499999999909,-1.3960396039604055,stop,False,18,4.5,3.25,C_on_extreme_reject
2012-11-02,2012,IS,4,1,2681.0,2677.0375,2686.9437500000004,3.962500000000091,2677.0375,-5.462500000000091,-1.3785488958990448,stop,False,30,4.25,4.5,C_on_extreme_reject
2012-11-09,2012,IS,4,-1,2582.5,2588.45,2573.5750000000003,5.949999999999818,2588.45,-7.449999999999818,-1.2521008403361422,stop,False,15,6.0,1.25,C_on_extreme_reject
2012-11-23,2012,IS,4,-1,2614.75,2617.525,2610.5874999999996,2.775000000000091,2617.525,-4.275000000000091,-1.5405405405405228,stop,False,12,4.0,3.0,C_on_extreme_reject
2012-11-28,2012,IS,2,1,2628.25,2624.625,2633.6875,3.625,2624.625,-5.125,-1.4137931034482758,stop,False,10,3.75,0.75,C_on_extreme_reject
2012-12-03,2012,IS,0,-1,2697.0,2700.05,2692.4249999999997,3.050000000000182,2692.4249999999997,3.075000000000273,1.0081967213115048,target,False,6,0.75,5.0,C_on_extreme_reject
2012-12-06,2012,IS,3,1,2631.0,2624.8625,2640.2062499999997,6.137499999999818,2640.2062499999997,7.706249999999727,1.255600814663944,target,False,8,0.5,9.25,C_on_extreme_reject
