condition,T_offset,horizon,split,n,n_unc,rate,dir_win,dir_n,raw_long_win,vol_unit_med,onr_R_med,mfe_first_long,mfe_first_long_n,unc_mfe_first_long,delta_mfe_first_long,mean_t_mfe_long,mean_t_mae_long,mfe_first_short,mfe_first_short_n,unc_mfe_first_short,delta_mfe_first_short,mean_t_mfe_short,mean_t_mae_short,mfe_first_dir,mfe_first_dir_n,unc_mfe_first_dir,delta_mfe_first_dir,mean_t_mfe_dir,mean_t_mae_dir,mean_mfe_dir_R,mean_mae_dir_R,mean_mfe_long_R,mean_mae_long_R,p0p5R_long,p0p5R_long_n,unc_p0p5R_long,delta_p0p5R_long,p0p5R_short,p0p5R_short_n,unc_p0p5R_short,delta_p0p5R_short,p0p5R_dir,p0p5R_dir_n,unc_p0p5R_dir,delta_p0p5R_dir,p0p5R_resolved,p0p5R_amb,p0p5onrR_long,p0p5onrR_long_n,unc_p0p5onrR_long,delta_p0p5onrR_long,p0p5onrR_short,p0p5onrR_short_n,unc_p0p5onrR_short,delta_p0p5onrR_short,p0p5onrR_dir,p0p5onrR_dir_n,unc_p0p5onrR_dir,delta_p0p5onrR_dir,p0p5onrR_resolved,p0p5onrR_amb,p1R_long,p1R_long_n,unc_p1R_long,delta_p1R_long,p1R_short,p1R_short_n,unc_p1R_short,delta_p1R_short,p1R_dir,p1R_dir_n,unc_p1R_dir,delta_p1R_dir,p1R_resolved,p1R_amb,p1onrR_long,p1onrR_long_n,unc_p1onrR_long,delta_p1onrR_long,p1onrR_short,p1onrR_short_n,unc_p1onrR_short,delta_p1onrR_short,p1onrR_dir,p1onrR_dir_n,unc_p1onrR_dir,delta_p1onrR_dir,p1onrR_resolved,p1onrR_amb
UNCONDITIONAL,5,5,IS,2414,2414,1.0,0.5314070351758794,2388,0.48011599005799505,5.416666666666667,7.59375,0.48811544991511036,2356,0.48811544991511036,0.0,2.8827671913835955,2.807787903893952,0.5118845500848896,2356,0.5118845500848896,0.0,2.807787903893952,2.8827671913835955,0.4723294723294723,2331,0.4723294723294723,0.0,2.9258793969849246,2.7646566164154103,1.0196566426724636,0.9798550181011111,0.9861852347484945,1.013542666493642,0.49628597957288767,2154,0.49628597957288767,0.0,0.5037140204271123,2154,0.5037140204271123,0.0,0.5089118198874296,2132,0.5089118198874296,0.0,0.8922949461474731,0.10231980115990058,0.4968246213971666,2047,0.4968246213971666,0.0,0.5031753786028335,2047,0.5031753786028335,0.0,0.5207305034550839,2026,0.5207305034550839,0.0,0.847970173985087,0.05343827671913836,0.49444150344097404,1889,0.49444150344097404,0.0,0.505558496559026,1889,0.505558496559026,0.0,0.5230439442658092,1866,0.5230439442658092,0.0,0.7825186412593206,0.0,0.4919484702093398,1242,0.4919484702093398,0.0,0.5080515297906603,1242,0.5080515297906603,0.0,0.48331977217249794,1229,0.48331977217249794,0.0,0.5144987572493787,0.00041425020712510354
UNCONDITIONAL,5,10,IS,2414,2414,1.0,0.5033500837520938,2388,0.5020712510356256,5.416666666666667,7.59375,0.4941860465116279,2408,0.4941860465116279,0.0,5.273405136702569,5.033554266777133,0.5058139534883721,2408,0.5058139534883721,0.0,5.033554266777133,5.273405136702569,0.4916036943744752,2382,0.4916036943744752,0.0,5.22571189279732,5.083752093802345,1.3742863031258483,1.341137507114693,1.338238663428229,1.3786792583401737,0.4928435114503817,2096,0.4928435114503817,0.0,0.5071564885496184,2096,0.5071564885496184,0.0,0.508678881388621,2074,0.508678881388621,0.0,0.8682684341342171,0.13131731565865784,0.49586776859504134,2178,0.49586776859504134,0.0,0.5041322314049587,2178,0.5041322314049587,0.0,0.5236768802228412,2154,0.5236768802228412,0.0,0.9022369511184756,0.06545153272576636,0.49514991181657847,2268,0.49514991181657847,0.0,0.5048500881834215,2268,0.5048500881834215,0.0,0.514489522960321,2243,0.514489522960321,0.0,0.9395194697597349,0.0012427506213753107,0.49568221070811747,1737,0.49568221070811747,0.0,0.5043177892918825,1737,0.5043177892918825,0.0,0.4968004653868528,1719,0.4968004653868528,0.0,0.7195526097763049,0.0016570008285004142
UNCONDITIONAL,5,15,IS,2414,2414,1.0,0.518425460636516,2388,0.503728251864126,5.416666666666667,7.59375,0.4952341483630336,2413,0.4952341483630336,0.0,7.553024026512014,7.376967688483845,0.5047658516369664,2413,0.5047658516369664,0.0,7.376967688483845,7.553024026512014,0.49266862170087977,2387,0.49266862170087977,0.0,7.552345058626465,7.377721943048576,1.6648784376721424,1.6333383778340913,1.610186674620452,1.688897378850637,0.49082125603864735,2070,0.49082125603864735,0.0,0.5091787439613527,2070,0.5091787439613527,0.0,0.5107421875,2048,0.5107421875,0.0,0.8574979287489644,0.14250207125103562,0.4929641398093509,2203,0.4929641398093509,0.0,0.5070358601906492,2203,0.5070358601906492,0.0,0.5236346948141349,2179,0.5236346948141349,0.0,0.9125932062966031,0.07290803645401822,0.49258160237388726,2359,0.49258160237388726,0.0,0.5074183976261127,2359,0.5074183976261127,0.0,0.5141388174807198,2334,0.5141388174807198,0.0,0.9772162386081193,0.002071251035625518,0.4972347913524384,1989,0.4972347913524384,0.0,0.5027652086475616,1989,0.5027652086475616,0.0,0.505589430894309,1968,0.505589430894309,0.0,0.823943661971831,0.0016570008285004142
UNCONDITIONAL,5,30,IS,2414,2414,1.0,0.5188442211055276,2388,0.5165700082850041,5.416666666666667,7.59375,0.4799005387484459,2413,0.4799005387484459,0.0,14.626760563380282,13.652029826014912,0.520099461251554,2413,0.520099461251554,0.0,13.652029826014912,14.626760563380282,0.4750733137829912,2387,0.4750733137829912,0.0,14.60217755443886,13.677973199329983,2.2709283906317586,2.1683780132264325,2.126557386471718,2.311116622835742,0.48838358872960946,2023,0.48838358872960946,0.0,0.5116164112703905,2023,0.5116164112703905,0.0,0.5132433783108445,2001,0.5132433783108445,0.0,0.8380281690140845,0.1619718309859155,0.49204906860517944,2201,0.49204906860517944,0.0,0.5079509313948205,2201,0.5079509313948205,0.0,0.5236564079007809,2177,0.5236564079007809,0.0,0.9117647058823529,0.08243579121789561,0.4910379324718633,2399,0.4910379324718633,0.0,0.5089620675281368,2399,0.5089620675281368,0.0,0.5124315212810788,2373,0.5124315212810788,0.0,0.9937862468931234,0.004971002485501243,0.4988753936122357,2223,0.4988753936122357,0.0,0.5011246063877642,2223,0.5011246063877642,0.0,0.49954586739327883,2202,0.49954586739327883,0.0,0.9208782104391052,0.004556752278376139
UNCONDITIONAL,5,5,Validation,774,774,1.0,0.4961139896373057,772,0.5155038759689923,22.0625,31.875,0.4639580602883355,763,0.4639580602883355,0.0,3.065891472868217,2.8824289405684755,0.5360419397116645,763,0.5360419397116645,0.0,2.8824289405684755,3.065891472868217,0.5006570302233903,761,0.5006570302233903,0.0,2.933937823834197,3.011658031088083,0.911010225396629,0.9416108425738333,0.9465329880404287,0.9056586307684156,0.5091164095371669,713,0.5091164095371669,0.0,0.4908835904628331,713,0.4908835904628331,0.0,0.5203938115330521,711,0.5203938115330521,0.0,0.9211886304909561,0.07364341085271318,0.5146831530139103,647,0.5146831530139103,0.0,0.4853168469860896,647,0.4853168469860896,0.0,0.5015479876160991,646,0.5015479876160991,0.0,0.8359173126614987,0.03488372093023256,0.5,578,0.5,0.0,0.5,578,0.5,0.0,0.4982638888888889,576,0.4982638888888889,0.0,0.7467700258397932,0.0,0.5402985074626866,335,0.5402985074626866,0.0,0.4597014925373134,335,0.4597014925373134,0.0,0.47761194029850745,335,0.47761194029850745,0.0,0.43281653746770027,0.0
UNCONDITIONAL,5,10,Validation,774,774,1.0,0.5116580310880829,772,0.5116279069767442,22.0625,31.875,0.4806201550387597,774,0.4806201550387597,0.0,5.580103359173127,5.246770025839793,0.5193798449612403,774,0.5193798449612403,0.0,5.246770025839793,5.580103359173127,0.5129533678756477,772,0.5129533678756477,0.0,5.316062176165803,5.5025906735751295,1.2860425503828488,1.3139227365900445,1.3272386389138457,1.2719845875727813,0.5159883720930233,688,0.5159883720930233,0.0,0.48401162790697677,688,0.48401162790697677,0.0,0.5189504373177842,686,0.5189504373177842,0.0,0.8888888888888888,0.1111111111111111,0.5057636887608069,694,0.5057636887608069,0.0,0.4942363112391931,694,0.4942363112391931,0.0,0.5043352601156069,692,0.5043352601156069,0.0,0.896640826873385,0.05426356589147287,0.5,728,0.5,0.0,0.5,728,0.5,0.0,0.5068870523415978,726,0.5068870523415978,0.0,0.9405684754521964,0.0,0.5428571428571428,525,0.5428571428571428,0.0,0.45714285714285713,525,0.45714285714285713,0.0,0.5123809523809524,525,0.5123809523809524,0.0,0.6782945736434108,0.0
UNCONDITIONAL,5,15,Validation,774,774,1.0,0.5207253886010362,772,0.4909560723514212,22.0625,31.875,0.5077519379844961,774,0.5077519379844961,0.0,7.7661498708010335,7.776485788113695,0.49224806201550386,774,0.49224806201550386,0.0,7.776485788113695,7.7661498708010335,0.47538860103626945,772,0.47538860103626945,0.0,7.924870466321243,7.61139896373057,1.566106622273041,1.5796301642137662,1.573808089927825,1.5730243575131706,0.5140740740740741,675,0.5140740740740741,0.0,0.48592592592592593,675,0.48592592592592593,0.0,0.5200594353640416,673,0.5200594353640416,0.0,0.872093023255814,0.12790697674418605,0.5007012622720898,713,0.5007012622720898,0.0,0.4992987377279102,713,0.4992987377279102,0.0,0.5035161744022504,711,0.5035161744022504,0.0,0.9211886304909561,0.06201550387596899,0.49605263157894736,760,0.49605263157894736,0.0,0.5039473684210526,760,0.5039473684210526,0.0,0.5118733509234829,758,0.5118733509234829,0.0,0.9819121447028424,0.0,0.540453074433657,618,0.540453074433657,0.0,0.459546925566343,618,0.459546925566343,0.0,0.5243506493506493,616,0.5243506493506493,0.0,0.7984496124031008,0.0
UNCONDITIONAL,5,30,Validation,774,774,1.0,0.5246113989637305,772,0.48320413436692505,22.0625,31.875,0.5109961190168176,773,0.5109961190168176,0.0,14.922480620155039,14.948320413436692,0.4890038809831824,773,0.4890038809831824,0.0,14.948320413436692,14.922480620155039,0.47341115434500647,771,0.47341115434500647,0.0,15.676165803108809,14.208549222797927,2.2102789821073454,2.1035767503296525,2.1156908676596986,2.1991388496515913,0.5091743119266054,654,0.5091743119266054,0.0,0.4908256880733945,654,0.4908256880733945,0.0,0.5245398773006135,652,0.5245398773006135,0.0,0.8449612403100775,0.15503875968992248,0.4971830985915493,710,0.4971830985915493,0.0,0.5028169014084507,710,0.5028169014084507,0.0,0.5084745762711864,708,0.5084745762711864,0.0,0.917312661498708,0.07364341085271318,0.49286640726329445,771,0.49286640726329445,0.0,0.5071335927367056,771,0.5071335927367056,0.0,0.5123537061118335,769,0.5123537061118335,0.0,0.9961240310077519,0.003875968992248062,0.5260930888575458,709,0.5260930888575458,0.0,0.47390691114245415,709,0.47390691114245415,0.0,0.5261669024045261,707,0.5261669024045261,0.0,0.9160206718346253,0.0012919896640826874
UNCONDITIONAL,5,5,OOS,412,412,1.0,0.5558252427184466,412,0.49029126213592233,32.395833333333336,46.65625,0.49385749385749383,407,0.49385749385749383,0.0,2.9805825242718447,2.9514563106796117,0.5061425061425061,407,0.5061425061425061,0.0,2.9514563106796117,2.9805825242718447,0.4520884520884521,407,0.4520884520884521,0.0,3.1140776699029127,2.8179611650485437,0.9650027182743846,0.8778560333067598,0.8845602964026754,0.9582984551784689,0.48314606741573035,356,0.48314606741573035,0.0,0.5168539325842697,356,0.5168539325842697,0.0,0.5224719101123596,356,0.5224719101123596,0.0,0.8640776699029126,0.12135922330097088,0.4752186588921283,343,0.4752186588921283,0.0,0.5247813411078717,343,0.5247813411078717,0.0,0.5510204081632653,343,0.5510204081632653,0.0,0.8325242718446602,0.043689320388349516,0.46938775510204084,294,0.46938775510204084,0.0,0.5306122448979592,294,0.5306122448979592,0.0,0.5612244897959183,294,0.5612244897959183,0.0,0.7135922330097088,0.0024271844660194173,0.42441860465116277,172,0.42441860465116277,0.0,0.5755813953488372,172,0.5755813953488372,0.0,0.5,172,0.5,0.0,0.4174757281553398,0.0
UNCONDITIONAL,5,10,OOS,412,412,1.0,0.5266990291262136,412,0.5072815533980582,32.395833333333336,46.65625,0.5072815533980582,412,0.5072815533980582,0.0,5.563106796116505,5.487864077669903,0.49271844660194175,412,0.49271844660194175,0.0,5.487864077669903,5.563106796116505,0.46359223300970875,412,0.46359223300970875,0.0,5.851941747572815,5.199029126213592,1.3817618448924285,1.2370251042088534,1.2395296441060506,1.379257304995232,0.47714285714285715,350,0.47714285714285715,0.0,0.5228571428571429,350,0.5228571428571429,0.0,0.5257142857142857,350,0.5257142857142857,0.0,0.8495145631067961,0.15048543689320387,0.47580645161290325,372,0.47580645161290325,0.0,0.5241935483870968,372,0.5241935483870968,0.0,0.5510752688172043,372,0.5510752688172043,0.0,0.9029126213592233,0.06310679611650485,0.47606382978723405,376,0.47606382978723405,0.0,0.523936170212766,376,0.523936170212766,0.0,0.550531914893617,376,0.550531914893617,0.0,0.912621359223301,0.007281553398058253,0.4581818181818182,275,0.4581818181818182,0.0,0.5418181818181819,275,0.5418181818181819,0.0,0.5127272727272727,275,0.5127272727272727,0.0,0.6674757281553398,0.0
