split,horizon,pre_bucket,n,med_pre_exc,p_resolve,med_post_max,med_share_pre
IS,15,high_pre,5025,1.7647058823529411,0.8577114427860697,0.4367816091954023,1.0
IS,15,low_pre,4891,0.7619047619047619,0.8987937027192803,0.45454545454545453,0.95
IS,15,mid_pre,4860,1.1504424778761062,0.8199588477366255,0.39547661640684895,1.0
Validation,15,high_pre,1392,1.7077363896848137,0.8469827586206896,0.42092235539343403,1.0
Validation,15,low_pre,1316,0.778723292836196,0.8806990881458967,0.4360338243316967,0.9263383629599008
Validation,15,mid_pre,1359,1.1405835543766578,0.8454746136865342,0.4146981627296588,1.0
OOS,15,high_pre,794,1.7991967871485943,0.8790931989924433,0.4458106983800715,1.0
OOS,15,low_pre,735,0.777511961722488,0.8489795918367347,0.4444444444444444,0.9201596806387226
OOS,15,mid_pre,729,1.1672597864768683,0.8381344307270233,0.40782122905027934,1.0
IS,30,high_pre,5025,1.7647058823529411,0.9607960199004976,0.6,0.9999999999999999
IS,30,low_pre,4891,0.7619047619047619,0.9744428542220405,0.6226415094339622,0.8333333333333334
IS,30,mid_pre,4860,1.1504424778761062,0.9446502057613169,0.5414755351681957,0.9776119402985075
Validation,30,high_pre,1392,1.7077363896848137,0.951867816091954,0.5602574203161663,0.9650474274216729
Validation,30,low_pre,1316,0.778723292836196,0.973404255319149,0.6194029850746269,0.820675105485232
Validation,30,mid_pre,1359,1.1405835543766578,0.9565857247976454,0.5864197530864198,0.9920760697305864
OOS,30,high_pre,794,1.7991967871485943,0.9622166246851386,0.5844018235566477,0.9794613463125482
OOS,30,low_pre,735,0.777511961722488,0.9482993197278912,0.5942028985507246,0.8129032258064516
OOS,30,mid_pre,729,1.1672597864768683,0.9492455418381345,0.5299806576402321,0.9686924493554327
