condition,regime,T_offset,horizon,frac,split,n,n_unc,rate,p_resolve,unc_p_resolve,delta,mean_t_resolve_if_hit,mean_max_exc_onr
UNCONDITIONAL,OTHER,5,10,0.15,IS,2414,2414,1.0,0.9345484672742337,0.9345484672742337,0.0,2.7734929078014185,0.4084953342961031
UNCONDITIONAL,OTHER,5,15,0.15,IS,2414,2414,1.0,0.9705882352941176,0.9705882352941176,0.0,3.1438326931284677,0.4946859665373461
UNCONDITIONAL,OTHER,5,20,0.15,IS,2414,2414,1.0,0.9842584921292461,0.9842584921292461,0.0,3.345959595959596,0.5522015373694514
UNCONDITIONAL,OTHER,5,30,0.15,IS,2414,2414,1.0,0.9904722452361227,0.9904722452361227,0.0,3.4734420744458387,0.6604607073258617
UNCONDITIONAL,OTHER,5,45,0.15,IS,2414,2414,1.0,0.9950289975144988,0.9950289975144988,0.0,3.631140716069942,0.7708375302183871
UNCONDITIONAL,OTHER,5,10,0.25,IS,2414,2414,1.0,0.7212096106048053,0.7212096106048053,0.0,4.273980470993682,0.4084953342961031
UNCONDITIONAL,OTHER,5,15,0.25,IS,2414,2414,1.0,0.8256006628003314,0.8256006628003314,0.0,5.359759157049674,0.4946859665373461
UNCONDITIONAL,OTHER,5,20,0.25,IS,2414,2414,1.0,0.8736536868268434,0.8736536868268434,0.0,6.035087719298246,0.5522015373694514
UNCONDITIONAL,OTHER,5,30,0.25,IS,2414,2414,1.0,0.9254349627174814,0.9254349627174814,0.0,7.087287376902418,0.6604607073258617
UNCONDITIONAL,OTHER,5,45,0.25,IS,2414,2414,1.0,0.9581607290803645,0.9581607290803645,0.0,8.125378296584522,0.7708375302183871
UNCONDITIONAL,OTHER,5,10,0.35,IS,2414,2414,1.0,0.49502899751449875,0.49502899751449875,0.0,5.090376569037657,0.4084953342961031
UNCONDITIONAL,OTHER,5,15,0.35,IS,2414,2414,1.0,0.6338028169014085,0.6338028169014085,0.0,6.817647058823529,0.4946859665373461
UNCONDITIONAL,OTHER,5,20,0.35,IS,2414,2414,1.0,0.7058823529411765,0.7058823529411765,0.0,7.948943661971831,0.5522015373694514
UNCONDITIONAL,OTHER,5,30,0.35,IS,2414,2414,1.0,0.8065451532725766,0.8065451532725766,0.0,10.116076014381099,0.6604607073258617
UNCONDITIONAL,OTHER,5,45,0.35,IS,2414,2414,1.0,0.8769676884838442,0.8769676884838442,0.0,12.293811998110534,0.7708375302183871
UNCONDITIONAL,OTHER,5,10,0.15,Validation,774,774,1.0,0.9186046511627907,0.9186046511627907,0.0,3.1012658227848102,0.36732486788916274
UNCONDITIONAL,OTHER,5,15,0.15,Validation,774,774,1.0,0.958656330749354,0.958656330749354,0.0,3.495956873315364,0.44593250992484884
UNCONDITIONAL,OTHER,5,20,0.15,Validation,774,774,1.0,0.9741602067183462,0.9741602067183462,0.0,3.720159151193634,0.49967278220673045
UNCONDITIONAL,OTHER,5,30,0.15,Validation,774,774,1.0,0.9883720930232558,0.9883720930232558,0.0,4.026143790849673,0.6140409933221962
UNCONDITIONAL,OTHER,5,45,0.15,Validation,774,774,1.0,0.9948320413436692,0.9948320413436692,0.0,4.246753246753247,0.7237668513027198
UNCONDITIONAL,OTHER,5,10,0.25,Validation,774,774,1.0,0.6782945736434108,0.6782945736434108,0.0,4.91047619047619,0.36732486788916274
UNCONDITIONAL,OTHER,5,15,0.25,Validation,774,774,1.0,0.7984496124031008,0.7984496124031008,0.0,6.0954692556634305,0.44593250992484884
UNCONDITIONAL,OTHER,5,20,0.25,Validation,774,774,1.0,0.851421188630491,0.851421188630491,0.0,6.828528072837633,0.49967278220673045
UNCONDITIONAL,OTHER,5,30,0.25,Validation,774,774,1.0,0.917312661498708,0.917312661498708,0.0,8.130985915492957,0.6140409933221962
UNCONDITIONAL,OTHER,5,45,0.25,Validation,774,774,1.0,0.9560723514211886,0.9560723514211886,0.0,9.254054054054054,0.7237668513027198
UNCONDITIONAL,OTHER,5,10,0.35,Validation,774,774,1.0,0.4573643410852713,0.4573643410852713,0.0,5.918079096045198,0.36732486788916274
UNCONDITIONAL,OTHER,5,15,0.35,Validation,774,774,1.0,0.5981912144702842,0.5981912144702842,0.0,7.552915766738661,0.44593250992484884
UNCONDITIONAL,OTHER,5,20,0.35,Validation,774,774,1.0,0.6576227390180879,0.6576227390180879,0.0,8.475442043222005,0.49967278220673045
UNCONDITIONAL,OTHER,5,30,0.35,Validation,774,774,1.0,0.7816537467700259,0.7816537467700259,0.0,11.07603305785124,0.6140409933221962
UNCONDITIONAL,OTHER,5,45,0.35,Validation,774,774,1.0,0.8604651162790697,0.8604651162790697,0.0,13.503003003003004,0.7237668513027198
UNCONDITIONAL,OTHER,5,10,0.15,OOS,412,412,1.0,0.9296116504854369,0.9296116504854369,0.0,3.1383812010443863,0.3689926175145248
UNCONDITIONAL,OTHER,5,15,0.15,OOS,412,412,1.0,0.9660194174757282,0.9660194174757282,0.0,3.507537688442211,0.46111622683329867
