mechanism,T_offset,horizon,split,n,win,mean,rate,delta_vs_50,n_base,delta_vs_long
UNCOND_LONG,0,5,IS,2402,0.5166527893422148,0.3998751040799334,1.0,0.016652789342214813,,
follow_1,0,5,IS,2342,0.5085397096498719,0.31009820666097354,0.9750208159866778,0.00853970964987194,2402.0,-0.008113079692342873
fade_1,0,5,IS,2342,0.4735269000853971,-0.31009820666097354,0.9750208159866778,-0.026473099914602893,2402.0,-0.04312588925681771
follow_1_ext,0,5,IS,817,0.5140758873929009,0.32527539779681763,0.3401332223147377,0.014075887392900888,2402.0,-0.0025769019493139256
fade_1_ext,0,5,IS,817,0.4675642594859241,-0.32527539779681763,0.3401332223147377,-0.032435740514075884,2402.0,-0.0490885298562907
UNCOND_LONG,0,15,IS,2402,0.5262281432139884,0.6433180682764363,1.0,0.026228143213988364,,
follow_1,0,15,IS,2342,0.502134927412468,0.18947480785653287,0.9750208159866778,0.002134927412468013,2402.0,-0.02409321580152035
fade_1,0,15,IS,2342,0.48761742100768574,-0.18947480785653287,0.9750208159866778,-0.012382578992314264,2402.0,-0.03861072220630263
follow_1_ext,0,15,IS,817,0.5299877600979193,-0.05507955936352509,0.3401332223147377,0.029987760097919258,2402.0,0.003759616883930894
fade_1_ext,0,15,IS,817,0.46511627906976744,0.05507955936352509,0.3401332223147377,-0.034883720930232565,2402.0,-0.06111186414422093
UNCOND_LONG,0,30,IS,2402,0.5270607826810991,0.9730432972522898,1.0,0.027060782681099127,,
follow_1,0,30,IS,2342,0.5098206660973527,-0.0807002561912895,0.9750208159866778,0.00982066609735266,2402.0,-0.017240116583746468
fade_1,0,30,IS,2342,0.484201537147737,0.0807002561912895,0.9750208159866778,-0.015798462852262996,2402.0,-0.04285924553336212
follow_1_ext,0,30,IS,817,0.5226438188494492,0.4718482252141983,0.3401332223147377,0.022643818849449215,2402.0,-0.004416963831649912
fade_1_ext,0,30,IS,817,0.47123623011015914,-0.4718482252141983,0.3401332223147377,-0.028763769889840862,2402.0,-0.05582455257093999
UNCOND_LONG,0,60,IS,2402,0.5278934221482098,1.210970024979184,1.0,0.02789342214820978,,
follow_1,0,60,IS,2342,0.5217762596071733,0.517933390264731,0.9750208159866778,0.02177625960717333,2402.0,-0.006117162541036447
fade_1,0,60,IS,2342,0.4705380017079419,-0.517933390264731,0.9750208159866778,-0.02946199829205809,2402.0,-0.05735542044026787
follow_1_ext,0,60,IS,817,0.5324357405140759,1.208078335373317,0.3401332223147377,0.03243574051407594,2402.0,0.00454231836586616
fade_1_ext,0,60,IS,817,0.4602203182374541,-1.208078335373317,0.3401332223147377,-0.039779681762545926,2402.0,-0.0676731039107557
UNCOND_LONG,0,5,Validation,774,0.4883720930232558,-2.1214470284237725,1.0,-0.011627906976744207,,
follow_1,0,5,Validation,770,0.5038961038961038,-0.14805194805194805,0.9948320413436692,0.003896103896103842,774.0,0.015524010872848049
fade_1,0,5,Validation,770,0.4922077922077922,0.14805194805194805,0.9948320413436692,-0.007792207792207795,774.0,0.003835699184536412
follow_1_ext,0,5,Validation,274,0.5291970802919708,1.1788321167883211,0.35400516795865633,0.029197080291970767,774.0,0.040824987268714974
fade_1_ext,0,5,Validation,274,0.46715328467153283,-1.1788321167883211,0.35400516795865633,-0.03284671532846717,774.0,-0.021218808351722962
UNCOND_LONG,0,15,Validation,774,0.5012919896640827,-1.4622093023255813,1.0,0.0012919896640827266,,
follow_1,0,15,Validation,770,0.509090909090909,-0.6743506493506494,0.9948320413436692,0.009090909090909038,774.0,0.007798919426826312
fade_1,0,15,Validation,770,0.4883116883116883,0.6743506493506494,0.9948320413436692,-0.011688311688311692,774.0,-0.012980301352394419
follow_1_ext,0,15,Validation,274,0.49635036496350365,-1.5291970802919708,0.35400516795865633,-0.003649635036496346,774.0,-0.0049416247005790725
fade_1_ext,0,15,Validation,274,0.5,1.5291970802919708,0.35400516795865633,0.0,774.0,-0.0012919896640827266
UNCOND_LONG,0,30,Validation,774,0.4909560723514212,-2.005813953488372,1.0,-0.009043927648578809,,
follow_1,0,30,Validation,770,0.512987012987013,0.16363636363636364,0.9948320413436692,0.012987012987012991,774.0,0.0220309406355918
fade_1,0,30,Validation,770,0.4831168831168831,-0.16363636363636364,0.9948320413436692,-0.01688311688311689,774.0,-0.00783918923453808
follow_1_ext,0,30,Validation,274,0.5583941605839416,2.9552919708029197,0.35400516795865633,0.058394160583941646,774.0,0.06743808823252045
fade_1_ext,0,30,Validation,274,0.43795620437956206,-2.9552919708029197,0.35400516795865633,-0.062043795620437936,774.0,-0.05299986797185913
UNCOND_LONG,0,60,Validation,774,0.4883720930232558,-2.69702842377261,1.0,-0.011627906976744207,,
follow_1,0,60,Validation,770,0.5298701298701298,3.4022727272727273,0.9948320413436692,0.029870129870129825,774.0,0.04149803684687403
fade_1,0,60,Validation,770,0.4688311688311688,-3.4022727272727273,0.9948320413436692,-0.03116883116883118,774.0,-0.019540924192086973
follow_1_ext,0,60,Validation,274,0.5474452554744526,7.189781021897811,0.35400516795865633,0.04744525547445255,774.0,0.05907316245119676
fade_1_ext,0,60,Validation,274,0.45255474452554745,-7.189781021897811,0.35400516795865633,-0.04744525547445255,774.0,-0.035817348497708346
UNCOND_LONG,0,5,OOS,412,0.4854368932038835,1.774878640776699,1.0,-0.014563106796116498,,
follow_1,0,5,OOS,410,0.5073170731707317,-2.9408536585365854,0.9951456310679612,0.007317073170731714,412.0,0.021880179966848212
fade_1,0,5,OOS,410,0.4902439024390244,2.9408536585365854,0.9951456310679612,-0.009756097560975618,412.0,0.00480700923514088
follow_1_ext,0,5,OOS,182,0.510989010989011,-5.406593406593407,0.441747572815534,0.01098901098901095,412.0,0.02555211778512745
fade_1_ext,0,5,OOS,182,0.489010989010989,5.406593406593407,0.441747572815534,-0.010989010989011005,412.0,0.003574095807105493
UNCOND_LONG,0,15,OOS,412,0.5048543689320388,0.9963592233009708,1.0,0.004854368932038833,,
follow_1,0,15,OOS,410,0.5024390243902439,1.771341463414634,0.9951456310679612,0.0024390243902439046,412.0,-0.002415344541794928
fade_1,0,15,OOS,410,0.4975609756097561,-1.771341463414634,0.9951456310679612,-0.0024390243902439046,412.0,-0.007293393322282737
follow_1_ext,0,15,OOS,182,0.532967032967033,2.133241758241758,0.441747572815534,0.03296703296703296,412.0,0.028112664034994128
fade_1_ext,0,15,OOS,182,0.46703296703296704,-2.133241758241758,0.441747572815534,-0.03296703296703296,412.0,-0.037821401899071794
UNCOND_LONG,0,30,OOS,412,0.5461165048543689,1.820995145631068,1.0,0.04611650485436891,,
follow_1,0,30,OOS,410,0.5560975609756098,7.738414634146341,0.9951456310679612,0.056097560975609806,412.0,0.009981056121240894
fade_1,0,30,OOS,410,0.44390243902439025,-7.738414634146341,0.9951456310679612,-0.05609756097560975,412.0,-0.10221406582997866
follow_1_ext,0,30,OOS,182,0.5714285714285714,16.63598901098901,0.441747572815534,0.0714285714285714,412.0,0.025312066574202485
fade_1_ext,0,30,OOS,182,0.42857142857142855,-16.63598901098901,0.441747572815534,-0.07142857142857145,412.0,-0.11754507628294036
UNCOND_LONG,0,60,OOS,412,0.5266990291262136,2.891990291262136,1.0,0.02669902912621358,,
follow_1,0,60,OOS,410,0.5390243902439025,4.390853658536585,0.9951456310679612,0.039024390243902474,412.0,0.012325361117688893
