mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_mfe,mean_mae,mfe_gt_mae,n_high,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long,follow_win,follow_mean,long_win
HIGH_ALONE_LONG,10,10,IS,820,1.0,0.5048780487804878,-0.12134146341463414,0.25,9.13079268292683,9.039939024390243,0.5048780487804878,,,,,,,
HIGH_ALONE_FOLLOW,10,10,IS,813,0.9914634146341463,0.4612546125461255,-1.052890528905289,-0.75,9.175584255842558,9.074723247232471,0.5043050430504306,,,,,,,
HIGH_ALONE_LONG,10,15,IS,820,1.0,0.5146341463414634,0.4524390243902439,0.5,10.670731707317072,11.071646341463415,0.5024390243902439,,,,,,,
HIGH_ALONE_FOLLOW,10,15,IS,813,0.9914634146341463,0.4907749077490775,-1.0685731857318572,0.0,10.72539975399754,11.1190036900369,0.5018450184501845,,,,,,,
HIGH_ALONE_LONG,10,30,IS,820,1.0,0.5134146341463415,0.5804878048780487,0.5,14.892378048780488,15.134756097560976,0.49390243902439024,,,,,,,
HIGH_ALONE_FOLLOW,10,30,IS,813,0.9914634146341463,0.5104551045510455,-0.29612546125461253,0.5,14.972632226322263,15.205412054120542,0.4932349323493235,,,,,,,
HIGH_ALONE_LONG,10,10,Validation,201,1.0,0.4577114427860697,-3.870646766169154,-2.75,25.861940298507463,31.0273631840796,0.4427860696517413,,,,,,,
HIGH_ALONE_FOLLOW,10,10,Validation,201,1.0,0.5771144278606966,2.300995024875622,4.75,25.861940298507463,31.0273631840796,0.4427860696517413,,,,,,,
HIGH_ALONE_LONG,10,15,Validation,201,1.0,0.47761194029850745,-2.6965174129353233,-1.25,31.00497512437811,36.014925373134325,0.43781094527363185,,,,,,,
HIGH_ALONE_FOLLOW,10,15,Validation,201,1.0,0.5771144278606966,4.791044776119403,8.0,31.00497512437811,36.014925373134325,0.43781094527363185,,,,,,,
HIGH_ALONE_LONG,10,30,Validation,201,1.0,0.47761194029850745,-8.109452736318408,-6.25,42.00373134328358,53.30223880597015,0.4577114427860697,,,,,,,
HIGH_ALONE_FOLLOW,10,30,Validation,201,1.0,0.5472636815920398,6.029850746268656,7.25,42.00373134328358,53.30223880597015,0.4577114427860697,,,,,,,
HIGH_ALONE_LONG,10,10,OOS,108,1.0,0.5555555555555556,-5.342592592592593,4.25,39.254629629629626,48.6087962962963,0.5277777777777778,,,,,,,
HIGH_ALONE_FOLLOW,10,10,OOS,108,1.0,0.5370370370370371,7.481481481481482,4.125,39.254629629629626,48.6087962962963,0.5277777777777778,,,,,,,
HIGH_ALONE_LONG,10,15,OOS,108,1.0,0.5185185185185185,-12.199074074074074,3.25,47.629629629629626,60.861111111111114,0.5277777777777778,,,,,,,
HIGH_ALONE_FOLLOW,10,15,OOS,108,1.0,0.5370370370370371,11.050925925925926,5.0,47.629629629629626,60.861111111111114,0.5277777777777778,,,,,,,
HIGH_ALONE_LONG,10,30,OOS,108,1.0,0.5277777777777778,-16.04398148148148,2.375,60.99768518518518,88.33796296296296,0.5185185185185185,,,,,,,
HIGH_ALONE_FOLLOW,10,30,OOS,108,1.0,0.5462962962962963,14.590277777777779,7.75,60.99768518518518,88.33796296296296,0.5185185185185185,,,,,,,
HIGH_ALONE_LONG,10,10,ALL,1129,1.0,0.5013286093888397,-1.2883082373782109,0.25,14.991142604074403,16.739592559787422,0.49601417183348095,,,,,,,
HIGH_ALONE_FOLLOW,10,10,ALL,1122,0.9937998228520815,0.4893048128342246,0.3694295900178253,-0.25,15.060160427807487,16.81283422459893,0.49554367201426025,,,,,,,
HIGH_ALONE_LONG,10,15,ALL,1129,1.0,0.508414526129318,-1.3184233835252437,0.5,17.82639503985828,20.275243578387954,0.4933569530558016,,,,,,,
HIGH_ALONE_FOLLOW,10,15,ALL,1122,0.9937998228520815,0.5106951871657754,1.1477272727272727,0.5,17.910650623885918,20.36697860962567,0.4928698752228164,,,,,,,
HIGH_ALONE_LONG,10,30,ALL,1129,1.0,0.508414526129318,-2.5569087688219665,0.5,24.12953941541187,28.932462356067315,0.48981399468556247,,,,,,,
HIGH_ALONE_FOLLOW,10,30,ALL,1122,0.9937998228520815,0.5204991087344029,2.270053475935829,1.25,24.245320855614974,29.069741532976828,0.4893048128342246,,,,,,,
HIGH_ALONE_LONG,15,10,IS,821,1.0,0.48112058465286234,-0.015225334957369063,-0.25,7.856577344701583,8.816991473812424,0.46528623629719856,,,,,,,
HIGH_ALONE_FOLLOW,15,10,IS,820,0.9987819732034104,0.5073170731707317,0.5033536585365853,0.25,7.864939024390244,8.821951219512195,0.4658536585365854,,,,,,,
HIGH_ALONE_LONG,15,15,IS,821,1.0,0.5030450669914738,0.20828258221680876,0.25,9.788672350791717,10.598964677222899,0.4823386114494519,,,,,,,
HIGH_ALONE_FOLLOW,15,15,IS,820,0.9987819732034104,0.5134146341463415,0.6530487804878049,0.5,9.799390243902439,10.603658536585366,0.48292682926829267,,,,,,,
HIGH_ALONE_LONG,15,30,IS,821,1.0,0.5042630937880633,-0.16991473812423874,0.25,13.46163215590743,14.93483556638246,0.46772228989037756,,,,,,,
HIGH_ALONE_FOLLOW,15,30,IS,820,0.9987819732034104,0.5304878048780488,1.2746951219512195,1.0,13.476829268292683,14.94298780487805,0.4682926829268293,,,,,,,
HIGH_ALONE_LONG,15,10,Validation,222,1.0,0.536036036036036,3.1328828828828827,2.75,27.542792792792792,27.091216216216218,0.46846846846846846,,,,,,,
HIGH_ALONE_FOLLOW,15,10,Validation,222,1.0,0.5045045045045045,0.9932432432432432,0.75,27.542792792792792,27.091216216216218,0.46846846846846846,,,,,,,
HIGH_ALONE_LONG,15,15,Validation,222,1.0,0.5225225225225225,2.5664414414414414,1.875,34.70495495495496,32.960585585585584,0.5180180180180181,,,,,,,
HIGH_ALONE_FOLLOW,15,15,Validation,222,1.0,0.536036036036036,1.3164414414414414,3.125,34.70495495495496,32.960585585585584,0.5180180180180181,,,,,,,
