mechanism,T_offset,horizon,split,n,win,mean,rate,n_high,follow_win,delta_win_vs_follow,delta_mean_vs_follow
HIGH_ALONE_FOLLOW,15,10,IS,820,0.5073170731707317,0.5033536585365853,0.9987819732034104,,,,
HIGH_ALONE_LONG,15,10,IS,821,0.48112058465286234,-0.015225334957369063,1.0,,,,
align_1_5,15,10,IS,559,0.5008944543828264,-0.11404293381037567,0.6808769792935444,821.0,0.5073170731707317,-0.006422618787905288,-0.617396592346961
align_1_5_15,15,10,IS,381,0.5065616797900262,0.45603674540682415,0.464068209500609,821.0,0.5073170731707317,-0.0007553933807055158,-0.04731691312976116
align_5_15,15,10,IS,540,0.5092592592592593,0.325,0.6577344701583435,821.0,0.5073170731707317,0.0019421860885275866,-0.1783536585365853
accel_with_med,15,10,IS,387,0.5064599483204134,0.05103359173126615,0.4713763702801462,821.0,0.5073170731707317,-0.0008571248503183027,-0.45232006680531917
rev_short_vs_med,15,10,IS,323,0.5108359133126935,0.9620743034055728,0.3934226552984166,821.0,0.5073170731707317,0.0035188401419617987,0.45872064486898745
disagree_follow_short,15,10,IS,323,0.47058823529411764,-0.9620743034055728,0.3934226552984166,821.0,0.5073170731707317,-0.03672883787661407,-1.465427961942158
follow_5,15,10,IS,812,0.5073891625615764,-0.06927339901477833,0.9890377588306942,821.0,0.5073170731707317,7.208939084468735e-05,-0.5726270575513637
follow_15,15,10,IS,821,0.5042630937880633,0.5115712545676004,1.0,821.0,0.5073170731707317,-0.0030539793826683814,0.008217596031015129
HIGH_ALONE_FOLLOW,15,15,IS,820,0.5134146341463415,0.6530487804878049,0.9987819732034104,,,,
HIGH_ALONE_LONG,15,15,IS,821,0.5030450669914738,0.20828258221680876,1.0,,,,
align_1_5,15,15,IS,559,0.481216457960644,-0.6440071556350626,0.6808769792935444,821.0,0.5134146341463415,-0.03219817618569748,-1.2970559361228675
align_1_5_15,15,15,IS,381,0.5039370078740157,0.2263779527559055,0.464068209500609,821.0,0.5134146341463415,-0.009477626272325734,-0.4266708277318994
align_5_15,15,15,IS,540,0.5166666666666667,0.2912037037037037,0.6577344701583435,821.0,0.5134146341463415,0.003252032520325243,-0.3618450767841012
accel_with_med,15,15,IS,387,0.49870801033591733,-0.774547803617571,0.4713763702801462,821.0,0.5134146341463415,-0.014706623810424146,-1.427596584105376
rev_short_vs_med,15,15,IS,323,0.5572755417956656,1.7507739938080495,0.3934226552984166,821.0,0.5134146341463415,0.043860907649324155,1.0977252133202446
disagree_follow_short,15,15,IS,323,0.42724458204334365,-1.7507739938080495,0.3934226552984166,821.0,0.5134146341463415,-0.08617005210299783,-2.4038227742958544
follow_5,15,15,IS,812,0.5024630541871922,-0.10498768472906404,0.9890377588306942,821.0,0.5134146341463415,-0.010951579959149305,-0.758036465216869
follow_15,15,15,IS,821,0.5176613885505481,0.5097442143727162,1.0,821.0,0.5134146341463415,0.004246754404206632,-0.14330456611508868
HIGH_ALONE_FOLLOW,15,30,IS,820,0.5304878048780488,1.2746951219512195,0.9987819732034104,,,,
HIGH_ALONE_LONG,15,30,IS,821,0.5042630937880633,-0.16991473812423874,1.0,,,,
align_1_5,15,30,IS,559,0.4919499105545617,-1.1820214669051878,0.6808769792935444,821.0,0.5304878048780488,-0.03853789432348709,-2.4567165888564073
align_1_5_15,15,30,IS,381,0.5118110236220472,0.04330708661417323,0.464068209500609,821.0,0.5304878048780488,-0.018676781256001584,-1.2313880353370463
align_5_15,15,30,IS,540,0.512962962962963,0.1361111111111111,0.6577344701583435,821.0,0.5304878048780488,-0.017524841915085854,-1.1385840108401084
accel_with_med,15,30,IS,387,0.524547803617571,-0.35723514211886304,0.4713763702801462,821.0,0.5304878048780488,-0.0059400012604777785,-1.6319302640700826
rev_short_vs_med,15,30,IS,323,0.5356037151702786,2.3575851393188856,0.3934226552984166,821.0,0.5304878048780488,0.005115910292229797,1.082890017367666
disagree_follow_short,15,30,IS,323,0.4520123839009288,-2.3575851393188856,0.3934226552984166,821.0,0.5304878048780488,-0.07847542097712001,-3.632280261270105
follow_5,15,30,IS,812,0.49507389162561577,-0.5705049261083743,0.9890377588306942,821.0,0.5304878048780488,-0.03541391325243304,-1.8452000480595938
follow_15,15,30,IS,821,0.5225334957369062,0.7807551766138855,1.0,821.0,0.5304878048780488,-0.00795430914114259,-0.493939945337334
HIGH_ALONE_FOLLOW,15,10,Validation,222,0.5045045045045045,0.9932432432432432,1.0,,,,
HIGH_ALONE_LONG,15,10,Validation,222,0.536036036036036,3.1328828828828827,1.0,,,,
align_1_5,15,10,Validation,144,0.4513888888888889,-2.3003472222222223,0.6486486486486487,222.0,0.5045045045045045,-0.05311561561561556,-3.2935904654654653
align_1_5_15,15,10,Validation,103,0.4563106796116505,-3.1650485436893203,0.46396396396396394,222.0,0.5045045045045045,-0.048193824892853954,-4.158291786932564
align_5_15,15,10,Validation,159,0.4779874213836478,-1.1556603773584906,0.7162162162162162,222.0,0.5045045045045045,-0.026517083120856655,-2.148903620601734
accel_with_med,15,10,Validation,102,0.49019607843137253,0.7009803921568627,0.4594594594594595,222.0,0.5045045045045045,-0.01430842607313193,-0.2922628510863805
rev_short_vs_med,15,10,Validation,96,0.53125,1.4140625,0.43243243243243246,222.0,0.5045045045045045,0.02674549549549554,0.4208192567567568
disagree_follow_short,15,10,Validation,96,0.46875,-1.4140625,0.43243243243243246,222.0,0.5045045045045045,-0.03575450450450446,-2.407305743243243
follow_5,15,10,Validation,221,0.4660633484162896,-1.5429864253393666,0.9954954954954955,222.0,0.5045045045045045,-0.038441156088214856,-2.53622966858261
follow_15,15,10,Validation,222,0.5045045045045045,0.15765765765765766,1.0,222.0,0.5045045045045045,0.0,-0.8355855855855856
HIGH_ALONE_FOLLOW,15,15,Validation,222,0.536036036036036,1.3164414414414414,1.0,,,,
HIGH_ALONE_LONG,15,15,Validation,222,0.5225225225225225,2.5664414414414414,1.0,,,,
align_1_5,15,15,Validation,144,0.5,-0.9427083333333334,0.6486486486486487,222.0,0.536036036036036,-0.036036036036036,-2.259149774774775
align_1_5_15,15,15,Validation,103,0.5048543689320388,-1.3300970873786409,0.46396396396396394,222.0,0.536036036036036,-0.031181667103997168,-2.6465385288200824
align_5_15,15,15,Validation,159,0.5220125786163522,-0.6226415094339622,0.7162162162162162,222.0,0.536036036036036,-0.014023457419683805,-1.9390829508754037
accel_with_med,15,15,Validation,102,0.5196078431372549,1.6102941176470589,0.4594594594594595,222.0,0.536036036036036,-0.016428192898781058,0.2938526762056175
rev_short_vs_med,15,15,Validation,96,0.53125,0.3489583333333333,0.43243243243243246,222.0,0.536036036036036,-0.004786036036036001,-0.9674831081081081
disagree_follow_short,15,15,Validation,96,0.46875,-0.3489583333333333,0.43243243243243246,222.0,0.536036036036036,-0.067286036036036,-1.6653997747747746
follow_5,15,15,Validation,221,0.5158371040723982,-0.6470588235294118,0.9954954954954955,222.0,0.536036036036036,-0.020198931963637756,-1.963500264970853
follow_15,15,15,Validation,222,0.5180180180180181,0.1204954954954955,1.0,222.0,0.536036036036036,-0.018018018018017945,-1.1959459459459458
HIGH_ALONE_FOLLOW,15,30,Validation,222,0.5,1.4087837837837838,1.0,,,,
HIGH_ALONE_LONG,15,30,Validation,222,0.5585585585585585,1.0326576576576576,1.0,,,,
align_1_5,15,30,Validation,144,0.4722222222222222,-1.0017361111111112,0.6486486486486487,222.0,0.5,-0.02777777777777779,-2.410519894894895
align_1_5_15,15,30,Validation,103,0.47572815533980584,0.3155339805825243,0.46396396396396394,222.0,0.5,-0.024271844660194164,-1.0932498032012594
align_5_15,15,30,Validation,159,0.48427672955974843,-1.3773584905660377,0.7162162162162162,222.0,0.5,-0.01572327044025157,-2.7861422743498214
accel_with_med,15,30,Validation,102,0.5294117647058824,7.522058823529412,0.4594594594594595,222.0,0.5,0.02941176470588236,6.113275039745629
rev_short_vs_med,15,30,Validation,96,0.5208333333333334,-0.6302083333333334,0.43243243243243246,222.0,0.5,0.02083333333333337,-2.0389921171171173
disagree_follow_short,15,30,Validation,96,0.4791666666666667,0.6302083333333334,0.43243243243243246,222.0,0.5,-0.020833333333333315,-0.7785754504504504
follow_5,15,30,Validation,221,0.4796380090497738,-3.3450226244343892,0.9954954954954955,222.0,0.5,-0.020361990950226228,-4.753806408218173
follow_15,15,30,Validation,222,0.5,1.9493243243243243,1.0,222.0,0.5,0.0,0.5405405405405406
HIGH_ALONE_FOLLOW,15,10,OOS,120,0.525,0.9,1.0,,,,
HIGH_ALONE_LONG,15,10,OOS,120,0.425,-10.5625,1.0,,,,
align_1_5,15,10,OOS,91,0.5274725274725275,4.93956043956044,0.7583333333333333,120.0,0.525,0.0024725274725274637,4.039560439560439
align_1_5_15,15,10,OOS,75,0.5333333333333333,2.6733333333333333,0.625,120.0,0.525,0.008333333333333304,1.7733333333333334
align_5_15,15,10,OOS,100,0.55,6.46,0.8333333333333334,120.0,0.525,0.025000000000000022,5.56
accel_with_med,15,10,OOS,65,0.5692307692307692,6.7153846153846155,0.5416666666666666,120.0,0.525,0.044230769230769185,5.815384615384615
rev_short_vs_med,15,10,OOS,41,0.5609756097560976,4.7926829268292686,0.3416666666666667,120.0,0.525,0.03597560975609759,3.8926829268292686
disagree_follow_short,15,10,OOS,41,0.43902439024390244,-4.7926829268292686,0.3416666666666667,120.0,0.525,-0.08597560975609758,-5.692682926829269
follow_5,15,10,OOS,120,0.5416666666666666,7.491666666666666,1.0,120.0,0.525,0.016666666666666607,6.591666666666666
follow_15,15,10,OOS,120,0.5416666666666666,3.275,1.0,120.0,0.525,0.016666666666666607,2.375
HIGH_ALONE_FOLLOW,15,15,OOS,120,0.55,8.75625,1.0,,,,
HIGH_ALONE_LONG,15,15,OOS,120,0.43333333333333335,-22.635416666666668,1.0,,,,
align_1_5,15,15,OOS,91,0.5274725274725275,7.263736263736264,0.7583333333333333,120.0,0.55,-0.02252747252747256,-1.492513736263736
align_1_5_15,15,15,OOS,75,0.56,7.783333333333333,0.625,120.0,0.55,0.010000000000000009,-0.9729166666666664
align_5_15,15,15,OOS,100,0.56,15.315,0.8333333333333334,120.0,0.55,0.010000000000000009,6.55875
accel_with_med,15,15,OOS,65,0.6,10.738461538461538,0.5416666666666666,120.0,0.55,0.04999999999999993,1.982211538461538
rev_short_vs_med,15,15,OOS,41,0.5853658536585366,21.23170731707317,0.3416666666666667,120.0,0.55,0.035365853658536506,12.47545731707317
disagree_follow_short,15,15,OOS,41,0.4146341463414634,-21.23170731707317,0.3416666666666667,120.0,0.55,-0.13536585365853665,-29.987957317073167
follow_5,15,15,OOS,120,0.5333333333333333,14.18125,1.0,120.0,0.55,-0.01666666666666672,5.425000000000001
follow_15,15,15,OOS,120,0.5666666666666667,11.34375,1.0,120.0,0.55,0.016666666666666607,2.5875000000000004
HIGH_ALONE_FOLLOW,15,30,OOS,120,0.5083333333333333,9.460416666666667,1.0,,,,
HIGH_ALONE_LONG,15,30,OOS,120,0.425,-22.84375,1.0,,,,
align_1_5,15,30,OOS,91,0.5384615384615384,4.5576923076923075,0.7583333333333333,120.0,0.5083333333333333,0.030128205128205132,-4.90272435897436
align_1_5_15,15,30,OOS,75,0.5333333333333333,5.876666666666667,0.625,120.0,0.5083333333333333,0.025000000000000022,-3.58375
