mechanism,T_offset,horizon,split,n,win,mean,rate,n_high,follow_win,delta_win_vs_follow,delta_mean_vs_follow,delta_win_vs_long
HIGH_ALONE_FOLLOW,10,10,IS,813,0.4612546125461255,-1.052890528905289,0.9914634146341463,,,,,
HIGH_ALONE_LONG,10,10,IS,820,0.5048780487804878,-0.12134146341463414,1.0,,,,,
tod_high_vol_follow,10,10,IS,294,0.4931972789115646,-0.4107142857142857,0.35853658536585364,820.0,0.4612546125461255,0.03194266636543913,0.6421762431910033,-0.011680769868923191
tod_low_vol_follow,10,10,IS,268,0.44029850746268656,-1.208955223880597,0.32682926829268294,820.0,0.4612546125461255,-0.020956105083438925,-0.15606469497530795,-0.06457954131780125
vol_pct_high_follow,10,10,IS,294,0.4931972789115646,-0.4107142857142857,0.35853658536585364,820.0,0.4612546125461255,0.03194266636543913,0.6421762431910033,-0.011680769868923191
vol_pct_low_follow,10,10,IS,268,0.44029850746268656,-1.208955223880597,0.32682926829268294,820.0,0.4612546125461255,-0.020956105083438925,-0.15606469497530795,-0.06457954131780125
vol_accel_follow,10,10,IS,279,0.4910394265232975,0.1478494623655914,0.3402439024390244,820.0,0.4612546125461255,0.02978481397717203,1.2007399912708805,-0.013838622257190292
vol_decel_follow,10,10,IS,266,0.4398496240601504,-1.525375939849624,0.32439024390243903,820.0,0.4612546125461255,-0.021404988485975107,-0.47248541094433505,-0.06502842472033743
heavy_vol_follow,10,10,IS,264,0.42803030303030304,-0.17613636363636365,0.32195121951219513,820.0,0.4612546125461255,-0.03322430951582245,0.8767541652689254,-0.07684774575018477
thin_vol_follow,10,10,IS,279,0.5125448028673835,-1.6272401433691757,0.3402439024390244,820.0,0.4612546125461255,0.05129019032125798,-0.5743496144638867,0.007666754086895655
hivol_impulse,10,10,IS,294,0.4931972789115646,-0.4107142857142857,0.35853658536585364,820.0,0.4612546125461255,0.03194266636543913,0.6421762431910033,-0.011680769868923191
lovol_move,10,10,IS,268,0.44029850746268656,-1.208955223880597,0.32682926829268294,820.0,0.4612546125461255,-0.020956105083438925,-0.15606469497530795,-0.06457954131780125
vol_exp_dir,10,10,IS,279,0.4910394265232975,0.1478494623655914,0.3402439024390244,820.0,0.4612546125461255,0.02978481397717203,1.2007399912708805,-0.013838622257190292
vol_exp_efficient,10,10,IS,99,0.47474747474747475,-0.4722222222222222,0.12073170731707317,820.0,0.4612546125461255,0.013492862201349265,0.5806683066830668,-0.030130574033013058
hivol_efficient,10,10,IS,96,0.5104166666666666,1.4817708333333333,0.11707317073170732,820.0,0.4612546125461255,0.04916205412054114,2.534661362238622,0.0055386178861788204
HIGH_ALONE_FOLLOW,10,15,IS,813,0.4907749077490775,-1.0685731857318572,0.9914634146341463,,,,,
HIGH_ALONE_LONG,10,15,IS,820,0.5146341463414634,0.4524390243902439,1.0,,,,,
tod_high_vol_follow,10,15,IS,294,0.4965986394557823,-1.1156462585034013,0.35853658536585364,820.0,0.4907749077490775,0.0058237317067048044,-0.047073072771544044,-0.01803550688568112
tod_low_vol_follow,10,15,IS,268,0.48507462686567165,-0.4337686567164179,0.32682926829268294,820.0,0.4907749077490775,-0.0057002808834058505,0.6348045290154394,-0.029559519475791773
vol_pct_high_follow,10,15,IS,294,0.4965986394557823,-1.1156462585034013,0.35853658536585364,820.0,0.4907749077490775,0.0058237317067048044,-0.047073072771544044,-0.01803550688568112
vol_pct_low_follow,10,15,IS,268,0.48507462686567165,-0.4337686567164179,0.32682926829268294,820.0,0.4907749077490775,-0.0057002808834058505,0.6348045290154394,-0.029559519475791773
vol_accel_follow,10,15,IS,279,0.5053763440860215,-0.5206093189964157,0.3402439024390244,820.0,0.4907749077490775,0.014601436336943996,0.5479638667354415,-0.009257802255441927
vol_decel_follow,10,15,IS,266,0.4924812030075188,-0.6917293233082706,0.32439024390243903,820.0,0.4907749077490775,0.0017062952584412927,0.3768438624235866,-0.02215294333394463
heavy_vol_follow,10,15,IS,264,0.4583333333333333,-0.5151515151515151,0.32195121951219513,820.0,0.4907749077490775,-0.03244157441574419,0.5534216705803421,-0.05630081300813011
thin_vol_follow,10,15,IS,279,0.5448028673835126,-1.3772401433691757,0.3402439024390244,820.0,0.4907749077490775,0.054027959634435074,-0.30866695763731844,0.03016872104204915
hivol_impulse,10,15,IS,294,0.4965986394557823,-1.1156462585034013,0.35853658536585364,820.0,0.4907749077490775,0.0058237317067048044,-0.047073072771544044,-0.01803550688568112
lovol_move,10,15,IS,268,0.48507462686567165,-0.4337686567164179,0.32682926829268294,820.0,0.4907749077490775,-0.0057002808834058505,0.6348045290154394,-0.029559519475791773
