mechanism,T_offset,horizon,split,n,rate,win,mean,median,mean_z,mfe_gt_mae,p_hit_plus_first,delta_win_vs_unc,delta_win_vs_50,n_base,mean_mfe,mean_mae,unc_win,unc_mean,delta_mean_vs_unc
UNCOND_LONG,0,5,IS,2352,1.0,0.5195578231292517,0.44834183673469385,0.5,0.06975477416901976,0.5055272108843537,0.513646288209607,0.0,0.019557823129251695,,,,,,
gex_follow,0,5,IS,784,0.3333333333333333,0.5089285714285714,0.7480867346938775,0.75,0.09658564989588943,0.5153061224489796,0.5146579804560261,-0.010629251700680298,0.008928571428571397,2352.0,14.590561224489797,14.130420918367347,0.5195578231292517,0.44834183673469385,0.2997448979591837
gex_fade,0,5,IS,784,0.3333333333333333,0.48086734693877553,-0.7480867346938775,-0.75,-0.09658564989588943,0.47831632653061223,0.48534201954397393,-0.038690476190476164,-0.01913265306122447,2352.0,14.130420918367347,14.590561224489797,0.5195578231292517,0.44834183673469385,-1.1964285714285714
pc_follow,0,5,IS,462,0.19642857142857142,0.49134199134199136,-1.2121212121212122,0.0,0.03836057354063496,0.4653679653679654,0.465564738292011,-0.028215831787260337,-0.008658008658008642,2352.0,11.527056277056277,13.483766233766234,0.5195578231292517,0.44834183673469385,-1.660463048855906
pc_fade,0,5,IS,462,0.19642857142857142,0.48917748917748916,1.2121212121212122,0.0,-0.03836057354063496,0.525974025974026,0.5344352617079889,-0.03038033395176254,-0.010822510822510845,2352.0,13.483766233766234,11.527056277056277,0.5195578231292517,0.44834183673469385,0.7637793753865183
putz_follow,0,5,IS,270,0.11479591836734694,0.5259259259259259,0.16296296296296298,0.75,0.05866056177499245,0.5,0.5357142857142857,0.006368102796674213,0.025925925925925908,2352.0,10.74074074074074,10.97037037037037,0.5195578231292517,0.44834183673469385,-0.2853788737717309
putz_fade,0,5,IS,270,0.11479591836734694,0.4703703703703704,-0.16296296296296298,-0.75,-0.05866056177499245,0.48518518518518516,0.4642857142857143,-0.04918745275888131,-0.029629629629629617,2352.0,10.97037037037037,10.74074074074074,0.5195578231292517,0.44834183673469385,-0.6113047996976568
UNCOND_LONG,0,10,IS,2352,1.0,0.51828231292517,0.062181122448979595,0.75,0.06423036740428138,0.5063775510204082,0.5114539504441328,0.0,0.01828231292517002,,,,,,
gex_follow,0,10,IS,784,0.3333333333333333,0.5318877551020408,2.4129464285714284,2.0,0.12067127986923172,0.5293367346938775,0.5188284518828452,0.013605442176870763,0.03188775510204078,2352.0,20.54815051020408,18.730867346938776,0.51828231292517,0.062181122448979595,2.3507653061224487
gex_fade,0,10,IS,784,0.3333333333333333,0.4630102040816326,-2.4129464285714284,-2.0,-0.12067127986923172,0.46938775510204084,0.4811715481171548,-0.05527210884353739,-0.036989795918367374,2352.0,18.730867346938776,20.54815051020408,0.51828231292517,0.062181122448979595,-2.475127551020408
pc_follow,0,10,IS,462,0.19642857142857142,0.47619047619047616,-0.7597402597402597,-0.75,-0.08221421026121836,0.49134199134199136,0.47596153846153844,-0.042091836734693855,-0.023809523809523836,2352.0,16.254329004329005,17.7245670995671,0.51828231292517,0.062181122448979595,-0.8219213821892393
