split,horizon,sample,b_n,b_win,b_mean,b_mean_onr,b_median_onr,b_mfe_gt_mae,b_p_struct,b_p_hit1R,r_n,r_win,r_mean,r_mean_onr,r_median_onr,r_mfe_gt_mae,r_p_struct,r_p_hit1R,n_paired,blind_win,blind_mean_onr,blind_mfe_gt_mae,blind_p_struct,blind_p_hit1R,react_win,react_mean_onr,react_mfe_gt_mae,react_p_struct,react_p_hit1R,lift_win,lift_mean_onr,lift_struct,trigger_rate,med_wait,frac_same_dir,frac_flip
IS,10,blind_all,1374.0,0.48253275109170307,-0.2933042212518195,-0.004615944701718504,-0.008855799373040752,0.487627365356623,0.504424778761062,0.5054602184087363,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,10,reactive_trig,,,,,,,,,1378.0,0.46081277213352684,-0.05914368650217707,-0.005146921153187448,-0.027402402402402402,0.4876632801161103,0.49183303085299457,0.4877663772691397,,,,,,,,,,,,,,,,,,
IS,10,paired,,,,,,,,,,,,,,,,,1373.0,0.48215586307356156,-0.004636821643374808,0.48725418790968683,0.504424778761062,0.5054602184087363,0.46030589949016754,-0.005961218027713188,0.4879825200291333,0.49225159525979945,0.48811410459587956,-0.021849963583394028,-0.0013243963843383808,-0.012173183501262508,0.9992748368382887,2.0,0.5032774945375091,0.4967225054624909
IS,15,blind_all,1374.0,0.48398835516739447,-0.5118267831149927,-0.0033201918286717537,-0.006928443420378905,0.4861717612809316,0.5012145748987854,0.505019305019305,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,15,reactive_trig,,,,,,,,,1378.0,0.4949201741654572,0.1761611030478955,0.0025107948034565637,0.0,0.4898403483309144,0.48641975308641977,0.4872192099147947,,,,,,,,,,,,,,,,,,
IS,15,paired,,,,,,,,,,,,,,,,,1373.0,0.48434085943190097,-0.0032554691943608985,0.4857975236707939,0.5012145748987854,0.505019305019305,0.4945375091041515,0.0017486920265549326,0.48943918426802624,0.48677685950413224,0.48755832037325036,0.010196649672250535,0.005004161220915831,-0.014437715394653161,0.9992748368382887,2.0,0.5032774945375091,0.4967225054624909
IS,30,blind_all,1374.0,0.50509461426492,0.0611353711790393,0.02386257380396202,0.012751786874593891,0.5029112081513828,0.5030165912518854,0.5081458494957332,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,30,reactive_trig,,,,,,,,,1378.0,0.5094339622641509,0.5524310595065312,0.006544073716048653,0.021462785556374354,0.49927431059506533,0.49213483146067416,0.48835403726708076,,,,,,,,,,,,,,,,,,
IS,30,paired,,,,,,,,,,,,,,,,,1373.0,0.5054624908958485,0.023913524101247304,0.5025491624180627,0.5030165912518854,0.5081458494957332,0.5083758193736344,0.004949430664183092,0.4989075018208303,0.4924812030075188,0.4886983632112237,0.0029133284777859147,-0.018964093437064213,-0.010535388244366561,0.9992748368382887,2.0,0.5032774945375091,0.4967225054624909
IS,45,blind_all,1374.0,0.5043668122270742,0.18013100436681223,0.033616697504258795,0.014718068816429473,0.49708879184861715,0.501861504095309,0.5093312597200622,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,45,reactive_trig,,,,,,,,,1378.0,0.49927431059506533,0.39332365747460085,0.009727254380432402,0.0,0.4985486211901306,0.492603550295858,0.48755832037325036,,,,,,,,,,,,,,,,,,
IS,45,paired,,,,,,,,,,,,,,,,,1373.0,0.5040058266569556,0.033568202454515646,0.4967225054624909,0.501861504095309,0.5089494163424124,0.4981791697013838,0.007921877729180161,0.49745083758193737,0.4929472902746845,0.4879000780640125,-0.005826656955571774,-0.025646324725335484,-0.008914213820624572,0.9992748368382887,2.0,0.5032774945375091,0.4967225054624909
IS,60,blind_all,1374.0,0.5007278020378457,0.9101164483260553,0.04989793731012212,0.004604754183490711,0.5021834061135371,0.5029498525073747,0.5093457943925234,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,60,reactive_trig,,,,,,,,,1378.0,0.5058055152394775,0.5845428156748912,0.018304851514896244,0.014190821256038648,0.4941944847605225,0.49448123620309054,0.4883177570093458,,,,,,,,,,,,,,,,,,
IS,60,paired,,,,,,,,,,,,,,,,,1373.0,0.5003641660597232,0.049846704576216934,0.5018208302986161,0.5029498525073747,0.5089633671083398,0.5061908230152949,0.017981204984924087,0.49308084486525855,0.4948301329394387,0.48866301798279904,0.0058266569555717185,-0.03186549959129285,-0.008119719567935946,0.9992748368382887,2.0,0.5032774945375091,0.4967225054624909
