split,horizon,regime,n,med_pts,mean_pts,p25_pts,p75_pts,p90_pts,med_onr,mean_onr,p_struct,p_cover_tight,p_cover_mid,p_cover_wide
IS,5,HIGH,14772,5.5,8.616504197129705,3.25,10.25,18.25,0.2558139534883721,0.29956395866207924,0.5213918223666396,1.0,0.9978337395071757,0.9346060113728676
IS,5,LOW,14246,6.5,10.48455706865085,3.5,13.25,24.0,0.13256468190678716,0.15427730091578934,0.13063316018531518,0.9983855117225888,0.987364874350695,0.9208198792643549
IS,10,HIGH,14772,7.75,11.994956674790144,4.5,14.25,25.5,0.35555555555555557,0.4170767941352845,0.7564310858380721,1.0,1.0,0.9827376116978067
IS,10,LOW,14246,9.0,14.64509335953952,5.0,18.75,33.75,0.1867587079836857,0.21618038908864198,0.3012775515934297,0.9994384388600309,0.9942439983153166,0.9679208198792644
IS,15,HIGH,14772,9.25,14.533627809369076,5.5,17.5,30.5,0.42956536469677165,0.5042282297315595,0.8591253723260222,1.0,1.0,0.9932304359599242
IS,15,LOW,14246,11.25,17.688316018531516,6.0,22.5,40.5,0.2258913118726203,0.26191218605208005,0.43057700407131827,0.9997894145725116,0.9962796574477046,0.9807665309560578
IS,30,HIGH,14772,12.75,20.008698889791496,7.5,23.75,42.5,0.5882352941176471,0.6900102581529127,0.9600595721635526,1.0,1.0,0.9987137828323855
IS,30,LOW,14246,15.25,24.31528148252141,8.25,31.0,55.75,0.31121593291404615,0.3611538111477153,0.6582198511862979,1.0,0.9992278534325425,0.9918573634704478
IS,60,HIGH,14772,17.25,27.102541971297047,10.0,32.5,57.97499999999991,0.7931034482758621,0.9261106572447428,0.9916734362307067,1.0,1.0,0.9995938261575954
IS,60,LOW,14246,20.75,32.77253264074126,11.0,41.5,74.5,0.4172750688338218,0.486713737497055,0.8348308297065843,1.0,0.9999298048575038,0.9968412185876737
Validation,5,HIGH,4067,23.5,27.590668797639538,16.0,34.75,49.10000000000002,0.24882629107981222,0.28813199534983475,0.4966805999508237,1.0,1.0,1.0
Validation,5,LOW,5238,23.25,27.238545246277205,15.5,34.5,49.0,0.13703954972611687,0.15825561303988453,0.14012982054219167,1.0,1.0,0.9980908743795341
Validation,10,HIGH,4067,33.25,38.65539709859848,22.75,48.25,68.25,0.35526315789473684,0.40196830301069986,0.7523973444799607,1.0,1.0,1.0
Validation,10,LOW,5238,32.75,37.87805460099275,22.25,48.25,67.25,0.19329010142869935,0.2207935829219092,0.317487590683467,1.0,1.0,0.9998090874379534
Validation,15,HIGH,4067,40.5,46.87472338332923,27.75,58.75,82.25,0.42565597667638483,0.48717211431664087,0.8573887386279813,1.0,1.0,1.0
Validation,15,LOW,5238,40.0,45.78503245513555,27.0,58.5,81.25,0.23205342237061768,0.2673136895976887,0.4499809087437953,1.0,1.0,1.0
Validation,30,HIGH,4067,55.0,64.40134005409392,38.25,80.5,115.0,0.5890804597701149,0.6663851500298514,0.9604130808950087,1.0,1.0,1.0
Validation,30,LOW,5238,54.5,62.44811951126384,37.0,79.25,110.25,0.31987940392050385,0.3658270685982795,0.677930507827415,1.0,1.0,1.0
Validation,60,HIGH,4067,72.75,84.53411605606098,50.5,107.0,150.60000000000002,0.7816901408450704,0.8728731323040556,0.9921317924760266,1.0,1.0,1.0
Validation,60,LOW,5238,70.75,82.41375525009546,48.75,104.75,146.82500000000005,0.4201881268479332,0.4826870178647531,0.8381061473844978,1.0,1.0,1.0
OOS,5,HIGH,2258,34.75,43.00487156775908,22.25,53.75,79.32499999999999,0.26375034375859396,0.301273364486384,0.5367581930912312,1.0,1.0,1.0
OOS,5,LOW,2687,34.25,41.39030517305545,21.625,53.875,77.0,0.13242453748782862,0.15360881502222287,0.12058057312988463,1.0,1.0,0.9996278377372534
OOS,10,HIGH,2258,46.875,59.76361824623561,31.25,74.9375,110.89999999999998,0.3571025020177563,0.4184289692699716,0.7550930026572188,1.0,1.0,1.0
OOS,10,LOW,2687,48.25,57.283866765909934,30.25,75.125,106.10000000000002,0.1836212412028151,0.21302025694010165,0.28693710457759586,1.0,1.0,1.0
OOS,15,HIGH,2258,57.75,72.48472099202834,37.25,90.1875,131.39999999999998,0.4313539060328051,0.5057020572190566,0.8560673162090345,1.0,1.0,1.0
OOS,15,LOW,2687,58.5,69.24953479717156,35.75,91.0,125.10000000000002,0.22412509307520476,0.25765213396078773,0.41272794938593227,1.0,1.0,1.0
OOS,30,HIGH,2258,77.75,97.85208148804251,49.25,123.75,183.89999999999998,0.5709878236068451,0.6821891209770262,0.9534986713906112,1.0,1.0,1.0
OOS,30,LOW,2687,78.0,94.94278005210272,49.75,123.625,171.75,0.30497237569060776,0.3521496690540402,0.6337923334573874,1.0,1.0,1.0
OOS,60,HIGH,2258,100.875,126.71844552701506,65.0,158.1875,236.25,0.7578653473367474,0.8873771114030802,0.9858281665190434,1.0,1.0,1.0
OOS,60,LOW,2687,105.75,126.07954968366208,64.5,160.75,226.95000000000005,0.4026128266033254,0.4670530051065702,0.8135467063639747,1.0,1.0,1.0
