split,horizon,lift_med_pts,lift_med_onr,lift_p_struct,HIGH_med_pts,LOW_med_pts,HIGH_med_onr,LOW_med_onr,HIGH_p_struct,LOW_p_struct,HIGH_p_cover_tight,HIGH_p_cover_mid,HIGH_p_cover_wide,LOW_p_cover_tight,LOW_p_cover_mid,LOW_p_cover_wide,lift_p_cover_tight,lift_p_cover_mid,lift_p_cover_wide
IS,5,-1.0,0.12324927158158494,0.39075866218132443,5.5,6.5,0.2558139534883721,0.13256468190678716,0.5213918223666396,0.13063316018531518,1.0,0.9978337395071757,0.9346060113728676,0.9983855117225888,0.987364874350695,0.9208198792643549,0.0016144882774111746,0.010468865156480711,0.01378613210851265
IS,10,-1.25,0.16879684757186986,0.45515353424464233,7.75,9.0,0.35555555555555557,0.1867587079836857,0.7564310858380721,0.3012775515934297,1.0,1.0,0.9827376116978067,0.9994384388600309,0.9942439983153166,0.9679208198792644,0.0005615611399690801,0.005756001684683376,0.01481679181854234
IS,15,-2.0,0.20367405282415135,0.4285483682547039,9.25,11.25,0.42956536469677165,0.2258913118726203,0.8591253723260222,0.43057700407131827,1.0,1.0,0.9932304359599242,0.9997894145725116,0.9962796574477046,0.9807665309560578,0.0002105854274884189,0.0037203425522953637,0.012463905003866405
IS,30,-2.5,0.27701936120360093,0.30183972097725476,12.75,15.25,0.5882352941176471,0.31121593291404615,0.9600595721635526,0.6582198511862979,1.0,1.0,0.9987137828323855,1.0,0.9992278534325425,0.9918573634704478,0.0,0.000772146567457499,0.0068564193619377045
IS,60,-3.5,0.3758283794420403,0.1568426065241224,17.25,20.75,0.7931034482758621,0.4172750688338218,0.9916734362307067,0.8348308297065843,1.0,1.0,0.9995938261575954,1.0,0.9999298048575038,0.9968412185876737,0.0,7.019514249617664e-05,0.0027526075699216834
Validation,5,0.25,0.11178674135369535,0.356550779408632,23.5,23.25,0.24882629107981222,0.13703954972611687,0.4966805999508237,0.14012982054219167,1.0,1.0,1.0,1.0,1.0,0.9980908743795341,0.0,0.0,0.0019091256204658569
Validation,10,0.5,0.1619730564660375,0.43490975379649366,33.25,32.75,0.35526315789473684,0.19329010142869935,0.7523973444799607,0.317487590683467,1.0,1.0,1.0,1.0,1.0,0.9998090874379534,0.0,0.0,0.000190912562046619
Validation,15,0.5,0.19360255430576714,0.40740782988418595,40.5,40.0,0.42565597667638483,0.23205342237061768,0.8573887386279813,0.4499809087437953,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Validation,30,0.5,0.26920105584961107,0.2824825730675936,55.0,54.5,0.5890804597701149,0.31987940392050385,0.9604130808950087,0.677930507827415,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Validation,60,2.0,0.36150201399713716,0.15402564509152872,72.75,70.75,0.7816901408450704,0.4201881268479332,0.9921317924760266,0.8381061473844978,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
OOS,5,0.5,0.13132580627076534,0.41617761996134656,34.75,34.25,0.26375034375859396,0.13242453748782862,0.5367581930912312,0.12058057312988463,1.0,1.0,1.0,1.0,1.0,0.9996278377372534,0.0,0.0,0.00037216226274661146
OOS,10,-1.375,0.1734812608149412,0.46815589807962293,46.875,48.25,0.3571025020177563,0.1836212412028151,0.7550930026572188,0.28693710457759586,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
OOS,15,-0.75,0.20722881295760034,0.44333936682310227,57.75,58.5,0.4313539060328051,0.22412509307520476,0.8560673162090345,0.41272794938593227,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
OOS,30,-0.25,0.2660154479162373,0.3197063379332238,77.75,78.0,0.5709878236068451,0.30497237569060776,0.9534986713906112,0.6337923334573874,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
OOS,60,-4.875,0.35525252073342195,0.17228146015506862,100.875,105.75,0.7578653473367474,0.4026128266033254,0.9858281665190434,0.8135467063639747,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
