session,condition,T_offset,horizon,frac,IS_n,IS_p,IS_delta,IS_already,IS_share_pre,Validation_n,Validation_p,Validation_delta,Validation_already,Validation_share_pre,OOS_n,OOS_p,OOS_delta,OOS_already,OOS_share_pre,y2025,y2025_n,y2026,y2026_n,y2025_delta,y2026_delta,regime,tier,score
ASIA,fast_and_expanded,180,45,0.25,497,0.4949698189134809,0.23414164185493735,1.0,0.03707979760216555,133,0.3007518796992481,0.17672087194731012,1.0,0.03108612499340544,156,0.5384615384615384,0.2245929253228523,1.0,0.02941896898245184,0.45,80,0.631578947368421,76,0.2234375,0.17351443123938876,HIGH,strong,0.23414164185493735
ASIA,high_local_vol,30,45,0.25,725,0.48137931034482756,0.22422304568035079,0.33379310344827584,0.05075336582057884,134,0.39552238805970147,0.2895792356049211,0.5,0.02785418296950347,171,0.5380116959064327,0.24674955998410264,0.47368421052631576,0.02302067980454665,0.5454545454545454,88,0.5301204819277109,83,0.2730810045985143,0.20753983676642057,HIGH,strong,0.22422304568035079
ASIA,high_local_vol,15,45,0.25,742,0.4582210242587601,0.21497778101551684,0.31266846361185985,0.046451677737901285,159,0.4339622641509434,0.30605528740675736,0.4591194968553459,0.023957432252302766,192,0.5729166666666666,0.2549555016181229,0.3802083333333333,0.02335139083453459,0.580952380952381,105,0.5632183908045977,87,0.30468778951269226,0.1761216166110493,HIGH,strong,0.21497778101551684
ASIA,fast_and_expanded,120,45,0.25,513,0.5009746588693957,0.2138954959940545,0.8654970760233918,0.03784663642150989,134,0.40298507462686567,0.2066026456862972,0.9552238805970149,0.022729227264546306,151,0.6158940397350994,0.22269015623995375,0.9271523178807947,0.021968195697553625,0.4880952380952381,84,0.7761194029850746,67,0.19237539373726142,0.22128069330765532,HIGH,strong,0.2138954959940545
ASIA,vol_expansion_high,180,45,0.25,715,0.4727272727272727,0.21189909566872916,0.7132867132867133,0.038143058515698366,169,0.3076923076923077,0.18366129994036973,0.8047337278106509,0.028426162287865268,198,0.5303030303030303,0.21643441716434414,0.7929292929292929,0.02787517270343901,0.4326923076923077,104,0.6382978723404256,94,0.2061298076923077,0.1802333562113933,HIGH,strong,0.21189909566872916
ASIA,strong_and_persistent,120,45,0.25,362,0.4889502762430939,0.20187111336775265,0.7624309392265194,0.024915087898320462,194,0.31443298969072164,0.11805056075015316,0.7628865979381443,0.02016658408261976,196,0.49489795918367346,0.10169407568852784,0.8010204081632653,0.022891650023145887,0.3805309734513274,113,0.6506024096385542,83,0.08481112909335076,0.09576369996113487,HIGH,strong,0.20187111336775265
ASIA,fast_and_expanded,90,45,0.25,423,0.475177304964539,0.1972419674716292,0.8486997635933806,0.03359605261349307,128,0.4453125,0.279937822997416,0.875,0.020411137801990317,153,0.5751633986928104,0.19166825306174246,0.8758169934640523,0.020853786502963136,0.4634146341463415,82,0.704225352112676,71,0.15213058745373448,0.20099954566106315,HIGH,strong,0.1972419674716292
ASIA,fast_and_expanded,180,30,0.25,497,0.3561368209255533,0.19668893896458237,1.0,0.046757290795623414,133,0.23308270676691728,0.15168735792970797,1.0,0.03655636999130268,156,0.38461538461538464,0.15347183230394912,1.0,0.03595442937458918,0.3375,80,0.4342105263157895,76,0.17343750000000002,0.09227504244482176,HIGH,strong,0.19668893896458237
ASIA,high_local_vol,30,30,0.25,725,0.3724137931034483,0.19644007184582277,0.33379310344827584,0.06572831578969507,134,0.27611940298507465,0.2102279301168576,0.5,0.036937115845819615,171,0.391812865497076,0.19278373928348377,0.47368421052631576,0.029818903573561092,0.375,88,0.40963855421686746,83,0.19990272373540857,0.17092887679751262,HIGH,strong,0.19644007184582277
ASIA,fast_and_expanded,15,45,0.25,532,0.43609022556390975,0.1928469823206665,0.47368421052631576,0.04317334192244575,166,0.39759036144578314,0.2696833847015971,0.4759036144578313,0.023903993651760127,158,0.5506329113924051,0.2326717463438614,0.4873417721518987,0.022089272409943548,0.5591397849462365,93,0.5384615384615384,65,0.2828751935065478,0.15136476426799006,HIGH,strong,0.1928469823206665
ASIA,vol_expansion_high,90,45,0.25,600,0.4666666666666667,0.18873132917375685,0.5983333333333334,0.033713637001188276,171,0.4152046783625731,0.2498300013599891,0.6549707602339181,0.02064694743712947,202,0.5742574257425742,0.19076228011150625,0.6633663366336634,0.021748243510382556,0.45132743362831856,113,0.7303370786516854,89,0.14004338693571156,0.22711127220007254,HIGH,strong,0.18873132917375685
ASIA,fast_and_expanded,120,30,0.25,513,0.3937621832358674,0.18630085475543065,0.8654970760233918,0.04473637629703525,134,0.30597014925373134,0.17547919318137992,0.9552238805970149,0.026957874187830817,151,0.5364238410596026,0.23059859834115604,0.9271523178807947,0.025712836092692072,0.40476190476190477,84,0.7014925373134329,67,0.19075412266073746,0.2434280211844006,HIGH,strong,0.18630085475543065
ASIA,vol_expansion_high,120,45,0.25,747,0.4725568942436412,0.18547773136829998,0.5943775100401606,0.04596966161370591,173,0.4046242774566474,0.20824184851607894,0.7398843930635838,0.022217863761499528,194,0.6082474226804123,0.2150435391852667,0.7216494845360825,0.021573453178595013,0.4528301886792453,106,0.7954545454545454,88,0.15711034432126864,0.24061583577712609,HIGH,strong,0.18547773136829998
ASIA,vol_expansion_high,15,45,0.25,742,0.42183288409703507,0.1785896408537918,0.33962264150943394,0.04148968998710006,218,0.3669724770642202,0.23906550032003415,0.3623853211009174,0.025255034147783396,227,0.5066079295154186,0.18864676446687484,0.3392070484581498,0.023363369797516305,0.4846153846153846,130,0.5360824742268041,97,0.20835079317569588,0.14898570003325573,HIGH,strong,0.1785896408537918
ASIA,fast_and_expanded,30,45,0.25,529,0.43478260869565216,0.1776263440311754,0.5841209829867675,0.04335392949028474,157,0.3248407643312102,0.2188976118764298,0.5031847133757962,0.02537770070515451,161,0.4782608695652174,0.18699873364288733,0.577639751552795,0.022471782328419683,0.4943820224719101,89,0.4583333333333333,72,0.222008481615879,0.135752688172043,HIGH,strong,0.1776263440311754
ASIA,high_local_vol,15,30,0.25,742,0.33153638814016173,0.17624550403571831,0.31266846361185985,0.06060290636020378,159,0.3710691823899371,0.27287796791965285,0.4591194968553459,0.02667975474359027,192,0.4739583333333333,0.22638551779935273,0.3802083333333333,0.026641537718545605,0.47619047619047616,105,0.47126436781609193,87,0.26218269408930883,0.16803856136447903,HIGH,strong,0.17624550403571831
ASIA,vol_expansion_high,180,30,0.25,715,0.3356643356643357,0.17621645370336472,0.7132867132867133,0.04919256578247423,169,0.23076923076923078,0.14937388193202147,0.8047337278106509,0.03355412676508127,198,0.398989898989899,0.1678463466784635,0.7929292929292929,0.03372608978803714,0.33653846153846156,104,0.46808510638297873,94,0.17247596153846156,0.126149622512011,HIGH,strong,0.17621645370336472
ASIA,vol_expansion_low,180,45,0.25,694,0.08501440922190202,-0.17581376783664154,0.027377521613832854,0.04973588505285331,373,0.04289544235924933,-0.08113556539268865,0.03753351206434316,0.027105075562963182,85,0.07058823529411765,-0.2432803778445685,0.047058823529411764,0.028146982213693845,0.06779661016949153,59,0.07692307692307693,26,-0.1587658898305085,-0.38114143920595533,LOW,strong,0.17581376783664154
ASIA,fast_and_expanded,180,20,0.25,497,0.2857142857142857,0.16957911198748893,1.0,0.057367253679508075,133,0.18045112781954886,0.13006353092032405,1.0,0.04517308276809998,156,0.28205128205128205,0.12146734044544263,1.0,0.04124680896632371,0.225,80,0.34210526315789475,76,0.11953125,0.09049235993208832,HIGH,strong,0.16957911198748893
ASIA,vol_expansion_low,120,45,0.25,726,0.11983471074380166,-0.1672444521315396,0.0013774104683195593,0.04460240192401364,375,0.09866666666666667,-0.09771576227390182,0.0,0.022546448691600218,77,0.11688311688311688,-0.27632076661202876,0.0,0.02174106270425305,0.08,50,0.18518518518518517,27,-0.21571984435797664,-0.36965352449223415,LOW,strong,0.1672444521315396
ASIA,fast_and_expanded,60,45,0.25,479,0.3903966597077244,0.16653128489895339,0.7118997912317327,0.043305231253716485,135,0.34814814814814815,0.2292850990525409,0.7333333333333333,0.02250589839338669,148,0.4594594594594595,0.1827604303332459,0.777027027027027,0.02305449142284004,0.44871794871794873,78,0.4714285714285714,70,0.19969071136386313,0.1488479262672811,HIGH,strong,0.16653128489895339
ASIA,fast_and_expanded,15,30,0.25,532,0.32142857142857145,0.16613768732412804,0.47368421052631576,0.0538065205051403,166,0.3373493975903614,0.2391581831200772,0.4759036144578313,0.026864985999724814,158,0.4620253164556962,0.21445250092171564,0.4873417721518987,0.02532739804161617,0.46236559139784944,93,0.46153846153846156,65,0.24835780929668214,0.15831265508684866,HIGH,strong,0.16613768732412804
ASIA,fast_and_expanded,120,20,0.25,513,0.3157894736842105,0.16565298596810496,0.8654970760233918,0.05146123544333392,134,0.26119402985074625,0.16171082571637932,0.9552238805970149,0.029665543756459644,151,0.46357615894039733,0.21600334340641675,0.9271523178807947,0.030349385083185146,0.35714285714285715,84,0.5970149253731343,67,0.19371873262923847,0.2099181511795859,HIGH,strong,0.16565298596810496
ASIA,vol_expansion_high,120,30,0.25,747,0.3708165997322624,0.1633552712518256,0.5943775100401606,0.05497740022917375,173,0.30057803468208094,0.17008707860972952,0.7398843930635838,0.026268340299827452,194,0.520618556701031,0.2147933139825844,0.7216494845360825,0.02517016809530942,0.36792452830188677,106,0.7045454545454546,88,0.15391674620071946,0.24648093841642232,HIGH,strong,0.1633552712518256
ASIA,vol_expansion_high,30,45,0.25,725,0.41793103448275865,0.16077476981828187,0.4262068965517241,0.04085981182783699,207,0.2995169082125604,0.19357375575778002,0.38164251207729466,0.02791636790186044,224,0.45982142857142855,0.16855929264909847,0.41517857142857145,0.022573939706750323,0.453125,128,0.46875,96,0.1807514591439689,0.1461693548387097,HIGH,strong,0.16077476981828187
ASIA,strong_and_persistent,120,30,0.25,362,0.3674033149171271,0.1599419864366903,0.7624309392265194,0.030500990776212378,194,0.22164948453608246,0.09115852846373104,0.7628865979381443,0.023953689840890757,196,0.413265306122449,0.10744006340400242,0.8010204081632653,0.0267079671431075,0.30973451327433627,113,0.5542168674698795,83,0.09572673117316896,0.09615235134084726,HIGH,strong,0.1599419864366903
ASIA,high_local_vol,60,45,0.25,685,0.38248175182481753,0.1586163770160465,0.33138686131386863,0.05738981908677422,136,0.4264705882352941,0.30760753913968686,0.4117647058823529,0.024913561906555273,162,0.5493827160493827,0.27268368692316913,0.5802469135802469,0.026387617641982674,0.5340909090909091,88,0.5675675675675675,74,0.28506367173682345,0.24498692240627723,HIGH,strong,0.1586163770160465
ASIA,fast_and_expanded,90,30,0.25,423,0.30260047281323876,0.15682622437307994,0.8486997635933806,0.04546343646165105,128,0.328125,0.24156169250645995,0.875,0.028448536122306967,153,0.38562091503267976,0.17688305095500986,0.8758169934640523,0.02712577394307132,0.3048780487804878,82,0.4788732394366197,71,0.13367182309955394,0.2079054975011358,HIGH,strong,0.15682622437307994
ASIA,high_local_vol,30,20,0.25,725,0.2717241379310345,0.15346979724591014,0.33379310344827584,0.08580474398290099,134,0.23134328358208955,0.18224767634694744,0.5,0.04446019309034053,171,0.28654970760233917,0.14820019303923238,0.47368421052631576,0.03607991072428025,0.2840909090909091,88,0.2891566265060241,83,0.1634683409975239,0.1214146910221531,HIGH,strong,0.15346979724591014
ASIA,high_local_vol,180,45,0.25,733,0.41336971350613916,0.1525415364475956,0.4665757162346521,0.05484125689812427,103,0.3592233009708738,0.2351922932189358,0.5533980582524272,0.02731879154773742,151,0.5960264900662252,0.2821578769275391,0.7350993377483444,0.028817047844105693,0.5070422535211268,71,0.675,80,0.28047975352112675,0.21693548387096778,HIGH,strong,0.1525415364475956
ASIA,vol_expansion_low,90,45,0.25,582,0.12886597938144329,-0.14906935811146654,0.0,0.03595177767435201,368,0.07065217391304347,-0.09472250308954051,0.0,0.021746753842582508,72,0.125,-0.25849514563106796,0.0,0.023020090731530114,0.13043478260869565,46,0.11538461538461539,26,-0.18084926408391136,-0.38784119106699744,LOW,strong,0.14906935811146654
ASIA,fast_and_expanded,30,30,0.25,529,0.32325141776937616,0.14727769651175063,0.5841209829867675,0.055811464885331216,157,0.2356687898089172,0.16977731694070014,0.5031847133757962,0.03394731587005567,161,0.36024844720496896,0.16121932099137673,0.577639751552795,0.029109198789503944,0.3707865168539326,89,0.3472222222222222,72,0.19568924058934117,0.10851254480286737,HIGH,strong,0.14727769651175063
ASIA,vol_expansion_high,15,30,0.25,742,0.3018867924528302,0.14659590834838676,0.33962264150943394,0.05267021365592979,218,0.2981651376146789,0.19997392314439466,0.3623853211009174,0.028771562219433555,227,0.4185022026431718,0.1709293871091912,0.3392070484581498,0.026650032834102378,0.4,130,0.44329896907216493,97,0.18599221789883272,0.14007316262055203,HIGH,strong,0.14659590834838676
ASIA,strong_and_persistent,120,20,0.25,362,0.2955801104972376,0.14544362278113204,0.7624309392265194,0.03431065246852367,194,0.17525773195876287,0.07577452782439595,0.7628865979381443,0.026921065660330753,196,0.3520408163265306,0.10446800079255003,0.8010204081632653,0.0317881910841105,0.26548672566371684,113,0.46987951807228917,83,0.10206260115009816,0.0827827438787408,HIGH,strong,0.14544362278113204
ASIA,vol_expansion_high,180,20,0.25,715,0.2601398601398601,0.14400468641306335,0.7132867132867133,0.059774322367421216,169,0.1834319526627219,0.13304435576349707,0.8047337278106509,0.040980265650633445,198,0.2828282828282828,0.1222443412224434,0.7929292929292929,0.03955779814085537,0.22115384615384615,104,0.35106382978723405,94,0.11568509615384615,0.09945092656142762,HIGH,strong,0.14400468641306335
ASIA,strong_and_persistent,180,45,0.25,314,0.40445859872611467,0.14363042166757112,1.0,0.023212001404243097,194,0.22164948453608246,0.09761847678414448,1.0,0.025733650857152644,186,0.45698924731182794,0.1431206341731418,1.0,0.027881235038186312,0.34285714285714286,105,0.6049382716049383,81,0.11629464285714286,0.14687375547590603,HIGH,strong,0.14363042166757112
ASIA,vol_expansion_high,90,30,0.25,600,0.28833333333333333,0.1425590848931745,0.5983333333333334,0.046329196972270295,171,0.2982456140350877,0.21168230654154765,0.6549707602339181,0.02871223076630815,202,0.3465346534653465,0.13779678938767662,0.6633663366336634,0.02927444874498894,0.2831858407079646,113,0.42696629213483145,89,0.11197961502703074,0.15599855019934755,HIGH,strong,0.1425590848931745
ASIA,vol_expansion_high,60,45,0.25,667,0.36431784107946025,0.14045246627068922,0.5112443778110944,0.04401924180809713,184,0.33695652173913043,0.2180934726435232,0.5380434782608695,0.02415363954752836,207,0.463768115942029,0.1870690868158154,0.5555555555555556,0.024076849978587053,0.43103448275862066,116,0.5054945054945055,91,0.18200724540453506,0.18291386033321516,HIGH,strong,0.14045246627068922
ASIA,vol_expansion_high,120,20,0.25,747,0.29049531459170014,0.1403588268755946,0.5943775100401606,0.06478680432159548,173,0.24277456647398843,0.1432913623396215,0.7398843930635838,0.029921957900465247,194,0.44329896907216493,0.19572615353818434,0.7216494845360825,0.029351156391487974,0.3018867924528302,106,0.6136363636363636,88,0.1384626679392115,0.22653958944281527,HIGH,strong,0.1403588268755946
ASIA,fast_and_expanded,120,15,0.25,513,0.2553606237816764,0.13616135171616228,0.8654970760233918,0.060697382945572004,134,0.23880597014925373,0.15611863164796175,0.9552238805970149,0.03231535360895092,151,0.37748344370860926,0.1735999485629782,0.9271523178807947,0.033720950909569884,0.3333333333333333,84,0.43283582089552236,67,0.1815823605706874,0.14251324025036105,HIGH,strong,0.13616135171616228
ASIA,fast_and_expanded,180,15,0.25,497,0.22132796780684105,0.13613044281874015,1.0,0.06687237418080168,133,0.17293233082706766,0.13029667191233898,1.0,0.050402759765316725,156,0.21794871794871795,0.09386112670784204,1.0,0.04897277916570264,0.175,80,0.2631578947368421,76,0.09296874999999999,0.0696095076400679,HIGH,strong,0.13613044281874015
ASIA,strong_dir_move,180,45,0.25,715,0.3958041958041958,0.13497601874565224,1.0,0.0382655695105759,212,0.2169811320754717,0.09295012432353372,1.0,0.026836754034185693,195,0.4461538461538462,0.13228523301516004,1.0,0.028052341634462904,0.33636363636363636,110,0.5882352941176471,85,0.10980113636363636,0.13017077798861482,HIGH,strong,0.13497601874565224
ASIA,fast_move,180,45,0.25,715,0.3958041958041958,0.13497601874565224,1.0,0.0382655695105759,212,0.2169811320754717,0.09295012432353372,1.0,0.026836754034185693,195,0.4461538461538462,0.13228523301516004,1.0,0.028052341634462904,0.33636363636363636,110,0.5882352941176471,85,0.10980113636363636,0.13017077798861482,HIGH,strong,0.13497601874565224
ASIA,strong_dir_move,120,45,0.25,747,0.42168674698795183,0.1346075841126106,0.7242302543507363,0.03889428730501588,219,0.3150684931506849,0.11868606421011643,0.7488584474885844,0.021784952730707123,203,0.4975369458128079,0.10433306231766226,0.8029556650246306,0.022504891858691395,0.3898305084745763,118,0.6470588235294118,85,0.09411066411659963,0.09222011385199247,HIGH,strong,0.1346075841126106
ASIA,fast_move,120,45,0.25,747,0.42168674698795183,0.1346075841126106,0.7242302543507363,0.03889428730501588,219,0.3150684931506849,0.11868606421011643,0.7488584474885844,0.021784952730707123,203,0.4975369458128079,0.10433306231766226,0.8029556650246306,0.022504891858691395,0.3898305084745763,118,0.6470588235294118,85,0.09411066411659963,0.09222011385199247,HIGH,strong,0.1346075841126106
ASIA,low_local_vol,15,45,0.25,1127,0.11002661934338953,-0.13321662389985373,0.00709849157054126,0.04420847083571196,541,0.04621072088724584,-0.08169625585694021,0.0036968576709796672,0.0300026414034047,161,0.049689440993788817,-0.2682717240547549,0.012422360248447204,0.03170790245976385,0.034482758620689655,116,0.08888888888888889,45,-0.24178183281899907,-0.29820788530465947,LOW,strong,0.13321662389985373
ASIA,vol_expansion_low,120,30,0.25,726,0.07713498622589532,-0.13032634225454146,0.0013774104683195593,0.0542320002475552,375,0.056,-0.07449095607235143,0.0,0.02742388350577677,77,0.05194805194805195,-0.2538771907703946,0.0,0.024461500927605438,0.06,50,0.037037037037037035,27,-0.1540077821011673,-0.4210274790919952,LOW,strong,0.13032634225454146
ASIA,strong_and_persistent,60,45,0.25,295,0.3525423728813559,0.1286769980725849,0.6,0.031929398115297755,152,0.23026315789473684,0.11140010879912961,0.5328947368421053,0.02325558281786955,160,0.375,0.09830097087378642,0.63125,0.023512894131869858,0.358695652173913,92,0.39705882352941174,68,0.10966841481982742,0.07447817836812143,HIGH,strong,0.1286769980725849
ASIA,strong_dir_move,15,45,0.25,744,0.3709677419354839,0.12772449869224062,0.3387096774193548,0.04579037674561838,228,0.29385964912280704,0.165952672378621,0.34649122807017546,0.025360620821596742,196,0.4642857142857143,0.1463245492371706,0.39285714285714285,0.025104372816179294,0.453781512605042,119,0.4805194805194805,77,0.17751692116535328,0.09342270632593214,HIGH,strong,0.12772449869224062
ASIA,fast_move,15,45,0.25,744,0.3709677419354839,0.12772449869224062,0.3387096774193548,0.04579037674561838,228,0.29385964912280704,0.165952672378621,0.34649122807017546,0.025360620821596742,196,0.4642857142857143,0.1463245492371706,0.39285714285714285,0.025104372816179294,0.453781512605042,119,0.4805194805194805,77,0.17751692116535328,0.09342270632593214,HIGH,strong,0.12772449869224062
ASIA,high_local_vol,180,30,0.25,733,0.286493860845839,0.12704597888486804,0.4665757162346521,0.06909456200687346,103,0.27184466019417475,0.19044931135696544,0.5533980582524272,0.03279656719060351,151,0.47019867549668876,0.23905512318525324,0.7350993377483444,0.03490419507014488,0.4225352112676056,71,0.5125,80,0.2584727112676056,0.17056451612903223,HIGH,strong,0.12704597888486804
ASIA,vol_expansion_low,180,30,0.25,694,0.03314121037463977,-0.1263066715863312,0.027377521613832854,0.0648822992047666,373,0.01876675603217158,-0.06262859280503773,0.03753351206434316,0.0346059786379785,85,0.03529411764705882,-0.1958494346643767,0.047058823529411764,0.036233598973093036,0.03389830508474576,59,0.038461538461538464,26,-0.13016419491525424,-0.3034739454094293,LOW,strong,0.1263066715863312
ASIA,strong_dir_move,30,45,0.25,725,0.3820689655172414,0.12491270085276462,0.42758620689655175,0.0448244368413085,213,0.24413145539906103,0.13818830294428067,0.37089201877934275,0.027891080297524747,192,0.4114583333333333,0.12019619741100324,0.484375,0.022446067212761794,0.42201834862385323,109,0.39759036144578314,83,0.14964480776782213,0.07500971628449282,HIGH,strong,0.12491270085276462
