session,condition,regime,T_offset,horizon,frac,split,n,n_unc,rate,p_resolve,unc_p_resolve,delta,mean_already_moving,mean_share_pre
ASIA,UNCONDITIONAL,OTHER,15,10,0.15,IS,2183,2183,1.0,0.119560238204306,0.119560238204306,0.0,0.11543747136967476,0.12095200910088656
ASIA,UNCONDITIONAL,OTHER,15,15,0.15,IS,2183,2183,1.0,0.1896472743930371,0.1896472743930371,0.0,0.11543747136967476,0.09386740292268199
ASIA,UNCONDITIONAL,OTHER,15,20,0.15,IS,2183,2183,1.0,0.25286303252404946,0.25286303252404946,0.0,0.11543747136967476,0.07863430104697061
ASIA,UNCONDITIONAL,OTHER,15,30,0.15,IS,2183,2183,1.0,0.3683005038937242,0.3683005038937242,0.0,0.11543747136967476,0.05981679520075401
ASIA,UNCONDITIONAL,OTHER,15,45,0.15,IS,2183,2183,1.0,0.49748053137883647,0.49748053137883647,0.0,0.11543747136967476,0.0462338223846887
ASIA,UNCONDITIONAL,OTHER,15,10,0.25,IS,2183,2183,1.0,0.04031149793861658,0.04031149793861658,0.0,0.11543747136967476,0.12095200910088656
ASIA,UNCONDITIONAL,OTHER,15,15,0.25,IS,2183,2183,1.0,0.0700870361887311,0.0700870361887311,0.0,0.11543747136967476,0.09386740292268199
ASIA,UNCONDITIONAL,OTHER,15,20,0.25,IS,2183,2183,1.0,0.0961978928080623,0.0961978928080623,0.0,0.11543747136967476,0.07863430104697061
ASIA,UNCONDITIONAL,OTHER,15,30,0.25,IS,2183,2183,1.0,0.15529088410444342,0.15529088410444342,0.0,0.11543747136967476,0.05981679520075401
ASIA,UNCONDITIONAL,OTHER,15,45,0.25,IS,2183,2183,1.0,0.24324324324324326,0.24324324324324326,0.0,0.11543747136967476,0.0462338223846887
ASIA,UNCONDITIONAL,OTHER,15,10,0.35,IS,2183,2183,1.0,0.02015574896930829,0.02015574896930829,0.0,0.11543747136967476,0.12095200910088656
ASIA,UNCONDITIONAL,OTHER,15,15,0.35,IS,2183,2183,1.0,0.03389830508474576,0.03389830508474576,0.0,0.11543747136967476,0.09386740292268199
ASIA,UNCONDITIONAL,OTHER,15,20,0.35,IS,2183,2183,1.0,0.049473202015574896,0.049473202015574896,0.0,0.11543747136967476,0.07863430104697061
ASIA,UNCONDITIONAL,OTHER,15,30,0.35,IS,2183,2183,1.0,0.07924874026568941,0.07924874026568941,0.0,0.11543747136967476,0.05981679520075401
ASIA,UNCONDITIONAL,OTHER,15,45,0.35,IS,2183,2183,1.0,0.13009619789280807,0.13009619789280807,0.0,0.11543747136967476,0.0462338223846887
ASIA,UNCONDITIONAL,OTHER,15,10,0.15,Validation,774,774,1.0,0.10077519379844961,0.10077519379844961,0.0,0.1020671834625323,0.05813379614427867
ASIA,UNCONDITIONAL,OTHER,15,15,0.15,Validation,774,774,1.0,0.14599483204134367,0.14599483204134367,0.0,0.1020671834625323,0.04763482148656321
ASIA,UNCONDITIONAL,OTHER,15,20,0.15,Validation,774,774,1.0,0.18992248062015504,0.18992248062015504,0.0,0.1020671834625323,0.040458392936939605
ASIA,UNCONDITIONAL,OTHER,15,30,0.15,Validation,774,774,1.0,0.24806201550387597,0.24806201550387597,0.0,0.1020671834625323,0.03417156457124815
ASIA,UNCONDITIONAL,OTHER,15,45,0.15,Validation,774,774,1.0,0.29844961240310075,0.29844961240310075,0.0,0.1020671834625323,0.02948571658559817
ASIA,UNCONDITIONAL,OTHER,15,10,0.25,Validation,774,774,1.0,0.05167958656330749,0.05167958656330749,0.0,0.1020671834625323,0.05813379614427867
ASIA,UNCONDITIONAL,OTHER,15,15,0.25,Validation,774,774,1.0,0.056847545219638244,0.056847545219638244,0.0,0.1020671834625323,0.04763482148656321
ASIA,UNCONDITIONAL,OTHER,15,20,0.25,Validation,774,774,1.0,0.0710594315245478,0.0710594315245478,0.0,0.1020671834625323,0.040458392936939605
ASIA,UNCONDITIONAL,OTHER,15,30,0.25,Validation,774,774,1.0,0.09819121447028424,0.09819121447028424,0.0,0.1020671834625323,0.03417156457124815
ASIA,UNCONDITIONAL,OTHER,15,45,0.25,Validation,774,774,1.0,0.12790697674418605,0.12790697674418605,0.0,0.1020671834625323,0.02948571658559817
ASIA,UNCONDITIONAL,OTHER,15,10,0.35,Validation,774,774,1.0,0.020671834625323,0.020671834625323,0.0,0.1020671834625323,0.05813379614427867
ASIA,UNCONDITIONAL,OTHER,15,15,0.35,Validation,774,774,1.0,0.028423772609819122,0.028423772609819122,0.0,0.1020671834625323,0.04763482148656321
ASIA,UNCONDITIONAL,OTHER,15,20,0.35,Validation,774,774,1.0,0.03875968992248062,0.03875968992248062,0.0,0.1020671834625323,0.040458392936939605
ASIA,UNCONDITIONAL,OTHER,15,30,0.35,Validation,774,774,1.0,0.05813953488372093,0.05813953488372093,0.0,0.1020671834625323,0.03417156457124815
ASIA,UNCONDITIONAL,OTHER,15,45,0.35,Validation,774,774,1.0,0.06976744186046512,0.06976744186046512,0.0,0.1020671834625323,0.02948571658559817
ASIA,UNCONDITIONAL,OTHER,15,10,0.15,OOS,412,412,1.0,0.24514563106796117,0.24514563106796117,0.0,0.18689320388349515,0.05223179317758635
ASIA,UNCONDITIONAL,OTHER,15,15,0.15,OOS,412,412,1.0,0.3276699029126214,0.3276699029126214,0.0,0.18689320388349515,0.043146258315122706
ASIA,UNCONDITIONAL,OTHER,15,20,0.15,OOS,412,412,1.0,0.3932038834951456,0.3932038834951456,0.0,0.18689320388349515,0.037733355619993324
ASIA,UNCONDITIONAL,OTHER,15,30,0.15,OOS,412,412,1.0,0.4878640776699029,0.4878640776699029,0.0,0.18689320388349515,0.03230419961740707
ASIA,UNCONDITIONAL,OTHER,15,45,0.15,OOS,412,412,1.0,0.5825242718446602,0.5825242718446602,0.0,0.18689320388349515,0.027249626148468757
ASIA,UNCONDITIONAL,OTHER,15,10,0.25,OOS,412,412,1.0,0.09466019417475728,0.09466019417475728,0.0,0.18689320388349515,0.05223179317758635
ASIA,UNCONDITIONAL,OTHER,15,15,0.25,OOS,412,412,1.0,0.1383495145631068,0.1383495145631068,0.0,0.18689320388349515,0.043146258315122706
ASIA,UNCONDITIONAL,OTHER,15,20,0.25,OOS,412,412,1.0,0.1966019417475728,0.1966019417475728,0.0,0.18689320388349515,0.037733355619993324
