session,family,entry_mode,hold_H,cost,cost_pts,split,n,win,E_gross,E_net,E_R_net,PF_net
LONDON,HIGH_FOLLOW,next_open,15,tight,0.5,IS,4055,0.4093711467324291,0.01468865598027127,-0.48531134401972875,-0.215693930675435,0.7905906451805987
LONDON,HIGH_FOLLOW,next_open,15,tight,0.5,Validation,1616,0.47586633663366334,0.3873762376237624,-0.11262376237623763,-0.0069306930693069395,0.98051809034468
LONDON,HIGH_FOLLOW,next_open,15,tight,0.5,OOS,376,0.4654255319148936,0.1761968085106383,-0.3238031914893617,-0.013116078642607052,0.9656346476140072
LONDON,HIGH_FOLLOW,next_open,15,tight,0.5,Y2025,273,0.4468864468864469,-0.6689560439560439,-1.168956043956044,-0.047350118236194186,0.8679767291531998
LONDON,HIGH_FOLLOW,next_open,15,tight,0.5,Y2026,103,0.5145631067961165,2.41626213592233,1.9162621359223302,0.07478096140184701,1.1753470294280954
LONDON,HIGH_FOLLOW,next_open,15,mid,1.0,IS,4055,0.36646115906288534,0.01468865598027127,-0.9853113440197288,-0.4379161528976572,0.623750779842972
LONDON,HIGH_FOLLOW,next_open,15,mid,1.0,Validation,1616,0.4628712871287129,0.3873762376237624,-0.6126237623762376,-0.0376999238385377,0.8986434604555925
LONDON,HIGH_FOLLOW,next_open,15,mid,1.0,OOS,376,0.4574468085106383,0.1761968085106383,-0.8238031914893617,-0.03336924319956907,0.9149870490762818
LONDON,HIGH_FOLLOW,next_open,15,mid,1.0,Y2025,273,0.4358974358974359,-0.6689560439560439,-1.668956043956044,-0.06760328279315622,0.8172336851605786
LONDON,HIGH_FOLLOW,next_open,15,mid,1.0,Y2026,103,0.5145631067961165,2.41626213592233,1.4162621359223302,0.05526876627989581,1.1267789244975557
LONDON,HIGH_FOLLOW,next_open,15,wide,2.0,IS,4055,0.27965474722564737,0.01468865598027127,-1.9853113440197288,-0.8823605973421017,0.3967083046457493
LONDON,HIGH_FOLLOW,next_open,15,wide,2.0,Validation,1616,0.4443069306930693,0.3873762376237624,-1.6126237623762376,-0.09923838537699924,0.7552649496396121
LONDON,HIGH_FOLLOW,next_open,15,wide,2.0,OOS,376,0.43617021276595747,0.1761968085106383,-1.8238031914893618,-0.07387557231349316,0.8220131397518047
LONDON,HIGH_FOLLOW,next_open,15,wide,2.0,Y2025,273,0.4139194139194139,-0.6689560439560439,-2.668956043956044,-0.10810961190708028,0.7251184834123223
LONDON,HIGH_FOLLOW,next_open,15,wide,2.0,Y2026,103,0.49514563106796117,2.41626213592233,0.4162621359223301,0.016244376035993383,1.0356660081106375
LONDON,HIGH_FOLLOW,next_open,30,tight,0.5,IS,4055,0.4456226880394575,0.08057953144266337,-0.4194204685573366,-0.18640909713659407,0.8476090207037135
LONDON,HIGH_FOLLOW,next_open,30,tight,0.5,Validation,1616,0.49504950495049505,0.12380105198019802,-0.37619894801980197,-0.023150704493526273,0.9480606164164121
LONDON,HIGH_FOLLOW,next_open,30,tight,0.5,OOS,376,0.4654255319148936,0.699966755319149,0.19996675531914893,0.008099919202800966,1.0179124478856463
LONDON,HIGH_FOLLOW,next_open,30,tight,0.5,Y2025,273,0.4542124542124542,0.5139652014652014,0.013965201465201466,0.0005656790466917014,1.001362367392518
LONDON,HIGH_FOLLOW,next_open,30,tight,0.5,Y2026,103,0.49514563106796117,1.1929611650485437,0.6929611650485437,0.027042386928723655,1.05101630556176
LONDON,HIGH_FOLLOW,next_open,30,mid,1.0,IS,4055,0.41972872996300864,0.08057953144266337,-0.9194204685573366,-0.40863131935881625,0.6968455717560006
LONDON,HIGH_FOLLOW,next_open,30,mid,1.0,Validation,1616,0.4907178217821782,0.12380105198019802,-0.876198948019802,-0.05391993526275705,0.8831035479143877
LONDON,HIGH_FOLLOW,next_open,30,mid,1.0,OOS,376,0.4601063829787234,0.699966755319149,-0.3000332446808511,-0.012153245354161044,0.9737553797836455
LONDON,HIGH_FOLLOW,next_open,30,mid,1.0,Y2025,273,0.4468864468864469,0.5139652014652014,-0.48603479853479853,-0.019687485510270327,0.9538227297444263
LONDON,HIGH_FOLLOW,next_open,30,mid,1.0,Y2026,103,0.49514563106796117,1.1929611650485437,0.1929611650485437,0.007530191806772416,1.0139467567211964
LONDON,HIGH_FOLLOW,next_open,30,wide,2.0,IS,4055,0.33958076448828606,0.08057953144266337,-1.9194204685573366,-0.8530757638032607,0.4737624975702104
LONDON,HIGH_FOLLOW,next_open,30,wide,2.0,Validation,1616,0.4808168316831683,0.12380105198019802,-1.876198948019802,-0.1154583968012186,0.7657107256008037
LONDON,HIGH_FOLLOW,next_open,30,wide,2.0,OOS,376,0.44680851063829785,0.699966755319149,-1.3000332446808511,-0.0526595744680851,0.8914413414024762
LONDON,HIGH_FOLLOW,next_open,30,wide,2.0,Y2025,273,0.43223443223443225,0.5139652014652014,-1.4860347985347986,-0.06019381462419436,0.8658967419374832
LONDON,HIGH_FOLLOW,next_open,30,wide,2.0,Y2026,103,0.4854368932038835,1.1929611650485437,-0.8070388349514563,-0.03149419843713001,0.9437418044921958
LONDON,HIGH_FOLLOW,next_open,45,tight,0.5,IS,4055,0.45696670776818743,0.14244759556103576,-0.35755240443896424,-0.15891217975065078,0.8799586028460543
LONDON,HIGH_FOLLOW,next_open,45,tight,0.5,Validation,1616,0.49814356435643564,0.10523669554455446,-0.39476330445544555,-0.024293126428027414,0.9502861456785915
LONDON,HIGH_FOLLOW,next_open,45,tight,0.5,OOS,376,0.47606382978723405,0.8462433510638298,0.3462433510638298,0.014025047131699433,1.0283872550355693
LONDON,HIGH_FOLLOW,next_open,45,tight,0.5,Y2025,273,0.4652014652014652,0.5313644688644689,0.031364468864468864,0.0012704594983076129,1.0027837041552372
LONDON,HIGH_FOLLOW,next_open,45,tight,0.5,Y2026,103,0.5048543689320388,1.6808252427184467,1.1808252427184467,0.046080985081695496,1.080536357240409
LONDON,HIGH_FOLLOW,next_open,45,mid,1.0,IS,4055,0.4387176325524044,0.14244759556103576,-0.8575524044389642,-0.381134401972873,0.7363152955896153
LONDON,HIGH_FOLLOW,next_open,45,mid,1.0,Validation,1616,0.4938118811881188,0.10523669554455446,-0.8947633044554455,-0.055062357197258195,0.8907752666292119
LONDON,HIGH_FOLLOW,next_open,45,mid,1.0,OOS,376,0.46808510638297873,0.8462433510638298,-0.15375664893617022,-0.006228117425262591,0.9876604146100691
LONDON,HIGH_FOLLOW,next_open,45,mid,1.0,Y2025,273,0.4542124542124542,0.5313644688644689,-0.46863553113553114,-0.018982705058654434,0.9593776666468219
LONDON,HIGH_FOLLOW,next_open,45,mid,1.0,Y2026,103,0.5048543689320388,1.6808252427184467,0.6808252427184466,0.02656878995974425,1.04566358715559
LONDON,HIGH_FOLLOW,next_open,45,wide,2.0,IS,4055,0.36276202219482123,0.14244759556103576,-1.8575524044389642,-0.8255788464173175,0.516981283315298
LONDON,HIGH_FOLLOW,next_open,45,wide,2.0,Validation,1616,0.48824257425742573,0.10523669554455446,-1.8947633044554455,-0.11660081873571973,0.7822147934439055
LONDON,HIGH_FOLLOW,next_open,45,wide,2.0,OOS,376,0.4574468085106383,0.8462433510638298,-1.1537566489361701,-0.04673444653918664,0.911238139082841
LONDON,HIGH_FOLLOW,next_open,45,wide,2.0,Y2025,273,0.4432234432234432,0.5313644688644689,-1.468635531135531,-0.059489034172578475,0.8785198931959778
LONDON,HIGH_FOLLOW,next_open,45,wide,2.0,Y2026,103,0.49514563106796117,1.6808252427184467,-0.3191747572815534,-0.0124556002841582,0.9792839982671026
LONDON,HIGH_FOLLOW,delay1,15,tight,0.5,IS,4055,0.413810110974106,0.12754315659679408,-0.3724568434032059,-0.1655363748458693,0.8333930861405662
LONDON,HIGH_FOLLOW,delay1,15,tight,0.5,Validation,1616,0.4709158415841584,0.3069693688118812,-0.1930306311881188,-0.01187880807311501,0.966370190687959
LONDON,HIGH_FOLLOW,delay1,15,tight,0.5,OOS,376,0.48138297872340424,0.4800531914893617,-0.0199468085106383,-0.0008079719903043404,0.9978104587089005
LONDON,HIGH_FOLLOW,delay1,15,tight,0.5,Y2025,273,0.4725274725274725,0.045558608058608056,-0.45444139194139194,-0.018407752584967775,0.945312284761826
LONDON,HIGH_FOLLOW,delay1,15,tight,0.5,Y2026,103,0.5048543689320388,1.6316747572815533,1.1316747572815533,0.0441629173573289,1.1007617915608623
LONDON,HIGH_FOLLOW,delay1,15,mid,1.0,IS,4055,0.37361282367447596,0.12754315659679408,-0.872456843403206,-0.38775859706809146,0.6556978194093853
LONDON,HIGH_FOLLOW,delay1,15,mid,1.0,Validation,1616,0.4566831683168317,0.3069693688118812,-0.6930306311881188,-0.04264803884234578,0.8846183564925114
LONDON,HIGH_FOLLOW,delay1,15,mid,1.0,OOS,376,0.47074468085106386,0.4800531914893617,-0.5199468085106383,-0.021061136547266362,0.9445134281761095
LONDON,HIGH_FOLLOW,delay1,15,mid,1.0,Y2025,273,0.46153846153846156,0.045558608058608056,-0.954441391941392,-0.0386609171419298,0.8886871545670574
LONDON,HIGH_FOLLOW,delay1,15,mid,1.0,Y2026,103,0.49514563106796117,1.6316747572815533,0.6316747572815534,0.024650722235377693,1.0550182337085778
LONDON,HIGH_FOLLOW,delay1,15,wide,2.0,IS,4055,0.2838471023427867,0.12754315659679408,-1.8724568434032058,-0.8322030415125361,0.41453576351071314
LONDON,HIGH_FOLLOW,delay1,15,wide,2.0,Validation,1616,0.42883663366336633,0.3069693688118812,-1.693030631188119,-0.1041865003808073,0.7419018195111022
LONDON,HIGH_FOLLOW,delay1,15,wide,2.0,OOS,376,0.45478723404255317,0.4800531914893617,-1.5199468085106382,-0.0615674656611904,0.8465411338233814
LONDON,HIGH_FOLLOW,delay1,15,wide,2.0,Y2025,273,0.4468864468864469,0.045558608058608056,-1.9544413919413919,-0.07916724625585385,0.7856371625863151
LONDON,HIGH_FOLLOW,delay1,15,wide,2.0,Y2026,103,0.47572815533980584,1.6316747572815533,-0.3683252427184466,-0.014373668008524746,0.9692829310257578
LONDON,HIGH_FOLLOW,delay1,30,tight,0.5,IS,4055,0.4522811344019729,0.21373304562268805,-0.286266954377312,-0.12722975750102755,0.8918810359581565
LONDON,HIGH_FOLLOW,delay1,30,tight,0.5,Validation,1616,0.48824257425742573,-0.06752784653465346,-0.5675278465346535,-0.034924790555978684,0.9218536980231765
LONDON,HIGH_FOLLOW,delay1,30,tight,0.5,OOS,376,0.47074468085106386,0.8304521276595744,0.3304521276595745,0.013385402639375174,1.030056090591597
LONDON,HIGH_FOLLOW,delay1,30,tight,0.5,Y2025,273,0.4542124542124542,0.40224358974358976,-0.09775641025641026,-0.003959753326841936,0.9905066808955291
LONDON,HIGH_FOLLOW,delay1,30,tight,0.5,Y2026,103,0.5145631067961165,1.9654126213592233,1.4654126213592233,0.057186834004262374,1.1141088641088641
LONDON,HIGH_FOLLOW,delay1,30,mid,1.0,IS,4055,0.423921085080148,0.21373304562268805,-0.786266954377312,-0.34945197972324976,0.7311780359918847
LONDON,HIGH_FOLLOW,delay1,30,mid,1.0,Validation,1616,0.4839108910891089,-0.06752784653465346,-1.0675278465346534,-0.06569402132520945,0.8580202460804082
LONDON,HIGH_FOLLOW,delay1,30,mid,1.0,OOS,376,0.4654255319148936,0.8304521276595744,-0.16954787234042554,-0.006867761917586846,0.9849422046383914
LONDON,HIGH_FOLLOW,delay1,30,mid,1.0,Y2025,273,0.45054945054945056,0.40224358974358976,-0.5977564102564102,-0.02421291788380395,0.9434542501353547
LONDON,HIGH_FOLLOW,delay1,30,mid,1.0,Y2026,103,0.5048543689320388,1.9654126213592233,0.9654126213592233,0.03767463888231117,1.0737803746985717
LONDON,HIGH_FOLLOW,delay1,30,wide,2.0,IS,4055,0.34278668310727495,0.21373304562268805,-1.786266954377312,-0.7938964241676942,0.4946673061829598
LONDON,HIGH_FOLLOW,delay1,30,wide,2.0,Validation,1616,0.4715346534653465,-0.06752784653465346,-2.0675278465346536,-0.12723248286367098,0.7428370759491235
LONDON,HIGH_FOLLOW,delay1,30,wide,2.0,OOS,376,0.45478723404255317,0.8304521276595744,-1.1695478723404256,-0.04737409103151091,0.9008776749362524
LONDON,HIGH_FOLLOW,delay1,30,wide,2.0,Y2025,273,0.4432234432234432,0.40224358974358976,-1.5977564102564104,-0.06471924699772799,0.8563844016874164
LONDON,HIGH_FOLLOW,delay1,30,wide,2.0,Y2026,103,0.4854368932038835,1.9654126213592233,-0.0345873786407767,-0.0013497513615912914,0.9974539932106485
LONDON,HIGH_FOLLOW,delay1,45,tight,0.5,IS,4055,0.4594327990135635,0.2587392108508015,-0.24126078914919852,-0.10722701739964377,0.9169875160424688
LONDON,HIGH_FOLLOW,delay1,45,tight,0.5,Validation,1616,0.4900990099009901,-0.16522277227722773,-0.6652227722772277,-0.04093678598629095,0.9176505510710216
LONDON,HIGH_FOLLOW,delay1,45,tight,0.5,OOS,376,0.48138297872340424,0.989029255319149,0.4890292553191489,0.019808779962294642,1.0404070925297697
LONDON,HIGH_FOLLOW,delay1,45,tight,0.5,Y2025,273,0.46153846153846156,-0.18017399267399267,-0.6801739926739927,-0.027551351601984516,0.9422332834282826
LONDON,HIGH_FOLLOW,delay1,45,tight,0.5,Y2026,103,0.5339805825242718,4.087985436893204,3.587985436893204,0.14001894387875913,1.27659275891103
LONDON,HIGH_FOLLOW,delay1,45,mid,1.0,IS,4055,0.443403205918619,0.2587392108508015,-0.7412607891491986,-0.329449239621866,0.7667969431890916
LONDON,HIGH_FOLLOW,delay1,45,mid,1.0,Validation,1616,0.48824257425742573,-0.16522277227722773,-1.1652227722772277,-0.0717060167555217,0.8601702388356184
LONDON,HIGH_FOLLOW,delay1,45,mid,1.0,OOS,376,0.48138297872340424,0.989029255319149,-0.010970744680851064,-0.0004443845946673825,0.9991125334480765
LONDON,HIGH_FOLLOW,delay1,45,mid,1.0,Y2025,273,0.46153846153846156,-0.18017399267399267,-1.1801739926739927,-0.04780451615894653,0.9020092383142928
LONDON,HIGH_FOLLOW,delay1,45,mid,1.0,Y2026,103,0.5339805825242718,4.087985436893204,3.087985436893204,0.12050674875680793,1.233847991912508
LONDON,HIGH_FOLLOW,delay1,45,wide,2.0,IS,4055,0.36966707768187423,0.2587392108508015,-1.7412607891491985,-0.7738936840663104,0.5375190358447003
LONDON,HIGH_FOLLOW,delay1,45,wide,2.0,Validation,1616,0.48205445544554454,-0.16522277227722773,-2.165222772277228,-0.13324447829398323,0.7552697610575367
LONDON,HIGH_FOLLOW,delay1,45,wide,2.0,OOS,376,0.4734042553191489,0.989029255319149,-1.0109707446808511,-0.04095071370859143,0.9215357423915989
LONDON,HIGH_FOLLOW,delay1,45,wide,2.0,Y2025,273,0.45054945054945056,-0.18017399267399267,-2.1801739926739927,-0.08831084527287057,0.8268010112216503
LONDON,HIGH_FOLLOW,delay1,45,wide,2.0,Y2026,103,0.5339805825242718,4.087985436893204,2.087985436893204,0.0814823585129055,1.1527296937416778
LONDON,HIGH_FADE,next_open,15,tight,0.5,IS,4055,0.4579531442663379,-0.01468865598027127,-0.5146886559802712,-0.22875051376900943,0.7767161025449002
LONDON,HIGH_FADE,next_open,15,tight,0.5,Validation,1616,0.49566831683168316,-0.3873762376237624,-0.8873762376237624,-0.054607768469154605,0.8559011204341054
LONDON,HIGH_FADE,next_open,15,tight,0.5,OOS,376,0.5106382978723404,-0.1761968085106383,-0.6761968085106383,-0.027390250471317008,0.9293811301102335
LONDON,HIGH_FADE,next_open,15,tight,0.5,Y2025,273,0.5311355311355311,0.6689560439560439,0.16895604395604397,0.006843789122270146,1.0207484045095447
LONDON,HIGH_FADE,next_open,15,tight,0.5,Y2026,103,0.4563106796116505,-2.41626213592233,-2.91626213592233,-0.1138053516457495,0.781902341622799
LONDON,HIGH_FADE,next_open,15,mid,1.0,IS,4055,0.40715166461159064,-0.01468865598027127,-1.0146886559802712,-0.45097273599123167,0.607145414617845
LONDON,HIGH_FADE,next_open,15,mid,1.0,Validation,1616,0.48576732673267325,-0.3873762376237624,-1.3873762376237624,-0.08537699923838538,0.7836168415972976
LONDON,HIGH_FADE,next_open,15,mid,1.0,OOS,376,0.5026595744680851,-0.1761968085106383,-1.1761968085106382,-0.047643415028279026,0.8802484387957149
LONDON,HIGH_FADE,next_open,15,mid,1.0,Y2025,273,0.5201465201465202,0.6689560439560439,-0.33104395604395603,-0.013409375434691893,0.960497199836088
LONDON,HIGH_FADE,next_open,15,mid,1.0,Y2026,103,0.4563106796116505,-2.41626213592233,-3.41626213592233,-0.1333175467677007,0.74959971535314
LONDON,HIGH_FADE,next_open,15,wide,2.0,IS,4055,0.30579531442663377,-0.01468865598027127,-2.0146886559802715,-0.8954171804356761,0.37393490911703425
LONDON,HIGH_FADE,next_open,15,wide,2.0,Validation,1616,0.4560643564356436,-0.3873762376237624,-2.387376237623762,-0.1469154607768469,0.6558660214526236
LONDON,HIGH_FADE,next_open,15,wide,2.0,OOS,376,0.4787234042553192,-0.1761968085106383,-2.1761968085106385,-0.08814974414220307,0.789317841682625
LONDON,HIGH_FADE,next_open,15,wide,2.0,Y2025,273,0.4945054945054945,0.6689560439560439,-1.331043956043956,-0.05391570454861594,0.8499574182559549
LONDON,HIGH_FADE,next_open,15,wide,2.0,Y2026,103,0.4368932038834951,-2.41626213592233,-4.41626213592233,-0.1723419370116031,0.6888679890560876
LONDON,HIGH_FADE,next_open,30,tight,0.5,IS,4055,0.4848335388409371,-0.08057953144266337,-0.5805795314426634,-0.2580353473078504,0.7935219343203732
LONDON,HIGH_FADE,next_open,30,tight,0.5,Validation,1616,0.4876237623762376,-0.12380105198019802,-0.623801051980198,-0.03838775704493527,0.9153710942624026
LONDON,HIGH_FADE,next_open,30,tight,0.5,OOS,376,0.5345744680851063,-0.699966755319149,-1.1999667553191489,-0.04860624831672502,0.8985568343099645
LONDON,HIGH_FADE,next_open,30,tight,0.5,Y2025,273,0.5457875457875457,-0.5139652014652014,-1.0139652014652014,-0.04107200816061575,0.905403673643742
LONDON,HIGH_FADE,next_open,30,tight,0.5,Y2026,103,0.5048543689320388,-1.1929611650485437,-1.6929611650485437,-0.0660667771726261,0.885387996549316
