session,entry_mode,horizon,split,regime,n,mean_resid,median_resid,p_struct,mean_pre_exc,mean_pre_psr,cover_tight,mean_net_tight,mean_netR_tight,p_net_pos_tight,breakeven_pts,cover_mid,mean_net_mid,mean_netR_mid,p_net_pos_mid,cover_wide,mean_net_wide,mean_netR_wide,p_net_pos_wide
LONDON,next_open,15,IS,HIGH,4092,6.784824046920821,4.125,0.4750733137829912,13.809995112414468,0.5202327210807925,1.0,6.284824046920821,12.569648093841643,0.9968230694037146,2.0,0.9804496578690127,5.784824046920821,5.784824046920821,0.9533235581622679,0.8264907135874878,4.784824046920821,2.3924120234604107,0.7812805474095796
LONDON,next_open,15,IS,LOW,3970,7.528463476070529,4.25,0.08035264483627204,6.746347607052897,0.10524054359893996,0.9984886649874055,7.028463476070529,14.056926952141058,0.9911838790931989,2.0,0.9743073047858942,6.528463476070529,6.528463476070529,0.9463476070528968,0.8168765743073048,5.528463476070529,2.7642317380352646,0.7720403022670025
LONDON,next_open,15,IS,ALL,12030,7.132605985037406,4.25,0.26400665004156276,9.835806317539484,0.2828595089491462,0.9994181213632585,6.632605985037406,13.265211970074812,0.9945137157107232,2.0,0.9778886118038238,6.132605985037406,6.132605985037406,0.9481296758104738,0.8204488778054863,5.132605985037406,2.566302992518703,0.7746467165419784
LONDON,next_open,15,Validation,HIGH,1618,18.81165018541409,15.25,0.4938195302843016,35.08482694684796,0.49954595300295157,1.0,18.31165018541409,36.62330037082818,1.0,2.0,1.0,17.81165018541409,17.81165018541409,1.0,1.0,16.81165018541409,8.405825092707046,1.0
LONDON,next_open,15,Validation,LOW,855,18.85497076023392,14.25,0.1111111111111111,16.101461988304095,0.10954497882896484,1.0,18.35497076023392,36.70994152046784,1.0,2.0,1.0,17.85497076023392,17.85497076023392,1.0,1.0,16.85497076023392,8.42748538011696,1.0
LONDON,next_open,15,Validation,ALL,3875,19.137483870967742,15.5,0.32980645161290323,25.98406451612903,0.3070287037417241,1.0,18.637483870967742,37.274967741935484,1.0,2.0,1.0,18.137483870967742,18.137483870967742,1.0,1.0,17.137483870967742,8.568741935483871,1.0
LONDON,next_open,15,OOS,HIGH,376,28.86968085106383,23.875,0.4308510638297872,64.19281914893617,0.536733647662612,1.0,28.36968085106383,56.73936170212766,1.0,2.0,1.0,27.86968085106383,27.86968085106383,1.0,1.0,26.86968085106383,13.434840425531915,1.0
LONDON,next_open,15,OOS,LOW,1039,28.31183830606352,23.5,0.0846968238691049,25.162415784408086,0.10435733516851088,1.0,27.81183830606352,55.62367661212704,1.0,2.0,1.0,27.31183830606352,27.31183830606352,1.0,1.0,26.31183830606352,13.15591915303176,1.0
LONDON,next_open,15,OOS,ALL,2065,27.833898305084745,22.75,0.17966101694915254,36.505690072639226,0.22324468589270588,1.0,27.333898305084745,54.66779661016949,1.0,2.0,1.0,26.833898305084745,26.833898305084745,1.0,1.0,25.833898305084745,12.916949152542372,1.0
LONDON,next_open,15,Y2025,HIGH,273,26.32967032967033,22.0,0.42857142857142855,57.74908424908425,0.5276560066384633,1.0,25.82967032967033,51.65934065934066,1.0,2.0,1.0,25.32967032967033,25.32967032967033,1.0,1.0,24.32967032967033,12.164835164835164,1.0
LONDON,next_open,15,Y2025,LOW,594,24.621632996632997,19.75,0.09595959595959595,22.227272727272727,0.10935783095166286,1.0,24.121632996632997,48.24326599326599,1.0,2.0,1.0,23.621632996632997,23.621632996632997,1.0,1.0,22.621632996632997,11.310816498316498,1.0
LONDON,next_open,15,Y2025,ALL,1285,24.167704280155643,19.75,0.19377431906614787,32.907003891050586,0.2364180645807905,1.0,23.667704280155643,47.335408560311286,1.0,2.0,1.0,23.167704280155643,23.167704280155643,1.0,1.0,22.167704280155643,11.083852140077822,1.0
LONDON,next_open,15,Y2026,HIGH,103,35.601941747572816,32.25,0.4368932038834951,81.27184466019418,0.5607938029984626,1.0,35.101941747572816,70.20388349514563,1.0,2.0,1.0,34.601941747572816,34.601941747572816,1.0,1.0,33.601941747572816,16.800970873786408,1.0
LONDON,next_open,15,Y2026,LOW,445,33.2376404494382,28.25,0.0696629213483146,29.080337078651684,0.09768251607819117,1.0,32.7376404494382,65.4752808988764,1.0,2.0,1.0,32.2376404494382,32.2376404494382,1.0,1.0,31.237640449438203,15.618820224719101,1.0
LONDON,next_open,15,Y2026,ALL,780,33.873717948717946,29.0,0.1564102564102564,42.43429487179487,0.20154238895143828,1.0,33.373717948717946,66.74743589743589,1.0,2.0,1.0,32.873717948717946,32.873717948717946,1.0,1.0,31.87371794871795,15.936858974358975,1.0
LONDON,next_open,30,IS,HIGH,4092,9.288184261974585,5.75,0.7086999022482894,13.809995112414468,0.5202327210807925,1.0,8.788184261974585,17.57636852394917,1.0,2.0,0.9987781036168133,8.288184261974585,8.288184261974585,0.9887585532746823,0.9213098729227761,7.2881842619745845,3.6440921309872922,0.8932062561094819
LONDON,next_open,30,IS,LOW,3970,10.502896725440806,6.25,0.19924433249370277,6.746347607052897,0.10524054359893996,0.9987405541561712,10.002896725440806,20.00579345088161,0.9977329974811083,2.0,0.9947103274559194,9.502896725440806,9.502896725440806,0.9863979848866499,0.9198992443324937,8.502896725440806,4.251448362720403,0.889168765743073
LONDON,next_open,30,IS,ALL,12030,9.842975893599334,5.75,0.45353283458021615,9.835806317539484,0.2828595089491462,0.9995843724023276,9.342975893599334,18.68595178719867,0.9992518703241895,2.0,0.9969243557772236,8.842975893599334,8.842975893599334,0.987448046550291,0.9192851205320033,7.842975893599335,3.9214879467996675,0.8885286783042394
LONDON,next_open,30,Validation,HIGH,1618,25.282756489493202,21.0,0.7280593325092707,35.08482694684796,0.49954595300295157,1.0,24.782756489493202,49.565512978986405,1.0,2.0,1.0,24.282756489493202,24.282756489493202,1.0,1.0,23.282756489493202,11.641378244746601,1.0
LONDON,next_open,30,Validation,LOW,855,25.881286549707603,20.0,0.2432748538011696,16.101461988304095,0.10954497882896484,1.0,25.381286549707603,50.76257309941521,1.0,2.0,1.0,24.881286549707603,24.881286549707603,1.0,1.0,23.881286549707603,11.940643274853802,1.0
LONDON,next_open,30,Validation,ALL,3875,25.940967741935484,21.0,0.5396129032258065,25.98406451612903,0.3070287037417241,1.0,25.440967741935484,50.88193548387097,1.0,2.0,1.0,24.940967741935484,24.940967741935484,1.0,1.0,23.940967741935484,11.970483870967742,1.0
LONDON,next_open,30,OOS,HIGH,376,38.954787234042556,31.75,0.6595744680851063,64.19281914893617,0.536733647662612,1.0,38.454787234042556,76.90957446808511,1.0,2.0,1.0,37.954787234042556,37.954787234042556,1.0,1.0,36.954787234042556,18.477393617021278,1.0
LONDON,next_open,30,OOS,LOW,1039,38.75721847930703,31.25,0.17901828681424448,25.162415784408086,0.10435733516851088,1.0,38.25721847930703,76.51443695861406,1.0,2.0,1.0,37.75721847930703,37.75721847930703,1.0,1.0,36.75721847930703,18.378609239653514,1.0
LONDON,next_open,30,OOS,ALL,2065,37.90641646489104,30.75,0.3268765133171913,36.505690072639226,0.22324468589270588,1.0,37.40641646489104,74.81283292978208,1.0,2.0,1.0,36.90641646489104,36.90641646489104,1.0,1.0,35.90641646489104,17.95320823244552,1.0
LONDON,next_open,30,Y2025,HIGH,273,36.02472527472528,28.25,0.652014652014652,57.74908424908425,0.5276560066384633,1.0,35.52472527472528,71.04945054945055,1.0,2.0,1.0,35.02472527472528,35.02472527472528,1.0,1.0,34.02472527472528,17.01236263736264,1.0
LONDON,next_open,30,Y2025,LOW,594,33.93518518518518,27.75,0.19528619528619529,22.227272727272727,0.10935783095166286,1.0,33.43518518518518,66.87037037037037,1.0,2.0,1.0,32.93518518518518,32.93518518518518,1.0,1.0,31.935185185185187,15.967592592592593,1.0
LONDON,next_open,30,Y2025,ALL,1285,33.01206225680934,27.0,0.35252918287937746,32.907003891050586,0.2364180645807905,1.0,32.51206225680934,65.02412451361867,1.0,2.0,1.0,32.01206225680934,32.01206225680934,1.0,1.0,31.01206225680934,15.50603112840467,1.0
LONDON,next_open,30,Y2026,HIGH,103,46.720873786407765,40.0,0.6796116504854369,81.27184466019418,0.5607938029984626,1.0,46.220873786407765,92.44174757281553,1.0,2.0,1.0,45.720873786407765,45.720873786407765,1.0,1.0,44.720873786407765,22.360436893203882,1.0
LONDON,next_open,30,Y2026,LOW,445,45.193820224719104,36.5,0.15730337078651685,29.080337078651684,0.09768251607819117,1.0,44.693820224719104,89.38764044943821,1.0,2.0,1.0,44.193820224719104,44.193820224719104,1.0,1.0,43.193820224719104,21.596910112359552,1.0
LONDON,next_open,30,Y2026,ALL,780,45.969551282051285,37.5,0.2846153846153846,42.43429487179487,0.20154238895143828,1.0,45.469551282051285,90.93910256410257,1.0,2.0,1.0,44.969551282051285,44.969551282051285,1.0,1.0,43.969551282051285,21.984775641025642,1.0
LONDON,next_open,45,IS,HIGH,4092,11.06995356793744,6.75,0.8157380254154448,13.809995112414468,0.5202327210807925,1.0,10.56995356793744,21.13990713587488,1.0,2.0,1.0,10.06995356793744,10.06995356793744,0.9958455522971652,0.956989247311828,9.06995356793744,4.53497678396872,0.9340175953079178
LONDON,next_open,45,IS,LOW,3970,12.77890428211587,7.5,0.30251889168765744,6.746347607052897,0.10524054359893996,0.998992443324937,12.27890428211587,24.55780856423174,0.9984886649874055,2.0,0.9974811083123426,11.77890428211587,11.77890428211587,0.9947103274559194,0.9622166246851386,10.77890428211587,5.389452141057935,0.9410579345088161
