session,resolver,T_offset,horizon,universe,split,n,win,E,E_net
LONDON,follow_es,15,15,ALL,IS,2271,0.48304711580801407,0.09940554821664464,-0.9005944517833554
LONDON,follow_es,15,15,ALL,Validation,749,0.5340453938584779,1.3261014686248331,0.32610146862483314
LONDON,follow_es,15,15,ALL,OOS,402,0.4626865671641791,-1.8718905472636815,-2.8718905472636815
LONDON,follow_es,15,15,ALL,Y2025,251,0.4860557768924303,-2.5388446215139444,-3.5388446215139444
LONDON,follow_es,15,15,ALL,Y2026,151,0.423841059602649,-0.7632450331125827,-1.7632450331125828
LONDON,follow_es,15,15,HIGH,IS,794,0.47732997481108314,-0.05478589420654912,-1.0547858942065491
LONDON,follow_es,15,15,HIGH,Validation,298,0.5302013422818792,1.412751677852349,0.412751677852349
LONDON,follow_es,15,15,HIGH,OOS,58,0.3793103448275862,-2.9310344827586206,-3.9310344827586206
LONDON,follow_es,15,15,HIGH,Y2025,43,0.3953488372093023,-3.2732558139534884,-4.273255813953488
LONDON,follow_es,15,15,HIGH,Y2026,15,0.3333333333333333,-1.95,-2.95
LONDON,follow_es,15,15,LOW,IS,739,0.4871447902571042,-0.030108254397834912,-1.0301082543978348
LONDON,follow_es,15,15,LOW,Validation,171,0.5672514619883041,2.902046783625731,1.902046783625731
LONDON,follow_es,15,15,LOW,OOS,208,0.4375,-2.40625,-3.40625
LONDON,follow_es,15,15,LOW,Y2025,120,0.45,-3.5229166666666667,-4.522916666666666
LONDON,follow_es,15,15,LOW,Y2026,88,0.42045454545454547,-0.8835227272727273,-1.8835227272727273
LONDON,follow_es,15,30,ALL,IS,2271,0.4720387494495817,0.15411712901805372,-0.8458828709819463
LONDON,follow_es,15,30,ALL,Validation,749,0.5260347129506008,0.705607476635514,-0.29439252336448596
LONDON,follow_es,15,30,ALL,OOS,402,0.47512437810945274,-1.5597014925373134,-2.5597014925373136
LONDON,follow_es,15,30,ALL,Y2025,251,0.5258964143426295,-0.19123505976095617,-1.1912350597609562
LONDON,follow_es,15,30,ALL,Y2026,151,0.39072847682119205,-3.834437086092715,-4.8344370860927155
LONDON,follow_es,15,30,HIGH,IS,794,0.47984886649874053,0.5453400503778337,-0.45465994962216627
LONDON,follow_es,15,30,HIGH,Validation,298,0.5469798657718121,1.141778523489933,0.1417785234899329
LONDON,follow_es,15,30,HIGH,OOS,58,0.4482758620689655,0.09913793103448276,-0.9008620689655172
LONDON,follow_es,15,30,HIGH,Y2025,43,0.4418604651162791,-0.05813953488372093,-1.058139534883721
LONDON,follow_es,15,30,HIGH,Y2026,15,0.4666666666666667,0.55,-0.45
LONDON,follow_es,15,30,LOW,IS,739,0.4722598105548038,-0.2675913396481732,-1.2675913396481733
LONDON,follow_es,15,30,LOW,Validation,171,0.5672514619883041,1.0073099415204678,0.007309941520467836
LONDON,follow_es,15,30,LOW,OOS,208,0.46153846153846156,-3.3365384615384617,-4.336538461538462
LONDON,follow_es,15,30,LOW,Y2025,120,0.525,-2.716666666666667,-3.716666666666667
LONDON,follow_es,15,30,LOW,Y2026,88,0.375,-4.181818181818182,-5.181818181818182
LONDON,follow_es,30,15,ALL,IS,2299,0.4632448890822097,0.2741409308394954,-0.7258590691605046
LONDON,follow_es,30,15,ALL,Validation,760,0.4763157894736842,-0.7236842105263158,-1.7236842105263157
LONDON,follow_es,30,15,ALL,OOS,404,0.47277227722772275,-1.0445544554455446,-2.0445544554455446
LONDON,follow_es,30,15,ALL,Y2025,251,0.49800796812749004,0.9342629482071713,-0.06573705179282868
LONDON,follow_es,30,15,ALL,Y2026,153,0.43137254901960786,-4.290849673202614,-5.290849673202614
LONDON,follow_es,30,15,HIGH,IS,803,0.46450809464508097,0.6967621419676214,-0.30323785803237857
LONDON,follow_es,30,15,HIGH,Validation,322,0.46273291925465837,-1.438664596273292,-2.438664596273292
LONDON,follow_es,30,15,HIGH,OOS,66,0.4393939393939394,-0.07196969696969698,-1.071969696969697
LONDON,follow_es,30,15,HIGH,Y2025,48,0.4375,0.296875,-0.703125
LONDON,follow_es,30,15,HIGH,Y2026,18,0.4444444444444444,-1.0555555555555556,-2.0555555555555554
LONDON,follow_es,30,15,LOW,IS,734,0.4877384196185286,0.5183923705722071,-0.4816076294277929
LONDON,follow_es,30,15,LOW,Validation,164,0.5,0.5457317073170732,-0.45426829268292684
LONDON,follow_es,30,15,LOW,OOS,210,0.44761904761904764,-2.5690476190476192,-3.5690476190476192
LONDON,follow_es,30,15,LOW,Y2025,119,0.4789915966386555,-0.6365546218487395,-1.6365546218487395
LONDON,follow_es,30,15,LOW,Y2026,91,0.4065934065934066,-5.096153846153846,-6.096153846153846
LONDON,follow_es,30,30,ALL,IS,2299,0.4658547194432362,0.16844280121792082,-0.8315571987820791
LONDON,follow_es,30,30,ALL,Validation,760,0.45394736842105265,-2.4460526315789473,-3.4460526315789473
LONDON,follow_es,30,30,ALL,OOS,404,0.45792079207920794,-1.2889851485148516,-2.2889851485148514
LONDON,follow_es,30,30,ALL,Y2025,251,0.4541832669322709,0.11653386454183266,-0.8834661354581673
LONDON,follow_es,30,30,ALL,Y2026,153,0.46405228758169936,-3.5947712418300655,-4.594771241830065
LONDON,follow_es,30,30,HIGH,IS,803,0.46948941469489414,0.6460149439601495,-0.3539850560398506
LONDON,follow_es,30,30,HIGH,Validation,322,0.4472049689440994,-3.872670807453416,-4.872670807453416
LONDON,follow_es,30,30,HIGH,OOS,66,0.48484848484848486,-0.4583333333333333,-1.4583333333333333
LONDON,follow_es,30,30,HIGH,Y2025,48,0.4583333333333333,-0.5729166666666666,-1.5729166666666667
LONDON,follow_es,30,30,HIGH,Y2026,18,0.5555555555555556,-0.1527777777777778,-1.1527777777777777
LONDON,follow_es,30,30,LOW,IS,734,0.4822888283378747,0.3746594005449591,-0.6253405994550408
