market,split,band,horizon_min,mean_fade_return_pts,mean_fade_return_pts,positive_rate,positive_rate,fade_return_diff_break_minus_control,positive_rate_diff_break_minus_control
,,,,break,control,break,control,,
ES,IS,0.5-1.0,1,-0.001968503937007874,0.022898493259318,0.3858267716535433,0.35804916732751785,-0.024866997196325874,0.02777760432602544
ES,IS,0.5-1.0,5,0.0027559055118110236,0.039849325931800156,0.45984251968503936,0.4452815226011102,-0.03709342041998913,0.014560997083929161
ES,IS,0.5-1.0,15,-0.10669291338582677,0.027359238699444885,0.47401574803149604,0.47026169706582077,-0.13405215208527166,0.0037540509656752707
ES,IS,0.5-1.0,30,-0.1251968503937008,0.06205392545598731,0.525984251968504,0.4980174464710547,-0.1872507758496881,0.027966805497449232
ES,IS,0.5-1.0,60,-0.11653543307086614,0.006344171292624901,0.5606299212598426,0.5079302141157811,-0.12287960436349105,0.05269970714406147
ES,IS,1.0-1.5,1,0.0852510460251046,0.014214801444043322,0.39330543933054396,0.4007220216606498,0.07103624458106128,-0.0074165823301058365
ES,IS,1.0-1.5,5,0.35826359832635984,0.020081227436823106,0.5376569037656904,0.4756317689530686,0.33818237088953673,0.06202513481262184
ES,IS,1.0-1.5,15,0.3274058577405858,0.0582129963898917,0.5334728033472803,0.4954873646209386,0.2691928613506941,0.03798543872634169
ES,IS,1.0-1.5,30,0.5402719665271967,0.09296028880866426,0.5585774058577406,0.506768953068592,0.4473116777185324,0.051808452789148585
ES,IS,1.0-1.5,60,0.8540794979079498,0.10965703971119134,0.5543933054393305,0.5225631768953068,0.7444224581967585,0.03183012854402367
ES,IS,1.5+,1,-0.009349030470914127,-0.022911051212938006,0.41274238227146814,0.43463611859838275,0.013562020742023879,-0.021893736326914603
ES,IS,1.5+,5,0.09106648199445984,-0.028975741239892182,0.5083102493074793,0.511455525606469,0.12004222323435201,-0.003145276298989752
ES,IS,1.5+,15,-0.04362880886426593,-0.15296495956873316,0.49722991689750695,0.5074123989218329,0.10933615070446723,-0.010182482024325923
ES,IS,1.5+,30,-0.1281163434903047,-0.15886118598382748,0.48476454293628807,0.5040431266846361,0.030744842493522773,-0.019278583748348066
ES,IS,1.5+,60,-0.13434903047091412,-0.1307277628032345,0.4889196675900277,0.5262803234501348,-0.0036212676676796174,-0.03736065586010706
ES,IS,<0.5,1,0.098,0.01353448275862069,0.3413333333333333,0.30758620689655175,0.08446551724137931,0.03374712643678157
ES,IS,<0.5,5,0.06,-0.03560344827586207,0.47733333333333333,0.38517241379310346,0.09560344827586206,0.09216091954022987
ES,IS,<0.5,15,0.04066666666666666,-0.05353448275862069,0.5146666666666667,0.44517241379310346,0.09420114942528734,0.06949425287356326
ES,IS,<0.5,30,0.15666666666666668,-0.07844827586206897,0.5173333333333333,0.45655172413793105,0.23511494252873566,0.060781609195402264
ES,IS,<0.5,60,0.30466666666666664,-0.019913793103448277,0.5093333333333333,0.47793103448275864,0.3245804597701149,0.03140229885057466
ES,OOS,0.5-1.0,1,0.02727272727272727,-0.09660421545667447,0.4090909090909091,0.46604215456674475,0.12387694272940174,-0.05695124547583563
ES,OOS,0.5-1.0,5,0.031818181818181815,-0.02576112412177986,0.45454545454545453,0.5081967213114754,0.057579305939961675,-0.05365126676602089
ES,OOS,0.5-1.0,15,0.15227272727272728,0.14578454332552693,0.4636363636363636,0.48711943793911006,0.006488183947200354,-0.02348307430274643
ES,OOS,0.5-1.0,30,0.6409090909090909,0.32142857142857145,0.5363636363636364,0.477751756440281,0.3194805194805194,0.05861187992335537
ES,OOS,0.5-1.0,60,0.5136363636363637,1.329625292740047,0.4818181818181818,0.5339578454332553,-0.8159889291036833,-0.052139663615073495
ES,OOS,1.0-1.5,1,0.3776595744680851,-0.07835820895522388,0.4787234042553192,0.4577114427860697,0.456017783423309,0.021011961469249496
ES,OOS,1.0-1.5,5,0.1595744680851064,0.010572139303482588,0.5106382978723404,0.5124378109452736,0.1490023287816238,-0.0017995130729332454
ES,OOS,1.0-1.5,15,0.5718085106382979,-0.03109452736318408,0.5319148936170213,0.4651741293532338,0.6029030380014819,0.06674076426378744
ES,OOS,1.0-1.5,30,0.824468085106383,0.10634328358208955,0.5531914893617021,0.4701492537313433,0.7181248015242935,0.08304223563035884
ES,OOS,1.0-1.5,60,0.21808510638297873,0.03544776119402985,0.5319148936170213,0.4975124378109453,0.1826373451889489,0.03440245580607598
ES,OOS,1.5+,1,-0.2784552845528455,0.26655629139072845,0.45528455284552843,0.5364238410596026,-0.545011575943574,-0.08113928821407418
ES,OOS,1.5+,5,-0.09146341463414634,0.33857615894039733,0.42276422764227645,0.5662251655629139,-0.4300395735745437,-0.14346093792063747
ES,OOS,1.5+,15,1.4227642276422765,-0.06374172185430464,0.5772357723577236,0.5629139072847682,1.486505949496581,0.014321865072955409
ES,OOS,1.5+,30,1.2784552845528456,0.4759933774834437,0.5203252032520326,0.5231788079470199,0.8024619070694019,-0.0028536046949872995
ES,OOS,1.5+,60,-0.14634146341463414,-0.10264900662251655,0.4878048780487805,0.49337748344370863,-0.043692456792117584,-0.005572605394928154
ES,OOS,<0.5,1,-0.17424242424242425,0.11826697892271663,0.3939393939393939,0.4519906323185012,-0.2925094031651409,-0.05805123837910725
ES,OOS,<0.5,5,-0.5037878787878788,0.11651053864168619,0.5151515151515151,0.477751756440281,-0.6202984174295649,0.03739975871123413
ES,OOS,<0.5,15,-0.015151515151515152,0.34894613583138173,0.5909090909090909,0.5035128805620609,-0.36409765098289687,0.08739621034703005
ES,OOS,<0.5,30,0.8371212121212122,0.6071428571428571,0.5606060606060606,0.5456674473067916,0.22997835497835506,0.014938613299268932
ES,OOS,<0.5,60,0.8484848484848485,0.8940281030444965,0.48484848484848486,0.5269320843091335,-0.04554325455964803,-0.04208359946064866
ES,Validation,0.5-1.0,1,0.011904761904761904,0.09161290322580645,0.45714285714285713,0.4425806451612903,-0.07970814132104455,0.01456221198156682
ES,Validation,0.5-1.0,5,0.18095238095238095,0.05451612903225807,0.5333333333333333,0.5045161290322581,0.12643625192012287,0.02881720430107526
ES,Validation,0.5-1.0,15,0.3726190476190476,0.16903225806451613,0.5190476190476191,0.4916129032258065,0.2035867895545315,0.027434715821812616
ES,Validation,0.5-1.0,30,0.3488095238095238,0.10225806451612904,0.5047619047619047,0.4916129032258065,0.24655145929339475,0.01314900153609827
ES,Validation,0.5-1.0,60,0.5380952380952381,-0.034516129032258064,0.6,0.5032258064516129,0.5726113671274962,0.09677419354838712
ES,Validation,1.0-1.5,1,0.14215686274509803,0.021917808219178082,0.49673202614379086,0.46986301369863015,0.12023905452591996,0.02686901244516071
ES,Validation,1.0-1.5,5,0.26143790849673204,-0.04486301369863014,0.5424836601307189,0.4849315068493151,0.3063009221953622,0.05755215328140384
ES,Validation,1.0-1.5,15,0.2042483660130719,-0.17328767123287672,0.5098039215686274,0.48904109589041095,0.37753603724594864,0.020762825678216468
ES,Validation,1.0-1.5,30,0.25326797385620914,-0.0863013698630137,0.49673202614379086,0.5205479452054794,0.33956934371922287,-0.023815919061688562
ES,Validation,1.0-1.5,60,0.4362745098039216,-0.015068493150684932,0.5816993464052288,0.48356164383561645,0.4513430029546065,0.09813770256961235
ES,Validation,1.5+,1,0.12934362934362933,-0.014090909090909091,0.5019305019305019,0.45454545454545453,0.14343453843453843,0.047385047385047396
ES,Validation,1.5+,5,-0.0859073359073359,0.05,0.528957528957529,0.49636363636363634,-0.1359073359073359,0.03259389259389267
ES,Validation,1.5+,15,-0.15154440154440155,-0.08181818181818182,0.5096525096525096,0.5036363636363637,-0.06972621972621973,0.0060161460161459734
ES,Validation,1.5+,30,0.14285714285714285,-0.012272727272727272,0.4555984555984556,0.4909090909090909,0.15512987012987012,-0.03531063531063533
ES,Validation,1.5+,60,-0.08687258687258688,-0.3977272727272727,0.5366795366795367,0.5054545454545455,0.31085468585468584,0.031224991224991228
