market,event_type,signal_time,split,year,band,normalized_down_move,entry,support,horizon_min,fade_return_pts,fade_mfe_pts,fade_mae_pts,positive_return,time_to_recover_min,fraction_below_60,max_recovery_60_pts
NQ,control,2010-06-07 01:29:00-04:00,IS,2010,0.5-1.0,0.7222222222222222,1820.5,1811.5,1,-0.25,0.5,-0.25,0,1.0,0.0,14.5
NQ,control,2010-06-07 01:29:00-04:00,IS,2010,0.5-1.0,0.7222222222222222,1820.5,1811.5,5,-0.25,0.75,-0.5,0,1.0,0.0,14.5
NQ,control,2010-06-07 01:29:00-04:00,IS,2010,0.5-1.0,0.7222222222222222,1820.5,1811.5,15,2.75,3.0,-1.0,1,1.0,0.0,14.5
NQ,control,2010-06-07 01:29:00-04:00,IS,2010,0.5-1.0,0.7222222222222222,1820.5,1811.5,30,4.5,5.5,-1.0,1,1.0,0.0,14.5
NQ,control,2010-06-07 01:29:00-04:00,IS,2010,0.5-1.0,0.7222222222222222,1820.5,1811.5,60,0.5,5.5,-3.0,1,1.0,0.0,14.5
NQ,control,2010-06-07 02:14:00-04:00,IS,2010,1.0-1.5,1.0404624277456647,1818.75,1811.5,1,-0.5,0.5,-0.75,0,1.0,0.0,19.5
NQ,control,2010-06-07 02:14:00-04:00,IS,2010,1.0-1.5,1.0404624277456647,1818.75,1811.5,5,0.75,1.5,-1.25,1,1.0,0.0,19.5
NQ,control,2010-06-07 02:14:00-04:00,IS,2010,1.0-1.5,1.0404624277456647,1818.75,1811.5,15,2.25,2.5,-1.25,1,1.0,0.0,19.5
NQ,control,2010-06-07 02:14:00-04:00,IS,2010,1.0-1.5,1.0404624277456647,1818.75,1811.5,30,5.25,6.25,-1.25,1,1.0,0.0,19.5
NQ,control,2010-06-07 02:14:00-04:00,IS,2010,1.0-1.5,1.0404624277456647,1818.75,1811.5,60,7.25,12.25,-1.25,1,1.0,0.0,19.5
NQ,control,2010-06-07 03:59:00-04:00,IS,2010,<0.5,0.417910447761194,1824.75,1811.75,1,0.0,0.25,-0.25,0,1.0,0.0,19.5
NQ,control,2010-06-07 03:59:00-04:00,IS,2010,<0.5,0.417910447761194,1824.75,1811.75,5,-1.5,0.5,-1.5,0,1.0,0.0,19.5
NQ,control,2010-06-07 03:59:00-04:00,IS,2010,<0.5,0.417910447761194,1824.75,1811.75,15,0.75,1.25,-2.25,1,1.0,0.0,19.5
NQ,control,2010-06-07 03:59:00-04:00,IS,2010,<0.5,0.417910447761194,1824.75,1811.75,30,1.25,4.25,-2.25,1,1.0,0.0,19.5
NQ,control,2010-06-07 03:59:00-04:00,IS,2010,<0.5,0.417910447761194,1824.75,1811.75,60,5.75,6.5,-2.25,1,1.0,0.0,19.5
NQ,control,2010-06-07 09:44:00-04:00,IS,2010,1.5+,3.6805555555555554,1827.75,1825.5,1,0.75,1.0,-1.5,1,1.0,0.0,20.0
NQ,control,2010-06-07 09:44:00-04:00,IS,2010,1.5+,3.6805555555555554,1827.75,1825.5,5,8.0,8.75,-1.5,1,1.0,0.0,20.0
NQ,control,2010-06-07 09:44:00-04:00,IS,2010,1.5+,3.6805555555555554,1827.75,1825.5,15,13.0,16.0,-1.5,1,1.0,0.0,20.0
NQ,control,2010-06-07 09:44:00-04:00,IS,2010,1.5+,3.6805555555555554,1827.75,1825.5,30,14.5,17.75,-1.5,1,1.0,0.0,20.0
NQ,control,2010-06-07 09:44:00-04:00,IS,2010,1.5+,3.6805555555555554,1827.75,1825.5,60,1.0,17.75,-1.5,1,1.0,0.0,20.0
NQ,break,2010-06-07 10:59:00-04:00,IS,2010,1.5+,2.600896860986547,1815.0,1826.25,1,2.0,2.25,-0.25,1,,1.0,-1.0
NQ,break,2010-06-07 10:59:00-04:00,IS,2010,1.5+,2.600896860986547,1815.0,1826.25,5,4.0,4.25,-0.5,1,,1.0,-1.0
NQ,break,2010-06-07 10:59:00-04:00,IS,2010,1.5+,2.600896860986547,1815.0,1826.25,15,-0.75,4.75,-0.75,0,,1.0,-1.0
NQ,break,2010-06-07 10:59:00-04:00,IS,2010,1.5+,2.600896860986547,1815.0,1826.25,30,2.0,4.75,-3.75,1,,1.0,-1.0
NQ,break,2010-06-07 10:59:00-04:00,IS,2010,1.5+,2.600896860986547,1815.0,1826.25,60,9.5,10.25,-3.75,1,,1.0,-1.0
NQ,control,2010-06-07 19:59:00-04:00,IS,2010,0.5-1.0,0.7567567567567568,1802.0,1793.75,1,-0.25,0.75,-0.25,0,1.0,0.4166666666666667,11.75
NQ,control,2010-06-07 19:59:00-04:00,IS,2010,0.5-1.0,0.7567567567567568,1802.0,1793.75,5,0.75,0.75,-0.5,1,1.0,0.4166666666666667,11.75
NQ,control,2010-06-07 19:59:00-04:00,IS,2010,0.5-1.0,0.7567567567567568,1802.0,1793.75,15,1.75,2.0,-0.5,1,1.0,0.4166666666666667,11.75
NQ,control,2010-06-07 19:59:00-04:00,IS,2010,0.5-1.0,0.7567567567567568,1802.0,1793.75,30,3.25,3.5,-0.5,1,1.0,0.4166666666666667,11.75
NQ,control,2010-06-07 19:59:00-04:00,IS,2010,0.5-1.0,0.7567567567567568,1802.0,1793.75,60,-8.25,3.5,-10.5,0,1.0,0.4166666666666667,11.75
NQ,break,2010-06-08 20:14:00-04:00,IS,2010,0.5-1.0,0.8029197080291971,1786.5,1793.75,1,-0.25,0.25,-1.0,0,,1.0,-6.75
NQ,break,2010-06-08 20:14:00-04:00,IS,2010,0.5-1.0,0.8029197080291971,1786.5,1793.75,5,-1.0,0.25,-1.0,0,,1.0,-6.75
NQ,break,2010-06-08 20:14:00-04:00,IS,2010,0.5-1.0,0.8029197080291971,1786.5,1793.75,15,-2.75,0.25,-3.75,0,,1.0,-6.75
NQ,break,2010-06-08 20:14:00-04:00,IS,2010,0.5-1.0,0.8029197080291971,1786.5,1793.75,30,-9.75,0.5,-11.25,0,,1.0,-6.75
NQ,break,2010-06-08 20:14:00-04:00,IS,2010,0.5-1.0,0.8029197080291971,1786.5,1793.75,60,-6.5,0.5,-11.25,0,,1.0,-6.75
NQ,break,2010-06-09 20:29:00-04:00,IS,2010,<0.5,0.30354131534569984,1776.75,1782.75,1,0.5,0.5,0.0,1,3.0,0.03333333333333333,49.0
NQ,break,2010-06-09 20:29:00-04:00,IS,2010,<0.5,0.30354131534569984,1776.75,1782.75,5,48.0,49.0,0.0,1,3.0,0.03333333333333333,49.0
NQ,break,2010-06-09 20:29:00-04:00,IS,2010,<0.5,0.30354131534569984,1776.75,1782.75,15,47.5,49.0,0.0,1,3.0,0.03333333333333333,49.0
NQ,break,2010-06-09 20:29:00-04:00,IS,2010,<0.5,0.30354131534569984,1776.75,1782.75,30,47.0,49.0,0.0,1,3.0,0.03333333333333333,49.0
NQ,break,2010-06-09 20:29:00-04:00,IS,2010,<0.5,0.30354131534569984,1776.75,1782.75,60,42.75,55.0,-0.25,1,3.0,0.03333333333333333,49.0
NQ,control,2010-06-13 19:29:00-04:00,IS,2010,<0.5,0.25085518814139107,1852.0,1776.25,1,-0.5,0.0,-0.5,0,1.0,0.0,77.0
NQ,control,2010-06-13 19:29:00-04:00,IS,2010,<0.5,0.25085518814139107,1852.0,1776.25,5,0.25,1.0,-0.5,1,1.0,0.0,77.0
NQ,control,2010-06-13 19:29:00-04:00,IS,2010,<0.5,0.25085518814139107,1852.0,1776.25,15,-0.5,1.25,-0.5,0,1.0,0.0,77.0
NQ,control,2010-06-13 19:29:00-04:00,IS,2010,<0.5,0.25085518814139107,1852.0,1776.25,30,-0.25,1.25,-1.25,0,1.0,0.0,77.0
NQ,control,2010-06-13 19:29:00-04:00,IS,2010,<0.5,0.25085518814139107,1852.0,1776.25,60,-0.25,1.25,-1.5,0,1.0,0.0,77.0
NQ,control,2010-06-14 09:14:00-04:00,IS,2010,0.5-1.0,0.7,1858.25,1849.75,1,0.25,0.5,-0.5,1,1.0,0.0,20.0
NQ,control,2010-06-14 09:14:00-04:00,IS,2010,0.5-1.0,0.7,1858.25,1849.75,5,0.0,0.5,-0.5,0,1.0,0.0,20.0
NQ,control,2010-06-14 09:14:00-04:00,IS,2010,0.5-1.0,0.7,1858.25,1849.75,15,4.0,4.0,-0.5,1,1.0,0.0,20.0
