market,split,event_type,band,horizon_min,events,mean_fade_return_pts,median_fade_return_pts,p10_fade_return_pts,p90_fade_return_pts,positive_rate,mfe_pts,mae_pts,time_to_recover_min,fraction_below_60,max_recovery_60_pts
ES,IS,break,0.5-1.0,1,635,-0.001968503937007874,0.0,-0.75,0.5,0.3858267716535433,0.431496062992126,-0.4590551181102362,14.330434782608696,0.6158005249343832,1.455511811023622
ES,IS,break,0.5-1.0,5,635,0.0027559055118110236,0.0,-1.25,1.25,0.45984251968503936,0.8751968503937008,-0.9047244094488189,14.330434782608696,0.6158005249343832,1.455511811023622
ES,IS,break,0.5-1.0,15,635,-0.10669291338582677,0.0,-2.0,1.75,0.47401574803149604,1.2909448818897638,-1.5921259842519686,14.330434782608696,0.6158005249343832,1.455511811023622
ES,IS,break,0.5-1.0,30,635,-0.1251968503937008,0.25,-3.0,2.25,0.525984251968504,1.8409448818897638,-2.1692913385826773,14.330434782608696,0.6158005249343832,1.455511811023622
ES,IS,break,0.5-1.0,60,635,-0.11653543307086614,0.25,-4.25,3.5,0.5606299212598426,2.7791338582677168,-3.2267716535433073,14.330434782608696,0.6158005249343832,1.455511811023622
ES,IS,break,1.0-1.5,1,478,0.0852510460251046,0.0,-0.75,0.75,0.39330543933054396,0.5894351464435147,-0.5256276150627615,15.227692307692308,0.632112970711297,2.287133891213389
ES,IS,break,1.0-1.5,5,478,0.35826359832635984,0.25,-1.25,1.75,0.5376569037656904,1.323744769874477,-1.0423640167364017,15.227692307692308,0.632112970711297,2.287133891213389
ES,IS,break,1.0-1.5,15,478,0.3274058577405858,0.25,-2.3249999999999993,2.5,0.5334728033472803,1.9942468619246863,-1.6192468619246863,15.227692307692308,0.632112970711297,2.287133891213389
ES,IS,break,1.0-1.5,30,478,0.5402719665271967,0.5,-3.0,4.0,0.5585774058577406,2.7777196652719667,-2.291317991631799,15.227692307692308,0.632112970711297,2.287133891213389
ES,IS,break,1.0-1.5,60,478,0.8540794979079498,0.5,-4.5,6.75,0.5543933054393305,4.102510460251046,-3.337866108786611,15.227692307692308,0.632112970711297,2.287133891213389
ES,IS,break,1.5+,1,722,-0.009349030470914127,0.0,-1.0,1.0,0.41274238227146814,0.6385041551246537,-0.7579639889196675,17.85989010989011,0.7682363804247461,0.6381578947368421
ES,IS,break,1.5+,5,722,0.09106648199445984,0.25,-1.5,1.75,0.5083102493074793,1.3223684210526316,-1.4473684210526316,17.85989010989011,0.7682363804247461,0.6381578947368421
ES,IS,break,1.5+,15,722,-0.04362880886426593,0.0,-3.0,3.25,0.49722991689750695,2.0713296398891967,-2.3781163434903045,17.85989010989011,0.7682363804247461,0.6381578947368421
ES,IS,break,1.5+,30,722,-0.1281163434903047,0.0,-4.25,4.0,0.48476454293628807,2.770083102493075,-3.320983379501385,17.85989010989011,0.7682363804247461,0.6381578947368421
ES,IS,break,1.5+,60,722,-0.13434903047091412,0.0,-5.5,5.5,0.4889196675900277,3.6973684210526314,-4.499307479224377,17.85989010989011,0.7682363804247461,0.6381578947368421
ES,IS,break,<0.5,1,375,0.098,0.0,-0.5,0.5,0.3413333333333333,0.404,-0.3433333333333333,12.385026737967914,0.6981333333333334,0.6406666666666667
ES,IS,break,<0.5,5,375,0.06,0.0,-0.75,1.0,0.47733333333333333,0.8633333333333333,-0.816,12.385026737967914,0.6981333333333334,0.6406666666666667
ES,IS,break,<0.5,15,375,0.04066666666666666,0.25,-1.5,1.5,0.5146666666666667,1.3566666666666667,-1.3133333333333332,12.385026737967914,0.6981333333333334,0.6406666666666667
ES,IS,break,<0.5,30,375,0.15666666666666668,0.25,-2.0,2.4000000000000057,0.5173333333333333,2.070666666666667,-1.9173333333333333,12.385026737967914,0.6981333333333334,0.6406666666666667
ES,IS,break,<0.5,60,375,0.30466666666666664,0.25,-2.75,3.75,0.5093333333333333,4.645333333333333,-2.9273333333333333,12.385026737967914,0.6981333333333334,0.6406666666666667
ES,IS,control,0.5-1.0,1,2522,0.022898493259318,0.0,-0.5,0.5,0.35804916732751785,0.34099920697858843,-0.32117367168913563,1.1148783406461906,0.05697858842188739,10.000793021411578
ES,IS,control,0.5-1.0,5,2522,0.039849325931800156,0.0,-1.0,1.0,0.4452815226011102,0.7114393338620143,-0.7220459952418715,1.1148783406461906,0.05697858842188739,10.000793021411578
ES,IS,control,0.5-1.0,15,2522,0.027359238699444885,0.0,-1.5,1.5,0.47026169706582077,1.2219468675654244,-1.2411776367961935,1.1148783406461906,0.05697858842188739,10.000793021411578
ES,IS,control,0.5-1.0,30,2522,0.06205392545598731,0.0,-2.0,2.25,0.4980174464710547,1.7441514670896114,-1.722145122918319,1.1148783406461906,0.05697858842188739,10.000793021411578
ES,IS,control,0.5-1.0,60,2522,0.006344171292624901,0.25,-3.25,3.25,0.5079302141157811,2.4875099127676448,-2.5572957969865184,1.1148783406461906,0.05697858842188739,10.000793021411578
