split,event_type,band,horizon_min,events,mean_long_return_pts,median_long_return_pts,positive_rate,mfe_pts,mae_pts,retention_rate,time_to_fail_min,fraction_below_60,max_extension_60_pts
IS,break,0.5-1.0,1,708,0.1426553672316384,0.0,0.4350282485875706,1.3559322033898304,-1.0674435028248588,0.8870056497175142,13.21788990825688,0.263771186440678,12.784957627118644
IS,break,0.5-1.0,5,708,0.014124293785310734,0.0,0.4477401129943503,2.5801553672316384,-2.388418079096045,0.7923728813559322,13.21788990825688,0.263771186440678,12.784957627118644
IS,break,0.5-1.0,15,708,0.1497175141242938,0.0,0.4731638418079096,4.304378531073446,-3.9304378531073447,0.7288135593220338,13.21788990825688,0.263771186440678,12.784957627118644
IS,break,0.5-1.0,30,708,0.6419491525423728,0.0,0.4887005649717514,6.293785310734464,-5.698446327683616,0.713276836158192,13.21788990825688,0.263771186440678,12.784957627118644
IS,break,0.5-1.0,60,708,-0.15112994350282485,0.25,0.5155367231638418,9.043079096045197,-8.999646892655367,0.6765536723163842,13.21788990825688,0.263771186440678,12.784957627118644
IS,break,1.0-1.5,1,455,-0.11813186813186813,0.0,0.46813186813186813,1.4615384615384615,-1.504945054945055,0.9032967032967033,17.87547169811321,0.21494505494505495,15.3989010989011
IS,break,1.0-1.5,5,455,-0.34505494505494505,-0.25,0.42417582417582417,2.8994505494505494,-3.0032967032967033,0.8461538461538461,17.87547169811321,0.21494505494505495,15.3989010989011
IS,break,1.0-1.5,15,455,-0.38571428571428573,-0.25,0.43736263736263736,4.656593406593407,-4.978021978021978,0.7670329670329671,17.87547169811321,0.21494505494505495,15.3989010989011
IS,break,1.0-1.5,30,455,0.34725274725274724,0.0,0.4901098901098901,6.791758241758242,-6.754395604395604,0.7692307692307693,17.87547169811321,0.21494505494505495,15.3989010989011
IS,break,1.0-1.5,60,455,1.1324175824175824,0.0,0.4989010989010989,10.115934065934066,-9.626923076923077,0.7076923076923077,17.87547169811321,0.21494505494505495,15.3989010989011
IS,break,1.5+,1,529,-0.017958412098298678,0.0,0.4499054820415879,2.2542533081285443,-2.0718336483931945,0.9508506616257089,18.91764705882353,0.19782608695652176,24.85349716446125
IS,break,1.5+,5,529,0.06049149338374291,-0.25,0.43856332703213613,4.444234404536862,-4.078449905482041,0.8809073724007561,18.91764705882353,0.19782608695652176,24.85349716446125
IS,break,1.5+,15,529,0.9640831758034026,0.0,0.4877126654064272,7.34640831758034,-6.267013232514178,0.8506616257088847,18.91764705882353,0.19782608695652176,24.85349716446125
