session,T_offset,horizon,universe,split,n,win,E
LONDON,15,15,ALL_bias,IS,2393,0.4972837442540744,-0.07720434600919349
LONDON,15,15,ALL_bias,Validation,774,0.537467700258398,1.2102713178294573
LONDON,15,15,ALL_bias,OOS,413,0.4600484261501211,-2.0332929782082325
LONDON,15,15,ALL_bias,Y2025,257,0.49416342412451364,-0.9785992217898832
LONDON,15,15,ALL_bias,Y2026,156,0.40384615384615385,-3.7708333333333335
LONDON,15,15,HIGH_bias,IS,814,0.49385749385749383,0.06173218673218673
LONDON,15,15,HIGH_bias,Validation,303,0.5379537953795379,1.25
LONDON,15,15,HIGH_bias,OOS,58,0.41379310344827586,-4.456896551724138
LONDON,15,15,HIGH_bias,Y2025,43,0.46511627906976744,-3.4593023255813953
LONDON,15,15,HIGH_bias,Y2026,15,0.26666666666666666,-7.316666666666666
LONDON,15,15,LOW_bias,IS,789,0.5019011406844106,0.062103929024081114
LONDON,15,15,LOW_bias,Validation,177,0.5084745762711864,0.0635593220338983
LONDON,15,15,LOW_bias,OOS,217,0.4470046082949309,-3.640552995391705
LONDON,15,15,LOW_bias,Y2025,124,0.5241935483870968,-0.09475806451612903
LONDON,15,15,LOW_bias,Y2026,93,0.34408602150537637,-8.368279569892474
LONDON,15,15,HIGH_long,IS,814,0.5085995085995086,0.367014742014742
LONDON,15,15,HIGH_long,Validation,303,0.5445544554455446,0.8028052805280528
LONDON,15,15,HIGH_long,OOS,58,0.5517241379310345,2.0258620689655173
LONDON,15,15,HIGH_long,Y2025,43,0.5813953488372093,1.947674418604651
LONDON,15,15,HIGH_long,Y2026,15,0.4666666666666667,2.25
LONDON,15,30,ALL_bias,IS,2393,0.4868366067697451,0.0828458002507313
LONDON,15,30,ALL_bias,Validation,774,0.5322997416020672,1.6346899224806202
LONDON,15,30,ALL_bias,OOS,413,0.43825665859564167,-3.3286924939467313
LONDON,15,30,ALL_bias,Y2025,257,0.4163424124513619,-2.5797665369649807
LONDON,15,30,ALL_bias,Y2026,156,0.47435897435897434,-4.5625
LONDON,15,30,HIGH_bias,IS,814,0.4877149877149877,0.07524570024570025
LONDON,15,30,HIGH_bias,Validation,303,0.5346534653465347,1.9356435643564356
LONDON,15,30,HIGH_bias,OOS,58,0.3448275862068966,-8.676724137931034
LONDON,15,30,HIGH_bias,Y2025,43,0.32558139534883723,-11.813953488372093
LONDON,15,30,HIGH_bias,Y2026,15,0.4,0.31666666666666665
LONDON,15,30,LOW_bias,IS,789,0.5044359949302915,0.4394803548795944
LONDON,15,30,LOW_bias,Validation,177,0.480225988700565,-1.1214689265536724
LONDON,15,30,LOW_bias,OOS,217,0.45161290322580644,-5.610599078341014
LONDON,15,30,LOW_bias,Y2025,124,0.46774193548387094,-1.5665322580645162
LONDON,15,30,LOW_bias,Y2026,93,0.43010752688172044,-11.00268817204301
LONDON,15,30,HIGH_long,IS,814,0.5110565110565111,0.31726044226044225
LONDON,15,30,HIGH_long,Validation,303,0.5643564356435643,0.3927392739273927
LONDON,15,30,HIGH_long,OOS,58,0.4827586206896552,1.0905172413793103
LONDON,15,30,HIGH_long,Y2025,43,0.5348837209302325,5.104651162790698
LONDON,15,30,HIGH_long,Y2026,15,0.3333333333333333,-10.416666666666666
LONDON,15,60,ALL_bias,IS,2393,0.48600083577099873,-0.017237776849143335
LONDON,15,60,ALL_bias,Validation,774,0.5064599483204134,1.197674418604651
LONDON,15,60,ALL_bias,OOS,413,0.46246973365617433,-3.7947941888619856
LONDON,15,60,ALL_bias,Y2025,257,0.4591439688715953,-4.543774319066148
LONDON,15,60,ALL_bias,Y2026,156,0.46794871794871795,-2.5608974358974357
LONDON,15,60,HIGH_bias,IS,814,0.48034398034398035,0.1815110565110565
LONDON,15,60,HIGH_bias,Validation,303,0.504950495049505,2.378712871287129
LONDON,15,60,HIGH_bias,OOS,58,0.3793103448275862,-10.875
LONDON,15,60,HIGH_bias,Y2025,43,0.37209302325581395,-13.523255813953488
LONDON,15,60,HIGH_bias,Y2026,15,0.4,-3.283333333333333
LONDON,15,60,LOW_bias,IS,789,0.4828897338403042,0.19233206590621038
LONDON,15,60,LOW_bias,Validation,177,0.4519774011299435,-2.6680790960451977
LONDON,15,60,LOW_bias,OOS,217,0.4608294930875576,-6.1728110599078345
LONDON,15,60,LOW_bias,Y2025,124,0.4838709677419355,-0.3528225806451613
LONDON,15,60,LOW_bias,Y2026,93,0.43010752688172044,-13.932795698924732
LONDON,15,60,HIGH_long,IS,814,0.5036855036855037,0.11025798525798526
LONDON,15,60,HIGH_long,Validation,303,0.504950495049505,0.28465346534653463
LONDON,15,60,HIGH_long,OOS,58,0.5517241379310345,4.831896551724138
LONDON,15,60,HIGH_long,Y2025,43,0.5348837209302325,2.244186046511628
LONDON,15,60,HIGH_long,Y2026,15,0.6,12.25
LONDON,15,90,ALL_bias,IS,2393,0.5027162557459256,0.3336815712494776
LONDON,15,90,ALL_bias,Validation,774,0.4935400516795866,-0.14276485788113696
LONDON,15,90,ALL_bias,OOS,413,0.48668280871670705,-2.5163438256658597
LONDON,15,90,ALL_bias,Y2025,257,0.49416342412451364,-1.8375486381322956
LONDON,15,90,ALL_bias,Y2026,156,0.47435897435897434,-3.6346153846153846
LONDON,15,90,HIGH_bias,IS,814,0.5147420147420148,0.812039312039312
LONDON,15,90,HIGH_bias,Validation,303,0.4884488448844885,1.028052805280528
LONDON,15,90,HIGH_bias,OOS,58,0.5,-8.59051724137931
LONDON,15,90,HIGH_bias,Y2025,43,0.46511627906976744,-12.151162790697674
LONDON,15,90,HIGH_bias,Y2026,15,0.6,1.6166666666666667
LONDON,15,90,LOW_bias,IS,789,0.4917617237008872,0.9138149556400507
LONDON,15,90,LOW_bias,Validation,177,0.4689265536723164,-2.2711864406779663
LONDON,15,90,LOW_bias,OOS,217,0.46543778801843316,-2.130184331797235
LONDON,15,90,LOW_bias,Y2025,124,0.5080645161290323,3.9375
LONDON,15,90,LOW_bias,Y2026,93,0.40860215053763443,-10.220430107526882
LONDON,15,90,HIGH_long,IS,814,0.5245700245700246,0.14373464373464373
LONDON,15,90,HIGH_long,Validation,303,0.49174917491749176,-1.1815181518151816
LONDON,15,90,HIGH_long,OOS,58,0.5689655172413793,0.9439655172413793
LONDON,15,90,HIGH_long,Y2025,43,0.5813953488372093,-1.5813953488372092
LONDON,15,90,HIGH_long,Y2026,15,0.5333333333333333,8.183333333333334
LONDON,15,120,ALL_bias,IS,2393,0.4972837442540744,0.5170288340994568
LONDON,15,120,ALL_bias,Validation,774,0.4715762273901809,-0.976421188630491
LONDON,15,120,ALL_bias,OOS,413,0.4648910411622276,-3.164648910411622
LONDON,15,120,ALL_bias,Y2025,257,0.48638132295719844,-2.330739299610895
LONDON,15,120,ALL_bias,Y2026,156,0.42948717948717946,-4.538461538461538
LONDON,15,120,HIGH_bias,IS,814,0.4987714987714988,0.9861793611793612
LONDON,15,120,HIGH_bias,Validation,303,0.47854785478547857,-0.4273927392739274
LONDON,15,120,HIGH_bias,OOS,58,0.43103448275862066,-14.866379310344827
LONDON,15,120,HIGH_bias,Y2025,43,0.4186046511627907,-17.552325581395348
LONDON,15,120,HIGH_bias,Y2026,15,0.4666666666666667,-7.166666666666667
LONDON,15,120,LOW_bias,IS,789,0.49809885931558934,1.0567173637515843
LONDON,15,120,LOW_bias,Validation,177,0.4293785310734463,-2.128531073446328
LONDON,15,120,LOW_bias,OOS,217,0.45622119815668205,-2.3306451612903225
LONDON,15,120,LOW_bias,Y2025,124,0.5161290322580645,2.7016129032258065
LONDON,15,120,LOW_bias,Y2026,93,0.3763440860215054,-9.040322580645162
LONDON,15,120,HIGH_long,IS,814,0.5294840294840295,0.7195945945945946
LONDON,15,120,HIGH_long,Validation,303,0.48184818481848185,-1.7112211221122111
LONDON,15,120,HIGH_long,OOS,58,0.5344827586206896,-5.521551724137931
LONDON,15,120,HIGH_long,Y2025,43,0.5348837209302325,-8.30813953488372
LONDON,15,120,HIGH_long,Y2026,15,0.5333333333333333,2.466666666666667
LONDON,30,15,ALL_bias,IS,2398,0.47039199332777315,0.1444954128440367
LONDON,30,15,ALL_bias,Validation,774,0.5180878552971576,0.41214470284237725
LONDON,30,15,ALL_bias,OOS,413,0.4794188861985472,-1.2282082324455206
LONDON,30,15,ALL_bias,Y2025,257,0.4669260700389105,-1.5496108949416343
LONDON,30,15,ALL_bias,Y2026,156,0.5,-0.6987179487179487
