session,T_offset,horizon,universe,split,n,win,E
LONDON,15,15,ALL_loc,IS,2373,0.49810366624525915,0.16582385166455962
LONDON,15,15,ALL_loc,Validation,763,0.5229357798165137,0.7673656618610747
LONDON,15,15,ALL_loc,OOS,407,0.4864864864864865,-0.6523341523341524
LONDON,15,15,ALL_loc,Y2025,251,0.4940239043824701,-0.9153386454183267
LONDON,15,15,ALL_loc,Y2026,156,0.47435897435897434,-0.22916666666666666
LONDON,15,15,HIGH_loc,IS,809,0.49814585908529047,0.23207663782447466
LONDON,15,15,HIGH_loc,Validation,298,0.5335570469798657,0.6040268456375839
LONDON,15,15,HIGH_loc,OOS,58,0.41379310344827586,-3.189655172413793
LONDON,15,15,HIGH_loc,Y2025,43,0.5116279069767442,-0.5523255813953488
LONDON,15,15,HIGH_loc,Y2026,15,0.13333333333333333,-10.75
LONDON,15,15,LOW_loc,IS,778,0.480719794344473,0.2705655526992288
LONDON,15,15,LOW_loc,Validation,174,0.4885057471264368,0.6479885057471264
LONDON,15,15,LOW_loc,OOS,213,0.49295774647887325,-0.8274647887323944
LONDON,15,15,LOW_loc,Y2025,120,0.5,-0.7083333333333334
LONDON,15,15,LOW_loc,Y2026,93,0.4838709677419355,-0.9811827956989247
LONDON,15,15,HIGH_long,IS,809,0.5067985166872683,0.33714462299134734
LONDON,15,15,HIGH_long,Validation,298,0.5436241610738255,0.8171140939597316
LONDON,15,15,HIGH_long,OOS,58,0.5517241379310345,2.0258620689655173
LONDON,15,15,HIGH_long,Y2025,43,0.5813953488372093,1.947674418604651
LONDON,15,15,HIGH_long,Y2026,15,0.4666666666666667,2.25
LONDON,15,30,ALL_loc,IS,2373,0.5002107037505268,0.42404129793510326
LONDON,15,30,ALL_loc,Validation,763,0.5111402359108781,0.9056356487549148
LONDON,15,30,ALL_loc,OOS,407,0.5110565110565111,0.8101965601965602
LONDON,15,30,ALL_loc,Y2025,251,0.4860557768924303,-0.5836653386454184
LONDON,15,30,ALL_loc,Y2026,156,0.5512820512820513,3.0528846153846154
LONDON,15,30,HIGH_loc,IS,809,0.5105067985166872,0.5287391841779975
LONDON,15,30,HIGH_loc,Validation,298,0.5335570469798657,0.9421140939597316
LONDON,15,30,HIGH_loc,OOS,58,0.4482758620689655,-4.133620689655173
LONDON,15,30,HIGH_loc,Y2025,43,0.46511627906976744,-3.0813953488372094
LONDON,15,30,HIGH_loc,Y2026,15,0.4,-7.15
LONDON,15,30,LOW_loc,IS,778,0.5025706940874036,0.5886889460154242
LONDON,15,30,LOW_loc,Validation,174,0.4540229885057471,0.33477011494252873
LONDON,15,30,LOW_loc,OOS,213,0.5305164319248826,0.3274647887323944
LONDON,15,30,LOW_loc,Y2025,120,0.525,-0.5291666666666667
LONDON,15,30,LOW_loc,Y2026,93,0.5376344086021505,1.4327956989247312
LONDON,15,30,HIGH_long,IS,809,0.5067985166872683,0.2703955500618047
LONDON,15,30,HIGH_long,Validation,298,0.5671140939597316,0.40184563758389263
LONDON,15,30,HIGH_long,OOS,58,0.4827586206896552,1.0905172413793103
LONDON,15,30,HIGH_long,Y2025,43,0.5348837209302325,5.104651162790698
LONDON,15,30,HIGH_long,Y2026,15,0.3333333333333333,-10.416666666666666
LONDON,15,60,ALL_loc,IS,2373,0.5006321112515802,0.5640539401601349
LONDON,15,60,ALL_loc,Validation,763,0.5111402359108781,0.5016382699868939
LONDON,15,60,ALL_loc,OOS,407,0.5208845208845209,3.768427518427518
LONDON,15,60,ALL_loc,Y2025,251,0.4900398406374502,-0.8814741035856574
LONDON,15,60,ALL_loc,Y2026,156,0.5705128205128205,11.25
LONDON,15,60,HIGH_loc,IS,809,0.5105067985166872,0.819221260815822
LONDON,15,60,HIGH_loc,Validation,298,0.5234899328859061,2.597315436241611
LONDON,15,60,HIGH_loc,OOS,58,0.4482758620689655,-2.6767241379310347
LONDON,15,60,HIGH_loc,Y2025,43,0.46511627906976744,-0.9534883720930233
LONDON,15,60,HIGH_loc,Y2026,15,0.4,-7.616666666666666
LONDON,15,60,LOW_loc,IS,778,0.480719794344473,0.2802056555269923
LONDON,15,60,LOW_loc,Validation,174,0.4885057471264368,-3.956896551724138
LONDON,15,60,LOW_loc,OOS,213,0.5070422535211268,2.192488262910798
LONDON,15,60,LOW_loc,Y2025,120,0.48333333333333334,0.41875
LONDON,15,60,LOW_loc,Y2026,93,0.5376344086021505,4.481182795698925
LONDON,15,60,HIGH_long,IS,809,0.5018541409147095,0.09239802224969097
LONDON,15,60,HIGH_long,Validation,298,0.5033557046979866,0.2063758389261745
LONDON,15,60,HIGH_long,OOS,58,0.5517241379310345,4.831896551724138
LONDON,15,60,HIGH_long,Y2025,43,0.5348837209302325,2.244186046511628
LONDON,15,60,HIGH_long,Y2026,15,0.6,12.25
LONDON,15,90,ALL_loc,IS,2373,0.506953223767383,0.8954909397387274
LONDON,15,90,ALL_loc,Validation,763,0.49148099606815204,-0.6802096985583224
LONDON,15,90,ALL_loc,OOS,407,0.5233415233415234,3.1277641277641277
LONDON,15,90,ALL_loc,Y2025,251,0.5059760956175299,-1.5258964143426295
LONDON,15,90,ALL_loc,Y2026,156,0.5512820512820513,10.615384615384615
LONDON,15,90,HIGH_loc,IS,809,0.5216316440049443,1.4375772558714461
LONDON,15,90,HIGH_loc,Validation,298,0.5067114093959731,0.839765100671141
LONDON,15,90,HIGH_loc,OOS,58,0.5344827586206896,3.211206896551724
LONDON,15,90,HIGH_loc,Y2025,43,0.5116279069767442,3.372093023255814
LONDON,15,90,HIGH_loc,Y2026,15,0.6,2.75
LONDON,15,90,LOW_loc,IS,778,0.4832904884318766,0.8091259640102828
LONDON,15,90,LOW_loc,Validation,174,0.4540229885057471,-4.969827586206897
LONDON,15,90,LOW_loc,OOS,213,0.5070422535211268,4.294600938967136
LONDON,15,90,LOW_loc,Y2025,120,0.5,-2.089583333333333
LONDON,15,90,LOW_loc,Y2026,93,0.5161290322580645,12.53225806451613
LONDON,15,90,HIGH_long,IS,809,0.5241038318912238,0.13102595797280595
LONDON,15,90,HIGH_long,Validation,298,0.49328859060402686,-1.223993288590604
LONDON,15,90,HIGH_long,OOS,58,0.5689655172413793,0.9439655172413793
LONDON,15,90,HIGH_long,Y2025,43,0.5813953488372093,-1.5813953488372092
LONDON,15,90,HIGH_long,Y2026,15,0.5333333333333333,8.183333333333334
LONDON,15,120,ALL_loc,IS,2373,0.5094816687737042,1.1487568478718921
LONDON,15,120,ALL_loc,Validation,763,0.4836173001310616,-1.0222804718217562
LONDON,15,120,ALL_loc,OOS,407,0.5036855036855037,1.957002457002457
LONDON,15,120,ALL_loc,Y2025,251,0.4701195219123506,-3.0637450199203187
LONDON,15,120,ALL_loc,Y2026,156,0.5576923076923077,10.03525641025641
LONDON,15,120,HIGH_loc,IS,809,0.5216316440049443,1.8417799752781212
LONDON,15,120,HIGH_loc,Validation,298,0.5067114093959731,0.24496644295302014
LONDON,15,120,HIGH_loc,OOS,58,0.46551724137931033,0.7456896551724138
LONDON,15,120,HIGH_loc,Y2025,43,0.46511627906976744,2.1569767441860463
LONDON,15,120,HIGH_loc,Y2026,15,0.4666666666666667,-3.3
LONDON,15,120,LOW_loc,IS,778,0.4845758354755784,1.0109254498714653
LONDON,15,120,LOW_loc,Validation,174,0.4540229885057471,-2.978448275862069
LONDON,15,120,LOW_loc,OOS,213,0.5211267605633803,3.788732394366197
LONDON,15,120,LOW_loc,Y2025,120,0.48333333333333334,-4.422916666666667
LONDON,15,120,LOW_loc,Y2026,93,0.5698924731182796,14.384408602150538
LONDON,15,120,HIGH_long,IS,809,0.5290482076637825,0.7126081582200248
LONDON,15,120,HIGH_long,Validation,298,0.4798657718120805,-1.8724832214765101
LONDON,15,120,HIGH_long,OOS,58,0.5344827586206896,-5.521551724137931
LONDON,15,120,HIGH_long,Y2025,43,0.5348837209302325,-8.30813953488372
LONDON,15,120,HIGH_long,Y2026,15,0.5333333333333333,2.466666666666667
LONDON,30,15,ALL_loc,IS,2377,0.488430795119899,0.31247370635254523
LONDON,30,15,ALL_loc,Validation,754,0.4973474801061008,0.253315649867374
LONDON,30,15,ALL_loc,OOS,407,0.4963144963144963,1.4453316953316953
LONDON,30,15,ALL_loc,Y2025,253,0.48221343873517786,0.37450592885375494
LONDON,30,15,ALL_loc,Y2026,154,0.5194805194805194,3.2045454545454546
LONDON,30,15,HIGH_loc,IS,804,0.4763681592039801,-0.004353233830845771
LONDON,30,15,HIGH_loc,Validation,317,0.4794952681388013,0.01025236593059937
LONDON,30,15,HIGH_loc,OOS,65,0.5384615384615384,0.9461538461538461
LONDON,30,15,HIGH_loc,Y2025,48,0.5416666666666666,0.19270833333333334
LONDON,30,15,HIGH_loc,Y2026,17,0.5294117647058824,3.073529411764706
LONDON,30,15,LOW_loc,IS,782,0.489769820971867,0.4622762148337596
LONDON,30,15,LOW_loc,Validation,164,0.49390243902439024,0.5701219512195121
LONDON,30,15,LOW_loc,OOS,215,0.4883720930232558,1.777906976744186
LONDON,30,15,LOW_loc,Y2025,121,0.4793388429752066,0.6776859504132231
LONDON,30,15,LOW_loc,Y2026,94,0.5,3.1941489361702127
LONDON,30,15,HIGH_long,IS,804,0.47761194029850745,-0.11878109452736318
LONDON,30,15,HIGH_long,Validation,317,0.4889589905362776,-0.3556782334384858
LONDON,30,15,HIGH_long,OOS,65,0.7076923076923077,6.1923076923076925
LONDON,30,15,HIGH_long,Y2025,48,0.7083333333333334,5.921875
LONDON,30,15,HIGH_long,Y2026,17,0.7058823529411765,6.955882352941177
LONDON,30,30,ALL_loc,IS,2377,0.48422381152713506,0.30910811947833405
LONDON,30,30,ALL_loc,Validation,754,0.5026525198938993,0.5464190981432361
LONDON,30,30,ALL_loc,OOS,407,0.5257985257985258,2.1664619164619165
LONDON,30,30,ALL_loc,Y2025,253,0.5098814229249012,0.325098814229249
LONDON,30,30,ALL_loc,Y2026,154,0.551948051948052,5.191558441558442
LONDON,30,30,HIGH_loc,IS,804,0.486318407960199,0.06218905472636816
LONDON,30,30,HIGH_loc,Validation,317,0.47634069400630913,0.10804416403785488
LONDON,30,30,HIGH_loc,OOS,65,0.6,0.5884615384615385
LONDON,30,30,HIGH_loc,Y2025,48,0.5833333333333334,-0.3802083333333333
LONDON,30,30,HIGH_loc,Y2026,17,0.6470588235294118,3.323529411764706
LONDON,30,30,LOW_loc,IS,782,0.47058823529411764,0.2739769820971867
LONDON,30,30,LOW_loc,Validation,164,0.5,0.3597560975609756
LONDON,30,30,LOW_loc,OOS,215,0.5116279069767442,2.682558139534884
LONDON,30,30,LOW_loc,Y2025,121,0.512396694214876,2.665289256198347
