session,T_offset,horizon,universe,split,n,win,E
LONDON,15,15,ALL_trap,IS,1240,0.507258064516129,0.20362903225806453
LONDON,15,15,ALL_trap,Validation,403,0.4813895781637717,0.2053349875930521
LONDON,15,15,ALL_trap,OOS,222,0.4864864864864865,0.8265765765765766
LONDON,15,15,ALL_trap,Y2025,138,0.5362318840579711,1.9021739130434783
LONDON,15,15,ALL_trap,Y2026,84,0.40476190476190477,-0.9404761904761905
LONDON,15,15,HIGH_trap,IS,369,0.5447154471544715,0.4708672086720867
LONDON,15,15,HIGH_trap,Validation,147,0.4557823129251701,0.29931972789115646
LONDON,15,15,HIGH_trap,OOS,37,0.5675675675675675,0.6486486486486487
LONDON,15,15,HIGH_trap,Y2025,29,0.6206896551724138,4.224137931034483
LONDON,15,15,HIGH_trap,Y2026,8,0.375,-12.3125
LONDON,15,15,LOW_trap,IS,472,0.4894067796610169,0.3416313559322034
LONDON,15,15,LOW_trap,Validation,100,0.5,1.9825
LONDON,15,15,LOW_trap,OOS,126,0.49206349206349204,2.9603174603174605
LONDON,15,15,LOW_trap,Y2025,74,0.5,1.4560810810810811
LONDON,15,15,LOW_trap,Y2026,52,0.4807692307692308,5.100961538461538
LONDON,15,15,HIGH_long,IS,369,0.5121951219512195,0.5955284552845529
LONDON,15,15,HIGH_long,Validation,147,0.564625850340136,0.1598639455782313
LONDON,15,15,HIGH_long,OOS,37,0.5405405405405406,0.7162162162162162
LONDON,15,15,HIGH_long,Y2025,29,0.5172413793103449,-2.9482758620689653
LONDON,15,15,HIGH_long,Y2026,8,0.625,14.0
LONDON,15,30,ALL_trap,IS,1240,0.49193548387096775,0.03064516129032258
LONDON,15,30,ALL_trap,Validation,403,0.4913151364764268,-0.6259305210918115
LONDON,15,30,ALL_trap,OOS,222,0.5315315315315315,0.3581081081081081
LONDON,15,30,ALL_trap,Y2025,138,0.5507246376811594,0.8134057971014492
LONDON,15,30,ALL_trap,Y2026,84,0.5,-0.3898809523809524
LONDON,15,30,HIGH_trap,IS,369,0.5013550135501355,0.5291327913279132
LONDON,15,30,HIGH_trap,Validation,147,0.4217687074829932,-1.0731292517006803
LONDON,15,30,HIGH_trap,OOS,37,0.4594594594594595,-8.945945945945946
LONDON,15,30,HIGH_trap,Y2025,29,0.5862068965517241,-2.8620689655172415
