resolver,session,T_offset,horizon,tier,HIGH_IS_win,ALL_IS_win,lift_win_IS,lift_win_Val,lift_win_OOS,HIGH_OOS_win,HIGH_IS_n
mom5_follow,ASIA,180,60,soft,0.4946564885496183,0.47832817337461303,0.01632831517500527,-0.021916651023089928,0.07742973876439274,0.6091370558375635,655
vwap_follow,NY_PM,90,60,strong,0.5163727959697733,0.5034246575342466,0.012948138435526668,0.02412815102216781,-0.02588072515698725,0.45774647887323944,794
vwap_follow,NY_AM,60,30,strong,0.49086479902557856,0.49126455906821964,-0.0003997600426410841,0.013372093023255816,-0.044720477187638774,0.477124183006536,821
vwap_follow,ASIA,180,60,strong,0.4740532959326788,0.47283126787416585,0.0012220280585129584,0.013837285751418127,0.03826587038265872,0.5151515151515151,713
prior_sess_mid,NY_PM,90,60,soft,0.5088832487309645,0.5066781559672555,0.002205092763708949,-0.01398134912531479,-0.013371367445177418,0.49295774647887325,788
prior_sess_mid,NY_PM,120,60,soft,0.4764930114358323,0.4922145328719723,-0.01572152143614003,-0.008266428783823998,-0.03184467447461803,0.4744525547445255,787
prior_sess_mid,NY_AM,60,30,strong,0.4920440636474908,0.48138854035968215,0.010655523287808666,0.02678956446744285,-0.0021416333523700537,0.5294117647058824,817
gap_follow,NY_AM,30,30,soft,0.5325153374233129,0.5187343880099917,0.013780949413321197,0.023557680697432914,0.04233726461197629,0.5302013422818792,815
path30_follow,NY_PM,120,60,soft,0.49107142857142855,0.47822299651567945,0.012848432055749093,-0.004386204386204351,-0.012921182629211825,0.4744525547445255,784
path30_follow,ASIA,90,30,soft,0.48722316865417375,0.46958062610750145,0.017642542546672302,0.021142293974094284,-0.02095549360761323,0.4207920792079208,587
