resolver,session,T_offset,horizon,universe,split,n,win,E
mom5_follow,LONDON,30,30,ALL,IS,2272,0.48151408450704225,0.3007262323943662
mom5_follow,LONDON,30,30,ALL,Validation,765,0.49411764705882355,-1.176797385620915
mom5_follow,LONDON,30,30,ALL,OOS,410,0.4951219512195122,-1.224390243902439
mom5_follow,LONDON,30,30,ALL,Y2025,254,0.5,-1.2116141732283465
mom5_follow,LONDON,30,30,ALL,Y2026,156,0.48717948717948717,-1.2451923076923077
mom5_follow,LONDON,30,30,HIGH,IS,772,0.5077720207253886,0.6120466321243523
mom5_follow,LONDON,30,30,HIGH,Validation,320,0.503125,-0.07421875
mom5_follow,LONDON,30,30,HIGH,OOS,66,0.5454545454545454,-3.022727272727273
mom5_follow,LONDON,30,30,HIGH,Y2025,48,0.6041666666666666,-4.369791666666667
mom5_follow,LONDON,30,30,HIGH,Y2026,18,0.3888888888888889,0.5694444444444444
mom5_follow,LONDON,30,60,ALL,IS,2272,0.49295774647887325,1.0818661971830985
mom5_follow,LONDON,30,60,ALL,Validation,765,0.5058823529411764,-1.423202614379085
mom5_follow,LONDON,30,60,ALL,OOS,410,0.5195121951219512,-0.8158536585365853
mom5_follow,LONDON,30,60,ALL,Y2025,254,0.5196850393700787,1.313976377952756
mom5_follow,LONDON,30,60,ALL,Y2026,156,0.5192307692307693,-4.283653846153846
mom5_follow,LONDON,30,60,HIGH,IS,772,0.49740932642487046,1.2004533678756477
mom5_follow,LONDON,30,60,HIGH,Validation,320,0.534375,-1.14453125
mom5_follow,LONDON,30,60,HIGH,OOS,66,0.5909090909090909,5.643939393939394
mom5_follow,LONDON,30,60,HIGH,Y2025,48,0.5625,2.0625
mom5_follow,LONDON,30,60,HIGH,Y2026,18,0.6666666666666666,15.194444444444445
mom5_follow,LONDON,60,30,ALL,IS,2281,0.4901359053046909,-0.0038360368259535292
mom5_follow,LONDON,60,30,ALL,Validation,760,0.5078947368421053,0.7480263157894737
mom5_follow,LONDON,60,30,ALL,OOS,404,0.5222772277227723,4.689356435643564
mom5_follow,LONDON,60,30,ALL,Y2025,252,0.5119047619047619,3.513888888888889
mom5_follow,LONDON,60,30,ALL,Y2026,152,0.5394736842105263,6.6381578947368425
mom5_follow,LONDON,60,30,HIGH,IS,773,0.4760672703751617,0.021021992238033634
mom5_follow,LONDON,60,30,HIGH,Validation,311,0.4855305466237942,-1.652733118971061
mom5_follow,LONDON,60,30,HIGH,OOS,69,0.463768115942029,3.4746376811594204
mom5_follow,LONDON,60,30,HIGH,Y2025,55,0.45454545454545453,1.5318181818181817
mom5_follow,LONDON,60,30,HIGH,Y2026,14,0.5,11.107142857142858
mom5_follow,LONDON,60,60,ALL,IS,2281,0.49364313897413414,0.1060938185006576
mom5_follow,LONDON,60,60,ALL,Validation,760,0.5381578947368421,1.356578947368421
mom5_follow,LONDON,60,60,ALL,OOS,404,0.5594059405940595,6.314356435643564
mom5_follow,LONDON,60,60,ALL,Y2025,252,0.5793650793650794,4.461309523809524
mom5_follow,LONDON,60,60,ALL,Y2026,152,0.5263157894736842,9.386513157894736
mom5_follow,LONDON,60,60,HIGH,IS,773,0.46183699870633893,-0.019728331177231564
mom5_follow,LONDON,60,60,HIGH,Validation,311,0.5209003215434084,-2.7411575562700965
mom5_follow,LONDON,60,60,HIGH,OOS,69,0.5362318840579711,5.8731884057971016
mom5_follow,LONDON,60,60,HIGH,Y2025,55,0.5454545454545454,3.790909090909091
mom5_follow,LONDON,60,60,HIGH,Y2026,14,0.5,14.053571428571429
mom5_follow,LONDON,90,30,ALL,IS,2229,0.4737550471063257,0.218371467025572
mom5_follow,LONDON,90,30,ALL,Validation,765,0.49019607843137253,-0.11764705882352941
mom5_follow,LONDON,90,30,ALL,OOS,408,0.48284313725490197,-0.8903186274509803
mom5_follow,LONDON,90,30,ALL,Y2025,253,0.4624505928853755,-2.5543478260869565
mom5_follow,LONDON,90,30,ALL,Y2026,155,0.5161290322580645,1.8258064516129033
mom5_follow,LONDON,90,30,HIGH,IS,766,0.4725848563968668,-0.43505221932114885
mom5_follow,LONDON,90,30,HIGH,Validation,328,0.5030487804878049,-0.019817073170731708
mom5_follow,LONDON,90,30,HIGH,OOS,88,0.48863636363636365,-3.153409090909091
mom5_follow,LONDON,90,30,HIGH,Y2025,61,0.4262295081967213,-6.299180327868853
mom5_follow,LONDON,90,30,HIGH,Y2026,27,0.6296296296296297,3.9537037037037037
mom5_follow,LONDON,90,60,ALL,IS,2229,0.48048452220726784,0.2572902646926873
mom5_follow,LONDON,90,60,ALL,Validation,765,0.49411764705882355,-0.4071895424836601
mom5_follow,LONDON,90,60,ALL,OOS,408,0.4852941176470588,0.5214460784313726
mom5_follow,LONDON,90,60,ALL,Y2025,253,0.4505928853754941,-2.58596837944664
mom5_follow,LONDON,90,60,ALL,Y2026,155,0.5419354838709678,5.593548387096774
mom5_follow,LONDON,90,60,HIGH,IS,766,0.4621409921671018,-0.3005874673629243
mom5_follow,LONDON,90,60,HIGH,Validation,328,0.5030487804878049,-0.5724085365853658
