resolver,session,T_offset,outcome,universe,split,n,win,E
gap_follow,LONDON,30,H240,ALL,IS,2388,0.4824120603015075,-1.035175879396985
gap_follow,LONDON,30,H240,ALL,Validation,774,0.5012919896640827,-1.1537467700258397
gap_follow,LONDON,30,H240,ALL,OOS,413,0.5036319612590799,2.4933414043583535
gap_follow,LONDON,30,H240,HIGH,IS,809,0.4820766378244747,-0.8841161928306551
gap_follow,LONDON,30,H240,HIGH,Validation,323,0.49226006191950467,-3.4404024767801857
gap_follow,LONDON,30,H240,HIGH,OOS,67,0.5671641791044776,1.6343283582089552
gap_follow,LONDON,30,SESS_END,ALL,IS,2389,0.49100041858518206,-1.119296776894098
gap_follow,LONDON,30,SESS_END,ALL,Validation,774,0.5051679586563308,1.901485788113695
gap_follow,LONDON,30,SESS_END,ALL,OOS,413,0.513317191283293,9.032687651331718
gap_follow,LONDON,30,SESS_END,HIGH,IS,809,0.4969097651421508,0.10475896168108777
gap_follow,LONDON,30,SESS_END,HIGH,Validation,323,0.47058823529411764,0.31656346749226005
gap_follow,LONDON,30,SESS_END,HIGH,OOS,67,0.5223880597014925,9.201492537313433
gap_follow,LONDON,60,H240,ALL,IS,2387,0.47172182656053624,-0.995182237117721
gap_follow,LONDON,60,H240,ALL,Validation,774,0.5077519379844961,-0.5284237726098191
gap_follow,LONDON,60,H240,ALL,OOS,413,0.5108958837772397,2.8026634382566584
gap_follow,LONDON,60,H240,HIGH,IS,811,0.46115906288532676,-0.5653514180024661
gap_follow,LONDON,60,H240,HIGH,Validation,315,0.4984126984126984,-1.9833333333333334
gap_follow,LONDON,60,H240,HIGH,OOS,72,0.5555555555555556,8.395833333333334
gap_follow,LONDON,60,SESS_END,ALL,IS,2393,0.48140409527789385,-1.2575219389887171
gap_follow,LONDON,60,SESS_END,ALL,Validation,774,0.5051679586563308,2.100129198966408
gap_follow,LONDON,60,SESS_END,ALL,OOS,413,0.49878934624697335,6.39225181598063
gap_follow,LONDON,60,SESS_END,HIGH,IS,811,0.4907521578298397,-0.156288532675709
gap_follow,LONDON,60,SESS_END,HIGH,Validation,315,0.5142857142857142,4.881746031746032
gap_follow,LONDON,60,SESS_END,HIGH,OOS,72,0.5416666666666666,15.215277777777779
gap_follow,LONDON,90,H240,ALL,IS,2378,0.4873843566021867,-1.103658536585366
gap_follow,LONDON,90,H240,ALL,Validation,774,0.5090439276485789,0.052002583979328165
gap_follow,LONDON,90,H240,ALL,OOS,413,0.513317191283293,3.2542372881355934
gap_follow,LONDON,90,H240,HIGH,IS,808,0.46163366336633666,-1.5383663366336633
gap_follow,LONDON,90,H240,HIGH,Validation,330,0.48484848484848486,-2.1742424242424243
gap_follow,LONDON,90,H240,HIGH,OOS,89,0.5280898876404494,9.96629213483146
gap_follow,LONDON,90,SESS_END,ALL,IS,2389,0.475094181665969,-1.6137505232314775
gap_follow,LONDON,90,SESS_END,ALL,Validation,774,0.4909560723514212,1.4983850129198966
gap_follow,LONDON,90,SESS_END,ALL,OOS,413,0.5012106537530266,5.245157384987894
gap_follow,LONDON,90,SESS_END,HIGH,IS,809,0.4561186650185414,-1.3822620519159456
gap_follow,LONDON,90,SESS_END,HIGH,Validation,330,0.5,-0.39545454545454545
gap_follow,LONDON,90,SESS_END,HIGH,OOS,89,0.550561797752809,11.351123595505618
gap_follow,LONDON,120,H240,ALL,IS,2360,0.4635593220338983,-1.2486228813559321
gap_follow,LONDON,120,H240,ALL,Validation,774,0.49224806201550386,0.8242894056847545
gap_follow,LONDON,120,H240,ALL,OOS,413,0.5084745762711864,4.9757869249394675
gap_follow,LONDON,120,H240,HIGH,IS,805,0.45217391304347826,-0.44596273291925465
gap_follow,LONDON,120,H240,HIGH,Validation,343,0.5189504373177842,1.0794460641399417
gap_follow,LONDON,120,H240,HIGH,OOS,90,0.5888888888888889,12.766666666666667
gap_follow,LONDON,120,SESS_END,ALL,IS,2381,0.48299034019319614,-1.2993490130197396
gap_follow,LONDON,120,SESS_END,ALL,Validation,774,0.5,1.6892764857881137
gap_follow,LONDON,120,SESS_END,ALL,OOS,413,0.5036319612590799,6.279661016949152
gap_follow,LONDON,120,SESS_END,HIGH,IS,808,0.46410891089108913,-0.349009900990099
gap_follow,LONDON,120,SESS_END,HIGH,Validation,343,0.5247813411078717,3.043002915451895
gap_follow,LONDON,120,SESS_END,HIGH,OOS,90,0.5777777777777777,16.447222222222223
gap_follow,NY_PM,30,SESS_END,ALL,IS,2397,0.49979140592407173,-0.12745098039215685
gap_follow,NY_PM,30,SESS_END,ALL,Validation,773,0.5769728331177232,7.750970245795601
gap_follow,NY_PM,30,SESS_END,ALL,OOS,412,0.5266990291262136,9.003033980582524
gap_follow,NY_PM,30,SESS_END,HIGH,IS,822,0.5024330900243309,-1.157846715328467
gap_follow,NY_PM,30,SESS_END,HIGH,Validation,284,0.5422535211267606,1.2913732394366197
gap_follow,NY_PM,30,SESS_END,HIGH,OOS,138,0.5362318840579711,13.202898550724637
gap_follow,NY_PM,60,SESS_END,ALL,IS,2344,0.48677474402730375,-0.5445819112627986
gap_follow,NY_PM,60,SESS_END,ALL,Validation,752,0.5678191489361702,8.621343085106384
gap_follow,NY_PM,60,SESS_END,ALL,OOS,400,0.5275,7.30875
gap_follow,NY_PM,60,SESS_END,HIGH,IS,799,0.4755944931163955,-0.7396745932415519
