resolver,session,T_offset,outcome,universe,split,n,win,E
disp_follow,LONDON,60,H30,ALL,IS,819,0.4481074481074481,0.37393162393162394
disp_follow,LONDON,60,H30,ALL,Validation,291,0.4948453608247423,0.9012027491408935
disp_follow,LONDON,60,H30,ALL,OOS,97,0.6082474226804123,5.992268041237113
disp_follow,LONDON,60,H30,HIGH,IS,490,0.44081632653061226,0.09693877551020408
disp_follow,LONDON,60,H30,HIGH,Validation,182,0.42857142857142855,-2.2335164835164836
disp_follow,LONDON,60,H30,HIGH,OOS,49,0.5918367346938775,2.6122448979591835
disp_follow,LONDON,60,H60,ALL,IS,819,0.4822954822954823,1.0314407814407816
disp_follow,LONDON,60,H60,ALL,Validation,291,0.4948453608247423,-0.7121993127147767
disp_follow,LONDON,60,H60,ALL,OOS,97,0.5876288659793815,5.61340206185567
disp_follow,LONDON,60,H60,HIGH,IS,490,0.47551020408163264,0.7994897959183673
disp_follow,LONDON,60,H60,HIGH,Validation,182,0.44505494505494503,-4.71565934065934
disp_follow,LONDON,60,H60,HIGH,OOS,49,0.5714285714285714,3.7244897959183674
disp_follow,LONDON,60,SESS_END,ALL,IS,819,0.48595848595848595,0.6675824175824175
disp_follow,LONDON,60,SESS_END,ALL,Validation,291,0.48109965635738833,0.6323024054982818
disp_follow,LONDON,60,SESS_END,ALL,OOS,97,0.4948453608247423,12.394329896907216
disp_follow,LONDON,60,SESS_END,HIGH,IS,490,0.46530612244897956,-0.488265306122449
disp_follow,LONDON,60,SESS_END,HIGH,Validation,182,0.44505494505494503,-4.0989010989010985
disp_follow,LONDON,60,SESS_END,HIGH,OOS,49,0.5102040816326531,-1.1428571428571428
disp_follow,LONDON,90,H30,ALL,IS,818,0.44254278728606355,-0.34138141809290956
disp_follow,LONDON,90,H30,ALL,Validation,351,0.5042735042735043,0.5612535612535613
disp_follow,LONDON,90,H30,ALL,OOS,138,0.43478260869565216,-5.048913043478261
disp_follow,LONDON,90,H30,HIGH,IS,461,0.44468546637744033,-0.10303687635574837
disp_follow,LONDON,90,H30,HIGH,Validation,209,0.5311004784688995,0.4533492822966507
disp_follow,LONDON,90,H30,HIGH,OOS,54,0.35185185185185186,-13.38888888888889
disp_follow,LONDON,90,H60,ALL,IS,818,0.45354523227383864,-0.0210880195599022
disp_follow,LONDON,90,H60,ALL,Validation,351,0.4843304843304843,-0.08475783475783476
disp_follow,LONDON,90,H60,ALL,OOS,138,0.38405797101449274,-6.943840579710145
disp_follow,LONDON,90,H60,HIGH,IS,461,0.4642082429501085,0.19088937093275488
disp_follow,LONDON,90,H60,HIGH,Validation,209,0.507177033492823,-0.742822966507177
disp_follow,LONDON,90,H60,HIGH,OOS,54,0.35185185185185186,-11.550925925925926
disp_follow,LONDON,90,SESS_END,ALL,IS,818,0.46943765281173594,-1.9584352078239609
disp_follow,LONDON,90,SESS_END,ALL,Validation,351,0.50997150997151,-0.4821937321937322
disp_follow,LONDON,90,SESS_END,ALL,OOS,138,0.427536231884058,-18.045289855072465
disp_follow,LONDON,90,SESS_END,HIGH,IS,461,0.45770065075921906,-1.0168112798264641
disp_follow,LONDON,90,SESS_END,HIGH,Validation,209,0.4880382775119617,-3.875598086124402
disp_follow,LONDON,90,SESS_END,HIGH,OOS,54,0.5,-3.699074074074074
disp_follow,LONDON,120,H30,ALL,IS,815,0.4196319018404908,0.02147239263803681
disp_follow,LONDON,120,H30,ALL,Validation,290,0.49310344827586206,0.8474137931034482
disp_follow,LONDON,120,H30,ALL,OOS,117,0.4017094017094017,-3.747863247863248
disp_follow,LONDON,120,H30,HIGH,IS,463,0.4168466522678186,-0.03347732181425486
disp_follow,LONDON,120,H30,HIGH,Validation,188,0.4946808510638298,0.09175531914893617
disp_follow,LONDON,120,H30,HIGH,OOS,52,0.46153846153846156,-0.75
disp_follow,LONDON,120,H60,ALL,IS,815,0.4601226993865031,-0.053067484662576686
disp_follow,LONDON,120,H60,ALL,Validation,290,0.5103448275862069,1.2862068965517242
disp_follow,LONDON,120,H60,ALL,OOS,117,0.49572649572649574,-4.92948717948718
disp_follow,LONDON,120,H60,HIGH,IS,463,0.46220302375809935,0.007019438444924406
disp_follow,LONDON,120,H60,HIGH,Validation,188,0.5106382978723404,0.061170212765957445
disp_follow,LONDON,120,H60,HIGH,OOS,52,0.5,-6.177884615384615
