resolver,session,T_offset,outcome,universe,split,n,win,E
bar1_follow,LONDON,15,H30,ALL,IS,2102,0.4995242626070409,0.686964795432921
bar1_follow,LONDON,15,H30,ALL,Validation,755,0.48874172185430464,0.4185430463576159
bar1_follow,LONDON,15,H30,ALL,OOS,402,0.5074626865671642,-0.43097014925373134
bar1_follow,LONDON,15,H30,HIGH,IS,714,0.49859943977591037,0.06862745098039216
bar1_follow,LONDON,15,H30,HIGH,Validation,299,0.49498327759197325,0.18478260869565216
bar1_follow,LONDON,15,H30,HIGH,OOS,58,0.5862068965517241,5.426724137931035
bar1_follow,LONDON,15,H60,ALL,IS,2102,0.48858230256898194,0.6095385347288297
bar1_follow,LONDON,15,H60,ALL,Validation,755,0.4966887417218543,0.4142384105960265
bar1_follow,LONDON,15,H60,ALL,OOS,402,0.49502487562189057,2.142412935323383
bar1_follow,LONDON,15,H60,HIGH,IS,714,0.4649859943977591,-0.5938375350140056
bar1_follow,LONDON,15,H60,HIGH,Validation,299,0.4682274247491639,-0.6312709030100334
bar1_follow,LONDON,15,H60,HIGH,OOS,58,0.5344827586206896,8.008620689655173
bar1_follow,LONDON,15,SESS_END,ALL,IS,2102,0.4995242626070409,1.4469552806850619
bar1_follow,LONDON,15,SESS_END,ALL,Validation,755,0.5099337748344371,-1.480794701986755
bar1_follow,LONDON,15,SESS_END,ALL,OOS,402,0.49502487562189057,-7.5304726368159205
bar1_follow,LONDON,15,SESS_END,HIGH,IS,714,0.47759103641456585,-0.8179271708683473
bar1_follow,LONDON,15,SESS_END,HIGH,Validation,299,0.5284280936454849,0.08946488294314381
bar1_follow,LONDON,15,SESS_END,HIGH,OOS,58,0.4482758620689655,-22.754310344827587
bar1_follow,LONDON,30,H30,ALL,IS,2040,0.4764705882352941,-0.11875
bar1_follow,LONDON,30,H30,ALL,Validation,755,0.46357615894039733,-1.0847682119205297
bar1_follow,LONDON,30,H30,ALL,OOS,404,0.5222772277227723,-0.06930693069306931
bar1_follow,LONDON,30,H30,HIGH,IS,689,0.4760522496371553,-0.3864296081277213
bar1_follow,LONDON,30,H30,HIGH,Validation,317,0.45110410094637227,-1.5473186119873816
bar1_follow,LONDON,30,H30,HIGH,OOS,66,0.5303030303030303,1.6704545454545454
bar1_follow,LONDON,30,H60,ALL,IS,2040,0.49558823529411766,-0.009436274509803921
bar1_follow,LONDON,30,H60,ALL,Validation,755,0.5059602649006623,0.5721854304635762
bar1_follow,LONDON,30,H60,ALL,OOS,404,0.48267326732673266,-1.255569306930693
bar1_follow,LONDON,30,H60,HIGH,IS,689,0.4847605224963715,-0.5446298984034833
bar1_follow,LONDON,30,H60,HIGH,Validation,317,0.48264984227129337,-0.5914826498422713
bar1_follow,LONDON,30,H60,HIGH,OOS,66,0.4393939393939394,-1.121212121212121
bar1_follow,LONDON,30,SESS_END,ALL,IS,2040,0.5142156862745098,0.27879901960784315
bar1_follow,LONDON,30,SESS_END,ALL,Validation,755,0.5152317880794702,0.8456953642384106
bar1_follow,LONDON,30,SESS_END,ALL,OOS,404,0.4777227722772277,0.20358910891089108
bar1_follow,LONDON,30,SESS_END,HIGH,IS,689,0.4949201741654572,-0.04825834542815675
bar1_follow,LONDON,30,SESS_END,HIGH,Validation,317,0.5331230283911672,1.6301261829652998
bar1_follow,LONDON,30,SESS_END,HIGH,OOS,66,0.45454545454545453,-5.988636363636363
bar1_follow,LONDON,60,H30,ALL,IS,2078,0.49037536092396533,0.6033445620789221
bar1_follow,LONDON,60,H30,ALL,Validation,754,0.4986737400530504,1.0855437665782492
bar1_follow,LONDON,60,H30,ALL,OOS,410,0.5024390243902439,0.2603658536585366
bar1_follow,LONDON,60,H30,HIGH,IS,702,0.49145299145299143,0.36645299145299143
bar1_follow,LONDON,60,H30,HIGH,Validation,307,0.49185667752442996,1.3363192182410424
bar1_follow,LONDON,60,H30,HIGH,OOS,71,0.49295774647887325,-2.714788732394366
bar1_follow,LONDON,60,H60,ALL,IS,2078,0.49903753609239654,0.5601539942252165
bar1_follow,LONDON,60,H60,ALL,Validation,754,0.5464190981432361,2.1236737400530505
bar1_follow,LONDON,60,H60,ALL,OOS,410,0.4634146341463415,-0.8664634146341463
bar1_follow,LONDON,60,H60,HIGH,IS,702,0.5142450142450142,0.37713675213675213
bar1_follow,LONDON,60,H60,HIGH,Validation,307,0.5342019543973942,1.762214983713355
bar1_follow,LONDON,60,H60,HIGH,OOS,71,0.39436619718309857,-6.616197183098592
bar1_follow,LONDON,60,SESS_END,ALL,IS,2078,0.519730510105871,0.757218479307026
bar1_follow,LONDON,60,SESS_END,ALL,Validation,754,0.4960212201591512,0.5881962864721485
bar1_follow,LONDON,60,SESS_END,ALL,OOS,410,0.4682926829268293,-6.2
bar1_follow,LONDON,60,SESS_END,HIGH,IS,702,0.5313390313390314,1.264957264957265
bar1_follow,LONDON,60,SESS_END,HIGH,Validation,307,0.46579804560260585,-6.868078175895765
bar1_follow,LONDON,60,SESS_END,HIGH,OOS,71,0.4084507042253521,-14.088028169014084
bar1_follow,LONDON,90,H30,ALL,IS,2022,0.4980217606330366,0.5981701285855588
bar1_follow,LONDON,90,H30,ALL,Validation,751,0.5046604527296937,-0.35419440745672437
bar1_follow,LONDON,90,H30,ALL,OOS,404,0.5198019801980198,1.208539603960396
bar1_follow,LONDON,90,H30,HIGH,IS,703,0.4950213371266003,0.5590327169274538
bar1_follow,LONDON,90,H30,HIGH,Validation,318,0.5,-0.8199685534591195
bar1_follow,LONDON,90,H30,HIGH,OOS,87,0.5402298850574713,1.6839080459770115
bar1_follow,LONDON,90,H60,ALL,IS,2022,0.5133531157270029,0.7643422354104846
bar1_follow,LONDON,90,H60,ALL,Validation,751,0.4780292942743009,-0.5645805592543276
bar1_follow,LONDON,90,H60,ALL,OOS,404,0.5123762376237624,-0.24257425742574257
bar1_follow,LONDON,90,H60,HIGH,IS,703,0.5149359886201992,0.5231152204836416
bar1_follow,LONDON,90,H60,HIGH,Validation,318,0.46540880503144655,-1.2830188679245282
bar1_follow,LONDON,90,H60,HIGH,OOS,87,0.5402298850574713,-0.0603448275862069
bar1_follow,LONDON,90,SESS_END,ALL,IS,2022,0.4723046488625124,-1.4840504451038576
bar1_follow,LONDON,90,SESS_END,ALL,Validation,751,0.5312916111850865,2.43508655126498
bar1_follow,LONDON,90,SESS_END,ALL,OOS,404,0.49504950495049505,1.6008663366336633
bar1_follow,LONDON,90,SESS_END,HIGH,IS,703,0.4751066856330014,-1.742176386913229
bar1_follow,LONDON,90,SESS_END,HIGH,Validation,318,0.559748427672956,7.580974842767295
bar1_follow,LONDON,90,SESS_END,HIGH,OOS,87,0.5632183908045977,5.545977011494253
bar1_follow,LONDON,120,H30,ALL,IS,1980,0.501010101010101,-0.00909090909090909
