resolver,session,T_offset,outcome,universe,split,n,win,E
struct_ticket,LONDON,15,H30,ALL,IS,1741,0.47673750717978175,0.47716829408385986
struct_ticket,LONDON,15,H30,ALL,Validation,628,0.4729299363057325,-0.2806528662420382
struct_ticket,LONDON,15,H30,ALL,OOS,266,0.4774436090225564,-3.901315789473684
struct_ticket,LONDON,15,H30,HIGH,IS,761,0.46254927726675427,0.020696452036793694
struct_ticket,LONDON,15,H30,HIGH,Validation,281,0.505338078291815,0.19572953736654805
struct_ticket,LONDON,15,H30,HIGH,OOS,55,0.5454545454545454,-5.086363636363636
struct_ticket,LONDON,15,H60,ALL,IS,1741,0.472716829408386,0.7929350947731189
struct_ticket,LONDON,15,H60,ALL,Validation,628,0.47929936305732485,0.16918789808917198
struct_ticket,LONDON,15,H60,ALL,OOS,266,0.5225563909774437,-0.3073308270676692
struct_ticket,LONDON,15,H60,HIGH,IS,761,0.4664914586070959,0.2568988173455979
struct_ticket,LONDON,15,H60,HIGH,Validation,281,0.45907473309608543,0.608540925266904
struct_ticket,LONDON,15,H60,HIGH,OOS,55,0.5818181818181818,1.0454545454545454
struct_ticket,LONDON,15,SESS_END,ALL,IS,1741,0.48248133256748993,0.7257323377369328
struct_ticket,LONDON,15,SESS_END,ALL,Validation,628,0.4681528662420382,1.79578025477707
struct_ticket,LONDON,15,SESS_END,ALL,OOS,266,0.4774436090225564,-1.605263157894737
struct_ticket,LONDON,15,SESS_END,HIGH,IS,761,0.4704336399474376,-0.6396189224704336
struct_ticket,LONDON,15,SESS_END,HIGH,Validation,281,0.46619217081850534,5.2037366548042705
struct_ticket,LONDON,15,SESS_END,HIGH,OOS,55,0.45454545454545453,-5.081818181818182
struct_ticket,LONDON,30,H30,ALL,IS,1688,0.4674170616113744,0.2037914691943128
struct_ticket,LONDON,30,H30,ALL,Validation,625,0.4896,0.1544
struct_ticket,LONDON,30,H30,ALL,OOS,252,0.5555555555555556,4.1021825396825395
struct_ticket,LONDON,30,H30,HIGH,IS,753,0.4395750332005312,0.1344621513944223
struct_ticket,LONDON,30,H30,HIGH,Validation,306,0.46405228758169936,-0.7892156862745098
struct_ticket,LONDON,30,H30,HIGH,OOS,59,0.576271186440678,1.2076271186440677
struct_ticket,LONDON,30,H60,ALL,IS,1688,0.4697867298578199,0.46445497630331756
struct_ticket,LONDON,30,H60,ALL,Validation,625,0.4928,0.0376
struct_ticket,LONDON,30,H60,ALL,OOS,252,0.5277777777777778,1.2549603174603174
struct_ticket,LONDON,30,H60,HIGH,IS,753,0.4714475431606906,0.35391766268260294
struct_ticket,LONDON,30,H60,HIGH,Validation,306,0.4673202614379085,-0.6176470588235294
struct_ticket,LONDON,30,H60,HIGH,OOS,59,0.559322033898305,-3.266949152542373
struct_ticket,LONDON,30,SESS_END,ALL,IS,1688,0.5100710900473934,0.8801836492890995
struct_ticket,LONDON,30,SESS_END,ALL,Validation,625,0.5024,7.0108
struct_ticket,LONDON,30,SESS_END,ALL,OOS,252,0.4880952380952381,-0.028769841269841268
struct_ticket,LONDON,30,SESS_END,HIGH,IS,753,0.50199203187251,1.6248339973439574
struct_ticket,LONDON,30,SESS_END,HIGH,Validation,306,0.49673202614379086,9.86111111111111
struct_ticket,LONDON,30,SESS_END,HIGH,OOS,59,0.4406779661016949,-9.754237288135593
struct_ticket,LONDON,60,H30,ALL,IS,1578,0.4461343472750317,-0.053865652724968315
struct_ticket,LONDON,60,H30,ALL,Validation,610,0.5163934426229508,1.423360655737705
struct_ticket,LONDON,60,H30,ALL,OOS,246,0.4959349593495935,1.8079268292682926
struct_ticket,LONDON,60,H30,HIGH,IS,704,0.4502840909090909,-0.030539772727272728
struct_ticket,LONDON,60,H30,HIGH,Validation,286,0.5034965034965035,0.7875874125874126
struct_ticket,LONDON,60,H30,HIGH,OOS,63,0.42857142857142855,-0.05952380952380952
struct_ticket,LONDON,60,H60,ALL,IS,1578,0.45944233206590623,0.1429024081115336
struct_ticket,LONDON,60,H60,ALL,Validation,610,0.5081967213114754,0.8143442622950819
struct_ticket,LONDON,60,H60,ALL,OOS,246,0.44308943089430897,-1.6148373983739837
struct_ticket,LONDON,60,H60,HIGH,IS,704,0.4758522727272727,0.265625
struct_ticket,LONDON,60,H60,HIGH,Validation,286,0.5104895104895105,0.42395104895104896
struct_ticket,LONDON,60,H60,HIGH,OOS,63,0.38095238095238093,-11.333333333333334
struct_ticket,LONDON,60,SESS_END,ALL,IS,1578,0.491128010139417,-0.8136882129277566
struct_ticket,LONDON,60,SESS_END,ALL,Validation,610,0.5016393442622951,3.5327868852459017
struct_ticket,LONDON,60,SESS_END,ALL,OOS,246,0.4715447154471545,-4.958333333333333
struct_ticket,LONDON,60,SESS_END,HIGH,IS,704,0.4971590909090909,-0.8920454545454546
struct_ticket,LONDON,60,SESS_END,HIGH,Validation,286,0.46153846153846156,-1.8741258741258742
