session,T_offset,horizon,universe,split,n,win,E
LONDON,15,30,ALL_lev_fade,IS,563,0.5683836589698046,1.4897868561278864
LONDON,15,30,ALL_lev_fade,Validation,145,0.5310344827586206,0.7206896551724138
LONDON,15,30,ALL_lev_fade,OOS,183,0.43169398907103823,-1.8674863387978142
LONDON,15,30,ALL_lev_fade,Y2025,138,0.4420289855072464,-1.7373188405797102
LONDON,15,30,ALL_lev_fade,Y2026,45,0.4,-2.2666666666666666
LONDON,15,30,HIGH_lev_fade,IS,208,0.5480769230769231,-0.7788461538461539
LONDON,15,30,HIGH_lev_fade,Validation,55,0.5454545454545454,-1.0454545454545454
LONDON,15,30,HIGH_lev_fade,OOS,23,0.43478260869565216,-5.891304347826087
LONDON,15,30,HIGH_lev_fade,Y2025,21,0.47619047619047616,-0.4523809523809524
LONDON,15,30,ALL_am_follow,IS,684,0.4649122807017544,-0.1341374269005848
LONDON,15,30,ALL_am_follow,Validation,146,0.547945205479452,2.4726027397260273
LONDON,15,30,ALL_am_follow,OOS,156,0.46153846153846156,-3.03525641025641
LONDON,15,30,ALL_am_follow,Y2025,116,0.4482758620689655,-1.8728448275862069
LONDON,15,30,ALL_am_follow,Y2026,40,0.5,-6.40625
LONDON,15,30,HIGH_am_follow,IS,239,0.4351464435146444,-0.049163179916317995
LONDON,15,30,HIGH_am_follow,Validation,63,0.5714285714285714,1.5317460317460319
LONDON,15,30,HIGH_am_follow,OOS,23,0.391304347826087,-10.380434782608695
LONDON,15,30,HIGH_am_follow,Y2025,23,0.391304347826087,-10.380434782608695
LONDON,15,30,HIGH_long,IS,384,0.5546875,0.5319010416666666
LONDON,15,30,HIGH_long,Validation,88,0.5681818181818182,-1.9289772727272727
LONDON,15,30,HIGH_long,OOS,37,0.5405405405405406,2.581081081081081
LONDON,15,30,HIGH_long,Y2025,35,0.5714285714285714,6.328571428571428
LONDON,15,30,ALL_long,IS,1090,0.5302752293577981,0.09770642201834863
LONDON,15,30,ALL_long,Validation,216,0.5138888888888888,-1.380787037037037
LONDON,15,30,ALL_long,OOS,265,0.5433962264150943,2.2518867924528303
LONDON,15,30,ALL_long,Y2025,200,0.56,2.81375
LONDON,15,30,ALL_long,Y2026,65,0.49230769230769234,0.5230769230769231
LONDON,15,60,ALL_lev_fade,IS,563,0.522202486678508,1.2149200710479573
LONDON,15,60,ALL_lev_fade,Validation,145,0.47586206896551725,-1.210344827586207
LONDON,15,60,ALL_lev_fade,OOS,183,0.5081967213114754,0.6584699453551912
LONDON,15,60,ALL_lev_fade,Y2025,138,0.5072463768115942,-0.6539855072463768
LONDON,15,60,ALL_lev_fade,Y2026,45,0.5111111111111111,4.683333333333334
LONDON,15,60,HIGH_lev_fade,IS,208,0.5288461538461539,0.07572115384615384
LONDON,15,60,HIGH_lev_fade,Validation,55,0.43636363636363634,-5.995454545454545
LONDON,15,60,HIGH_lev_fade,OOS,23,0.6086956521739131,11.597826086956522
LONDON,15,60,HIGH_lev_fade,Y2025,21,0.6190476190476191,14.988095238095237
LONDON,15,60,ALL_am_follow,IS,684,0.5190058479532164,0.5573830409356725
LONDON,15,60,ALL_am_follow,Validation,146,0.5753424657534246,5.2688356164383565
LONDON,15,60,ALL_am_follow,OOS,156,0.4551282051282051,-2.7435897435897436
LONDON,15,60,ALL_am_follow,Y2025,116,0.45689655172413796,-3.9267241379310347
LONDON,15,60,ALL_am_follow,Y2026,40,0.45,0.6875
LONDON,15,60,HIGH_am_follow,IS,239,0.5062761506276151,1.3598326359832635
