split,horizon,book,policy,risk_n_days,risk_mean,risk_std,risk_sharpe,risk_sortino,risk_max_dd,risk_total,n_trades,n_high,mean_size,d_sharpe_vs_fixed,d_sharpe_lo,d_sharpe_hi,d_sortino_vs_fixed,d_sortino_lo,d_sortino_hi
IS,30,coinflip,fixed,2551,-3.8442767542140337,32.1832632269864,-1.8962030402240182,-2.248961253670114,-10141.25,-9806.75,9508,3228,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IS,30,coinflip,invvol,2551,-4.679646296001292,14.371180056139197,-5.1691706350898645,-7.181587345555623,-12053.241940078839,-11937.777701099296,9508,3228,1.206229018508401,-3.2729675948658463,-3.5993937531446782,-2.9195294318485256,-4.932626091885509,-5.4155954758749605,-4.410693505248466
IS,30,coinflip,invvol_high_aware,2551,-4.259659404671905,13.202374772610378,-5.121805576060464,-7.069219155513138,-10969.382724717128,-10866.39114131803,9508,3228,1.1011183413055081,-3.225602535836446,-3.5724307187090907,-2.8542465417433753,-4.820257901843024,-5.333039263279143,-4.284283755598595
IS,30,long,fixed,2551,-3.6294590356722853,31.28905752880032,-1.8414065671194457,-2.2398076364940787,-9381.5,-9258.75,9508,3228,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IS,30,long,invvol,2551,-4.3600314933213875,13.854659508070549,-4.995673419336648,-6.8954571526863875,-11162.370488951023,-11122.440339462859,9508,3228,1.206229018508401,-3.1542668522172024,-3.4963907801124265,-2.831194477718474,-4.655649516192309,-5.179736494360094,-4.1988200810216005
IS,30,long,invvol_high_aware,2551,-3.955441909970089,12.739454659080033,-4.928836861168555,-6.708172031500325,-10121.431089895823,-10090.332312333698,9508,3228,1.1011183413055081,-3.087430294049109,-3.453938047474188,-2.7539015299141782,-4.468364395006247,-5.023662619545832,-3.9683666427904014
IS,30,short,fixed,2551,-3.8248725989807917,31.30490830608501,-1.9395670981297353,-2.5963815728341877,-10196.5,-9757.25,9508,3228,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IS,30,short,invvol,2551,-4.631599637982318,14.01248501173655,-5.247061090557858,-7.997985908120749,-11897.038816840382,-11815.210676492894,9508,3228,1.206229018508401,-3.3074939924281224,-3.691009744389768,-2.899684749980017,-5.401604335286562,-5.856032816697324,-4.903719778262504
IS,30,short,invvol_high_aware,2551,-4.252659375120283,12.903357943439888,-5.231884211794296,-7.9642109564156565,-10925.7480520214,-10848.53406593184,9508,3228,1.1011183413055081,-3.2923171136645606,-3.7038923263554397,-2.8510507843738813,-5.367829383581469,-5.861650238649277,-4.84506750574153
IS,60,coinflip,fixed,2479,-3.424969745865268,43.863272224852096,-1.239526975875564,-1.5566950325135986,-9320.5,-8490.5,9409,3207,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IS,60,coinflip,invvol,2479,-4.345763024084864,20.788504927288486,-3.3185094143414897,-4.9271290187640835,-10877.666230298037,-10773.146536706377,9409,3207,1.206229018508401,-2.0789824384659257,-2.435596067641099,-1.7088527714463737,-3.370433986250485,-3.8947017134791477,-2.844076910514919
IS,60,coinflip,invvol_high_aware,2479,-3.914112292131949,19.210976885638065,-3.2343283083029486,-4.7722898074007585,-9768.979372724203,-9703.084372195102,9409,3207,1.1011183413055081,-1.9948013324273846,-2.3725008589585284,-1.6035481159477598,-3.21559477488716,-3.7576387931514112,-2.6663507933870125
IS,60,long,fixed,2479,-4.340056474384832,43.32909525152372,-1.590069218922022,-1.8460575117562845,-10966.0,-10759.0,9409,3207,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IS,60,long,invvol,2479,-4.4583969450345196,19.874326448652724,-3.56111979735678,-4.938072762969326,-11062.983182232745,-11052.366026740574,9409,3207,1.206229018508401,-1.9710505784347578,-2.309783423477675,-1.6560932650490574,-3.0920152512130414,-3.564573953544237,-2.6661762635911836
IS,60,long,invvol_high_aware,2479,-4.023681231957425,18.350419401426066,-3.480790164587749,-4.769314911580414,-9974.944227847076,-9974.705774022455,9409,3207,1.1011183413055081,-1.890720945665727,-2.2471366701672726,-1.5610696123038945,-2.92325739982413,-3.407628779254353,-2.491660798631712
IS,60,short,fixed,2479,-3.2509076240419525,43.34117615649892,-1.1907050806468464,-1.6827526380639868,-8997.0,-8059.0,9409,3207,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IS,60,short,invvol,2479,-4.574651018679233,20.209601325942256,-3.5933580485222865,-5.744956995180029,-11598.21872209836,-11340.559875305818,9409,3207,1.206229018508401,-2.40265296787544,-2.7619185758827633,-2.01363609610663,-4.062204357116043,-4.586116939007117,-3.51644799385168
IS,60,short,invvol_high_aware,2479,-4.212930580080701,18.677139257387662,-3.580751779616482,-5.687215559293346,-10680.99647521159,-10443.854908020057,9409,3207,1.1011183413055081,-2.3900466989696354,-2.764395902321429,-1.9840530385516735,-4.00446292122936,-4.547120886638597,-3.4502709427362928
Validation,30,coinflip,fixed,775,-3.3083870967741937,72.2632901368347,-0.7267731221945362,-1.0532717065050587,-3290.0,-2564.0,3076,1020,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Validation,30,coinflip,invvol,775,-1.336950600043805,19.59884458081471,-1.0828920414085292,-1.6096893283490625,-1103.391749687411,-1036.1367150339488,3076,1020,0.36713218122583274,-0.3561189192139931,-0.5662899378175095,-0.15109815566748908,-0.5564176218440038,-0.8764513805440388,-0.2639689076411388
