split,session,horizon,book,policy,risk_n_days,risk_mean,risk_std,risk_sharpe,risk_sortino,risk_max_dd,risk_total,n_trades,d_sharpe_vs_fixed,d_sharpe_lo,d_sharpe_hi
IS,ASIA,30,coinflip,fixed,2320,-1.3471982758620689,9.605131538452552,-2.2265295943257417,-2.3692137234059425,-3151.5,-3125.5,2320,,,
IS,ASIA,30,coinflip,invvol,2320,-2.1957175069344945,7.254518621761987,-4.804720568451808,-5.885135861437526,-5139.108253893402,-5094.064616088027,2320,-2.5781909741260662,-3.0898473086727525,-2.1132470082930617
IS,ASIA,30,coinflip,invvol_high_aware,2320,-2.029488410705762,6.846952285136216,-4.705324120693801,-5.609797797691344,-4760.549507456744,-4708.413112837368,2320,-2.478794526368059,-3.0148213059601363,-1.9860353516113305
IS,LONDON,30,coinflip,fixed,2413,-1.1689805221715706,10.984810402270616,-1.6893318878795205,-2.1585150139718157,-2818.5,-2820.75,2413,,,
IS,LONDON,30,coinflip,invvol,2413,-1.4477137613036888,6.64741599340827,-3.4572446669325543,-5.054714596361222,-3486.0324881623806,-3493.333306025801,2413,-1.7679127790530338,-2.136712527380896,-1.3903318456190723
IS,LONDON,30,coinflip,invvol_high_aware,2413,-1.2999090804814595,6.105126919398735,-3.3800144036520394,-4.910103104053505,-3129.379793338344,-3136.6806112017616,2413,-1.690682515772519,-2.0622742845251554,-1.298292037525264
IS,NY_AM,30,coinflip,fixed,2415,-0.47908902691511385,23.717899590307635,-0.32065666259805947,-0.40149816483336215,-1513.0,-1157.0,2415,,,
IS,NY_AM,30,coinflip,invvol,2415,-0.31911915864874446,7.3565056314024275,-0.6886230838538384,-1.0152689056804458,-948.462474985087,-770.6727681367179,2415,-0.36796642125577894,-0.5793000908976722,-0.1668832717671539
IS,NY_AM,30,coinflip,invvol_high_aware,2415,-0.29396815086902844,6.797538208641414,-0.6865132023098227,-0.9774556659555624,-846.2255967220586,-709.9330843487037,2415,-0.36585653971176324,-0.5861849294069627,-0.14493560220104892
IS,NY_PM,30,coinflip,fixed,2360,-1.145550847457627,15.796293630076779,-1.1512229618654304,-1.4094091017219246,-3708.75,-2703.5,2360,,,
IS,NY_PM,30,coinflip,invvol,2360,-1.0930961910376062,7.379760874365613,-2.351345033904829,-3.332504407687716,-2860.15431909759,-2579.7070108487505,2360,-1.2001220720393986,-1.5589523595841377,-0.8474559054777707
IS,NY_PM,30,coinflip,invvol_high_aware,2360,-0.9793916664958456,6.76202579856399,-2.2992164149040075,-3.21737246566561,-2552.269876274241,-2311.364332930196,2360,-1.1479934530385771,-1.534171654697163,-0.7586489811141576
Validation,ASIA,30,coinflip,fixed,774,-1.7845607235142118,19.39740693652428,-1.4604541388535066,-1.5347591668865463,-1434.25,-1381.25,774,,,
Validation,ASIA,30,coinflip,invvol,774,-0.8645678103802662,7.683813032138871,-1.7861689827044902,-2.177123890700633,-678.4029739603844,-669.1754852343261,774,-0.3257148438509836,-0.7108257900406146,-0.023074740138959705
Validation,ASIA,30,coinflip,invvol_high_aware,774,-0.7655263940601491,6.908278146075834,-1.7591003876035491,-2.4104889912192964,-600.2772388148982,-592.5174290025554,774,-0.29864624875004253,-0.8213640325382376,0.0891850291358947
Validation,LONDON,30,coinflip,fixed,775,-1.284516129032258,21.94885231216252,-0.9290263155821117,-1.344617818136907,-1291.5,-995.5,775,,,
Validation,LONDON,30,coinflip,invvol,775,-0.37788671238852156,6.758698029323356,-0.8875623030336032,-1.3359624930413492,-364.7467855964827,-292.86220210110423,775,0.04146401254850851,-0.20472174985302377,0.3039964638173897
Validation,LONDON,30,coinflip,invvol_high_aware,775,-0.31284636945036937,6.039795676603406,-0.8222599602249385,-1.2030165434586262,-306.76306007055587,-242.45593632403626,775,0.10676635535717316,-0.18764840633203111,0.41468774684862886
Validation,NY_AM,30,coinflip,fixed,774,1.101421188630491,58.001100308926674,0.30145151091952116,0.4481054038023413,-2044.5,852.5,774,,,
Validation,NY_AM,30,coinflip,invvol,774,0.29856801873639216,14.542439281640235,0.32591646217607734,0.48695813292676665,-510.055750531491,231.09164650196755,774,0.024464951256556178,-0.017907323082160854,0.07491152972932197
Validation,NY_AM,30,coinflip,invvol_high_aware,774,0.21993524990005492,13.415938074456134,0.26024000970024364,0.37802636092388686,-462.11825053149107,170.2298834226425,774,-0.041211501219277524,-0.1786384899285963,0.10542070656036864
Validation,NY_PM,30,coinflip,fixed,753,-1.3808100929614875,35.25344907688155,-0.621774074783477,-0.86137658331816,-1915.0,-1039.75,753,,,
Validation,NY_PM,30,coinflip,invvol,753,-0.40529970013344757,9.248170011699921,-0.6956979888857271,-0.9926629006311902,-543.4835009183403,-305.190674200486,753,-0.07392391410225008,-0.18521626891783555,0.03667819984175671
Validation,NY_PM,30,coinflip,invvol_high_aware,753,-0.3191114253885522,8.27111278830833,-0.6124613413258503,-0.8783353501747115,-476.3959013121661,-240.2909033175798,753,0.009312733457626732,-0.19101029199205977,0.19440163873160837
OOS,ASIA,30,coinflip,fixed,412,0.7214805825242718,34.96794595446752,0.32753279811290037,0.434250311233844,-535.5,297.25,412,,,
OOS,ASIA,30,coinflip,invvol,412,-0.039456855991956,9.510177943722585,-0.06586187708934178,-0.08706199595724234,-242.23630239191573,-16.256224668685874,412,-0.39339467520224214,-0.7082411963821118,-0.13264741911002748
OOS,ASIA,30,coinflip,invvol_high_aware,412,-0.1475434422650374,7.398908502225555,-0.3165574400826442,-0.42164004231241126,-227.5535117848587,-60.78789821319541,412,-0.6440902381955446,-1.0918775719735851,-0.2571127422391231
OOS,LONDON,30,coinflip,fixed,413,-1.721549636803874,31.56368689811927,-0.8658289299355618,-1.1911543586972035,-998.25,-711.0,413,,,
OOS,LONDON,30,coinflip,invvol,413,-0.50100501606842,8.439737359075915,-0.9423525555715355,-1.3543139158011528,-290.0809250100368,-206.91507163625744,413,-0.0765236256359737,-0.282644046954292,0.13831783056123637
OOS,LONDON,30,coinflip,invvol_high_aware,413,-0.4650207489278251,7.949077025228761,-0.9286581968521994,-1.3351377020161381,-273.3239952913807,-192.05356930719176,413,-0.0628292669166376,-0.3412318576455257,0.22421015860371465
OOS,NY_AM,30,coinflip,fixed,412,1.8476941747572815,83.46106155791092,0.3514361687277476,0.5098783920066005,-1487.0,761.25,412,,,
OOS,NY_AM,30,coinflip,invvol,412,0.46573993112202183,20.867332524548452,0.35430461423805365,0.5141407006838454,-371.46014583576556,191.884851622273,412,0.0028684455103060724,-0.0008688432417950365,0.008418257494983634
