split,session,policy,risk_n_days,risk_mean,risk_std,risk_sharpe,risk_sortino,risk_max_dd,risk_total,n_trades,d_sharpe_vs_base,d_sharpe_lo,d_sharpe_hi,d_sharpe_vs_wide,d_sharpe_vs_wide_lo,d_sharpe_vs_wide_hi
IS,ASIA,uncond_base,2334,-1.853320479862908,8.703017185103667,-3.380500108270259,-5.480326708749783,-4404.750000000029,-4325.650000000027,2334,,,,,,
IS,ASIA,uncond_wide,2334,-1.5637826692373558,10.925775093474789,-2.272084137898349,-3.507209205729396,-3767.49999999999,-3649.868749999988,2334,1.10841597037191,0.7092891121988486,1.5407214683745492,,,
IS,ASIA,regime_width,2334,-1.6953352613539028,9.701929628449772,-2.7739443567606004,-4.531223350644853,-4050.118750000012,-3956.912500000009,2334,0.6065557515096587,0.2720653462660172,0.9899622674804386,-0.5018602188622512,-0.7758178433879007,-0.2530637728445007
IS,ASIA,high_only_base,1125,-1.731555555555574,8.53545564589189,-3.220401280039898,-4.875903837071901,-2027.0500000000231,-1948.0000000000207,1125,-1.179201147911007,-1.9989452069596096,-0.3389298448180453,,,
IS,LONDON,uncond_base,2399,-1.4131825760733678,7.648490823011824,-2.933072476601939,-4.580616353690291,-3440.350000000005,-3390.225000000009,2399,,,,,,
IS,LONDON,uncond_wide,2399,-0.924158503543133,10.351728019973102,-1.4172089341971068,-2.185606503926486,-2242.612499999978,-2217.056249999976,2399,1.515863542404832,1.0612435290138602,2.0091784452022843,,,
IS,LONDON,regime_width,2399,-1.2042517715714909,8.17603909569166,-2.3381620363088,-3.688215617577837,-2943.7312500000025,-2889.0000000000064,2399,0.5949104402931393,0.3423057647460909,0.8591010343735341,-0.9209531021116928,-1.306873306896802,-0.5315040162951864
IS,LONDON,high_only_base,1246,-1.6139245585874895,5.04994472683643,-5.073373964847953,-9.0341317083025,-2089.425000000009,-2010.9500000000123,1246,-1.79403034179962,-2.677263596765789,-0.8855439366893779,,,
IS,NY_AM,uncond_base,2415,-3.993731884057979,6.808832517221624,-9.311218633938614,-13.056685779497348,-9647.23750000002,-9644.86250000002,2415,,,,,,
IS,NY_AM,uncond_wide,2415,-1.4909109730848764,11.849574003062434,-1.9973273270585672,-3.3164410260102453,-3630.312499999976,-3600.5499999999765,2415,7.313891306880047,6.564365012121184,8.079972300453424,,,
IS,NY_AM,regime_width,2415,-3.423330745341611,7.723943163126716,-7.0357445282097295,-10.460344116139051,-8269.71874999999,-8267.34374999999,2415,2.2754741057288843,1.854514139509336,2.7474154019317663,-5.038417201151162,-5.65422196403153,-4.477626401712121
IS,NY_AM,high_only_base,1201,-3.537687343880114,3.773707728078108,-14.881662708374472,-18.890824283925262,-4249.4875000000175,-4248.762500000017,1201,-0.5311688878442524,-2.2911693580854857,1.2211206561679713,,,
IS,NY_PM,uncond_base,2404,-1.6098741680532476,10.770878936038631,-2.372690315842922,-4.065754638982302,-3865.712500000007,-3870.137500000007,2404,,,,,,
IS,NY_PM,uncond_wide,2404,-0.9979383319467514,14.5495111746392,-1.088818703976233,-1.7572493240734868,-2395.7874999999904,-2399.0437499999903,2404,1.283871611866689,0.8149733092045236,1.7672398897696635,,,
