feature,split,instrument,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
surf_oi_gamma_sum,Discovery,es,5,low,1954,2.077544894575178e-05,5.98842797884247e-05,0.0008036238805675971,0.000984839997550643,0.5081883316274309
surf_oi_gamma_sum,Discovery,es,5,mid,2551,-4.11610329937724e-06,0.0,0.0006172598933471749,0.0007407250822805578,0.4970599764798118
surf_oi_gamma_sum,Discovery,es,5,high,3103,-7.153978679177028e-06,0.0,0.0004290856259635852,0.000546899116074366,0.46567837576538834
surf_oi_gamma_sum,Discovery,es,15,low,1954,3.704085776678301e-05,7.998090488681164e-05,0.0012788375774082943,0.0016072696158179246,0.5168884339815762
surf_oi_gamma_sum,Discovery,es,15,mid,2551,1.724055788230587e-05,5.876476464705682e-05,0.0009901419502958036,0.0012681832185452069,0.5049000392003136
surf_oi_gamma_sum,Discovery,es,15,high,3103,8.074666498675868e-06,0.0,0.0006713243661446775,0.0009271196532025522,0.49790525298098615
surf_oi_gamma_sum,Discovery,es,30,low,1954,6.038308740657132e-05,0.00015332135041978834,0.0016703146230529612,0.002174591285136369,0.5399181166837257
surf_oi_gamma_sum,Discovery,es,30,mid,2551,-3.449850742283768e-05,8.504847763224355e-05,0.0013406910710430497,0.0017709864841756644,0.5123480987847903
surf_oi_gamma_sum,Discovery,es,30,high,3103,3.722819459344798e-05,8.53169524783759e-05,0.000929528986213749,0.0012903450475353498,0.5066065098291975
surf_oi_gamma_sum,Discovery,es,60,low,1954,1.2259705649743708e-05,0.0001081706656126391,0.002297497721347823,0.003010309262666646,0.5204708290685772
surf_oi_gamma_sum,Discovery,es,60,mid,2551,-4.281422732613576e-05,0.0001188707280832535,0.0018789408772013753,0.0024791437368010733,0.5221481771854175
surf_oi_gamma_sum,Discovery,es,60,high,3103,7.366407531145757e-05,0.00010256410256404003,0.0012687581857205132,0.001790066635121104,0.5169191105381888
surf_oi_gamma_sum,Discovery,es,120,low,1954,-6.724003878481946e-05,0.00016663210464840095,0.0029069057724269536,0.0039527448774718185,0.5291709314227226
surf_oi_gamma_sum,Discovery,es,120,mid,2551,-6.933190186313001e-05,0.0001188707280832535,0.0025791954734504705,0.00336757439932917,0.5162681301450411
surf_oi_gamma_sum,Discovery,es,120,high,3103,0.0001759344489460063,0.00020546537908372464,0.0016587418904037284,0.0023972738061274973,0.5381888495004834
surf_oi_gamma_sum,Discovery,nq,5,low,1954,3.010753921217885e-05,0.00010060506479714348,0.0010331287999092425,0.0011964120763313312,0.5353121801432958
surf_oi_gamma_sum,Discovery,nq,5,mid,2550,-2.0347854476773513e-06,5.2482406199261256e-05,0.0007876134543147453,0.0009086538301879941,0.5219607843137255
