split,instrument,horizon_m,feature,target,n,spearman
Discovery,es,5,surf_oi_gamma_sum,ret,7608,-0.018258724501919274
Discovery,es,5,surf_oi_gamma_sum,absret,7608,-0.1952811152825138
Discovery,es,5,surf_oi_gamma_sum,rv,7607,-0.2665946954470504
Discovery,es,5,surf_oi_gamma_balance,ret,7608,-0.005021968045959205
Discovery,es,5,surf_oi_gamma_balance,absret,7608,-0.1047946271907076
Discovery,es,5,surf_oi_gamma_balance,rv,7607,-0.14519213398794734
Discovery,es,5,surf_oi_gamma_pc_asym,ret,7608,-0.026311926637831422
Discovery,es,5,surf_oi_gamma_pc_asym,absret,7608,0.2184853087264056
Discovery,es,5,surf_oi_gamma_pc_asym,rv,7607,0.2968786043443262
Discovery,es,5,surf_atm_oi_gamma_abs_share,ret,7545,0.0006505931797636386
Discovery,es,5,surf_atm_oi_gamma_abs_share,absret,7545,-0.3295528359873267
Discovery,es,5,surf_atm_oi_gamma_abs_share,rv,7544,-0.4653542943497233
Discovery,es,5,surf_near_oi_gamma_abs_share,ret,7545,-0.001508418808715884
Discovery,es,5,surf_near_oi_gamma_abs_share,absret,7545,-0.3221087195171703
Discovery,es,5,surf_near_oi_gamma_abs_share,rv,7544,-0.4631031115641233
Discovery,es,5,surf_oi_gamma_m_slope,ret,7545,-0.009276570385362929
Discovery,es,5,surf_oi_gamma_m_slope,absret,7545,0.07190084089168794
Discovery,es,5,surf_oi_gamma_m_slope,rv,7544,0.07644589261393604
Discovery,es,5,surf_peak_abs_oi_gamma_dist,ret,7545,0.004897982542406529
Discovery,es,5,surf_peak_abs_oi_gamma_dist,absret,7545,0.012737597159347509
Discovery,es,5,surf_peak_abs_oi_gamma_dist,rv,7544,0.009206909546528943
Discovery,es,5,volg_gamma_sum,ret,7608,-0.01873601028287185
Discovery,es,5,volg_gamma_sum,absret,7608,-0.14265672882405164
Discovery,es,5,volg_gamma_sum,rv,7607,-0.20497091321909197
Discovery,es,5,volg_gamma_balance,ret,7608,-0.01873601028287185
Discovery,es,5,volg_gamma_balance,absret,7608,-0.14265672882405164
