protocol,train,test,instrument,horizon_m,target,model,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
fit_Discovery_score_Validation,Discovery,Validation,es,5,rv,B_oi_gamma,6479,4409,0.35660053300810146,0.3571295259128996,0.0005289929047981312,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,5,rv,C_volg_skew,6479,4409,0.35660053300810146,0.3397371827593745,-0.016863350248726983,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,5,rv,atm_share_only,7544,4817,0.37312268584764174,0.3726942289014251,-0.00042845694621662656,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,5,rv,family_volg,6535,4409,0.35694373122507816,0.34805431341075044,-0.008889417814327727,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,5,rv,family_skew,6479,4409,0.35660053300810146,0.34459881114399804,-0.01200172186410342,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,5,rv,family_iv_vs_no_iv,7607,4817,0.3624509173701521,0.3734233659629794,0.01097244859282731,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,5,absret,B_oi_gamma,6480,4409,0.15779135788986032,0.1604390594720917,0.0026477015822313765,6,15
fit_Discovery_score_Validation,Discovery,Validation,es,5,absret,C_volg_skew,6480,4409,0.15779135788986032,0.15091459815486208,-0.006876759734998239,6,13
fit_Discovery_score_Validation,Discovery,Validation,es,5,absret,atm_share_only,7545,4817,0.1613203119880603,0.16141772088981787,9.740890175757855e-05,6,7
fit_Discovery_score_Validation,Discovery,Validation,es,5,absret,family_volg,6536,4409,0.15857319192068275,0.15188250217159127,-0.006690689749091483,6,9
fit_Discovery_score_Validation,Discovery,Validation,es,5,absret,family_skew,6480,4409,0.15779135788986032,0.15697037472784237,-0.000820983162017952,6,10
fit_Discovery_score_Validation,Discovery,Validation,es,5,absret,family_iv_vs_no_iv,7608,4817,0.15310830100227446,0.16231946949424425,0.00921116849196979,5,6
fit_Discovery_score_Validation,Discovery,Validation,es,5,ret,B_oi_gamma,6480,4409,-0.007444497995100718,-0.008959550192350507,-0.0015150521972497888,6,15
