protocol,year,instrument,horizon_m,target,model,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
loo_Discovery_year,2016,es,15,rv,atm_share_only,7126,418,0.5793740841515422,0.5843342811531491,0.004960197001606881,6,7
loo_Discovery_year,2016,es,15,rv,B_oi_gamma,6125,354,0.607975597915478,0.6029664225798443,-0.005009175335633609,6,15
loo_Discovery_year,2017,es,15,rv,atm_share_only,6126,1418,0.4890506016011632,0.5015811665397708,0.012530564938607602,6,7
loo_Discovery_year,2017,es,15,rv,B_oi_gamma,5260,1219,0.4824607237631646,0.4640265245573215,-0.018434199205843105,6,15
loo_Discovery_year,2018,es,15,rv,atm_share_only,6200,1344,0.7601690802844323,0.7597632590543322,-0.00040582123010013404,6,7
loo_Discovery_year,2018,es,15,rv,B_oi_gamma,5326,1153,0.7637401220516215,0.7648623428513853,0.0011222207997638733,6,15
loo_Discovery_year,2019,es,15,rv,atm_share_only,6097,1447,0.3970637640265263,0.3982431291904597,0.0011793651639333547,6,7
loo_Discovery_year,2019,es,15,rv,B_oi_gamma,5234,1245,0.45067757126332386,0.4457899684474347,-0.0048876028158891804,6,15
loo_Discovery_year,2020,es,15,rv,atm_share_only,6084,1460,0.7562169888881256,0.7568387924026488,0.0006218035145232337,6,7
loo_Discovery_year,2020,es,15,rv,B_oi_gamma,5223,1256,0.7952068862442624,0.7933573289577437,-0.0018495572865186993,6,15
loo_Discovery_year,2021,es,15,rv,atm_share_only,6087,1457,0.6553431715963505,0.6639886305407344,0.008645458944383955,6,7
loo_Discovery_year,2021,es,15,rv,B_oi_gamma,5227,1252,0.6572024016260174,0.662848715255363,0.005646313629345645,6,15
fit_Discovery_score_year,2022,es,15,rv,atm_share_only,7544,2227,0.46967356901058266,0.47139500748314267,0.0017214384725600107,6,7
fit_Discovery_score_year,2022,es,15,rv,B_oi_gamma,6479,2022,0.4417604858681722,0.45197672447836734,0.01021623861019516,6,15
fit_Discovery_score_year,2023,es,15,rv,atm_share_only,7544,2590,0.4617494311994361,0.46293460949732845,0.0011851782978923309,6,7
fit_Discovery_score_year,2023,es,15,rv,B_oi_gamma,6479,2387,0.42845770599234045,0.4432186537188454,0.014760947726504936,6,15
fit_Discovery_score_year,2024,es,15,rv,atm_share_only,7544,870,0.3187475073158498,0.31966014520034836,0.0009126378844985794,6,7
fit_Discovery_score_year,2024,es,15,rv,B_oi_gamma,6479,802,0.29744932064097485,0.31089090077395887,0.013441580132984021,6,15
loo_Discovery_year,2016,es,30,rv,atm_share_only,7126,418,0.5358628116328348,0.5730416914365322,0.037178879803697384,6,7
loo_Discovery_year,2016,es,30,rv,B_oi_gamma,6125,354,0.5891856952253417,0.6068997106413263,0.017714015415984607,6,15
loo_Discovery_year,2017,es,30,rv,atm_share_only,6126,1418,0.5115731024281114,0.543317741906114,0.031744639478002656,6,7
loo_Discovery_year,2017,es,30,rv,B_oi_gamma,5260,1219,0.5157861007223262,0.48891967354589605,-0.026866427176430174,6,15
loo_Discovery_year,2018,es,30,rv,atm_share_only,6200,1344,0.7569738209252723,0.7594779558922296,0.0025041349669572277,6,7
loo_Discovery_year,2018,es,30,rv,B_oi_gamma,5326,1153,0.78237836038906,0.7904653280991524,0.00808696771009243,6,15
loo_Discovery_year,2019,es,30,rv,atm_share_only,6097,1447,0.4372553378279723,0.456497957179931,0.0192426193519587,6,7
loo_Discovery_year,2019,es,30,rv,B_oi_gamma,5234,1245,0.4732290506138769,0.47967073889813516,0.0064416882842582845,6,15
loo_Discovery_year,2020,es,30,rv,atm_share_only,6084,1460,0.787741239232729,0.7794144538414169,-0.008326785391312042,6,7
loo_Discovery_year,2020,es,30,rv,B_oi_gamma,5223,1256,0.8197109945126152,0.8234405761663968,0.0037295816537815663,6,15
loo_Discovery_year,2021,es,30,rv,atm_share_only,6087,1457,0.6658245349739216,0.6975187116424519,0.03169417666853036,6,7
loo_Discovery_year,2021,es,30,rv,B_oi_gamma,5227,1252,0.6782375547205134,0.7035989082427611,0.025361353522247665,6,15
fit_Discovery_score_year,2022,es,30,rv,atm_share_only,7544,2227,0.5136943552238271,0.5310726473009308,0.01737829207710373,6,7
fit_Discovery_score_year,2022,es,30,rv,B_oi_gamma,6479,2022,0.48789487667062514,0.5260220246218059,0.03812714795118077,6,15
fit_Discovery_score_year,2023,es,30,rv,atm_share_only,7544,2590,0.5078578249963952,0.5232246271901342,0.015366802193738982,6,7
fit_Discovery_score_year,2023,es,30,rv,B_oi_gamma,6479,2387,0.47592233915005333,0.5213835958321283,0.04546125668207501,6,15
fit_Discovery_score_year,2024,es,30,rv,atm_share_only,7544,870,0.3718953446334432,0.38936138761925465,0.017466042985811447,6,7
fit_Discovery_score_year,2024,es,30,rv,B_oi_gamma,6479,802,0.35360711029406733,0.37531077603209817,0.021703665738030842,6,15
loo_Discovery_year,2016,es,60,rv,atm_share_only,7126,418,0.5073379619185474,0.5423316080746912,0.034993646156143754,6,7
loo_Discovery_year,2016,es,60,rv,B_oi_gamma,6125,354,0.5669572449935226,0.570489651936648,0.003532406943125399,6,15
loo_Discovery_year,2017,es,60,rv,atm_share_only,6126,1418,0.49444935743751195,0.5375270097699174,0.04307765233240546,6,7
loo_Discovery_year,2017,es,60,rv,B_oi_gamma,5260,1219,0.49818946283942445,0.4604703539636782,-0.037719108875746254,6,15
loo_Discovery_year,2018,es,60,rv,atm_share_only,6200,1344,0.7536078809455896,0.7512133753183088,-0.0023945056272808296,6,7
loo_Discovery_year,2018,es,60,rv,B_oi_gamma,5326,1153,0.7809407965510609,0.7846321481561143,0.0036913516050534056,6,15
loo_Discovery_year,2019,es,60,rv,atm_share_only,6097,1447,0.43981213551035625,0.44946419659415726,0.009652061083801011,6,7
loo_Discovery_year,2019,es,60,rv,B_oi_gamma,5234,1245,0.4608130986070046,0.46450645922359746,0.0036933606165928667,6,15
loo_Discovery_year,2020,es,60,rv,atm_share_only,6084,1460,0.8064098598630896,0.7989468686561991,-0.007462991206890424,6,7
loo_Discovery_year,2020,es,60,rv,B_oi_gamma,5223,1256,0.8335961922162803,0.8300043812398414,-0.003591810976438903,6,15
loo_Discovery_year,2021,es,60,rv,atm_share_only,6087,1457,0.6500372604742395,0.6721701942316393,0.022132933757399775,6,7
loo_Discovery_year,2021,es,60,rv,B_oi_gamma,5227,1252,0.6702875507468183,0.6854230753575583,0.01513552461073997,6,15
fit_Discovery_score_year,2022,es,60,rv,atm_share_only,7544,2227,0.4609164520217933,0.4714441723744104,0.010527720352617065,6,7
fit_Discovery_score_year,2022,es,60,rv,B_oi_gamma,6479,2022,0.42580053801774076,0.457002302711603,0.031201764693862266,6,15
fit_Discovery_score_year,2023,es,60,rv,atm_share_only,7544,2590,0.4680140522687265,0.47905783473835517,0.011043782469628671,6,7
fit_Discovery_score_year,2023,es,60,rv,B_oi_gamma,6479,2387,0.42846389670815654,0.47054639588336566,0.04208249917520912,6,15
fit_Discovery_score_year,2024,es,60,rv,atm_share_only,7544,870,0.34688135637797335,0.36558310447282283,0.01870174809484948,6,7
fit_Discovery_score_year,2024,es,60,rv,B_oi_gamma,6479,802,0.3201308139613904,0.35607842458730143,0.03594761062591101,6,15
loo_Discovery_year,2016,nq,15,rv,atm_share_only,7126,418,0.6521777786011052,0.6525672821441869,0.0003895035430817595,6,7
loo_Discovery_year,2016,nq,15,rv,B_oi_gamma,6125,354,0.702898054416006,0.6951321506412145,-0.007765903774791472,6,15
loo_Discovery_year,2017,nq,15,rv,atm_share_only,6126,1418,0.5584832732132479,0.5586767270717228,0.00019345385847491237,6,7
loo_Discovery_year,2017,nq,15,rv,B_oi_gamma,5260,1219,0.5470716351242092,0.5301660813786895,-0.01690555374551972,6,15
loo_Discovery_year,2018,nq,15,rv,atm_share_only,6200,1344,0.7424286279505448,0.7419029065414661,-0.0005257214090786944,6,7
