probe,es_horizon_m,nq_horizon_m,spearman,n,delta_r2,r2_A,r2_ext,n_train,n_test,model,n_feat_A,n_feat_ext
es_nq_spearman,5,15,0.7668045812080345,7607.0,,,,0,0,,,
es_nq_spearman,5,30,0.7200234221229097,7607.0,,,,0,0,,,
es_nq_spearman,5,60,0.6829564445533313,7607.0,,,,0,0,,,
es_nq_spearman,15,15,0.908453396920428,7607.0,,,,0,0,,,
es_nq_spearman,15,30,0.8683276432736726,7607.0,,,,0,0,,,
es_nq_spearman,15,60,0.8310777163082959,7607.0,,,,0,0,,,
es_nq_spearman,30,15,0.8666277275620147,7607.0,,,,0,0,,,
es_nq_spearman,30,30,0.9256735864287967,7607.0,,,,0,0,,,
es_nq_spearman,30,60,0.8921169446123478,7607.0,,,,0,0,,,
nq_given_es_rv,5,15,,,0.28023792507473355,0.3050030500374452,0.5852409751121788,12424,870,A_nq + es_rv,6.0,7.0
gamma_after_es_rv,5,15,,,-1.5684727681097854e-06,0.5849977603231264,0.5849961918503583,12361,870,A_nq+es_rv + atm_share,7.0,8.0
gamma_es_after_nq_rv,15,5,,,0.004187558844365391,0.6548179313795247,0.6590054902238901,12361,870,A_es+nq_rv + atm_share,7.0,8.0
nq_given_es_rv,15,15,,,0.5425279642164718,0.3050030500374452,0.847531014253917,12424,870,A_nq + es_rv,6.0,7.0
gamma_after_es_rv,15,15,,,0.0010215112003272298,0.8473980031201088,0.848419514320436,12361,870,A_nq+es_rv + atm_share,7.0,8.0
gamma_es_after_nq_rv,15,15,,,-0.0001220528295938772,0.8760182291695483,0.8758961763399544,12361,870,A_es+nq_rv + atm_share,7.0,8.0
nq_given_es_rv,30,15,,,0.37938613200520144,0.3050030500374452,0.6843891820426466,12424,870,A_nq + es_rv,6.0,7.0
gamma_after_es_rv,30,15,,,0.009775215413856841,0.6841841008792287,0.6939593162930855,12361,870,A_nq+es_rv + atm_share,7.0,8.0
gamma_es_after_nq_rv,15,30,,,-0.0007338416468757325,0.7019553159567199,0.7012214743098442,12361,870,A_es+nq_rv + atm_share,7.0,8.0
nq_given_es_rv,5,30,,,0.16786936824608778,0.3325842867708957,0.5004536550169835,12424,870,A_nq + es_rv,6.0,7.0
gamma_after_es_rv,5,30,,,0.0022508388454969275,0.5004613382056796,0.5027121770511765,12361,870,A_nq+es_rv + atm_share,7.0,8.0
gamma_es_after_nq_rv,30,5,,,0.019324432715003503,0.5840165447421164,0.6033409774571199,12361,870,A_es+nq_rv + atm_share,7.0,8.0
nq_given_es_rv,15,30,,,0.35203707286307917,0.3325842867708957,0.6846213596339749,12424,870,A_nq + es_rv,6.0,7.0
gamma_after_es_rv,15,30,,,0.0007354467683895471,0.6846957387043651,0.6854311854727546,12361,870,A_nq+es_rv + atm_share,7.0,8.0
gamma_es_after_nq_rv,30,15,,,0.012075098631545655,0.7422390984656249,0.7543141970971705,12361,870,A_es+nq_rv + atm_share,7.0,8.0
nq_given_es_rv,30,30,,,0.5250354015843952,0.3325842867708957,0.8576196883552909,12424,870,A_nq + es_rv,6.0,7.0
gamma_after_es_rv,30,30,,,0.0017567255095605194,0.8575969080656203,0.8593536335751808,12361,870,A_nq+es_rv + atm_share,7.0,8.0
gamma_es_after_nq_rv,30,30,,,0.002366348834133447,0.8913413568311972,0.8937077056653306,12361,870,A_es+nq_rv + atm_share,7.0,8.0
nq_given_es_rv,5,60,,,0.10324545194600532,0.30707585945111193,0.41032131139711725,12424,870,A_nq + es_rv,6.0,7.0
gamma_after_es_rv,5,60,,,0.009408462775015392,0.4104105611151512,0.41981902389016656,12361,870,A_nq+es_rv + atm_share,7.0,8.0
gamma_es_after_nq_rv,60,5,,,0.02098541861735459,0.5034140855713145,0.5243995041886691,12361,870,A_es+nq_rv + atm_share,7.0,8.0
nq_given_es_rv,15,60,,,0.22711040919201664,0.30707585945111193,0.5341862686431286,12424,870,A_nq + es_rv,6.0,7.0
gamma_after_es_rv,15,60,,,0.004878680675432845,0.5343038556191926,0.5391825362946254,12361,870,A_nq+es_rv + atm_share,7.0,8.0
gamma_es_after_nq_rv,60,15,,,0.015897866379643855,0.6218724447741197,0.6377703111537636,12361,870,A_es+nq_rv + atm_share,7.0,8.0
nq_given_es_rv,30,60,,,0.35589980762802675,0.30707585945111193,0.6629756670791387,12424,870,A_nq + es_rv,6.0,7.0
gamma_after_es_rv,30,60,,,-0.0046852996780467615,0.6629742314886118,0.658288931810565,12361,870,A_nq+es_rv + atm_share,7.0,8.0
gamma_es_after_nq_rv,60,30,,,0.006116438608524621,0.7267474648116885,0.7328639034202131,12361,870,A_es+nq_rv + atm_share,7.0,8.0
