probe,how,instrument,horizon_m,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
falsification,identity,es,30,12361,870,0.3892783846774507,0.400960300811371,0.011681916133920334,6,7
falsification,permute_global,es,30,12368,870,0.38951237347176726,0.3881241233758048,-0.00138825009596244,6,7
falsification,permute_within_iv_tercile,es,30,12361,870,0.3893312075624734,0.38769603596175684,-0.0016351716007165784,6,7
falsification,permute_within_tod,es,30,12365,870,0.3894591828988553,0.3837387942314018,-0.005720388667453502,6,7
falsification,gaussian_match_moments,es,30,12361,870,0.3892783846774507,0.38898388239727566,-0.0002945022801750241,6,7
falsification,residual_permute,es,30,12361,870,0.3892783846774507,0.3893096044426796,3.1219765228907015e-05,6,7
falsification,identity,es,60,12361,870,0.37032277921173784,0.38472546238659366,0.014402683174855824,6,7
falsification,permute_global,es,60,12370,870,0.3706948462362809,0.3707018426301577,6.996393876801399e-06,6,7
falsification,permute_within_iv_tercile,es,60,12369,870,0.3703823499054667,0.3703745669691837,-7.782936283007302e-06,6,7
falsification,permute_within_tod,es,60,12366,870,0.37052523311561514,0.3736556452990849,0.0031304121834697662,6,7
falsification,gaussian_match_moments,es,60,12361,870,0.37032277921173784,0.3701808526354454,-0.00014192657629241712,6,7
falsification,residual_permute,es,60,12361,870,0.37032277921173784,0.3700029709245166,-0.0003198082872212238,6,7
falsification,identity,nq,30,12361,870,0.33250038541733107,0.3282610809569291,-0.004239304460401994,6,7
falsification,permute_global,nq,30,12360,870,0.33249540479420836,0.3325612975564196,6.58927622112504e-05,6,7
falsification,permute_within_iv_tercile,nq,30,12364,870,0.3324835207986503,0.3320644180714959,-0.0004191027271543968,6,7
falsification,permute_within_tod,nq,30,12375,870,0.3325524360130889,0.33048307354615336,-0.002069362466935565,6,7
falsification,gaussian_match_moments,nq,30,12361,870,0.33250038541733107,0.332463063855009,-3.7321562322056856e-05,6,7
falsification,residual_permute,nq,30,12361,870,0.33250038541733107,0.3324852730655352,-1.5112351795854018e-05,6,7
falsification,identity,nq,60,12361,870,0.30710336640734626,0.3134145031895814,0.0063111367822351605,6,7
falsification,permute_global,nq,60,12359,870,0.3073778908199196,0.3067886791738127,-0.0005892116461069241,6,7
falsification,permute_within_iv_tercile,nq,60,12358,870,0.30704697483881105,0.3077561565300224,0.0007091816912113691,6,7
falsification,permute_within_tod,nq,60,12360,870,0.3070298958072233,0.30516161401148223,-0.0018682817957410558,6,7
falsification,gaussian_match_moments,nq,60,12361,870,0.30710336640734626,0.3072337613605337,0.00013039495318745153,6,7
falsification,residual_permute,nq,60,12361,870,0.30710336640734626,0.3053948953202861,-0.0017084710870601816,6,7
