probe,regime,regime_cuts,instrument,horizon_m,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext,delta_r2_main,delta_r2_interaction_extra
iv_regime,low,0.148734|0.235495,es,15,2704,84,-0.004633542941404389,0.015363732705279354,0.019997275646683743,6.0,7.0,,
iv_regime,mid,0.148734|0.235495,es,15,3858,533,0.2746549050432151,0.26709173240692474,-0.007563172636290361,6.0,7.0,,
iv_regime,high,0.148734|0.235495,es,15,5799,253,0.37098820054282533,0.3659575633445832,-0.005030637198242149,6.0,7.0,,
iv_interaction,full,DiscVal_OOS,es,15,12361,870,0.33173726836465756,0.33212827442808057,0.00039100606342301614,,,0.00039100606342301614,-0.0011943067165750554
iv_regime,low,0.148734|0.235495,es,30,2704,84,0.00795998579186441,0.015425995562600048,0.007466009770735638,6.0,7.0,,
iv_regime,mid,0.148734|0.235495,es,30,3858,533,0.3113451029021431,0.30354591710199685,-0.007799185800146269,6.0,7.0,,
iv_regime,high,0.148734|0.235495,es,30,5799,253,0.3791616211009319,0.3930381179139446,0.013876496813012729,6.0,7.0,,
iv_interaction,full,DiscVal_OOS,es,30,12361,870,0.3892783846774507,0.400960300811371,0.011681916133920334,,,0.011681916133920334,-0.00302172715036364
iv_regime,low,0.148734|0.235495,es,60,2704,84,-0.06878676683337126,-0.035334662927795524,0.033452103905575736,6.0,7.0,,
iv_regime,mid,0.148734|0.235495,es,60,3858,533,0.3052751546933292,0.3240886325575123,0.01881347786418308,6.0,7.0,,
iv_regime,high,0.148734|0.235495,es,60,5799,253,0.26213210976239465,0.26457189244102886,0.002439782678634206,6.0,7.0,,
iv_interaction,full,DiscVal_OOS,es,60,12361,870,0.37032277921173784,0.38472546238659366,0.014402683174855824,,,0.014402683174855824,-0.0006179474098237936
iv_regime,low,0.148734|0.235495,nq,15,2704,84,0.025791530426717446,0.025118988596714575,-0.0006725418300028707,6.0,7.0,,
iv_regime,mid,0.148734|0.235495,nq,15,3858,533,0.3130448514991011,0.308953685496951,-0.004091166002150093,6.0,7.0,,
iv_regime,high,0.148734|0.235495,nq,15,5799,253,0.357997677319957,0.35516370804172537,-0.0028339692782316517,6.0,7.0,,
iv_interaction,full,DiscVal_OOS,nq,15,12361,870,0.3048579532376612,0.3043160510980304,-0.0005419021396307899,,,-0.0005419021396307899,-0.003128981378546114
iv_regime,low,0.148734|0.235495,nq,30,2704,84,0.005880235457170424,-0.007492481631554471,-0.013372717088724895,6.0,7.0,,
iv_regime,mid,0.148734|0.235495,nq,30,3858,533,0.3674930170716115,0.3530667266114491,-0.014426290460162416,6.0,7.0,,
iv_regime,high,0.148734|0.235495,nq,30,5799,253,0.3739652546277329,0.363272339747035,-0.010692914880697901,6.0,7.0,,
iv_interaction,full,DiscVal_OOS,nq,30,12361,870,0.33250038541733107,0.3282610809569291,-0.004239304460401994,,,-0.004239304460401994,-0.007980621026964285
iv_regime,low,0.148734|0.235495,nq,60,2704,84,0.014208385117658207,0.011586096087671915,-0.002622289029986291,6.0,7.0,,
iv_regime,mid,0.148734|0.235495,nq,60,3858,533,0.3571953780092929,0.3560978008337584,-0.001097577175534492,6.0,7.0,,
iv_regime,high,0.148734|0.235495,nq,60,5799,253,0.1778633633609148,0.18000668926222896,0.0021433259013141637,6.0,7.0,,
iv_interaction,full,DiscVal_OOS,nq,60,12361,870,0.30710336640734626,0.3134145031895814,0.0063111367822351605,,,0.0063111367822351605,-0.0030594424071753723
