probe,part,instrument,horizon_m,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
surface_part,atm_share,es,15,12361,870,0.33173726836465756,0.33212827442808057,0.00039100606342301614,6,7
surface_part,near_share,es,15,12361,870,0.33173726836465756,0.3351947937869575,0.003457525422299934,6,7
surface_part,peak_dist,es,15,12361,870,0.33173726836465756,0.33173415821029184,-3.1101543657152675e-06,6,7
surface_part,m_centroid,es,15,12361,870,0.33173726836465756,0.332519659619971,0.0007823912553134305,6,7
surface_part,m_slope,es,15,12361,870,0.33173726836465756,0.33179514092634743,5.7872561689875646e-05,6,7
surface_part,pc_asym,es,15,12424,870,0.33182607453869173,0.33187070411066,4.462957196826878e-05,6,7
surface_part,atm_share,es,30,12361,870,0.3892783846774507,0.400960300811371,0.011681916133920334,6,7
surface_part,near_share,es,30,12361,870,0.3892783846774507,0.39744255244095117,0.008164167763500485,6,7
surface_part,peak_dist,es,30,12361,870,0.3892783846774507,0.39006912430165397,0.0007907396242032849,6,7
surface_part,m_centroid,es,30,12361,870,0.3892783846774507,0.38944276690113666,0.0001643822236859771,6,7
surface_part,m_slope,es,30,12361,870,0.3892783846774507,0.3893253396443429,4.6954966892220895e-05,6,7
surface_part,pc_asym,es,30,12424,870,0.3895190639077937,0.39004611091733676,0.0005270470095430912,6,7
surface_part,atm_share,es,60,12361,870,0.37032277921173784,0.38472546238659366,0.014402683174855824,6,7
surface_part,near_share,es,60,12361,870,0.37032277921173784,0.3832083971231982,0.012885617911460368,6,7
surface_part,peak_dist,es,60,12361,870,0.37032277921173784,0.3715285030616422,0.001205723849904361,6,7
surface_part,m_centroid,es,60,12361,870,0.37032277921173784,0.3700308976832991,-0.00029188152843873105,6,7
surface_part,m_slope,es,60,12361,870,0.37032277921173784,0.37043416484822334,0.00011138563648549482,6,7
surface_part,pc_asym,es,60,12424,870,0.37056875408946466,0.37082049162264963,0.0002517375331849703,6,7
surface_part,atm_share,nq,15,12361,870,0.3048579532376612,0.3043160510980304,-0.0005419021396307899,6,7
surface_part,near_share,nq,15,12361,870,0.3048579532376612,0.30354315429028733,-0.001314798947373852,6,7
surface_part,peak_dist,nq,15,12361,870,0.3048579532376612,0.30499739286462035,0.00013943962695917023,6,7
surface_part,m_centroid,nq,15,12361,870,0.3048579532376612,0.3055812334277609,0.0007232801900997066,6,7
surface_part,m_slope,nq,15,12361,870,0.3048579532376612,0.3048561662865775,-1.7869510836598934e-06,6,7
surface_part,pc_asym,nq,15,12424,870,0.3050030500374452,0.3049291104169769,-7.393962046831071e-05,6,7
surface_part,atm_share,nq,30,12361,870,0.33250038541733107,0.3282610809569291,-0.004239304460401994,6,7
surface_part,near_share,nq,30,12361,870,0.33250038541733107,0.3247029579207331,-0.007797427496597953,6,7
surface_part,peak_dist,nq,30,12361,870,0.33250038541733107,0.33318354803333683,0.0006831626160057613,6,7
surface_part,m_centroid,nq,30,12361,870,0.33250038541733107,0.3325220533457167,2.1667928385649127e-05,6,7
surface_part,m_slope,nq,30,12361,870,0.33250038541733107,0.3325026174114035,2.2319940724546683e-06,6,7
surface_part,pc_asym,nq,30,12424,870,0.3325842867708957,0.33232044831666974,-0.00026383845422595087,6,7
surface_part,atm_share,nq,60,12361,870,0.30710336640734626,0.3134145031895814,0.0063111367822351605,6,7
surface_part,near_share,nq,60,12361,870,0.30710336640734626,0.3116225860271281,0.004519219619781856,6,7
surface_part,peak_dist,nq,60,12361,870,0.30710336640734626,0.30839805981444246,0.0012946934070962035,6,7
surface_part,m_centroid,nq,60,12361,870,0.30710336640734626,0.3065502281538942,-0.0005531382534520457,6,7
surface_part,m_slope,nq,60,12361,870,0.30710336640734626,0.3071130976580727,9.731250726452423e-06,6,7
surface_part,pc_asym,nq,60,12424,870,0.30707585945111193,0.3061462319557061,-0.0009296274954058159,6,7
