probe,tod,instrument,horizon_m,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
tod,10:00,es,30,956,68,0.29218386498556037,0.23066639200484984,-0.06151747298071053,6,7
tod,10:00,es,60,956,68,0.4374031156101491,0.410398170686761,-0.02700494492338812,6,7
tod,10:00,nq,30,956,68,0.12205070960952424,0.07760158755269542,-0.04444912205682883,6,7
tod,10:00,nq,60,956,68,0.2804644423424737,0.24475950706215954,-0.035704935280314154,6,7
tod,10:30,es,30,956,68,0.4632780558048999,0.4617082068240016,-0.0015698489808982918,6,7
tod,10:30,es,60,956,68,0.4607826644060591,0.45300014282153866,-0.007782521584520419,6,7
tod,10:30,nq,30,956,68,0.42841838056986825,0.4316363978389455,0.0032180172690772224,6,7
tod,10:30,nq,60,956,68,0.39597364264306545,0.40201784236185534,0.006044199718789889,6,7
tod,11:00,es,30,957,68,0.33536102106564847,0.3326999290592745,-0.0026610920063739885,6,7
tod,11:00,es,60,957,68,0.3930894692631546,0.3914315913087951,-0.0016578779543594546,6,7
tod,11:00,nq,30,957,68,0.2701390312054074,0.2611950800751358,-0.008943951130271577,6,7
tod,11:00,nq,60,957,68,0.31180791035175304,0.3099973509015119,-0.0018105594502411115,6,7
tod,11:30,es,30,957,68,0.5441629661425589,0.5475227283672716,0.0033597622247126813,6,7
tod,11:30,es,60,957,68,0.6066358777259955,0.6071498715566093,0.0005139938306137903,6,7
tod,11:30,nq,30,957,68,0.4619916355390734,0.4562092081788546,-0.005782427360218834,6,7
tod,11:30,nq,60,957,68,0.5263271943037365,0.5139173657824491,-0.01240982852128747,6,7
tod,12:00,es,30,957,68,0.6033664923843828,0.6052318606645737,0.0018653682801909044,6,7
tod,12:00,es,60,957,68,0.5850284490648365,0.587406972803941,0.002378523739104521,6,7
tod,12:00,nq,30,957,68,0.40138012024198566,0.4011795230766074,-0.0002005971653782357,6,7
tod,12:00,nq,60,957,68,0.4592979222602339,0.4590598597656854,-0.0002380624945484966,6,7
tod,12:30,es,30,957,68,0.5758345641277061,0.5754842631101076,-0.00035030101759847554,6,7
tod,12:30,es,60,957,68,0.5785548677569271,0.5647013308092602,-0.013853536947666889,6,7
tod,12:30,nq,30,957,68,0.4947420547713999,0.49067387860255696,-0.0040681761688429185,6,7
tod,12:30,nq,60,957,68,0.5715410570508029,0.566890485545235,-0.004650571505567913,6,7
tod,13:00,es,30,912,66,0.24283946942266754,0.22111100125945826,-0.02172846816320928,6,7
tod,13:00,es,60,912,66,0.2527262974826444,0.2391365371067694,-0.013589760375875004,6,7
tod,13:00,nq,30,912,66,0.23760924981549847,0.21338543648641206,-0.024223813329086408,6,7
tod,13:00,nq,60,912,66,0.22770230695400284,0.2175567813390028,-0.01014552561500004,6,7
tod,13:30,es,30,909,66,0.4415568636696301,0.45084328102970583,0.009286417360075738,6,7
tod,13:30,es,60,909,66,0.29313686261495464,0.2754741604634322,-0.017662702151522436,6,7
tod,13:30,nq,30,909,66,0.3389121763281093,0.3449374026381056,0.0060252263099962455,6,7
tod,13:30,nq,60,909,66,0.1690387687376661,0.12643743337441415,-0.042601335363251946,6,7
tod,14:00,es,30,909,66,0.376633931524497,0.362555486832545,-0.014078444691951963,6,7
tod,14:00,es,60,909,66,0.2681533669941175,0.24903690509242782,-0.019116461901689696,6,7
tod,14:00,nq,30,909,66,0.31418420073898345,0.2886317243101638,-0.025552476428819637,6,7
tod,14:00,nq,60,909,66,0.19086978555822598,0.15487192140522088,-0.0359978641530051,6,7
tod,14:30,es,30,909,66,0.6530920012703847,0.6487269346101632,-0.004365066660221517,6,7
tod,14:30,es,60,909,66,0.5506977019739494,0.5428170226690318,-0.007880679304917648,6,7
tod,14:30,nq,30,909,66,0.6125971866224978,0.6014213412460476,-0.011175845376450222,6,7
tod,14:30,nq,60,909,66,0.528434888649687,0.5115125318380197,-0.016922356811667316,6,7
tod,15:00,es,30,909,66,0.522373323216651,0.5241891384492716,0.0018158152326206434,6,7
tod,15:00,es,60,909,66,0.41735366561531995,0.418676279888207,0.001322614272887046,6,7
tod,15:00,nq,30,909,66,0.6209202340878042,0.6196474673069201,-0.0012727667808840604,6,7
tod,15:00,nq,60,909,66,0.5549381270600764,0.5515320086113368,-0.0034061184487396146,6,7
tod,15:30,es,30,909,66,0.23934875687791257,0.23200110001309238,-0.007347656864820196,6,7
tod,15:30,es,60,909,66,0.18129806755794875,0.18107046726109544,-0.00022760029685331418,6,7
tod,15:30,nq,30,909,66,0.12461322480419723,0.12937844929339315,0.004765224489195918,6,7
tod,15:30,nq,60,909,66,0.12671175050749328,0.1308629829385245,0.004151232431031215,6,7
tod,16:00,es,30,1164,66,0.021615781626380892,0.017274750275580897,-0.004341031350799995,6,7
tod,16:00,es,60,1164,66,0.018496072493682347,0.012823075400386519,-0.0056729970932958285,6,7
tod,16:00,nq,30,1164,66,0.00033875929317928044,0.0009825643911216542,0.0006438050979423737,6,7
tod,16:00,nq,60,1164,66,0.02666522674787908,0.028337126555706194,0.0016718998078271152,6,7
