probe,regime,regime_cuts,instrument,horizon_m,n_train,n_test,r2_A,r2_ext,delta_r2,n_feat_A,n_feat_ext
prior_rv_tercile,low,0.00104391|0.001777,es,15,3019,269,0.13347860957273927,0.13324202501551285,-0.0002365845572264158,6,7
prior_rv_tercile,mid,0.00104391|0.001777,es,15,4121,422,-0.0053566432479839055,-0.00671700670788189,-0.0013603634598979841,6,7
prior_rv_tercile,high,0.00104391|0.001777,es,15,5221,179,0.3529475561718849,0.34292058640230016,-0.010026969769584726,6,7
vs_day_median_prior_rv,above_day_med,within_session,es,15,5577,402,0.440940287909776,0.4470572065906878,0.006116918680911798,6,7
vs_day_median_prior_rv,below_day_med,within_session,es,15,6784,468,0.2680338992109106,0.2651148622891669,-0.0029190369217436674,6,7
prior_rv_tercile,low,0.00104391|0.001777,es,30,3019,269,0.1713270369031652,0.18862469172707852,0.017297654823913322,6,7
prior_rv_tercile,mid,0.00104391|0.001777,es,30,4121,422,0.06219480651002951,0.06711502893576382,0.004920222425734311,6,7
prior_rv_tercile,high,0.00104391|0.001777,es,30,5221,179,0.4417063494920982,0.42790431686002217,-0.013802032632076022,6,7
vs_day_median_prior_rv,above_day_med,within_session,es,30,5577,402,0.452670713352617,0.474950494958581,0.022279781605964,6,7
vs_day_median_prior_rv,below_day_med,within_session,es,30,6784,468,0.320241589078919,0.3279719448012346,0.007730355722315618,6,7
prior_rv_tercile,low,0.00104391|0.001777,es,60,3019,269,0.18389624829836337,0.19585802844914513,0.011961780150781753,6,7
prior_rv_tercile,mid,0.00104391|0.001777,es,60,4121,422,0.1358313276804708,0.15323007045037162,0.017398742769900832,6,7
prior_rv_tercile,high,0.00104391|0.001777,es,60,5221,179,0.3818237866746811,0.37795823765998937,-0.003865549014691716,6,7
vs_day_median_prior_rv,above_day_med,within_session,es,60,5577,402,0.4392045867282459,0.46448201907329867,0.025277432345052753,6,7
vs_day_median_prior_rv,below_day_med,within_session,es,60,6784,468,0.3258853893776844,0.3366623282367216,0.010776938859037188,6,7
prior_rv_tercile,low,0.001314|0.0023192,nq,15,2934,211,0.09396404768214484,0.09216123376898044,-0.0018028139131643917,6,7
prior_rv_tercile,mid,0.001314|0.0023192,nq,15,4179,454,-0.006143923895544079,-0.007901144803847515,-0.0017572209083034362,6,7
prior_rv_tercile,high,0.001314|0.0023192,nq,15,5248,205,0.2695571891101707,0.26629294004873216,-0.003264249061438518,6,7
vs_day_median_prior_rv,above_day_med,within_session,nq,15,5575,402,0.44086641091901035,0.4407200900717132,-0.00014632084729715444,6,7
vs_day_median_prior_rv,below_day_med,within_session,nq,15,6786,468,0.14848148749632195,0.14368798708565733,-0.0047935004106646195,6,7
prior_rv_tercile,low,0.001314|0.0023192,nq,30,2934,211,0.1209369616430056,0.13694667136958572,0.016009709726580112,6,7
prior_rv_tercile,mid,0.001314|0.0023192,nq,30,4179,454,0.024568293659671614,0.002183827868101007,-0.022384465791570607,6,7
prior_rv_tercile,high,0.001314|0.0023192,nq,30,5248,205,0.3331816318669558,0.307109828776552,-0.0260718030904038,6,7
vs_day_median_prior_rv,above_day_med,within_session,nq,30,5575,402,0.3861692818083645,0.3864827496393861,0.0003134678310215966,6,7
vs_day_median_prior_rv,below_day_med,within_session,nq,30,6786,468,0.209206575927546,0.19729482113126284,-0.011911754796283147,6,7
prior_rv_tercile,low,0.001314|0.0023192,nq,60,2934,211,0.149296575304661,0.16226748702455096,0.012970911719889955,6,7
prior_rv_tercile,mid,0.001314|0.0023192,nq,60,4179,454,0.07518022841103744,0.07995059357367817,0.004770365162640733,6,7
prior_rv_tercile,high,0.001314|0.0023192,nq,60,5248,205,0.32159080239289795,0.30225892802165266,-0.019331874371245283,6,7
vs_day_median_prior_rv,above_day_med,within_session,nq,60,5575,402,0.3735010372875408,0.38396561501336646,0.010464577725825652,6,7
vs_day_median_prior_rv,below_day_med,within_session,nq,60,6786,468,0.23783151442058426,0.2423501186588467,0.004518604238262447,6,7
