proxy,vs,spearman,n,split,window,instrument
signed_vol_proxy,ret_1m,0.9316362965978612,927123,Discovery,RTH,ES
signed_vol_proxy,absret_1m,-0.0006926669286527225,927123,Discovery,RTH,ES
signed_vol_proxy,range_pct,-0.009824312566455766,927123,Discovery,RTH,ES
signed_vol_proxy,volume,-0.002481082013540857,927123,Discovery,RTH,ES
signed_vol_proxy,ret_per_vol,0.794561324478049,927123,Discovery,RTH,ES
signed_vol_proxy,absret_per_vol,0.003251267772515877,927123,Discovery,RTH,ES
signed_vol_proxy,vol_x_range,-0.00573032701724408,927123,Discovery,RTH,ES
signed_vol_proxy_resid_ret_abs_range,volume,0.04282420044924166,927123,Discovery,RTH,ES
signed_vol_proxy_resid_ret_abs_range,absret_1m,0.019887841323886997,927123,Discovery,RTH,ES
signed_vol_proxy_resid_ret_abs_range,ret_1m,0.25564945365680497,927123,Discovery,RTH,ES
abs_signed_vol_proxy,ols_r2_on_absret_1m,0.22351621253960496,927123,Discovery,RTH,ES
abs_signed_vol_proxy,ols_r2_on_volume,0.8742258078969978,927123,Discovery,RTH,ES
signed_vol_proxy,ret_1m,0.8990040968625239,926888,Discovery,RTH,NQ
signed_vol_proxy,absret_1m,0.0006823897678146967,926888,Discovery,RTH,NQ
signed_vol_proxy,range_pct,-0.010650173026342464,926888,Discovery,RTH,NQ
signed_vol_proxy,volume,0.004303220584387586,926888,Discovery,RTH,NQ
signed_vol_proxy,ret_per_vol,0.7185001795995724,926888,Discovery,RTH,NQ
signed_vol_proxy,absret_per_vol,-0.002512815958539605,926888,Discovery,RTH,NQ
signed_vol_proxy,vol_x_range,-0.0019514269637613128,926888,Discovery,RTH,NQ
signed_vol_proxy_resid_ret_abs_range,volume,0.026775724558330074,926888,Discovery,RTH,NQ
signed_vol_proxy_resid_ret_abs_range,absret_1m,0.016947166331856556,926888,Discovery,RTH,NQ
signed_vol_proxy_resid_ret_abs_range,ret_1m,0.24100374039345424,926888,Discovery,RTH,NQ
abs_signed_vol_proxy,ols_r2_on_absret_1m,0.2906632587497604,926888,Discovery,RTH,NQ
abs_signed_vol_proxy,ols_r2_on_volume,0.9537921823680294,926888,Discovery,RTH,NQ
