feature,split,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
volume,Discovery,1,low,309162,1.5059946848983895e-06,0.0,0.00014925333982837412,,0.3778633855389731
volume,Discovery,1,mid,308975,6.91940982614448e-07,0.0,0.00022800569446959683,,0.41133425034387894
volume,Discovery,1,high,306576,-6.518878341206548e-07,0.0,0.00036247797516544914,,0.43321721204530034
volume,Discovery,5,low,308627,5.439253401015487e-06,0.0,0.00031881195320698964,0.00043014025995976365,0.4491214313718502
volume,Discovery,5,mid,307876,2.332660597490515e-06,0.0,0.0004963318510466038,0.0006288009670707802,0.4649891514765685
volume,Discovery,5,high,298409,-7.826308464592682e-07,0.0,0.000778267888773389,0.0009609607812209318,0.4727940511177612
volume,Discovery,15,low,305654,1.1494407741823946e-05,0.0,0.0005524125423765917,0.0007834033684359536,0.48375614256643135
volume,Discovery,15,mid,300379,6.398422888491102e-06,0.0,0.0008529675462748401,0.0011365080721798203,0.49485150426627694
volume,Discovery,15,high,284471,6.296072952053746e-06,0.0,0.0013072992399725146,0.00171046035909297,0.4954599941646073
volume,Discovery,30,low,296904,2.2785097780100785e-05,6.504276568719547e-05,0.0007907207965488078,0.001130430744380072,0.503378196319349
volume,Discovery,30,mid,286061,1.4843311321923114e-05,9.683354313927417e-05,0.001205012036646843,0.001621183856455874,0.5111811816360846
volume,Discovery,30,high,271062,2.2957542800722688e-05,0.00010614584439028185,0.0017975626228207027,0.0023900094193633156,0.5088503737152386
volume,Discovery,60,low,269526,4.1070029235681386e-05,0.00010660128462125495,0.0011342672487725874,0.0016322483852596662,0.518543665546181
volume,Discovery,60,mid,259296,3.521864656170735e-05,0.00014842300556594523,0.0016791136368663586,0.0022793486790294794,0.5248711896828335
volume,Discovery,60,high,252499,2.9590809660180697e-05,0.00017361111111102723,0.002421110680260004,0.003255215834548306,0.5211268163438271
volume,Validation,1,low,64732,2.920821249942854e-06,0.0,0.00016692163782668087,,0.4528672063276278
volume,Validation,1,mid,125983,4.7061206254406887e-07,0.0,0.00025541407410756446,,0.4685155933737091
volume,Validation,1,high,105601,-1.483587983122169e-06,0.0,0.0004048942492826958,,0.47417164610183615
volume,Validation,5,low,64627,5.8036073761343355e-06,0.0,0.00038052042313275564,0.0004651253492204124,0.4900428613427824
volume,Validation,5,mid,125930,3.602106219055414e-06,0.0,0.0005721949695539713,0.0006879406355106076,0.49875327562931787
volume,Validation,5,high,102663,-6.352464294342856e-06,0.0,0.0008913996294473079,0.0010606950370909854,0.4921149781323359
volume,Validation,15,low,64247,1.150655586175359e-05,4.9161791455754056e-05,0.0006818967292150647,0.0008686354246262607,0.5128799788316964
volume,Validation,15,mid,123914,4.864165321750523e-06,5.6565885160009266e-05,0.0010011369940077551,0.001255243360196934,0.5116774537179011
