feature,split,horizon_m,tercile,n,ret_mean,ret_median,absret_mean,rv_mean,up_rate
volume,Discovery,1,low,308955,1.1485566783915284e-06,0.0,0.00017815289270331548,,0.44484471848651097
volume,Discovery,1,mid,308981,2.438294416927327e-07,0.0,0.00026993393269757605,,0.47043992996333106
volume,Discovery,1,high,306542,8.988228379855655e-07,0.0,0.0004529062862076786,,0.4841033202628025
volume,Discovery,5,low,308003,5.487207178065474e-06,0.0,0.0004005657258037205,0.0004973805987770358,0.4870699311370344
volume,Discovery,5,mid,306688,-6.259158811170117e-08,0.0,0.0006021109048712809,0.0007272572750620901,0.4959111540066778
volume,Discovery,5,high,299701,3.724641410967016e-06,2.7756189630245842e-05,0.0010038429650123983,0.0011830174026433585,0.5024674592343703
volume,Discovery,15,low,303583,1.1126879953909346e-05,4.386734514816304e-05,0.0007024824864880465,0.0009100866975171361,0.5070343201035631
volume,Discovery,15,mid,297248,8.243912378796273e-06,5.682463916345526e-05,0.0010411086951295082,0.001318746551721373,0.5123062224136075
volume,Discovery,15,high,288784,4.996980982469363e-06,8.11451201249147e-05,0.0016951703244535827,0.00210611693231812,0.5148830960163998
volume,Discovery,30,low,292823,2.197170086750571e-05,7.23039658725444e-05,0.0010082887183688646,0.0013107738077747285,0.5175276532239612
volume,Discovery,30,mid,282552,2.3415063554434073e-05,0.00010934040409449342,0.0014673138888192591,0.001875957418444335,0.5241371499759336
volume,Discovery,30,high,277614,1.2309144485979286e-05,0.00014326750280568845,0.0023372987250171325,0.0029376028503605056,0.5212381219967293
volume,Discovery,60,low,263672,4.1593653064525004e-05,0.00013861134535708697,0.0014442315336611509,0.001885788452535072,0.5318274219484814
volume,Discovery,60,mid,255640,3.5782828942351485e-05,0.0001854814403631222,0.002040468955922575,0.002625636144139007,0.5330034423407918
volume,Discovery,60,high,261046,2.7015178724160452e-05,0.0002643462937729213,0.0031526355466016992,0.003991755147301779,0.5318526236755208
volume,Validation,1,low,11418,1.9685352278239728e-06,0.0,0.00017284540187393268,,0.48940269749518306
volume,Validation,1,mid,84536,2.3999129493719973e-06,0.0,0.00027620977321402305,,0.49953865808649567
volume,Validation,1,high,200362,-7.28831895200908e-07,0.0,0.00045004685300217915,,0.49813836955111246
volume,Validation,5,low,11321,1.7448967306134331e-06,1.1659224195215145e-05,0.00040565391998875717,0.0004905284436287422,0.5004858228071725
volume,Validation,5,mid,84507,6.5325718746096115e-06,3.0345790280161822e-05,0.0006289230182909155,0.0007530412644289938,0.5140165903416285
volume,Validation,5,high,197392,-1.1880668126567027e-06,2.7002396562392228e-05,0.0010022188653880998,0.0011791225329789447,0.5079030558482613
volume,Validation,15,low,11072,1.752328077215733e-05,4.4227254554440876e-05,0.0007193047965495552,0.0009296087836379962,0.5269147398843931
volume,Validation,15,mid,83424,1.1496507023231413e-05,7.470184800806301e-05,0.001114484851564098,0.0013886678385404009,0.524153720751822
volume,Validation,15,high,190984,1.1213989020994008e-06,6.498429546186735e-05,0.0017139822955140578,0.0021077065010995746,0.5140482972395594
volume,Validation,30,low,10627,5.683207067009895e-05,8.691873098642944e-05,0.0010697758135796295,0.001369269292678851,0.5358991248706126
volume,Validation,30,mid,80127,2.6096107214802817e-05,0.00012592872434202818,0.0016171337459651288,0.0020069085529664044,0.528723151996206
volume,Validation,30,high,183116,4.92574480989351e-06,0.00010998579506316108,0.0024103032152204044,0.002963454999361055,0.5172677428515258
volume,Validation,60,low,9379,0.00019156850933531885,0.00020709650697225968,0.0016665588999277307,0.0020729445087523126,0.5597611685680777
volume,Validation,60,mid,71775,7.999415024641155e-05,0.0002258015956646542,0.0023548181943397017,0.002923046149682108,0.5379449669104841
volume,Validation,60,high,169496,1.853310032800734e-05,0.00018444473237977377,0.003317474670247943,0.004074792686203441,0.5211273422381649
volume,OOS,1,low,11039,1.0434473493152294e-06,0.0,0.0001525797131721878,,0.4896276836669988
volume,OOS,1,mid,55962,-1.114851269760722e-06,0.0,0.00022945702209305446,,0.49508595118115867
volume,OOS,1,high,90612,2.0129018436034015e-06,1.0281931327682514e-05,0.0004365116049030322,,0.5045689312673818
volume,OOS,5,low,10986,-1.0712804350910911e-05,0.0,0.00034473361368554515,0.00041453008584834577,0.493537229200801
volume,OOS,5,mid,55913,-4.07745540247074e-06,1.0026771479765273e-05,0.0005231473017108942,0.0006244538781799138,0.5032818843560531
volume,OOS,5,high,89066,1.2094309850884501e-05,3.1504993572739615e-05,0.0009712638419840168,0.0011457076229639289,0.5115420025598995
volume,OOS,15,low,10836,-2.0688173807373935e-05,-8.354323980774847e-06,0.0005926197315261958,0.0007750246566241197,0.4927094868955334
volume,OOS,15,mid,54959,-3.5889421261485092e-06,1.9252428212546135e-05,0.0009109383790028041,0.0011538071809112408,0.5053039538565112
volume,OOS,15,high,86050,2.5805147251582853e-05,7.141936097898594e-05,0.0016595713661891256,0.002049739368609434,0.5173852411388727
volume,OOS,30,low,10380,-5.45513980935885e-05,0.0,0.0008514191739298016,0.001136633795576584,0.4958574181117534
volume,OOS,30,mid,52090,-1.0914464041230393e-05,4.95383065608479e-05,0.0012923237902627536,0.0016624620115152818,0.5149164906891918
volume,OOS,30,high,83195,4.213033441930658e-05,0.00014195056780219595,0.0022905651915858132,0.002874354398549155,0.5260412284392091
volume,OOS,60,low,8939,-9.813097222656306e-05,2.1287692520521873e-05,0.001193169339079071,0.001688287999993158,0.5071037028750419
volume,OOS,60,mid,45874,1.2958563260624323e-05,0.00012597208472819865,0.0018523909084798994,0.0023910650921090504,0.5267471770501809
volume,OOS,60,high,78492,5.576251055882707e-05,0.0002750533291872026,0.0031244657338829035,0.0039433076125693365,0.5345895123069867
d_volume,Discovery,1,low,310310,1.7611762575367722e-07,0.0,0.00032948719675338534,,0.4699687409364829
d_volume,Discovery,1,mid,308267,1.4875989435577822e-06,0.0,0.00023578414525562654,,0.45752870076913843
d_volume,Discovery,1,high,305901,6.292533195920826e-07,0.0,0.0003345946534355807,,0.4717702786195534
d_volume,Discovery,5,low,307179,1.031267840082871e-06,0.0,0.0007402708034181529,0.0008851041289871605,0.4966224904697261
d_volume,Discovery,5,mid,305950,4.625570312115713e-06,0.0,0.0005282071935643826,0.0006412591677516822,0.49157051805850627
d_volume,Discovery,5,high,301263,3.5025272873154223e-06,0.0,0.0007298863083115412,0.0008720242801711751,0.49707730454785354
d_volume,Discovery,15,low,298589,2.237074684187386e-06,5.7273768613974596e-05,0.0012625602367621563,0.00158835638442676,0.5113182334245401
d_volume,Discovery,15,mid,299470,1.3858092486711728e-05,5.192647211549328e-05,0.0009119695128426694,0.0011613054932354356,0.5109092730490533
d_volume,Discovery,15,high,291556,8.41490955421648e-06,5.819028222275868e-05,0.001242207934450982,0.0015587146090361974,0.511815911865988
d_volume,Discovery,30,low,286750,1.1514185448664068e-05,0.0001049428061705715,0.0017631827803240958,0.002237367602901645,0.5205928509154316
d_volume,Discovery,30,mid,287465,2.909453189974181e-05,8.931761343333733e-05,0.0012878514745287696,0.0016530155480067752,0.5212147565790618
d_volume,Discovery,30,high,278774,1.7224098904220022e-05,0.0001058337057430192,0.001732243907811146,0.002197660622118526,0.5209668046517968
d_volume,Discovery,60,low,264174,2.5465184935277224e-05,0.00019286899208614816,0.002429388884210662,0.003103177268035215,0.530843307819846
d_volume,Discovery,60,mid,260657,4.6336876238642345e-05,0.00016019223067686994,0.0018125989896498698,0.0023418116499460007,0.5330913806266473
d_volume,Discovery,60,high,255527,3.2722716237625107e-05,0.00019989006046672309,0.0023917777995714888,0.00305365225624358,0.5327577907618373
d_volume,Validation,1,low,121463,1.7797457559162537e-06,1.1739018148437808e-05,0.0004029043726182612,,0.5003581337526655
d_volume,Validation,1,mid,61895,-1.8357668780220977e-07,0.0,0.0003256663038814338,,0.4947572501817594
d_volume,Validation,1,high,112958,-1.1109015698416862e-06,0.0,0.000410775828698867,,0.49776908231378036
d_volume,Validation,5,low,120162,4.581768869931646e-07,2.7309346751214214e-05,0.0009088650486929795,0.00107261747889163,0.509487192290408
d_volume,Validation,5,mid,61476,4.6631280338980724e-06,2.3249196582475484e-05,0.0007361832926773648,0.0008792230753042386,0.5099388379204893
d_volume,Validation,5,high,111582,-3.97803148878257e-08,2.673691335919326e-05,0.0009060793472953655,0.0010664883798213191,0.5089530569446685
d_volume,Validation,15,low,117201,-3.3087157880385687e-06,6.36091851662357e-05,0.0015589862353410692,0.001927265671325339,0.5156440644704396
d_volume,Validation,15,mid,60174,1.0924499880739894e-05,6.345239560023863e-05,0.0012959458125835059,0.0016053080858066523,0.5206567620567022
d_volume,Validation,15,high,108105,1.0153883333649705e-05,6.99312925052098e-05,0.0015502070449667288,0.0019074399881643304,0.5177558854817076
d_volume,Validation,30,low,112780,5.07699693795766e-06,0.00011318916855707073,0.002211694950046332,0.0027233921164431774,0.5201986167760241
d_volume,Validation,30,mid,57454,2.059208651809622e-05,0.00011022185213171998,0.0018547883285064779,0.0022915979169556575,0.5248024506561771
d_volume,Validation,30,high,103636,1.7766591058575617e-05,0.00011549776885111385,0.0021836977662194773,0.0026941331433730014,0.5206684935736616
d_volume,Validation,60,low,103899,3.594476005087248e-05,0.00020236633703429874,0.0030783254123955663,0.0037906333786018186,0.5256643471063244
d_volume,Validation,60,mid,51747,7.333075687161791e-05,0.00020139905208171882,0.0026525368504985727,0.0032724125684624305,0.5322627398689779
d_volume,Validation,60,high,95004,3.315982754228102e-05,0.00019744435486823697,0.0030509311408389453,0.003754834475371395,0.5266199317923456
d_volume,OOS,1,low,61485,3.6820447409751396e-06,9.884841595475535e-06,0.0003645561061112984,,0.5039603155241116
d_volume,OOS,1,mid,38731,-5.480964388690754e-07,0.0,0.00027785506485903186,,0.49368722728563685
d_volume,OOS,1,high,57397,-1.2829908765560155e-06,8.361483661678548e-06,0.000364166318209044,,0.5004442740909804
d_volume,OOS,5,low,60828,1.0435864302495705e-05,2.647066712258006e-05,0.0008211168578225645,0.000968406334572848,0.5113434602485697
d_volume,OOS,5,mid,38510,-6.068949801159264e-06,9.756526041404534e-06,0.000624987643825266,0.0007460664319571764,0.5020514152168268
d_volume,OOS,5,high,56627,5.8353907449071955e-06,1.8477798924498856e-05,0.0008040227015260762,0.0009514096375693691,0.5065604746852208
d_volume,OOS,15,low,59430,1.8307706836370653e-05,4.497388807300773e-05,0.0014009247342519886,0.0017398029279612824,0.5120814403499916
d_volume,OOS,15,mid,37672,-1.5826828152253418e-06,2.1188461106769196e-05,0.0010827796326761798,0.0013607377222238737,0.5068485878105755
d_volume,OOS,15,high,54743,1.4078640356587422e-05,4.491505440329391e-05,0.001374505864936786,0.0017085678392372518,0.513380706209013
d_volume,OOS,30,low,57215,3.3495170083617685e-05,9.558503350781677e-05,0.0019561388554184584,0.0024613501339975203,0.5205802674123918
d_volume,OOS,30,mid,35955,-2.6930946453762247e-05,4.678143712566474e-05,0.0015056517096667917,0.001940736897187977,0.5138367403699068
d_volume,OOS,30,high,52495,2.7090794386244583e-05,9.909002328623018e-05,0.0019175589397147023,0.002417801240311479,0.5233450804838556
d_volume,OOS,60,low,52868,5.4008353032871364e-05,0.00020367769015616766,0.002708629670140123,0.0034334309871837,0.5320988121358856
d_volume,OOS,60,mid,32198,-2.158492026139203e-05,0.00011608241132310404,0.0021573965670842856,0.0027848872597908978,0.5245667432759799
d_volume,OOS,60,high,48239,4.0089077375205617e-05,0.00020029710737601292,0.002658102315007022,0.0033813096907474587,0.5314579489624578
vol_accel,Discovery,1,low,309694,1.0077087508776706e-06,0.0,0.0003202112627536621,,0.47004139570027187
vol_accel,Discovery,1,mid,308086,5.225944454865013e-07,0.0,0.0002370719096564797,,0.4568626941827931
vol_accel,Discovery,1,high,306698,7.585069269164603e-07,0.0,0.0003425990356800435,,0.4723539116655472
vol_accel,Discovery,5,low,306085,4.66672131358273e-06,0.0,0.0007157871516212089,0.0008567506588029695,0.4962281719130307
vol_accel,Discovery,5,mid,305690,8.970280760473727e-07,0.0,0.0005303622163400744,0.0006437528752278665,0.49099741568255423
vol_accel,Discovery,5,high,302617,3.5838470183903526e-06,0.0,0.00075233790130129,0.000898032670011498,0.49804868860639023
vol_accel,Discovery,15,low,297706,5.421642668892144e-06,5.6229792541828694e-05,0.0012208378726520181,0.0015383238547171483,0.5109168105446312
vol_accel,Discovery,15,mid,299272,1.1291772787734311e-05,5.169962521223148e-05,0.0009172776790495186,0.001165816077418459,0.5106591996578363
vol_accel,Discovery,15,high,292637,7.784727296088677e-06,6.138358602902905e-05,0.0012790624555408612,0.0016048214903357234,0.5124779163263702
vol_accel,Discovery,30,low,285332,1.654865168471189e-05,0.0001035911602209616,0.0017083101336030355,0.002170629684126921,0.5209720606171057
vol_accel,Discovery,30,mid,287123,2.5586528309973377e-05,8.789277081966418e-05,0.0012938424157546034,0.0016593400720434934,0.5208011897340165
vol_accel,Discovery,30,high,280534,1.567953469968715e-05,0.00010962508254819259,0.0017815380187769087,0.0022586036215704254,0.5210028017994254
vol_accel,Discovery,60,low,261819,2.8584578135098784e-05,0.00019034325233180382,0.0023644584153902663,0.0030197481914729708,0.5319896569767664
vol_accel,Discovery,60,mid,260090,4.3622247339429486e-05,0.0001597061407010436,0.0018181264595344396,0.00234820145153079,0.5328463224268523
vol_accel,Discovery,60,high,258449,3.225824999753804e-05,0.0002041232904674839,0.0024510644305621634,0.003130628416651478,0.5318263951495266
