split,horizon_m,feature,target,n,spearman
Discovery,1,volume,ret,924713,-0.002762463567408271
Discovery,1,volume,absret,924713,0.3128404487760211
Discovery,1,d_volume,ret,924713,0.0007283302356787471
Discovery,1,d_volume,absret,924713,0.0074835423612781456
Discovery,1,vol_accel,ret,924713,0.0004357294633753765
Discovery,1,vol_accel,absret,924713,0.023869928378129145
Discovery,1,vol_z_tod,ret,924713,-0.004043569656089122
Discovery,1,vol_z_tod,absret,924713,0.2626871829303743
Discovery,1,signed_vol_proxy,ret,924671,-0.050973993309586824
Discovery,1,signed_vol_proxy,absret,924671,-0.013874562025940985
Discovery,1,signed_vol_proxy_sum_5,ret,914875,-0.03621023155850493
Discovery,1,signed_vol_proxy_sum_5,absret,914875,-0.0350585911205702
Discovery,1,signed_vol_proxy_resid,ret,924671,-0.0017285567322863884
Discovery,1,signed_vol_proxy_resid,absret,924671,0.015450137807216937
Discovery,1,ret_per_vol,ret,924671,-0.0694766645041202
Discovery,1,ret_per_vol,absret,924671,-0.015050518088328283
Discovery,1,absret_per_vol,ret,924671,0.0014772724524105753
Discovery,1,absret_per_vol,absret,924671,0.0416039444402912
Discovery,1,range_per_vol,ret,924713,0.0012919473996005541
Discovery,1,range_per_vol,absret,924713,0.0022255233539556583
Discovery,1,vol_x_range,ret,924713,-0.002337863679750444
Discovery,1,vol_x_range,absret,924713,0.3766606269674079
Discovery,1,ret_1m,ret,924671,-0.06225296396575729
Discovery,1,ret_1m,absret,924671,-0.015069042730399216
Discovery,1,absret_1m,ret,924671,-0.00042225010611257716
Discovery,1,absret_1m,absret,924671,0.250629540288609
Discovery,1,range_pct,ret,924713,-0.001097095946570298
Discovery,1,range_pct,absret,924713,0.39867804694491105
Discovery,5,volume,ret,914912,-0.00014711715757235254
Discovery,5,volume,absret,914912,0.31799806710762996
Discovery,5,volume,rv,914912,0.4754710222686103
Discovery,5,d_volume,ret,914912,-0.0003584156249732921
Discovery,5,d_volume,absret,914912,-0.0028206713772391356
Discovery,5,d_volume,rv,914912,-0.007134485968589182
Discovery,5,vol_accel,ret,914912,-0.00032276910112495155
Discovery,5,vol_accel,absret,914912,0.019499431972007392
Discovery,5,vol_accel,rv,914912,0.028975286069175887
Discovery,5,vol_z_tod,ret,914912,-0.0011967942245615093
Discovery,5,vol_z_tod,absret,914912,0.26284266764241904
Discovery,5,vol_z_tod,rv,914912,0.3984394458929715
Discovery,5,signed_vol_proxy,ret,914875,-0.035119908658026826
Discovery,5,signed_vol_proxy,absret,914875,-0.015714125664312528
