split,horizon_m,feature,target,n,spearman
Discovery,1,volume,ret,924478,0.0022223362780311798
Discovery,1,volume,absret,924478,0.3478679634468556
Discovery,1,d_volume,ret,924478,0.0014593541260432376
Discovery,1,d_volume,absret,924478,0.006182898919289483
Discovery,1,vol_accel,ret,924478,0.0008775677207705902
Discovery,1,vol_accel,absret,924478,0.030239590466398406
Discovery,1,vol_z_tod,ret,924478,0.0004331939681634032
Discovery,1,vol_z_tod,absret,924478,0.27668071926246185
Discovery,1,signed_vol_proxy,ret,924348,-0.011070364441374806
Discovery,1,signed_vol_proxy,absret,924348,-0.017663522572983884
Discovery,1,signed_vol_proxy_sum_5,ret,914302,-0.01897558528563619
Discovery,1,signed_vol_proxy_sum_5,absret,914302,-0.04182614637603541
Discovery,1,signed_vol_proxy_resid,ret,924348,0.006362632660261939
Discovery,1,signed_vol_proxy_resid,absret,924348,0.0023061356299874636
Discovery,1,ret_per_vol,ret,924348,-0.022708497718066788
Discovery,1,ret_per_vol,absret,924348,-0.018937089560924537
Discovery,1,absret_per_vol,ret,924348,0.002014333509788038
Discovery,1,absret_per_vol,absret,924348,0.007779557057392112
Discovery,1,range_per_vol,ret,924478,0.00027267974266081664
Discovery,1,range_per_vol,absret,924478,-0.00715969871716463
Discovery,1,vol_x_range,ret,924478,0.00276606091780595
Discovery,1,vol_x_range,absret,924478,0.40874807832822807
Discovery,1,ret_1m,ret,924348,-0.018552196560120235
Discovery,1,ret_1m,absret,924348,-0.018733562665713504
Discovery,1,absret_1m,ret,924348,0.0037127368294628616
Discovery,1,absret_1m,absret,924348,0.27071073880778
Discovery,1,range_pct,ret,924478,0.0031716140560026067
Discovery,1,range_pct,absret,924478,0.4290610141011974
Discovery,5,volume,ret,914392,0.007392460518883632
Discovery,5,volume,absret,914392,0.34122788238487484
Discovery,5,volume,rv,914392,0.5155415911459522
Discovery,5,d_volume,ret,914392,7.626481509407694e-05
Discovery,5,d_volume,absret,914392,-0.007016991822903707
Discovery,5,d_volume,rv,914392,-0.011915601800014174
Discovery,5,vol_accel,ret,914392,0.0010895645924202204
Discovery,5,vol_accel,absret,914392,0.023492101992473778
Discovery,5,vol_accel,rv,914392,0.035217393491384474
Discovery,5,vol_z_tod,ret,914392,0.004744686503070876
