window,split,n_bars,n_sessions,es_ret_finite,nq_ret_finite,both_ret_finite
MID,Discovery,429084,2416,429064,428997,428981
MID,OOS,73303,412,73301,73303,73301
MID,Validation,137790,774,137790,137790,137790
OPEN15,Discovery,36213,2417,36205,36202,36200
OPEN15,OOS,6180,412,6180,6180,6180
OPEN15,Validation,11610,774,11610,11610,11610
OPEN30,Discovery,72434,2417,72423,72412,72410
OPEN30,OOS,12360,412,12360,12360,12360
OPEN30,Validation,23220,774,23220,23220,23220
OPEN5,Discovery,12079,2417,12072,12069,12068
OPEN5,OOS,2060,412,2060,2060,2060
OPEN5,Validation,3870,774,3870,3870,3870
RTH,Discovery,926619,2417,926578,926472,926445
RTH,OOS,158023,412,158021,158023,158021
RTH,Validation,297090,774,297090,297090,297090
